,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-23-ucla,60.0,12,12.5,5,94.0,69.7,23,0.379,58,0.345,20,0.345,20,0.8,16,1,200,89.6,35.5,11,20,60,,10.4,7,0.31,18,0.222,4,53.1,34,0.444,11.9,9,40,0.4,16,0.0,0,"November 10, 2017",50.0,11,15.0,6,89.6,64.5,20,0.454,54,0.407,22,0.389,21,0.667,14,0,200,94.0,30.3,10,17,63,21,9.0,6,0.259,14,0.357,5,46.9,30,0.492,18.1,14,40,0.425,17,1.0,1,"Mercedes-Benz Arena, Shanghai",GEORGIA-TECH,Georgia Tech,66.7,Home,UCLA,UCLA,Georgia Tech,acc
2017-11-19-14-georgia-tech,65.0,13,11.6,5,94.2,54.5,18,0.473,55,0.364,20,0.455,25,0.4,10,3,200,89.9,36.1,13,23,62,,10.1,7,0.509,28,0.429,12,44.9,31,0.464,17.5,14,27,0.296,8,0.25,1,"November 19, 2017",70.0,14,37.0,10,89.9,63.9,23,0.402,51,0.392,20,0.608,31,0.774,24,1,200,94.2,45.5,15,18,65,,8.7,6,0.157,8,0.125,1,55.1,38,0.494,22.7,19,43,0.442,19,0.5,1,"McCamish Pavilion, Atlanta, Georgia",BETHUNE-COOKMAN,Bethune-Cookman,68.8,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2017-11-22-19-georgia-tech,64.0,16,5.6,2,108.3,63.0,17,0.4,65,0.385,25,0.308,20,0.8,16,3,200,94.4,42.9,15,22,68,,11.1,8,0.277,18,0.111,2,51.6,32,0.456,17.8,16,47,0.489,23,0.5,3,"November 22, 2017",69.2,18,14.9,7,94.4,57.1,20,0.594,48,0.542,26,0.708,34,0.618,21,1,200,108.3,37.0,10,19,78,,11.1,8,0.25,12,0.417,5,48.4,30,0.608,18.2,14,36,0.583,21,0.667,2,"McCamish Pavilion, Atlanta, Georgia",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.8,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2017-11-24-16-georgia-tech,66.7,12,2.9,1,101.6,92.6,25,0.478,46,0.391,18,0.196,9,0.556,5,3,200,79.0,21.4,6,12,49,,4.8,3,0.326,15,0.533,8,56.4,31,0.487,26.5,18,31,0.323,10,0.5,3,"November 24, 2017",69.6,16,19.4,6,79.0,78.6,22,0.5,53,0.434,23,0.226,12,0.833,10,1,200,101.6,7.4,2,9,63,,17.7,11,0.34,18,0.389,7,43.6,24,0.537,9.3,6,35,0.457,16,0.75,3,"McCamish Pavilion, Atlanta, Georgia",NORTH-TEXAS,North Texas,62.5,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2017-11-28-19-georgia-tech,47.6,10,3.4,1,88.1,74.1,20,0.405,58,0.362,21,0.086,5,0.8,4,3,200,86.4,20.6,7,17,51,,10.2,6,0.397,23,0.217,5,44.3,27,0.422,9.1,6,35,0.457,16,0.571,4,"November 28, 2017",87.5,14,11.4,4,86.4,79.4,27,0.419,43,0.372,16,0.465,20,0.8,16,1,200,88.1,25.9,7,10,52,,6.8,4,0.326,14,0.286,4,55.7,34,0.495,21.3,14,29,0.414,12,0.8,4,"McCamish Pavilion, Atlanta, Georgia",NORTHWESTERN,Northwestern,59.4,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2017-12-01-19-georgia-tech,62.5,15,7.4,2,92.6,75.7,28,0.5,54,0.444,24,0.222,12,0.667,8,5,200,94.1,27.6,8,21,64,,8.8,6,0.259,14,0.429,6,54.5,36,0.536,21.3,16,40,0.45,18,0.286,2,"December 1, 2017",81.0,17,20.0,8,94.1,72.4,21,0.481,54,0.389,21,0.407,22,0.5,11,2,200,92.6,24.3,9,17,63,,8.8,6,0.5,27,0.37,10,45.5,30,0.489,17.0,13,27,0.407,11,0.667,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,68.1,Away,GRAMBLING,Grambling,Georgia Tech,acc
2017-12-03-18-georgia-tech,65.2,15,18.4,7,97.2,67.6,23,0.509,53,0.434,23,0.509,27,0.852,23,1,200,106.9,32.1,9,24,77,,6.9,5,0.377,20,0.4,8,51.6,32,0.585,17.7,14,33,0.455,15,0.857,6,"December 3, 2017",61.9,13,3.0,1,106.9,67.9,19,0.444,54,0.389,21,0.611,33,0.667,22,3,200,97.2,32.4,11,25,70,,8.3,6,0.296,16,0.375,6,48.4,30,0.502,17.0,14,38,0.395,15,0.571,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,71.8,Away,TENNESSEE,Tennessee,Georgia Tech,acc
2017-12-06-19-wofford,45.8,11,10.3,3,106.8,70.3,26,0.631,42,0.571,24,0.19,8,0.875,7,4,200,101.7,17.6,3,14,60,,6.8,4,0.31,13,0.385,5,53.7,29,0.655,26.0,16,29,0.655,19,0.5,4,"December 6, 2017",52.4,11,6.9,2,101.7,82.4,14,0.458,59,0.356,21,0.22,13,0.692,9,4,200,106.8,29.7,11,13,63,,16.9,10,0.508,30,0.4,12,46.3,25,0.483,7.2,5,29,0.31,9,0.556,5,"Richardson Indoor Stadium, Spartanburg, South Carolina",GEORGIA-TECH,Georgia Tech,59.0,Home,WOFFORD,Wofford,Georgia Tech,acc
2017-12-17-16-georgia-tech,70.0,14,6.8,3,106.8,63.6,21,0.363,62,0.323,20,0.242,15,0.6,9,13,200,73.0,28.6,12,17,54,,8.1,6,0.242,15,0.333,5,44.0,33,0.391,19.9,17,47,0.319,15,0.071,1,"December 17, 2017",53.6,15,14.9,7,73.0,71.4,30,0.525,59,0.475,28,0.458,27,0.63,17,4,200,106.8,36.4,12,16,79,,14.9,11,0.254,15,0.4,6,56.0,42,0.55,16.5,14,44,0.5,22,0.556,5,"McCamish Pavilion, Atlanta, Georgia",FLORIDA-AM,Florida A&M,74.0,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc
2017-12-19-21-georgia,22.7,5,6.5,2,119.4,69.6,16,0.383,60,0.367,22,0.283,17,0.765,13,5,200,88.1,29.7,11,19,59,,17.9,12,0.217,13,0.154,2,45.0,27,0.433,14.0,11,47,0.426,20,0.5,5,"December 19, 2017",58.6,17,8.5,4,88.1,70.3,26,0.67,50,0.58,29,0.36,18,0.722,13,2,200,119.4,30.4,7,16,80,,9.0,6,0.38,19,0.474,9,55.0,33,0.683,20.6,15,31,0.645,20,0.8,8,"Stegeman Coliseum, Athens, Georgia",GEORGIA-TECH,Georgia Tech,67.3,Home,GEORGIA,Georgia,Georgia Tech,acc
