,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-virginia-commonwealth,31.8,7,7.3,3,119.0,67.5,27,0.397,58,0.379,22,0.517,30,0.633,19,1,200,82.3,13.9,5,17,65,,6.3,5,0.224,13,0.154,2,42.1,32,0.45,13.4,11,45,0.444,20,0.0,0,"November 10, 2017",50.0,17,8.9,4,82.3,86.1,31,0.553,75,0.453,34,0.2,15,0.733,11,0,200,119.0,32.5,13,23,94,,6.3,5,0.453,34,0.441,15,57.9,44,0.572,11.9,11,41,0.463,19,1.0,1,"Stuart Siegel Center, Richmond, Virginia",GRAMBLING,Grambling,79.2,Home,VIRGINIA-COMMONWEALTH,VCU,Grambling,swac
2017-11-16-20-iowa,65.5,19,7.7,2,125.0,58.3,14,0.5,68,0.426,29,0.088,6,1.0,6,2,200,108.8,32.4,11,25,74,,10.3,7,0.353,24,0.417,10,43.1,25,0.522,13.5,11,44,0.432,19,0.0,0,"November 16, 2017",80.0,20,13.6,6,108.8,67.6,23,0.63,46,0.543,25,0.783,36,0.75,27,0,200,125.0,41.7,10,14,85,,11.8,8,0.435,20,0.4,8,56.9,33,0.674,17.4,13,26,0.654,17,1.0,3,"Carver-Hawkeye Arena, Iowa City, Iowa",GRAMBLING,Grambling,68.5,Home,IOWA,Iowa,Grambling,swac
2017-11-18-20-south-dakota,50.0,9,10.3,4,115.1,75.0,18,0.364,55,0.327,18,0.382,21,0.714,15,3,200,75.3,27.8,10,22,55,,11.0,8,0.236,13,0.308,4,46.7,28,0.423,22.8,19,42,0.333,14,0.0,0,"November 18, 2017",57.1,16,16.7,7,75.3,72.2,26,0.588,51,0.549,28,0.529,27,0.889,24,1,200,115.1,25.0,6,23,84,,15.1,11,0.235,12,0.333,4,53.3,32,0.658,19.3,15,39,0.615,24,0.75,3,"Sanford Coyote Sports Center, Vermillon, South Dakota",GRAMBLING,Grambling,73.4,Home,SOUTH-DAKOTA,South Dakota,Grambling,swac
2017-11-21-19-bethune-cookman,60.7,17,6.7,2,106.1,75.0,24,0.428,69,0.406,28,0.391,27,0.704,19,4,200,95.1,21.4,9,22,78,,9.8,8,0.159,11,0.273,3,44.6,33,0.477,12.9,12,58,0.431,25,0.0,0,"November 21, 2017",71.0,22,19.0,11,95.1,78.6,33,0.661,56,0.554,31,0.464,26,0.5,13,3,200,106.1,25.0,8,25,87,,4.9,4,0.464,26,0.462,12,55.4,41,0.636,21.1,18,30,0.633,19,0.4,2,"Moore Gymnasium, Daytona Beach, Florida",GRAMBLING,Grambling,81.6,Home,BETHUNE-COOKMAN,Bethune-Cookman,Grambling,swac
2017-11-25-20-texas-pan-american,59.1,13,7.9,3,93.8,64.7,22,0.472,54,0.407,22,0.778,42,0.738,31,4,200,101.2,20.0,6,20,82,,17.3,14,0.278,15,0.467,7,43.8,28,0.554,17.1,15,39,0.385,15,0.2,1,"November 25, 2017",55.6,15,15.4,6,101.2,80.0,24,0.492,62,0.435,27,0.323,20,0.75,15,4,200,93.8,35.3,12,28,76,,9.9,8,0.387,24,0.292,7,56.3,36,0.531,22.0,20,38,0.526,20,0.429,3,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,81.2,Away,GRAMBLING,Grambling,Grambling,swac
2017-11-27-20-north-texas,42.9,12,6.1,2,115.5,65.2,15,0.516,61,0.459,28,0.246,15,0.933,14,5,200,108.5,40.7,11,20,77,,14.1,10,0.262,16,0.438,7,52.0,26,0.565,17.2,14,45,0.467,21,0.167,1,"November 27, 2017",46.7,14,11.1,5,108.5,59.3,16,0.635,52,0.577,30,0.385,20,0.8,16,3,200,115.5,34.8,8,16,82,,4.2,3,0.365,19,0.316,6,48.0,24,0.667,21.9,17,33,0.727,24,0.571,4,"UNT Coliseum, Denton, Texas",GRAMBLING,Grambling,70.8,Home,NORTH-TEXAS,North Texas,Grambling,swac
2017-12-01-19-georgia-tech,62.5,15,7.4,2,92.6,75.7,28,0.5,54,0.444,24,0.222,12,0.667,8,5,200,94.1,27.6,8,21,64,,8.8,6,0.259,14,0.429,6,54.5,36,0.536,21.3,16,40,0.45,18,0.286,2,"December 1, 2017",81.0,17,20.0,8,94.1,72.4,21,0.481,54,0.389,21,0.407,22,0.5,11,2,200,92.6,24.3,9,17,63,,8.8,6,0.5,27,0.37,10,45.5,30,0.489,17.0,13,27,0.407,11,0.667,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,68.1,Away,GRAMBLING,Grambling,Grambling,swac
2017-12-04-20-grambling,22.9,8,2.2,1,127.6,68.8,22,0.536,70,0.5,35,0.386,27,0.741,20,0,200,109.2,29.7,11,29,95,,8.0,7,0.2,14,0.357,5,47.8,33,0.573,16.3,16,56,0.536,30,0.0,0,"December 4, 2017",47.2,17,12.5,7,109.2,70.3,26,0.608,65,0.554,36,0.631,41,0.78,32,5,200,127.6,31.3,10,25,111,,10.3,9,0.292,19,0.368,7,52.2,36,0.657,11.7,11,46,0.63,29,0.375,3,"Assembly Center, Grambling, Louisiana","Tougaloo
			","Tougaloo
			",86.7,Home,GRAMBLING,Grambling,Grambling,swac
2017-12-09-21-grand-canyon,47.4,9,6.5,2,124.3,70.0,21,0.377,53,0.358,19,0.358,19,0.684,13,6,200,75.7,36.1,13,19,53,,14.3,10,0.226,12,0.167,2,51.5,34,0.427,25.5,21,41,0.415,17,0.333,3,"December 9, 2017",71.9,23,7.3,3,75.7,63.9,23,0.647,58,0.552,32,0.328,19,0.632,12,2,200,124.3,30.0,9,19,87,,12.9,9,0.466,27,0.407,11,48.5,32,0.649,15.3,12,31,0.677,21,0.75,6,"Grand Canyon University Arena, Phoenix, Arizona",GRAMBLING,Grambling,70.0,Home,GRAND-CANYON,Grand Canyon,Grambling,swac
2017-12-12-20-louisiana-monroe,57.9,11,14.3,3,98.3,77.8,21,0.477,44,0.432,19,0.477,21,0.714,15,7,200,95.0,30.0,6,16,57,,10.0,6,0.409,18,0.222,4,57.4,27,0.528,18.4,12,26,0.577,15,0.3,3,"December 12, 2017",55.0,11,3.8,1,95.0,70.0,14,0.5,47,0.426,20,0.319,15,0.8,12,5,200,98.3,22.2,6,22,59,,11.7,7,0.553,26,0.269,7,42.6,20,0.545,18.3,12,21,0.619,13,0.444,4,"Fant-Ewing Coliseum, Monroe, Louisiana",GRAMBLING,Grambling,60.1,Home,LOUISIANA-MONROE,Louisiana-Monroe,Grambling,swac
