,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-providence,35.0,7,6.8,3,110.5,68.6,24,0.349,63,0.317,20,0.254,16,0.688,11,1,200,72.4,28.2,11,19,55,,10.5,8,0.349,22,0.182,4,47.3,35,0.39,20.4,18,41,0.39,16,0.0,0,"November 10, 2017",54.8,17,9.8,4,72.4,71.8,28,0.565,62,0.5,31,0.355,22,0.636,14,0,200,110.5,31.4,11,17,84,,14.5,11,0.29,18,0.444,8,52.7,39,0.58,14.3,12,44,0.523,23,1.0,1,"Alumni Hall (RI), Providence, Rhode Island",HOUSTON-BAPTIST,Houston Baptist,75.5,Home,PROVIDENCE,Providence,Houston Baptist,southland
2017-11-14-20-houston-baptist,41.7,10,8.2,5,133.3,37.5,12,0.452,63,0.381,24,0.19,12,0.833,10,0,200,82.7,19.4,7,13,67,,9.9,8,0.413,26,0.346,9,27.9,19,0.488,20.9,18,37,0.405,15,0.0,0,"November 14, 2017",54.5,24,13.5,5,82.7,80.6,29,0.572,83,0.53,44,0.217,18,0.722,13,1,200,133.3,62.5,20,14,108,,11.1,9,0.265,22,0.318,7,72.1,49,0.59,10.8,11,61,0.607,37,0.5,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Arlington Baptist
			","Arlington Baptist
			",81.1,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2017-11-18-16-belmont,63.3,19,15.8,3,113.4,74.2,23,0.493,73,0.411,30,0.342,25,0.64,16,2,200,107.3,27.3,12,25,88,,9.8,8,0.342,25,0.48,12,46.7,35,0.518,9.7,9,48,0.375,18,0.333,1,"November 18, 2017",70.4,19,0.0,0,107.3,72.7,32,0.556,62,0.435,27,0.468,29,0.828,24,1,200,113.4,25.8,8,18,93,,4.9,4,0.694,43,0.349,15,53.3,40,0.614,15.8,14,19,0.632,12,0.75,3,"Curb Event Center, Nashville, Tennessee",HOUSTON-BAPTIST,Houston Baptist,81.8,Home,BELMONT,Belmont,Houston Baptist,southland
2017-11-19-16-detroit-mercy,51.4,18,2.5,1,118.4,72.1,31,0.5,77,0.455,35,0.623,48,0.667,32,3,225,111.2,30.6,15,25,109,,5.1,5,0.312,24,0.292,7,50.0,46,0.546,11.7,13,53,0.528,28,0.25,1,"November 19, 2017",55.0,22,3.8,2,111.2,69.4,34,0.554,83,0.482,40,0.361,30,0.8,24,2,225,118.4,27.9,12,33,116,,6.1,6,0.518,43,0.279,12,50.0,46,0.596,11.1,12,40,0.7,28,0.5,2,"Curb Event Center, Nashville, Tennessee",HOUSTON-BAPTIST,Houston Baptist,86.7,Home,DETROIT-MERCY,Detroit,Houston Baptist,southland
2017-11-21-19-virginia-tech,48.3,14,0.0,0,133.8,77.8,14,0.5,65,0.446,29,0.262,17,0.471,8,4,200,98.6,29.7,11,18,73,,4.1,3,0.292,19,0.368,7,45.5,25,0.499,15.2,13,46,0.478,22,0.2,1,"November 21, 2017",65.6,21,13.0,6,98.6,70.3,26,0.8,50,0.64,32,0.46,23,0.826,19,1,200,133.8,22.2,4,12,99,,6.8,5,0.52,26,0.615,16,54.5,30,0.812,20.0,15,24,0.667,16,0.8,4,"Cassell Coliseum, Blacksburg, Virginia",HOUSTON-BAPTIST,Houston Baptist,73.5,Home,VIRGINIA-TECH,Virginia Tech,Houston Baptist,southland
2017-11-26-15-oklahoma-state,42.3,11,7.5,3,120.2,65.5,19,0.447,66,0.394,26,0.364,24,0.625,15,5,200,88.1,24.4,10,23,74,,9.5,8,0.318,21,0.333,7,41.4,29,0.478,16.4,15,45,0.422,19,0.167,1,"November 26, 2017",86.7,26,17.8,8,88.1,75.6,31,0.565,62,0.484,30,0.532,33,0.939,31,1,200,120.2,34.5,10,23,101,,6.0,5,0.355,22,0.455,10,58.6,41,0.65,18.2,17,40,0.5,20,0.833,5,"Gallagher-Iba Arena, Stillwater, Oklahoma",HOUSTON-BAPTIST,Houston Baptist,83.5,Home,OKLAHOMA-STATE,Oklahoma State,Houston Baptist,southland
2017-11-28-20-houston-baptist,60.0,15,3.6,2,126.3,55.2,16,0.533,61,0.41,25,0.033,2,0.5,1,0,200,86.8,22.2,6,16,66,,7.9,6,0.607,37,0.405,15,39.3,22,0.533,24.4,20,24,0.417,10,0.0,0,"November 28, 2017",66.7,28,20.8,5,86.8,77.8,21,0.629,70,0.6,42,0.171,12,0.667,8,5,200,126.3,44.8,13,10,96,,14.5,11,0.214,15,0.267,4,60.7,34,0.634,14.7,13,55,0.691,38,0.286,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Dallas Christian
			","Dallas Christian
			",75.8,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2017-12-02-20-houston-baptist,22.2,4,2.7,1,106.0,56.5,13,0.322,59,0.305,18,0.322,19,0.737,14,4,200,77.6,28.9,11,15,52,,4.5,3,0.339,20,0.1,2,39.3,24,0.382,14.0,11,39,0.41,16,0.5,4,"December 2, 2017",53.6,15,12.8,5,77.6,71.1,27,0.588,51,0.549,28,0.255,13,0.846,11,5,200,106.0,43.5,10,18,71,,7.5,5,0.275,14,0.286,4,60.7,37,0.621,24.1,18,37,0.649,24,0.375,3,"Frank and Lucille Sharp Gymnasium, Houston, Texas",TEXAS-STATE,Texas State,66.6,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2017-12-06-19-saint-peters,65.4,17,17.2,5,120.6,66.7,16,0.454,65,0.4,26,0.292,19,0.789,15,6,200,117.5,50.0,19,17,74,,7.9,5,0.292,19,0.368,7,56.5,35,0.5,10.9,9,46,0.413,19,0.333,3,"December 6, 2017",56.0,14,13.0,6,117.5,50.0,19,0.6,50,0.5,25,0.34,17,0.941,16,4,200,120.6,33.3,8,15,76,,3.2,2,0.42,21,0.476,10,43.5,27,0.654,16.1,11,29,0.517,15,0.5,4,"Yanitelli Center, Jersey City, New Jersey",HOUSTON-BAPTIST,Houston Baptist,62.6,Home,SAINT-PETERS,St. Peter's,Houston Baptist,southland
2017-12-09-20-texas-san-antonio,44.0,11,0.0,0,110.1,78.0,32,0.452,62,0.403,25,0.435,27,0.556,15,7,200,89.9,27.5,11,20,71,,3.8,3,0.306,19,0.316,6,53.1,43,0.474,15.0,13,43,0.442,19,0.3,3,"December 9, 2017",61.5,16,4.7,2,89.9,72.5,29,0.484,64,0.406,26,0.5,32,0.781,25,5,200,110.1,22.0,9,22,87,,8.9,7,0.422,27,0.37,10,46.9,38,0.549,11.4,10,37,0.432,16,0.545,6,"Convocation Center, San Antonio, Texas",HOUSTON-BAPTIST,Houston Baptist,78.5,Home,TEXAS-SAN-ANTONIO,UTSA,Houston Baptist,southland
2017-12-15-20-houston-baptist,45.8,11,9.7,6,111.1,48.8,21,0.431,65,0.369,24,0.2,13,0.692,9,0,200,72.2,5.4,2,25,65,,10.0,9,0.338,22,0.364,8,28.8,23,0.457,21.2,19,43,0.372,16,0.0,0,"December 15, 2017",62.2,23,20.9,9,72.2,94.6,35,0.476,83,0.446,37,0.41,34,0.618,21,7,200,111.1,51.2,22,16,100,,8.9,8,0.253,21,0.238,5,71.3,57,0.504,13.3,15,62,0.516,32,0.364,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas","Barclay
			","Barclay
			",90.2,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2017-12-18-18-michigan-state,42.9,9,5.6,2,139.0,60.0,15,0.311,74,0.284,21,0.311,23,0.696,16,8,200,80.5,38.5,20,29,62,,9.1,7,0.257,19,0.211,4,45.5,35,0.365,13.4,13,55,0.309,17,0.333,4,"December 18, 2017",83.3,30,29.1,16,80.5,61.5,32,0.732,56,0.643,36,0.589,33,0.758,25,1,200,139.0,40.0,10,22,107,2,5.2,4,0.357,20,0.5,10,54.5,42,0.746,16.6,14,36,0.722,26,0.917,11,"Breslin Events Center, East Lansing, Michigan",HOUSTON-BAPTIST,Houston Baptist,76.8,Home,MICHIGAN-STATE,Michigan State,Houston Baptist,southland
2017-12-20-19-vanderbilt,31.3,5,10.7,3,111.0,69.0,20,0.27,61,0.262,16,0.426,26,0.577,15,9,200,65.8,31.1,14,18,48,,8.2,6,0.295,18,0.056,1,45.9,34,0.327,15.2,13,43,0.349,15,0.308,4,"December 20, 2017",76.9,20,18.6,8,65.8,68.9,31,0.552,58,0.448,26,0.397,23,0.739,17,7,200,111.0,31.0,9,23,81,,8.2,6,0.517,30,0.4,12,54.1,40,0.588,17.0,14,28,0.5,14,0.364,4,"Memorial Gymnasium, Nashville, Tennessee",HOUSTON-BAPTIST,Houston Baptist,73.1,Home,VANDERBILT,Vanderbilt,Houston Baptist,southland
2017-12-28-20-lamar,46.2,12,8.5,4,114.7,57.6,19,0.492,61,0.426,26,0.246,15,0.533,8,10,200,90.7,35.3,12,15,68,,13.3,10,0.344,21,0.381,8,46.3,31,0.499,21.0,18,40,0.45,18,0.286,4,"December 28, 2017",66.7,22,12.5,5,90.7,64.7,22,0.574,68,0.485,33,0.176,12,0.667,8,5,200,114.7,42.4,14,19,86,,16.0,12,0.309,21,0.571,12,53.7,36,0.583,18.8,17,47,0.447,21,0.643,9,"Montagne Center, Beaumont, Texas",HOUSTON-BAPTIST,Houston Baptist,75.4,Home,LAMAR,Lamar,Houston Baptist,southland
2017-12-30-20-houston-baptist,52.2,12,25.6,10,79.2,67.6,25,0.472,53,0.434,23,0.34,18,0.778,14,8,200,88.9,36.4,12,21,64,,8.3,6,0.189,10,0.4,4,52.9,37,0.52,24.7,20,43,0.442,19,0.385,5,"December 30, 2017",47.6,10,9.3,4,88.9,63.6,21,0.422,58,0.362,21,0.31,18,0.444,8,11,200,79.2,32.4,12,23,57,,12.5,9,0.328,19,0.368,7,47.1,33,0.428,23.3,20,39,0.359,14,0.267,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,72.1,Away,NEW-ORLEANS,New Orleans,Houston Baptist,southland
2018-01-06-20-houston-baptist,41.7,10,14.0,6,102.9,51.3,20,0.564,47,0.511,24,0.574,27,0.704,19,8,200,104.3,40.0,10,30,72,,7.2,5,0.277,13,0.385,5,46.9,30,0.602,22.4,17,34,0.559,19,0.529,9,"January 6, 2018",38.1,8,2.9,1,104.3,60.0,15,0.398,59,0.356,21,0.61,36,0.667,24,12,200,102.9,48.7,19,23,71,,7.2,5,0.271,16,0.313,5,53.1,34,0.466,15.8,14,43,0.372,16,0.25,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,69.0,Away,NICHOLLS-STATE,Nicholls State,Houston Baptist,southland
2018-01-10-20-houston-baptist,60.0,18,20.6,7,101.4,62.1,18,0.6,55,0.545,30,0.4,22,0.727,16,7,200,112.3,11.5,3,24,82,,9.6,7,0.345,19,0.316,6,38.2,21,0.626,13.4,10,36,0.667,24,0.611,11,"January 10, 2018",52.0,13,0.0,0,112.3,88.5,23,0.517,58,0.431,25,0.397,23,0.609,14,13,200,101.4,37.9,11,20,74,,4.1,3,0.414,24,0.417,10,61.8,34,0.537,19.0,16,34,0.441,15,0.235,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,73.2,Away,ABILENE-CHRISTIAN,Abilene Christian,Houston Baptist,southland
2018-01-13-19-sam-houston-state,68.0,17,5.7,2,106.6,70.3,26,0.484,62,0.403,25,0.323,20,0.4,8,14,200,89.5,20.9,9,22,68,,6.6,5,0.435,27,0.37,10,43.8,35,0.476,16.5,14,35,0.429,15,0.222,4,"January 13, 2018",50.0,12,17.1,6,89.5,79.1,34,0.517,58,0.414,24,0.466,27,0.778,21,8,200,106.6,29.7,11,20,81,,6.6,5,0.397,23,0.522,12,56.3,45,0.572,17.7,15,35,0.343,12,0.556,10,"Johnson Coliseum, Huntsville, Texas",HOUSTON-BAPTIST,Houston Baptist,75.7,Home,SAM-HOUSTON-STATE,Sam Houston State,Houston Baptist,southland
2018-01-17-20-southeastern-louisiana,44.0,11,5.4,2,110.4,58.6,17,0.468,62,0.403,25,0.258,16,0.688,11,15,200,89.6,33.3,11,21,69,,7.8,6,0.403,25,0.32,8,45.2,28,0.496,23.3,21,37,0.459,17,0.211,4,"January 17, 2018",58.1,18,8.1,3,89.6,66.7,22,0.612,58,0.534,31,0.362,21,0.667,14,8,200,110.4,41.4,12,19,85,,9.1,7,0.362,21,0.429,9,54.8,34,0.625,21.1,18,37,0.595,22,0.579,11,"University Center, Hammond, Louisiana",HOUSTON-BAPTIST,Houston Baptist,76.8,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Houston Baptist,southland
2018-01-20-20-houston-baptist,30.0,9,11.8,4,105.2,68.2,30,0.531,64,0.469,30,0.438,28,0.643,18,10,200,111.7,29.7,11,22,86,,6.5,5,0.313,20,0.4,8,50.6,41,0.556,10.5,9,44,0.5,22,0.444,8,"January 20, 2018",44.4,12,6.8,3,111.7,70.3,26,0.471,69,0.391,27,0.406,28,0.571,16,16,200,105.2,31.8,14,23,81,,6.5,5,0.507,35,0.314,11,49.4,40,0.492,11.9,11,34,0.471,16,0.2,4,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,77.3,Away,MCNEESE-STATE,McNeese State,Houston Baptist,southland
2018-01-24-20-houston-baptist,45.2,14,12.7,7,124.4,65.9,27,0.548,62,0.5,31,0.387,24,0.75,18,13,200,104.9,28.1,9,22,86,,1.2,1,0.242,15,0.4,6,49.3,36,0.586,16.2,14,47,0.532,25,0.278,5,"January 24, 2018",47.4,18,10.6,5,104.9,71.9,23,0.55,80,0.475,38,0.288,23,0.609,14,16,200,124.4,34.1,14,18,102,,7.3,6,0.313,25,0.48,12,50.7,37,0.561,8.2,8,55,0.473,26,0.238,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",INCARNATE-WORD,Incarnate Word,81.7,Home,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2018-01-27-20-texas-am-corpus-christi,56.0,14,0.0,0,106.8,71.4,25,0.461,64,0.391,25,0.25,16,0.625,10,17,225,93.2,26.8,11,20,69,,9.5,7,0.438,28,0.321,9,47.4,36,0.482,15.5,13,36,0.444,16,0.227,5,"January 27, 2018",53.3,16,13.9,5,93.2,73.2,30,0.533,61,0.492,30,0.361,22,0.636,14,12,225,106.8,28.6,10,18,79,,12.2,9,0.23,14,0.357,5,52.6,40,0.553,14.5,12,47,0.532,25,0.333,6,"American Bank Center, Corpus Christi, Texas",HOUSTON-BAPTIST,Houston Baptist,65.4,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Houston Baptist,southland
2018-01-31-20-stephen-f-austin,62.5,15,9.5,4,115.9,64.3,18,0.492,59,0.407,24,0.61,36,0.667,24,18,200,93.2,32.4,12,18,82,,17.0,15,0.441,26,0.385,10,46.2,30,0.539,23.5,23,33,0.424,14,0.217,5,"January 31, 2018",64.9,24,15.2,5,93.2,67.6,25,0.652,66,0.561,37,0.303,20,0.8,16,4,200,115.9,35.7,10,27,102,,11.4,10,0.364,24,0.5,12,53.8,35,0.675,24.3,24,42,0.595,25,0.818,18,"William Johnson Coliseum, Nacogdoches, Texas",HOUSTON-BAPTIST,Houston Baptist,88.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Houston Baptist,southland
2018-02-07-20-houston-baptist,58.3,21,24.1,13,93.0,79.1,34,0.625,64,0.563,36,0.359,23,0.87,20,12,200,116.3,21.7,5,17,100,,4.7,4,0.297,19,0.421,8,59.1,39,0.667,16.8,15,45,0.622,28,0.52,13,"February 7, 2018",32.3,10,6.7,3,116.3,78.3,18,0.431,80,0.388,31,0.263,21,0.524,11,19,200,93.0,20.9,9,17,80,,9.3,8,0.325,26,0.269,7,40.9,27,0.445,7.3,7,54,0.444,24,0.208,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,86.5,Away,CENTRAL-ARKANSAS,Central Arkansas,Houston Baptist,southland
2018-02-10-16-nicholls-state,23.1,6,7.7,3,127.0,77.8,21,0.444,63,0.413,26,0.254,16,0.688,11,20,200,90.5,31.4,11,17,67,,4.1,3,0.27,17,0.235,4,51.6,32,0.475,18.6,16,46,0.478,22,0.2,5,"February 10, 2018",50.0,18,8.7,4,90.5,68.6,24,0.651,63,0.571,36,0.238,15,0.8,12,9,200,127.0,22.2,6,18,94,,16.2,12,0.381,24,0.417,10,48.4,30,0.67,11.5,9,39,0.667,26,0.64,16,"David Stopher Gymnasium, Thibodaux, Louisiana",HOUSTON-BAPTIST,Houston Baptist,74.4,Home,NICHOLLS-STATE,Nicholls State,Houston Baptist,southland
2018-02-14-19-northwestern-state,65.5,19,2.4,1,90.9,78.1,25,0.493,67,0.433,29,0.343,23,0.478,11,20,200,100.0,31.4,11,12,77,,10.4,8,0.343,23,0.348,8,53.7,36,0.494,12.5,11,44,0.477,21,0.231,6,"February 14, 2018",63.3,19,13.6,6,100.0,68.6,24,0.557,61,0.492,30,0.164,10,0.2,2,22,200,90.9,21.9,7,19,70,,9.1,7,0.311,19,0.421,8,46.3,31,0.532,20.6,17,42,0.524,22,0.12,3,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,76.8,Away,HOUSTON-BAPTIST,Houston Baptist,Houston Baptist,southland
2018-02-17-20-houston-baptist,61.3,19,4.9,2,101.3,68.6,24,0.548,63,0.492,31,0.365,23,0.739,17,11,200,111.7,26.5,9,22,86,,2.6,2,0.349,22,0.318,7,47.8,33,0.582,16.1,14,41,0.585,24,0.607,17,"February 17, 2018",42.3,11,9.8,4,111.7,73.5,25,0.46,63,0.413,26,0.397,25,0.8,20,21,200,101.3,31.4,11,23,78,,5.2,4,0.349,22,0.273,6,52.2,36,0.521,14.0,12,41,0.488,20,0.222,6,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,77.4,Away,SAM-HOUSTON-STATE,Sam Houston State,Houston Baptist,southland
2018-02-21-20-houston-baptist,56.7,17,10.9,5,92.4,70.0,28,0.522,67,0.448,30,0.284,19,0.895,17,11,200,110.1,28.6,10,16,87,,13.9,11,0.328,22,0.455,10,50.7,38,0.572,15.7,14,45,0.444,20,0.621,18,"February 21, 2018",55.2,16,15.6,7,110.1,71.4,25,0.478,67,0.433,29,0.254,17,0.529,9,22,200,92.4,30.0,12,17,73,,8.9,7,0.313,21,0.286,6,49.3,37,0.486,16.8,15,46,0.5,23,0.214,6,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,79.1,Away,LAMAR,Lamar,Houston Baptist,southland
