,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-22-arizona-state,65.4,17,5.7,2,122.1,63.3,19,0.517,59,0.441,26,0.373,22,0.591,13,1,200,96.1,20.6,7,20,74,,7.8,6,0.407,24,0.375,9,40.6,26,0.533,16.9,14,35,0.486,17,0.0,0,"November 10, 2017",64.7,22,14.3,5,96.1,79.4,27,0.592,65,0.523,34,0.4,26,0.654,17,0,200,122.1,36.7,11,18,94,,3.9,3,0.462,30,0.3,9,59.4,38,0.608,12.6,11,35,0.714,25,1.0,1,"Wells Fargo Arena, Tempe, Arizona",IDAHO-STATE,Idaho State,76.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-11-14-21-arizona-state,72.0,18,5.6,2,115.4,76.5,26,0.439,66,0.379,25,0.212,14,0.714,10,1,200,87.2,21.4,9,20,68,,5.1,4,0.318,21,0.381,8,46.1,35,0.468,17.2,15,45,0.378,17,0.5,1,"November 14, 2017",58.1,18,11.1,5,87.2,78.6,33,0.574,61,0.508,31,0.41,25,0.8,20,0,200,115.4,23.5,8,17,90,,11.5,9,0.41,25,0.32,8,53.9,41,0.617,14.3,12,36,0.639,23,1.0,2,"Wells Fargo Arena, Tempe, Arizona",SAN-DIEGO-STATE,San Diego State,77.8,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-11-17-20-arizona-state,63.2,12,13.5,5,118.3,76.5,26,0.375,60,0.317,19,0.367,22,0.773,17,3,200,75.6,27.0,10,26,62,,4.9,4,0.483,29,0.241,7,50.7,36,0.44,25.6,24,31,0.387,12,0.0,0,"November 17, 2017",72.7,24,16.1,5,75.6,73.0,27,0.611,63,0.524,33,0.444,28,0.714,20,0,200,118.3,23.5,8,19,97,,14.6,12,0.413,26,0.423,11,49.3,35,0.636,12.7,11,37,0.595,22,1.0,3,"Wells Fargo Arena, Tempe, Arizona",NORTHERN-ARIZONA,Northern Arizona,81.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-11-19-14-arizona-state,75.0,21,7.7,2,135.6,78.3,18,0.557,61,0.459,28,0.262,16,0.625,10,3,200,106.8,40.6,13,28,78,,9.6,7,0.41,25,0.48,12,56.4,31,0.569,21.8,19,36,0.444,16,0.4,2,"November 19, 2017",56.7,17,5.6,2,106.8,59.4,19,0.755,49,0.612,30,0.776,38,0.658,25,0,200,135.6,21.7,5,17,99,,8.2,6,0.469,23,0.609,14,43.6,24,0.738,13.2,10,26,0.615,16,1.0,4,"Wells Fargo Arena, Tempe, Arizona",CALIFORNIA-IRVINE,UC-Irvine,73.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-11-23-19-arizona-state,47.1,16,6.3,2,131.4,50.0,13,0.703,59,0.576,34,0.153,9,0.778,7,1,200,128.6,45.5,10,32,90,,7.1,5,0.542,32,0.469,15,47.9,23,0.711,20.3,16,27,0.704,19,0.8,4,"November 23, 2017",48.1,13,0.0,0,128.6,54.5,12,0.63,50,0.54,27,0.88,44,0.659,29,0,200,131.4,50.0,13,18,92,,8.6,6,0.36,18,0.5,9,52.1,25,0.649,14.7,12,32,0.563,18,1.0,5,"Orleans Arena, Paradise, Nevada",KANSAS-STATE,Kansas State,69.6,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-11-24-17-arizona-state,53.3,16,3.1,1,137.8,76.9,20,0.63,54,0.556,30,0.426,23,0.783,18,1,200,116.2,20.0,5,21,86,15,2.7,2,0.37,20,0.4,8,49.0,25,0.662,16.9,13,34,0.647,22,0.833,5,"November 24, 2017",33.3,11,2.9,1,116.2,80.0,20,0.669,59,0.559,33,0.424,25,0.92,23,0,200,137.8,23.1,6,20,102,,12.2,9,0.458,27,0.481,13,51.0,26,0.72,12.5,10,32,0.625,20,1.0,6,"Orleans Arena, Paradise, Nevada",XAVIER,Xavier,73.9,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-12-02-21-arizona-state,66.7,12,10.8,4,108.7,58.1,18,0.373,63,0.286,18,0.222,14,0.714,10,3,200,82.6,30.2,13,30,57,,8.7,6,0.635,40,0.275,11,41.9,31,0.409,16.8,14,23,0.304,7,0.5,3,"December 2, 2017",43.5,10,17.4,4,82.6,69.8,30,0.5,50,0.46,23,0.72,36,0.694,25,0,200,108.7,41.9,13,16,75,20,8.7,6,0.26,13,0.308,4,58.1,43,0.559,17.5,14,37,0.514,19,1.0,7,"Wells Fargo Arena, Tempe, Arizona",SAN-FRANCISCO,San Francisco,69.4,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-12-08-20-arizona-state,52.0,13,18.8,6,110.8,84.6,22,0.445,64,0.391,25,0.344,22,0.591,13,2,200,94.6,31.0,13,27,70,,6.8,5,0.375,24,0.292,7,51.5,35,0.47,13.0,11,40,0.45,18,0.8,8,"December 8, 2017",64.0,16,0.0,0,94.6,69.0,29,0.536,55,0.455,25,0.491,27,0.852,23,0,200,110.8,15.4,4,18,82,16,1.4,1,0.418,23,0.391,9,48.5,33,0.604,15.2,12,32,0.5,16,1.0,8,"Staples Center, Los Angeles, California",ST-JOHNS-NY,St. John's (NY),74.1,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-12-10-14-kansas,51.5,17,10.3,3,106.3,74.2,23,0.615,65,0.508,33,0.308,20,0.75,15,0,200,118.8,10.3,3,13,95,16,11.3,9,0.431,28,0.5,14,43.3,26,0.638,10.9,9,37,0.514,19,1.0,9,"December 10, 2017",59.4,19,13.5,5,118.8,89.7,26,0.582,67,0.478,32,0.134,9,0.778,7,2,200,106.3,25.8,8,16,85,2,7.5,6,0.567,38,0.368,14,56.7,34,0.596,18.4,16,29,0.621,18,0.778,7,"Allen Fieldhouse, Lawrence, Kansas",KANSAS,Kansas,79.9,Away,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-12-17-14-arizona-state,43.5,10,5.9,2,100.0,57.6,19,0.368,68,0.338,23,0.279,19,0.737,14,7,200,84.2,26.3,10,22,64,,9.2,7,0.456,31,0.129,4,40.8,29,0.415,12.6,11,37,0.514,19,0.3,3,"December 17, 2017",28.0,7,13.5,5,84.2,73.7,28,0.482,57,0.439,25,0.491,28,0.75,21,0,200,100.0,42.4,14,20,76,5,5.3,4,0.404,23,0.217,5,59.2,42,0.541,19.7,17,34,0.588,20,1.0,10,"Wells Fargo Arena, Tempe, Arizona",VANDERBILT,Vanderbilt,75.7,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
2017-12-19-21-arizona-state,52.4,11,8.6,3,114.5,65.8,25,0.447,57,0.368,21,0.351,20,0.5,10,9,200,73.5,27.0,10,25,61,,8.4,7,0.368,21,0.429,9,46.7,35,0.459,28.3,26,36,0.333,12,0.25,3,"December 19, 2017",71.0,22,8.3,3,73.5,73.0,27,0.522,69,0.449,31,0.522,36,0.639,23,0,200,114.5,34.2,13,16,95,3,15.7,13,0.493,34,0.294,10,53.3,40,0.552,11.5,11,35,0.6,21,1.0,11,"Wells Fargo Arena, Tempe, Arizona",LONGWOOD,Longwood,83.3,Home,ARIZONA-STATE,Arizona State,Arizona State,pac-12
