,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-missouri,45.8,11,3.6,1,105.7,66.7,14,0.443,61,0.393,24,0.18,11,0.455,5,1,200,84.3,18.9,7,13,59,,10.0,7,0.311,19,0.316,6,36.2,21,0.445,16.5,13,42,0.429,18,0.0,0,"November 10, 2017",63.0,17,9.5,4,84.3,81.1,30,0.627,51,0.529,27,0.255,13,0.769,10,0,200,105.7,33.3,7,18,74,,11.4,8,0.451,23,0.435,10,63.8,37,0.647,23.1,17,28,0.607,17,1.0,1,"Mizzou Arena, Columbia, Missouri",IOWA-STATE,Iowa State,69.7,Home,MISSOURI,Missouri,Iowa State,big-12
2017-11-13-20-iowa-state,62.5,15,0.0,0,82.4,80.0,24,0.55,50,0.48,24,0.56,28,0.679,19,0,200,108.8,17.9,5,24,74,,16.2,11,0.38,19,0.368,7,50.0,29,0.585,13.8,10,31,0.548,17,1.0,2,"November 13, 2017",31.3,5,6.5,2,108.8,82.1,23,0.417,42,0.381,16,0.667,28,0.75,21,2,200,82.4,20.0,6,24,56,,4.4,3,0.357,15,0.2,3,50.0,29,0.506,24.9,18,27,0.481,13,0.0,0,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,67.8,Away,MILWAUKEE,Milwaukee,Iowa State,big-12
2017-11-16-17-appalachian-state,45.5,15,13.8,4,114.0,77.8,28,0.594,64,0.516,33,0.547,35,0.8,28,2,200,120.9,26.7,8,30,104,,4.7,4,0.359,23,0.435,10,54.5,36,0.645,12.2,11,41,0.561,23,0.333,1,"November 16, 2017",74.1,20,9.8,4,120.9,73.3,22,0.5,69,0.391,27,0.58,40,0.725,29,1,200,114.0,22.2,8,25,98,,5.8,5,0.58,40,0.375,15,45.5,30,0.557,8.5,8,29,0.414,12,0.667,2,"The HTC Center, Conway, South Carolina",APPALACHIAN-STATE,Appalachian State,85.8,Away,IOWA-STATE,Iowa State,Iowa State,big-12
2017-11-17-19-tulsa,51.9,14,12.8,5,108.3,80.0,20,0.541,61,0.443,27,0.328,20,0.7,14,2,200,111.1,32.3,10,19,80,,6.9,5,0.459,28,0.429,12,53.6,30,0.567,14.7,12,33,0.455,15,0.5,2,"November 17, 2017",37.9,11,15.2,5,111.1,67.7,21,0.579,57,0.509,29,0.333,19,0.632,12,2,200,108.3,20.0,5,17,78,,6.9,5,0.316,18,0.444,8,46.4,26,0.591,14.4,11,39,0.538,21,0.5,2,"The HTC Center, Conway, South Carolina",TULSA,Tulsa,72.3,Away,IOWA-STATE,Iowa State,Iowa State,big-12
2017-11-19-19-iowa-state,36.0,9,6.7,3,108.7,75.0,21,0.492,62,0.403,25,0.097,6,0.5,3,1,200,92.8,18.4,7,17,64,,8.7,6,0.484,30,0.367,11,42.4,28,0.493,13.4,10,32,0.438,14,0.8,4,"November 19, 2017",46.7,14,6.3,2,92.8,81.6,31,0.516,63,0.476,30,0.206,13,0.769,10,2,200,108.7,25.0,7,8,75,,7.2,5,0.286,18,0.278,5,57.6,38,0.542,9.2,7,45,0.556,25,0.6,3,"The HTC Center, Conway, South Carolina",BOISE-STATE,Boise State,68.5,Home,IOWA-STATE,Iowa State,Iowa State,big-12
2017-11-25-20-iowa-state,63.2,12,8.6,3,100.0,73.7,28,0.371,58,0.328,19,0.034,2,1.0,2,1,200,64.3,8.6,3,12,45,,4.3,3,0.431,25,0.2,5,42.5,31,0.382,18.1,13,33,0.424,14,0.8,4,"November 25, 2017",60.7,17,0.0,0,64.3,91.4,32,0.508,65,0.431,28,0.138,9,0.444,4,2,200,100.0,26.3,10,9,70,,11.4,8,0.462,30,0.333,10,57.5,42,0.505,14.8,12,35,0.514,18,0.667,4,"James H. Hilton Coliseum , Ames, Iowa",WESTERN-ILLINOIS,Western Illinois,70.1,Home,IOWA-STATE,Iowa State,Iowa State,big-12
2017-12-04-21-iowa-state,27.3,9,10.0,4,123.7,77.1,27,0.545,67,0.493,33,0.194,13,0.538,7,4,200,105.3,18.8,6,19,80,,7.9,6,0.239,16,0.438,7,49.3,33,0.547,13.1,11,51,0.51,26,0.556,5,"December 4, 2017",64.7,22,21.6,11,105.3,81.3,26,0.621,66,0.515,34,0.242,16,0.75,12,2,200,123.7,22.9,8,14,94,,9.2,7,0.394,26,0.538,14,50.7,34,0.639,9.9,8,40,0.5,20,0.714,5,"James H. Hilton Coliseum , Ames, Iowa",NORTHERN-ILLINOIS,Northern Illinois,75.9,Home,IOWA-STATE,Iowa State,Iowa State,big-12
2017-12-07-20-iowa-state,69.7,23,7.9,3,110.5,84.2,32,0.52,74,0.446,33,0.108,8,0.125,1,6,200,102.6,45.5,20,19,78,,2.6,2,0.486,36,0.306,11,63.4,52,0.501,18.0,17,38,0.579,22,0.4,4,"December 7, 2017",53.3,16,2.6,1,102.6,54.5,24,0.531,65,0.462,30,0.308,20,0.75,15,2,200,110.5,15.8,6,13,84,,11.8,9,0.415,27,0.333,9,36.6,30,0.564,9.8,8,38,0.553,21,0.75,6,"James H. Hilton Coliseum , Ames, Iowa",IOWA,Iowa,75.7,Home,IOWA-STATE,Iowa State,Iowa State,big-12
2017-12-10-18-iowa-state,43.5,10,8.3,3,123.8,43.2,16,0.482,56,0.411,23,0.143,8,0.5,4,8,200,92.1,19.4,6,19,58,,14.3,9,0.464,26,0.308,8,32.4,22,0.485,13.1,9,30,0.5,15,0.2,2,"December 10, 2017",57.7,15,16.7,5,92.1,80.6,25,0.492,64,0.406,26,0.266,17,0.882,15,2,200,123.8,56.8,21,12,78,,3.2,2,0.438,28,0.393,11,67.6,46,0.541,14.4,12,36,0.417,15,0.778,7,"James H. Hilton Coliseum , Ames, Iowa",ALCORN-STATE,Alcorn State,62.9,Home,IOWA-STATE,Iowa State,Iowa State,big-12
2017-12-16-16-iowa-state,39.1,9,0.0,0,108.6,71.9,23,0.43,64,0.359,23,0.219,14,0.714,10,3,200,92.9,23.1,9,21,65,,5.7,4,0.406,26,0.346,9,45.1,32,0.46,11.4,9,38,0.368,14,0.727,8,"December 16, 2017",36.0,9,10.5,4,92.9,76.9,30,0.491,58,0.431,25,0.414,24,0.792,19,2,200,108.6,28.1,9,16,76,,5.7,4,0.328,19,0.368,7,54.9,39,0.548,11.6,9,39,0.462,18,0.8,8,"Wells Fargo Arena, Des Moines, Iowa",NORTHERN-IOWA,Northern Iowa,70.0,Home,IOWA-STATE,Iowa State,Iowa State,big-12
