,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-17-james-madison,27.8,5,7.7,3,108.1,44.1,15,0.336,61,0.295,18,0.213,13,0.692,9,0,200,67.6,28.6,12,24,50,,17.6,13,0.41,25,0.2,5,35.5,27,0.372,19.3,16,36,0.361,13,0.0,0,"November 10, 2017",28.6,8,8.3,3,67.6,71.4,30,0.492,63,0.444,28,0.46,29,0.621,18,0,200,108.1,55.9,19,15,80,,17.6,13,0.381,24,0.25,6,64.5,49,0.521,20.9,20,39,0.564,22,1.0,1,"JMU Convocation Center, Harrisonburg, Virginia","Bridgewater (VA)
			","Bridgewater (VA)
			",74.5,Home,JAMES-MADISON,James Madison,James Madison,colonial
2017-11-13-19-james-madison,78.3,18,9.7,3,75.7,84.2,32,0.519,52,0.442,23,0.385,20,0.75,15,0,200,98.6,25.0,7,19,69,,5.7,4,0.327,17,0.471,8,59.1,39,0.561,20.8,16,35,0.429,15,1.0,2,"November 13, 2017",50.0,9,2.9,1,98.6,75.0,21,0.375,56,0.321,18,0.268,15,0.733,11,1,200,75.7,15.8,6,23,53,,10.0,7,0.446,25,0.24,6,40.9,27,0.42,16.1,12,31,0.387,12,0.5,1,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,69.8,Away,OLD-DOMINION,Old Dominion,James Madison,colonial
2017-11-17-17-james-madison,56.5,13,12.5,5,100.0,61.8,21,0.552,48,0.479,23,1.0,48,0.708,34,0,200,111.5,20.0,6,23,87,,9.0,7,0.458,22,0.318,7,42.2,27,0.614,16.8,14,26,0.615,16,1.0,3,"November 17, 2017",32.0,8,19.2,5,111.5,80.0,24,0.468,62,0.403,25,0.452,28,0.714,20,2,200,100.0,38.2,13,32,78,,10.3,8,0.355,22,0.364,8,57.8,37,0.518,16.8,15,40,0.425,17,0.333,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",JAMES-MADISON,James Madison,78.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,James Madison,colonial
2017-11-18-14-weber-state,47.6,10,4.5,1,117.7,72.7,16,0.411,56,0.375,21,0.429,24,0.792,19,3,200,104.8,44.4,16,18,65,,11.3,7,0.286,16,0.25,4,55.2,32,0.482,16.3,13,40,0.425,17,0.25,1,"November 18, 2017",54.5,12,10.0,4,104.8,55.6,20,0.65,40,0.55,22,0.65,26,0.808,21,1,200,117.7,27.3,6,20,73,,9.7,6,0.45,18,0.444,8,44.8,26,0.697,20.2,13,22,0.636,14,0.75,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",JAMES-MADISON,James Madison,61.9,Home,WEBER-STATE,Weber State,James Madison,colonial
2017-11-19-11-texas-san-antonio,50.0,14,3.1,1,123.3,76.9,20,0.508,61,0.459,28,0.344,21,0.714,15,4,200,105.5,32.3,10,23,77,,9.6,7,0.328,20,0.3,6,52.6,30,0.542,14.6,12,41,0.537,22,0.2,1,"November 19, 2017",82.1,23,7.3,3,105.5,67.7,21,0.625,52,0.538,28,0.596,31,0.806,25,2,200,123.3,23.1,6,18,90,,8.2,6,0.385,20,0.45,9,47.4,27,0.674,15.5,12,32,0.594,19,0.6,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",JAMES-MADISON,James Madison,72.9,Home,TEXAS-SAN-ANTONIO,UTSA,James Madison,colonial
2017-11-22-16-james-madison,57.6,19,10.4,5,111.7,68.9,31,0.563,71,0.465,33,0.366,26,0.731,19,3,250,105.3,27.0,10,27,99,,3.2,3,0.493,35,0.4,14,50.0,41,0.594,18.7,19,36,0.528,19,0.5,3,"November 22, 2017",45.2,14,2.8,1,105.3,73.0,27,0.475,79,0.392,31,0.532,42,0.714,30,4,250,111.7,31.1,14,23,105,,10.6,10,0.392,31,0.419,13,50.0,41,0.531,9.3,10,48,0.375,18,0.333,2,"JMU Convocation Center, Harrisonburg, Virginia",APPALACHIAN-STATE,Appalachian State,74.9,Home,JAMES-MADISON,James Madison,James Madison,colonial
2017-11-25-16-radford,34.6,9,10.7,3,109.5,64.5,20,0.587,52,0.5,26,0.212,11,0.636,7,5,200,107.9,23.1,6,16,68,,14.3,9,0.327,17,0.529,9,45.6,26,0.594,15.0,10,35,0.486,17,0.286,2,"November 25, 2017",62.5,15,17.1,6,107.9,76.9,20,0.509,58,0.414,24,0.276,16,0.625,10,2,200,109.5,35.5,11,13,69,,11.1,7,0.517,30,0.367,11,54.4,31,0.526,14.5,11,28,0.464,13,0.6,3,"Donald N. Dedmon Center, Radford, Virginia",JAMES-MADISON,James Madison,63.4,Home,RADFORD,Radford,James Madison,colonial
2017-11-29-19-james-madison,50.0,13,0.0,0,102.9,75.8,25,0.575,53,0.491,26,0.321,17,0.882,15,3,200,108.6,16.7,4,16,76,,10.0,7,0.302,16,0.563,9,50.9,29,0.622,19.9,15,37,0.459,17,0.571,4,"November 29, 2017",74.1,20,10.8,4,108.6,83.3,20,0.508,61,0.443,27,0.197,12,0.833,10,6,200,102.9,24.2,8,19,72,,8.6,6,0.443,27,0.296,8,49.1,28,0.54,13.1,10,34,0.559,19,0.25,2,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,70.4,Away,GEORGE-MASON,George Mason,James Madison,colonial
2017-12-02-20-james-madison,60.7,17,2.6,1,117.6,75.8,25,0.541,61,0.459,28,0.311,19,0.842,16,4,200,110.8,14.7,5,24,82,,5.4,4,0.377,23,0.435,10,44.8,30,0.586,11.5,9,38,0.474,18,0.429,3,"December 2, 2017",43.3,13,15.8,6,110.8,85.3,29,0.549,61,0.492,30,0.443,27,0.741,20,6,200,117.6,24.2,8,20,87,,10.8,8,0.361,22,0.318,7,55.2,37,0.589,11.0,9,39,0.59,23,0.333,3,"JMU Convocation Center, Harrisonburg, Virginia",CHARLOTTE,Charlotte,74.4,Home,JAMES-MADISON,James Madison,James Madison,colonial
2017-12-05-18-citadel,64.3,18,11.4,4,102.4,96.0,24,0.471,68,0.412,28,0.324,22,0.818,18,7,200,100.0,36.1,13,16,82,,12.2,10,0.368,25,0.32,8,60.7,37,0.523,18.0,17,43,0.465,20,0.3,3,"December 5, 2017",54.5,18,9.3,4,100.0,63.9,23,0.653,59,0.559,33,0.186,11,0.636,7,5,200,102.4,4.0,1,20,84,,14.6,12,0.407,24,0.458,11,39.3,24,0.654,22.0,18,35,0.629,22,0.444,4,"McAlister Field House, Charleston, South Carolina",JAMES-MADISON,James Madison,81.8,Home,CITADEL,Citadel,James Madison,colonial
2017-12-10-14-richmond,48.3,14,11.8,4,110.4,84.6,33,0.588,57,0.509,29,0.14,8,0.5,4,8,200,106.0,29.0,9,14,71,,3.0,2,0.368,21,0.429,9,60.0,42,0.584,19.9,15,36,0.556,20,0.273,3,"December 10, 2017",46.4,13,2.8,1,106.0,71.0,22,0.54,62,0.452,28,0.226,14,0.5,7,8,200,110.4,15.4,6,13,74,,16.4,11,0.452,28,0.393,11,40.0,28,0.539,5.5,4,34,0.5,17,0.2,2,"Robins Center, Richmond, Virginia",JAMES-MADISON,James Madison,66.7,Home,RICHMOND,Richmond,James Madison,colonial
2017-12-16-19-florida-international,56.5,13,11.1,4,91.8,75.8,25,0.529,51,0.451,23,0.529,27,0.815,22,8,200,104.1,21.4,6,20,76,,13.7,10,0.314,16,0.5,8,50.8,31,0.595,18.2,14,35,0.429,15,0.333,4,"December 16, 2017",48.0,12,5.7,2,104.1,78.6,22,0.5,54,0.463,25,0.426,23,0.565,13,6,200,91.8,24.2,8,20,67,,5.5,4,0.333,18,0.222,4,49.2,30,0.516,21.0,17,36,0.583,21,0.455,5,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,72.9,Away,JAMES-MADISON,James Madison,James Madison,colonial
2017-12-20-19-florida,52.4,11,7.4,2,98.6,76.5,26,0.446,56,0.375,21,0.286,16,0.813,13,9,200,86.3,26.5,9,22,63,,13.7,10,0.393,22,0.364,8,51.5,35,0.495,22.2,18,34,0.382,13,0.308,4,"December 20, 2017",54.5,12,14.7,5,86.3,73.5,25,0.466,58,0.379,22,0.397,23,0.783,18,4,200,98.6,23.5,8,17,72,,8.2,6,0.534,31,0.323,10,48.5,33,0.522,15.0,12,27,0.444,12,0.636,7,"Stephen C. O'Connell Center, Gainesville, Florida",JAMES-MADISON,James Madison,72.8,Home,FLORIDA,Florida,James Madison,colonial
