,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-kansas-state,52.9,9,3.2,1,123.9,53.8,14,0.375,56,0.304,17,0.071,4,0.75,3,1,200,67.2,22.2,8,15,45,,13.4,9,0.554,31,0.258,8,35.5,22,0.389,22.7,17,25,0.36,9,0.0,0,"November 10, 2017",75.9,22,16.0,4,67.2,77.8,28,0.66,53,0.547,29,0.396,21,0.619,13,0,200,123.9,46.2,12,11,83,,11.9,8,0.415,22,0.545,12,64.5,40,0.659,21.5,17,31,0.548,17,1.0,1,"Bramlage Coliseum, Manhattan, Kansas",AMERICAN,American,67.4,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-11-14-20-kansas-state,84.6,11,0.0,0,100.0,60.7,17,0.34,50,0.26,13,0.52,26,0.654,17,2,200,70.8,20.0,8,23,51,,5.6,4,0.56,28,0.286,8,36.8,25,0.409,20.7,16,22,0.227,5,0.333,1,"November 14, 2017",62.5,15,18.2,4,70.8,80.0,32,0.458,59,0.407,24,0.458,27,0.667,18,0,200,100.0,39.3,11,23,72,,15.3,11,0.339,20,0.3,6,63.2,43,0.501,14.5,12,39,0.462,18,1.0,2,"Bramlage Coliseum, Manhattan, Kansas",MISSOURI-KANSAS-CITY,UMKC,71.6,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-11-17-21-kansas-state,68.8,11,14.3,6,104.4,74.3,26,0.333,54,0.296,16,0.315,17,0.765,13,2,200,72.1,29.7,11,19,49,,2.9,2,0.37,20,0.2,4,51.4,37,0.395,21.7,17,34,0.353,12,0.5,2,"November 17, 2017",62.5,15,5.9,2,72.1,70.3,26,0.467,61,0.393,24,0.295,18,0.778,14,0,200,104.4,25.7,9,22,71,,11.8,8,0.311,19,0.474,9,48.6,35,0.51,10.4,8,42,0.357,15,1.0,3,"Bramlage Coliseum, Manhattan, Kansas",CALIFORNIA-IRVINE,UC-Irvine,68.3,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-11-20-20-kansas-state,50.0,8,5.3,2,108.1,73.3,22,0.451,41,0.39,16,0.659,27,0.778,21,4,200,78.4,35.7,10,19,58,,8.1,6,0.463,19,0.263,5,55.2,32,0.539,36.2,30,22,0.5,11,0.0,0,"November 20, 2017",71.0,22,4.5,1,78.4,64.3,18,0.548,62,0.5,31,0.306,19,0.632,12,0,200,108.1,26.7,8,22,80,,25.7,19,0.387,24,0.25,6,44.8,26,0.563,13.5,11,38,0.658,25,1.0,4,"Bramlage Coliseum, Manhattan, Kansas",NORTHERN-ARIZONA,Northern Arizona,73.9,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-11-23-19-arizona-state,47.1,16,6.3,2,131.4,50.0,13,0.703,59,0.576,34,0.153,9,0.778,7,1,200,128.6,45.5,10,32,90,,7.1,5,0.542,32,0.469,15,47.9,23,0.711,20.3,16,27,0.704,19,0.8,4,"November 23, 2017",48.1,13,0.0,0,128.6,54.5,12,0.63,50,0.54,27,0.88,44,0.659,29,0,200,131.4,50.0,13,18,92,,8.6,6,0.36,18,0.5,9,52.1,25,0.649,14.7,12,32,0.563,18,1.0,5,"Orleans Arena, Paradise, Nevada",KANSAS-STATE,Kansas State,69.6,Home,ARIZONA-STATE,Arizona State,Kansas State,big-12
2017-11-24-20-kansas-state,68.2,15,0.0,0,115.5,74.1,20,0.454,54,0.407,22,0.259,14,0.714,10,4,200,101.7,44.4,12,16,59,,5.2,3,0.315,17,0.294,5,59.3,32,0.486,15.5,11,37,0.459,17,0.333,2,"November 24, 2017",34.8,8,13.5,5,101.7,55.6,15,0.52,49,0.469,23,0.367,18,0.889,16,1,200,115.5,25.9,7,13,67,,8.6,5,0.347,17,0.294,5,40.7,22,0.582,8.1,5,32,0.563,18,0.833,5,"Orleans Arena, Paradise, Nevada",GEORGE-WASHINGTON,George Washington,57.6,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-11-29-20-kansas-state,57.1,12,5.9,2,116.7,65.6,21,0.412,57,0.368,21,0.456,26,0.808,21,7,200,103.0,38.7,12,17,68,,6.1,4,0.281,16,0.313,5,52.4,33,0.49,10.5,8,41,0.39,16,0.125,1,"November 29, 2017",65.5,19,9.8,4,103.0,61.3,19,0.55,60,0.483,29,0.283,17,0.647,11,1,200,116.7,34.4,11,20,77,,10.6,7,0.433,26,0.308,8,47.6,30,0.566,11.8,9,34,0.618,21,0.857,6,"Bramlage Coliseum, Manhattan, Kansas",ORAL-ROBERTS,Oral Roberts,65.7,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-12-03-14-vanderbilt,41.4,12,12.0,3,121.5,48.3,14,0.62,50,0.58,29,0.48,24,0.917,22,1,200,129.2,15.8,3,24,84,,9.2,6,0.24,12,0.333,4,35.4,17,0.684,10.4,7,38,0.658,25,0.875,7,"December 3, 2017",52.2,12,13.2,5,129.2,84.2,16,0.56,50,0.46,23,0.66,33,0.697,23,5,200,121.5,51.7,15,25,79,,6.2,4,0.5,25,0.4,10,64.6,31,0.601,17.8,14,25,0.52,13,0.375,3,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,65.0,Away,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-12-05-20-kansas-state,68.4,13,2.9,1,126.5,70.4,19,0.442,52,0.365,19,0.077,4,0.75,3,8,200,72.1,13.3,4,17,49,,7.4,5,0.462,24,0.333,8,40.4,23,0.455,24.0,17,28,0.393,11,0.273,3,"December 5, 2017",70.0,21,3.6,1,72.1,86.7,26,0.61,59,0.508,30,0.271,16,0.875,14,1,200,126.5,29.6,8,13,86,,10.3,7,0.424,25,0.48,12,59.6,34,0.646,13.2,10,34,0.529,18,0.889,8,"Bramlage Coliseum, Manhattan, Kansas",SOUTH-CAROLINA-UPSTATE,USC Upstate,67.8,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-12-09-20-kansas-state,57.9,11,0.0,0,81.8,80.0,32,0.5,46,0.413,19,0.478,22,0.682,15,4,200,92.4,25.0,7,15,61,,7.6,5,0.457,21,0.381,8,57.4,39,0.54,22.3,16,25,0.44,11,0.556,5,"December 9, 2017",66.7,12,8.0,2,92.4,75.0,21,0.351,57,0.316,18,0.298,17,0.824,14,2,200,81.8,20.0,8,18,54,,15.2,10,0.561,32,0.125,4,42.6,29,0.415,13.4,10,25,0.56,14,0.8,8,"Intrust Bank Arena, Wichita, Kansas",KANSAS-STATE,Kansas State,66.3,Away,TULSA,Tulsa,Kansas State,big-12
2017-12-16-20-kansas-state,64.0,16,0.0,0,134.8,60.9,14,0.535,57,0.439,25,0.175,10,1.0,10,5,200,107.6,13.3,4,16,71,,6.1,4,0.439,25,0.44,11,34.0,18,0.575,12.8,9,32,0.438,14,0.545,6,"December 16, 2017",71.4,25,12.5,4,107.6,86.7,26,0.723,56,0.625,35,0.286,16,0.5,8,2,200,134.8,39.1,9,9,89,,7.6,5,0.411,23,0.478,11,66.0,35,0.7,14.9,11,33,0.727,24,0.818,9,"Bramlage Coliseum, Manhattan, Kansas",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,66.2,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-12-20-23-washington-state,48.0,12,7.1,2,95.6,80.0,28,0.45,60,0.417,25,0.317,19,0.737,14,2,200,100.0,26.5,9,16,68,,7.4,5,0.4,24,0.167,4,53.6,37,0.493,10.5,8,36,0.583,21,0.833,10,"December 20, 2017",41.7,10,2.8,1,100.0,73.5,25,0.476,62,0.387,24,0.145,9,0.667,6,4,200,95.6,20.0,7,19,65,,4.4,3,0.548,34,0.324,11,46.4,32,0.49,12.0,9,28,0.464,13,0.636,7,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,68.2,Away,KANSAS-STATE,Kansas State,Kansas State,big-12
2017-12-29-21-iowa-state,46.9,15,8.3,3,107.1,64.7,22,0.664,58,0.552,32,0.362,21,0.667,14,2,200,130.0,30.0,9,27,91,,14.3,10,0.448,26,0.5,13,48.4,31,0.669,15.1,12,32,0.594,19,0.846,11,"December 29, 2017",43.5,10,12.5,4,130.0,70.0,21,0.49,51,0.451,23,0.725,37,0.676,25,3,200,107.1,35.3,12,19,75,,10.0,7,0.294,15,0.267,4,51.6,33,0.547,16.2,13,36,0.528,19,0.75,9,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,70.3,Away,KANSAS-STATE,Kansas State,Kansas State,big-12
2018-01-01-17-kansas-state,70.0,21,13.3,4,94.5,75.0,27,0.571,56,0.536,30,0.286,16,0.813,13,1,200,105.5,36.0,9,25,77,6,13.7,10,0.286,16,0.25,4,59.0,36,0.605,22.2,18,40,0.65,26,0.929,13,"January 1, 2018",65.0,13,5.0,2,105.5,64.0,16,0.446,56,0.357,20,0.446,25,0.76,19,3,200,94.5,25.0,9,19,69,,12.3,9,0.464,26,0.385,10,41.0,25,0.508,18.3,15,30,0.333,10,0.786,11,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,73.2,Away,WEST-VIRGINIA,West Virginia,Kansas State,big-12
2018-01-06-16-texas-tech,35.0,7,4.2,1,117.5,72.2,13,0.524,42,0.476,20,0.548,23,0.609,14,4,200,92.1,18.5,5,22,58,,14.3,9,0.31,13,0.308,4,40.0,18,0.548,22.3,15,29,0.552,16,0.733,11,"January 6, 2018",50.0,12,10.3,3,92.1,81.5,22,0.659,41,0.585,24,0.634,26,0.769,20,1,200,117.5,27.8,5,21,74,18,17.5,11,0.415,17,0.353,6,60.0,27,0.694,21.1,14,24,0.75,18,0.933,14,"United Supermarkets Arena, Lubbock, Texas",KANSAS-STATE,Kansas State,62.6,Home,TEXAS-TECH,Texas Tech,Kansas State,big-12
2018-01-10-20-kansas-state,42.9,12,8.3,3,119.4,82.1,23,0.492,62,0.452,28,0.355,22,0.955,21,5,200,113.9,33.3,11,29,82,,6.9,5,0.29,18,0.278,5,55.7,34,0.566,12.2,10,44,0.523,23,0.688,11,"January 10, 2018",53.8,14,6.8,3,113.9,66.7,22,0.558,52,0.5,26,0.712,37,0.757,28,4,200,119.4,17.9,5,20,86,,11.1,8,0.308,16,0.375,6,44.3,27,0.618,10.5,8,36,0.556,20,0.75,12,"Bramlage Coliseum, Manhattan, Kansas",OKLAHOMA-STATE,Oklahoma State,72.0,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2018-01-13-12-kansas,37.0,10,11.5,3,114.1,75.0,18,0.564,55,0.491,27,0.2,11,0.909,10,5,200,112.5,29.2,7,15,72,,10.9,7,0.382,21,0.381,8,52.1,25,0.598,15.5,11,34,0.559,19,0.706,12,"January 13, 2018",45.8,11,17.6,6,112.5,70.8,17,0.592,49,0.49,24,0.347,17,0.882,15,3,200,114.1,25.0,6,16,73,12,7.8,5,0.469,23,0.435,10,47.9,23,0.64,18.7,13,26,0.538,14,0.824,14,"Allen Fieldhouse, Lawrence, Kansas",KANSAS-STATE,Kansas State,64.2,Home,KANSAS,Kansas,Kansas State,big-12
2018-01-16-21-kansas-state,50.0,13,6.7,3,122.5,76.9,20,0.476,62,0.419,26,0.21,13,0.769,10,3,200,97.2,44.4,16,14,69,4,9.9,7,0.403,25,0.28,7,58.1,36,0.506,22.8,20,37,0.514,19,0.824,14,"January 16, 2018",54.3,19,2.7,1,97.2,55.6,20,0.637,62,0.565,35,0.129,8,1.0,8,5,200,122.5,23.1,6,16,87,,15.5,11,0.274,17,0.529,9,41.9,26,0.661,13.2,10,45,0.578,26,0.722,13,"Bramlage Coliseum, Manhattan, Kansas",OKLAHOMA,Oklahoma,71.0,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2018-01-20-16-kansas-state,54.2,13,3.1,1,105.8,87.0,20,0.5,56,0.429,24,0.286,16,0.75,12,5,200,98.6,33.3,9,13,68,24,8.7,6,0.464,26,0.308,8,58.0,29,0.535,17.1,13,30,0.533,16,0.737,14,"January 20, 2018",66.7,18,16.7,5,98.6,66.7,18,0.608,51,0.529,27,0.275,14,0.786,11,5,200,105.8,13.0,3,18,73,,8.7,6,0.373,19,0.421,8,42.0,21,0.633,21.9,16,32,0.594,19,0.737,14,"Bramlage Coliseum, Manhattan, Kansas",TEXAS-CHRISTIAN,TCU,69.1,Home,KANSAS-STATE,Kansas State,Kansas State,big-12
2018-01-22-21-baylor,53.6,15,14.3,6,112.2,57.1,16,0.653,49,0.571,28,0.673,33,0.788,26,5,200,121.6,9.1,2,25,90,,10.8,8,0.347,17,0.471,8,36.0,18,0.696,13.6,10,32,0.625,20,0.75,15,"January 22, 2018",57.1,16,12.5,4,121.6,90.9,20,0.517,60,0.467,28,0.4,24,0.875,21,8,200,112.2,42.9,12,25,83,,1.4,1,0.3,18,0.333,6,64.0,32,0.581,17.5,15,42,0.524,22,0.6,12,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,73.5,Away,KANSAS-STATE,Kansas State,Kansas State,big-12
