,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-kentucky,52.2,12,15.7,8,100.0,57.1,20,0.455,56,0.411,23,0.321,18,0.667,12,1,200,86.3,35.5,11,20,63,,11.0,8,0.321,18,0.278,5,47.0,31,0.488,21.0,17,38,0.474,18,0.0,0,"November 10, 2017",65.4,17,21.1,8,86.3,64.5,20,0.432,66,0.394,26,0.348,23,0.696,16,0,200,100.0,42.9,15,18,73,5,15.1,11,0.227,15,0.333,5,53.0,35,0.474,14.6,13,51,0.412,21,1.0,1,"Rupp Arena, Lexington, Kentucky",UTAH-VALLEY,Utah Valley,72.7,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-11-12-15-kentucky,53.8,14,2.1,1,109.0,70.4,19,0.534,58,0.448,26,0.224,13,0.538,7,1,200,103.0,15.6,5,18,69,,1.5,1,0.5,29,0.345,10,40.7,24,0.538,9.9,7,29,0.552,16,0.0,0,"November 12, 2017",57.7,15,13.8,4,103.0,84.4,27,0.491,56,0.464,26,0.411,23,0.783,18,0,200,109.0,29.6,8,17,73,5,4.5,3,0.161,9,0.333,3,59.3,35,0.545,12.0,9,47,0.489,23,1.0,2,"Rupp Arena, Lexington, Kentucky",VERMONT,Vermont,67.1,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-11-14-21-kansas,60.9,14,25.0,10,90.3,67.4,29,0.445,55,0.418,23,0.327,18,0.667,12,1,200,84.7,35.7,10,20,61,7,9.7,7,0.236,13,0.231,3,54.9,39,0.48,22.2,18,42,0.476,20,0.667,2,"November 14, 2017",70.8,17,4.8,2,84.7,64.3,18,0.412,68,0.353,24,0.235,16,0.563,9,0,200,90.3,32.6,14,15,65,4,16.7,12,0.412,28,0.286,8,45.1,32,0.43,12.8,11,40,0.4,16,1.0,2,"United Center, Chicago, Illinois",KENTUCKY,Kentucky,72.1,Home,KANSAS,Kansas,Kentucky,sec
2017-11-17-19-kentucky,63.6,14,4.8,2,105.4,56.7,17,0.382,68,0.324,22,0.206,14,0.643,9,2,200,82.4,37.2,16,19,61,,10.8,8,0.456,31,0.258,8,45.2,33,0.409,17.7,16,37,0.378,14,0.333,1,"November 17, 2017",51.5,17,21.6,8,82.4,62.8,27,0.647,58,0.569,33,0.259,15,0.2,3,1,200,105.4,43.3,13,20,78,7,8.1,6,0.276,16,0.563,9,54.8,40,0.599,25.4,22,42,0.571,24,0.75,3,"Rupp Arena, Lexington, Kentucky",EAST-TENNESSEE-STATE,ETSU,74.4,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-11-20-20-kentucky,39.1,9,10.0,5,98.6,60.5,23,0.391,64,0.359,23,0.25,16,0.75,12,3,200,87.3,11.9,5,20,62,,7.0,5,0.422,27,0.148,4,35.0,28,0.433,7.8,6,37,0.514,19,0.4,2,"November 20, 2017",50.0,13,5.4,2,87.3,88.1,37,0.466,59,0.441,26,0.39,23,0.652,15,1,200,98.6,39.5,15,16,70,8,4.2,3,0.153,9,0.333,3,65.0,52,0.501,17.8,15,50,0.46,23,0.8,4,"Rupp Arena, Lexington, Kentucky",TROY,Troy,71.3,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-11-22-20-kentucky,54.2,13,0.0,0,121.1,53.8,14,0.5,60,0.4,24,0.233,14,0.5,7,2,200,94.4,15.8,6,20,67,,11.3,8,0.617,37,0.324,12,31.3,20,0.503,13.1,10,23,0.522,12,0.6,3,"November 22, 2017",51.5,17,13.0,3,94.4,84.2,32,0.645,55,0.6,33,0.436,24,0.625,15,1,200,121.1,46.2,12,18,86,8,8.5,6,0.2,11,0.455,5,68.8,44,0.648,19.6,16,44,0.636,28,0.833,5,"Rupp Arena, Lexington, Kentucky",IPFW,Purdue-Fort Wayne,70.5,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-11-26-18-kentucky,26.9,7,11.8,6,128.9,69.6,16,0.445,64,0.406,26,0.375,24,0.667,16,3,200,88.0,32.5,13,22,73,,8.4,7,0.281,18,0.278,5,46.0,29,0.484,20.3,19,46,0.457,21,0.4,2,"November 26, 2017",52.4,22,15.2,7,88.0,67.5,27,0.698,63,0.667,42,0.444,28,0.679,19,1,200,128.9,30.4,7,19,107,8,7.2,6,0.19,12,0.333,4,54.0,34,0.701,16.6,15,51,0.745,38,0.857,6,"Rupp Arena, Lexington, Kentucky",ILLINOIS-CHICAGO,UIC,82.9,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-12-02-15-kentucky,56.5,13,7.1,3,106.8,75.9,22,0.468,62,0.371,23,0.274,17,0.706,12,6,200,94.6,28.2,11,21,70,,5.4,4,0.452,28,0.429,12,48.5,33,0.499,17.8,15,34,0.324,11,0.333,3,"December 2, 2017",50.0,13,26.5,9,94.6,71.8,28,0.482,56,0.464,26,0.536,30,0.833,25,1,200,106.8,24.1,7,15,79,7,12.2,9,0.25,14,0.143,2,51.5,35,0.562,12.6,10,42,0.571,24,0.875,7,"Rupp Arena, Lexington, Kentucky",HARVARD,Harvard,73.7,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-12-09-12-kentucky,76.9,20,5.1,2,117.7,56.7,17,0.443,70,0.371,26,0.257,18,0.778,14,7,200,96.2,31.8,14,21,76,,12.7,10,0.414,29,0.345,10,41.9,31,0.484,16.1,15,41,0.39,16,0.3,3,"December 9, 2017",64.5,20,19.5,8,96.2,68.2,30,0.595,58,0.534,31,0.552,32,0.75,24,1,200,117.7,43.3,13,18,93,8,8.9,7,0.328,19,0.368,7,58.1,43,0.635,20.9,19,39,0.615,24,0.889,8,"Madison Square Garden (IV), New York, New York",MONMOUTH,Monmouth,79.4,Home,KENTUCKY,Kentucky,Kentucky,sec
2017-12-16-14-kentucky,56.3,18,2.2,1,120.8,64.9,24,0.673,55,0.582,32,0.309,17,0.706,12,2,200,111.7,20.8,5,22,86,,3.9,3,0.4,22,0.455,10,47.5,29,0.682,23.3,19,33,0.667,22,0.818,9,"December 16, 2017",54.5,18,12.1,4,111.7,79.2,19,0.566,68,0.485,33,0.353,24,0.667,16,1,200,120.8,35.1,13,16,93,8,10.4,8,0.324,22,0.5,11,52.5,32,0.586,12.3,11,46,0.478,22,0.9,9,"Rupp Arena, Lexington, Kentucky",VIRGINIA-TECH,Virginia Tech,77.2,Home,KENTUCKY,Kentucky,Kentucky,sec
