,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-23-san-francisco,23.1,6,19.4,7,86.6,73.0,27,0.483,58,0.448,26,0.552,32,0.844,27,0,200,101.2,16.7,5,26,83,,11.0,9,0.259,15,0.267,4,47.8,32,0.567,17.2,15,43,0.512,22,1.0,1,"November 10, 2017",45.5,10,9.3,4,101.2,83.3,25,0.441,59,0.373,22,0.441,26,0.731,19,1,200,86.6,27.0,10,27,71,,7.3,6,0.39,23,0.348,8,52.2,35,0.498,21.2,19,36,0.389,14,0.0,0,"War Memorial Gymnasium, San Francisco, California",SAN-FRANCISCO,San Francisco,81.8,Away,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
2017-11-14-22-long-beach-state,56.7,17,0.0,0,114.5,61.3,19,0.434,76,0.395,30,0.066,5,0.8,4,0,200,84.3,18.8,9,14,70,,16.9,14,0.382,29,0.207,6,35.4,28,0.447,15.2,14,47,0.511,24,0.0,0,"November 14, 2017",73.0,27,8.5,4,84.3,81.3,39,0.632,68,0.544,37,0.191,13,0.692,9,0,200,114.5,38.7,12,11,95,,8.4,7,0.456,31,0.387,12,64.6,51,0.64,22.2,21,37,0.676,25,1.0,2,"The Walter Pyramid, Long Beach, California","San Francisco State
			","San Francisco State
			",83.3,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
2017-11-18-23-oregon-state,43.3,13,0.0,0,107.2,79.2,19,0.507,68,0.441,30,0.235,16,0.75,12,1,200,97.6,28.9,11,26,81,,8.4,7,0.294,20,0.45,9,48.4,30,0.536,19.3,18,48,0.438,21,0.667,2,"November 18, 2017",58.1,18,6.3,3,97.6,71.1,27,0.598,56,0.554,31,0.518,29,0.759,22,1,200,107.2,20.8,5,18,89,,12.0,10,0.339,19,0.263,5,51.6,32,0.638,20.7,18,37,0.703,26,0.667,2,"Gill Coliseum, Corvallis, Oregon",LONG-BEACH-STATE,Long Beach State,82.7,Home,OREGON-STATE,Oregon State,Cal State Long Beach,big-west
2017-11-20-19-west-virginia,61.9,13,14.0,6,115.2,63.2,24,0.455,56,0.375,21,0.321,18,0.611,11,2,200,78.5,20.6,7,17,62,,7.6,6,0.411,23,0.391,9,43.1,31,0.48,24.7,21,33,0.364,12,0.5,2,"November 20, 2017",58.1,18,24.2,8,78.5,79.4,27,0.521,71,0.437,31,0.366,26,0.654,17,1,200,115.2,36.8,14,16,91,23,13.9,11,0.394,28,0.429,12,56.9,41,0.546,10.8,10,43,0.442,19,0.75,3,"WVU Coliseum, Morgantown, West Virginia",LONG-BEACH-STATE,Long Beach State,79.0,Home,WEST-VIRGINIA,West Virginia,Cal State Long Beach,big-west
2017-11-23-11-long-beach-state,68.8,22,13.5,5,76.3,77.1,27,0.597,62,0.516,32,0.403,25,0.84,21,1,200,125.0,30.8,8,20,95,,10.5,8,0.387,24,0.417,10,57.4,35,0.643,13.1,11,38,0.579,22,0.8,4,"November 23, 2017",57.9,11,13.2,5,125.0,69.2,18,0.389,54,0.352,19,0.407,22,0.727,16,3,200,76.3,22.9,8,23,58,,5.3,4,0.315,17,0.235,4,42.6,26,0.45,23.0,19,37,0.405,15,0.4,2,"HP Field House, Orlando, Florida",LONG-BEACH-STATE,Long Beach State,76.2,Away,MISSOURI,Missouri,Cal State Long Beach,big-west
2017-11-24-13-oregon-state,66.7,16,10.0,4,95.8,56.4,22,0.491,55,0.436,24,0.545,30,0.667,20,3,200,102.8,32.4,11,21,74,,13.9,10,0.327,18,0.333,6,45.2,33,0.534,16.0,13,37,0.486,18,0.5,3,"November 24, 2017",46.2,12,16.2,6,102.8,67.6,23,0.43,64,0.406,26,0.313,20,0.7,14,3,200,95.8,43.6,17,26,69,,5.6,4,0.375,24,0.125,3,54.8,40,0.469,18.0,16,40,0.575,23,0.4,2,"HP Field House, Orlando, Florida",OREGON-STATE,Oregon State,71.9,Away,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
2017-11-26-14-nebraska,55.9,19,11.8,6,110.4,69.7,23,0.537,67,0.507,34,0.209,14,0.571,8,4,200,103.9,54.5,18,18,80,,7.8,6,0.164,11,0.364,4,62.1,41,0.543,22.3,21,56,0.536,30,0.429,3,"November 26, 2017",65.6,21,12.5,7,103.9,45.5,15,0.53,67,0.478,32,0.269,18,0.778,14,2,200,110.4,30.3,10,18,85,,19.5,15,0.239,16,0.438,7,37.9,25,0.563,13.8,12,51,0.49,25,0.714,5,"HP Field House, Orlando, Florida",LONG-BEACH-STATE,Long Beach State,77.1,Home,NEBRASKA,Nebraska,Cal State Long Beach,big-west
2017-11-29-20-arizona,57.1,12,5.3,2,128.2,75.0,18,0.471,51,0.412,21,0.333,17,0.471,8,5,200,78.9,18.2,6,15,56,,8.5,6,0.392,20,0.3,6,42.1,24,0.474,23.5,18,31,0.484,15,0.375,3,"November 29, 2017",50.0,18,6.5,2,78.9,81.8,27,0.7,60,0.6,36,0.167,10,0.7,7,3,200,128.2,25.0,6,16,91,,12.7,9,0.367,22,0.545,12,57.9,33,0.703,15.7,12,38,0.632,24,0.571,4,"McKale Center, Tucson, Arizona",LONG-BEACH-STATE,Long Beach State,70.9,Home,ARIZONA,Arizona,Cal State Long Beach,big-west
2017-12-02-19-long-beach-state,47.4,18,0.0,0,92.1,83.3,25,0.694,62,0.613,38,0.355,22,0.909,20,2,200,139.5,47.8,11,23,106,,21.1,16,0.323,20,0.5,10,67.9,36,0.732,18.2,16,42,0.667,28,0.75,6,"December 2, 2017",42.9,9,11.9,5,139.5,52.2,12,0.51,50,0.42,21,0.56,28,0.679,19,6,200,92.1,16.7,5,21,70,,9.2,7,0.36,18,0.5,9,32.1,17,0.553,21.4,17,32,0.375,12,0.333,3,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,76.4,Away,FRESNO-STATE,Fresno State,Cal State Long Beach,big-west
2017-12-03-17-long-beach-state,42.9,12,3.0,1,113.4,78.6,22,0.544,57,0.491,28,0.175,10,0.6,6,6,200,101.5,39.3,11,15,68,,7.5,5,0.333,19,0.316,6,58.9,33,0.551,20.7,16,38,0.579,22,0.4,4,"December 3, 2017",57.1,16,15.8,6,101.5,60.7,17,0.6,55,0.509,28,0.291,16,0.625,10,6,200,113.4,21.4,6,12,76,,11.9,8,0.4,22,0.455,10,41.1,23,0.607,13.9,10,33,0.545,18,0.4,4,"The Walter Pyramid, Long Beach, California",STANFORD,Stanford,66.7,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west
