,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-texas-christian,66.7,18,0.0,0,106.4,74.3,26,0.478,69,0.391,27,0.159,11,0.636,7,1,200,93.6,23.7,9,23,73,,10.3,8,0.391,27,0.444,12,47.9,35,0.492,14.0,12,42,0.357,15,0.0,0,"November 10, 2017",63.3,19,11.9,5,93.6,76.3,29,0.541,61,0.492,30,0.459,28,0.607,17,0,200,106.4,25.7,9,15,83,,9.0,7,0.328,20,0.3,6,52.1,38,0.559,15.1,13,41,0.585,24,1.0,1,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",LOUISIANA-MONROE,Louisiana-Monroe,77.8,Home,TEXAS-CHRISTIAN,TCU,Louisiana-Monroe,sun-belt
2017-11-12-16-southern-methodist,50.0,11,3.4,1,123.9,63.0,17,0.451,61,0.361,22,0.23,14,0.714,10,2,200,97.0,35.3,12,22,65,,9.0,6,0.41,25,0.44,11,47.5,29,0.48,15.2,12,36,0.306,11,0.0,0,"November 12, 2017",59.3,16,8.3,3,97.0,64.7,22,0.635,52,0.519,27,0.404,21,0.81,17,0,200,123.9,37.0,10,13,83,,6.0,4,0.442,23,0.522,12,52.5,32,0.67,18.6,14,29,0.517,15,1.0,2,"Moody Coliseum, Dallas, Texas",LOUISIANA-MONROE,Louisiana-Monroe,66.8,Home,SOUTHERN-METHODIST,SMU,Louisiana-Monroe,sun-belt
2017-11-16-20-louisiana-monroe,68.0,17,8.6,3,116.2,65.5,19,0.492,62,0.403,25,0.323,20,0.7,14,2,200,101.4,34.2,13,17,75,,5.4,4,0.355,22,0.5,11,47.8,32,0.524,15.5,13,40,0.35,14,0.333,1,"November 16, 2017",56.7,17,5.0,2,101.4,65.8,25,0.554,65,0.462,30,0.292,19,0.737,14,2,200,116.2,34.5,10,20,86,,4.1,3,0.462,30,0.4,12,52.2,35,0.581,14.1,12,35,0.514,18,0.333,1,"Fant-Ewing Coliseum, Monroe, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,73.8,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt
2017-11-21-20-louisiana-monroe,57.1,16,11.8,4,87.1,67.6,23,0.534,59,0.475,28,0.305,18,0.722,13,4,200,108.6,38.7,12,14,76,,10.0,7,0.305,18,0.389,7,53.8,35,0.563,17.3,14,41,0.512,21,0.2,1,"November 21, 2017",41.7,10,2.4,1,108.6,61.3,19,0.451,61,0.393,24,0.18,11,0.545,6,3,200,87.1,32.4,11,14,61,,8.6,6,0.443,27,0.259,7,46.2,30,0.461,18.6,15,34,0.5,17,0.25,1,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,69.9,Away,NORTHWESTERN-STATE,Northwestern State,Louisiana-Monroe,sun-belt
2017-11-26-17-louisiana-monroe,47.1,8,4.7,2,144.4,40.7,11,0.402,46,0.37,17,0.326,15,0.6,9,0,200,63.9,25.9,7,12,46,,5.6,4,0.283,13,0.231,3,33.3,18,0.433,33.1,26,33,0.424,14,0.0,0,"November 26, 2017",63.4,26,9.1,3,63.9,74.1,20,0.684,68,0.603,41,0.235,16,0.688,11,3,200,144.4,59.3,16,17,104,,22.2,16,0.368,25,0.44,11,66.7,36,0.688,14.8,13,43,0.698,30,0.4,2,"Fant-Ewing Coliseum, Monroe, Louisiana","Rust
			","Rust
			",72.4,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt
2017-11-28-20-louisiana-monroe,83.3,15,29.2,7,110.2,66.7,12,0.397,58,0.31,18,0.138,8,0.75,6,5,200,88.1,30.3,10,17,52,,11.9,7,0.414,24,0.417,10,43.1,22,0.421,11.5,8,34,0.235,8,0.286,2,"November 28, 2017",68.2,15,5.9,2,88.1,69.7,23,0.602,44,0.5,22,0.341,15,0.8,12,3,200,110.2,33.3,6,11,65,,6.8,4,0.455,20,0.45,9,56.9,29,0.636,21.7,14,24,0.542,13,0.5,3,"Fant-Ewing Coliseum, Monroe, Louisiana",JACKSON-STATE,Jackson State,59.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt
2017-12-02-16-stephen-f-austin,61.9,13,9.1,3,107.9,71.4,20,0.568,44,0.477,21,0.5,22,0.682,15,4,200,103.2,19.2,5,22,65,,6.3,4,0.386,17,0.471,8,46.3,25,0.597,19.5,13,27,0.481,13,0.429,3,"December 2, 2017",60.9,14,7.4,2,103.2,80.8,21,0.51,51,0.451,23,0.529,27,0.593,16,1,200,107.9,28.6,8,19,68,,7.9,5,0.353,18,0.333,6,53.7,29,0.533,11.3,8,33,0.515,17,0.875,7,"William Johnson Coliseum, Nacogdoches, Texas",LOUISIANA-MONROE,Louisiana-Monroe,63.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Louisiana-Monroe,sun-belt
2017-12-09-14-jacksonville-state,52.4,11,6.1,2,117.2,50.0,10,0.431,58,0.362,21,0.103,6,1.0,6,5,200,87.5,27.3,9,14,56,,15.6,10,0.431,25,0.32,8,35.8,19,0.46,17.7,13,33,0.394,13,0.375,3,"December 9, 2017",62.1,18,30.3,10,87.5,72.7,24,0.65,50,0.58,29,0.26,13,0.769,10,2,200,117.2,50.0,10,11,75,,9.4,6,0.34,17,0.412,7,64.2,34,0.668,22.3,16,33,0.667,22,0.778,7,"Pete Mathews Coliseum, Jacksonville, Alabama",LOUISIANA-MONROE,Louisiana-Monroe,63.5,Home,JACKSONVILLE-STATE,Jacksonville State,Louisiana-Monroe,sun-belt
2017-12-12-20-louisiana-monroe,57.9,11,14.3,3,98.3,77.8,21,0.477,44,0.432,19,0.477,21,0.714,15,7,200,95.0,30.0,6,16,57,,10.0,6,0.409,18,0.222,4,57.4,27,0.528,18.4,12,26,0.577,15,0.3,3,"December 12, 2017",55.0,11,3.8,1,95.0,70.0,14,0.5,47,0.426,20,0.319,15,0.8,12,5,200,98.3,22.2,6,22,59,,11.7,7,0.553,26,0.269,7,42.6,20,0.545,18.3,12,21,0.619,13,0.444,4,"Fant-Ewing Coliseum, Monroe, Louisiana",GRAMBLING,Grambling,60.1,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt
2017-12-18-20-louisiana-monroe,62.5,10,10.0,5,144.8,48.3,14,0.385,52,0.308,16,0.096,5,0.8,4,0,200,65.7,30.3,10,18,44,,9.0,6,0.615,32,0.25,8,38.7,24,0.405,28.9,22,20,0.4,8,0.0,0,"December 18, 2017",64.1,25,5.0,1,65.7,69.7,23,0.634,67,0.582,39,0.239,16,0.75,12,5,200,144.8,51.7,15,11,97,,17.9,12,0.254,17,0.412,7,61.3,38,0.65,10.8,9,50,0.64,32,0.5,5,"Fant-Ewing Coliseum, Monroe, Louisiana","Millsaps
			","Millsaps
			",67.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt
