,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-marshall,47.1,16,0.0,0,122.9,61.1,22,0.617,64,0.531,34,0.234,15,0.8,12,1,225,109.6,34.6,9,29,91,,4.8,4,0.406,26,0.423,11,50.0,31,0.64,22.9,21,38,0.605,23,0.0,0,"November 10, 2017",61.8,21,2.6,1,109.6,65.4,17,0.572,69,0.493,34,0.493,34,0.676,23,0,225,122.9,38.9,14,18,102,,8.4,7,0.551,38,0.289,11,50.0,31,0.599,12.5,12,31,0.742,23,1.0,1,"Henderson Center, Huntington, West Virginia",TENNESSEE-MARTIN,UT-Martin,73.9,Home,MARSHALL,Marshall,Marshall,cusa
2017-11-13-19-marshall,50.0,13,5.7,2,109.2,87.1,27,0.456,68,0.382,26,0.309,21,0.571,12,2,200,97.4,31.7,13,15,74,,10.5,8,0.368,25,0.4,10,55.6,40,0.475,13.4,12,43,0.372,16,0.0,0,"November 13, 2017",66.7,20,18.6,8,97.4,68.3,28,0.573,62,0.484,30,0.226,14,0.857,12,0,200,109.2,12.9,4,17,83,,6.6,5,0.435,27,0.407,11,44.4,32,0.605,13.9,11,35,0.543,19,1.0,2,"Henderson Center, Huntington, West Virginia",SOUTHERN,Southern,76.3,Home,MARSHALL,Marshall,Marshall,cusa
2017-11-16-19-morehead-state,51.9,14,14.9,7,108.9,52.8,19,0.517,59,0.458,27,0.508,30,0.733,22,1,200,105.1,13.9,5,22,83,,13.9,11,0.356,21,0.333,7,33.3,24,0.567,13.2,11,38,0.526,20,0.667,2,"November 16, 2017",50.0,15,18.4,7,105.1,86.1,31,0.515,65,0.462,30,0.369,24,0.792,19,2,200,108.9,47.2,17,26,86,,5.1,4,0.277,18,0.389,7,66.7,48,0.563,20.9,20,47,0.489,23,0.333,1,"Ellis T. Johnson Arena, Morehead, Kentucky",MARSHALL,Marshall,79.3,Home,MOREHEAD-STATE,Morehead State,Marshall,cusa
2017-11-19-17-illinois,58.3,14,4.8,3,112.3,66.7,28,0.518,56,0.429,24,0.464,26,0.615,16,2,200,91.4,18.2,6,21,74,,1.2,1,0.518,29,0.345,10,45.3,34,0.541,22.0,19,27,0.519,14,0.5,2,"November 19, 2017",55.9,19,0.0,0,91.4,81.8,27,0.487,77,0.442,34,0.338,26,0.615,16,0,200,112.3,33.3,14,22,91,,9.9,8,0.195,15,0.467,7,54.7,41,0.509,5.4,5,62,0.435,27,1.0,4,"State Farm Center, Champaign, Illinois",MARSHALL,Marshall,80.9,Home,ILLINOIS,Illinois,Marshall,cusa
2017-11-22-20-marshall,57.6,19,3.0,1,122.7,84.6,22,0.629,62,0.532,33,0.194,12,0.5,6,4,200,112.0,20.0,6,17,84,,2.7,2,0.403,25,0.48,12,50.0,28,0.62,15.1,12,37,0.568,21,0.333,2,"November 22, 2017",60.6,20,16.2,6,112.0,80.0,24,0.631,61,0.541,33,0.344,21,0.714,15,2,200,122.7,15.4,4,12,92,,5.3,4,0.459,28,0.393,11,50.0,28,0.648,12.5,10,33,0.667,22,0.6,3,"Henderson Center, Huntington, West Virginia",NORTH-CAROLINA-CENTRAL,North Carolina Central,75.3,Home,MARSHALL,Marshall,Marshall,cusa
2017-11-26-16-marshall,60.0,15,2.4,1,115.2,70.3,26,0.438,73,0.342,25,0.178,13,0.462,6,0,200,76.1,15.6,7,21,70,,6.5,6,0.425,31,0.452,14,40.2,33,0.442,21.8,22,42,0.262,11,0.0,0,"November 26, 2017",72.2,26,14.3,6,76.1,84.4,38,0.57,71,0.507,36,0.451,32,0.781,25,2,200,115.2,29.7,11,13,106,,16.3,15,0.423,30,0.3,9,59.8,49,0.615,15.0,15,41,0.659,27,0.667,4,"Henderson Center, Huntington, West Virginia","Concord
			","Concord
			",92.2,Home,MARSHALL,Marshall,Marshall,cusa
2017-11-29-19-william-mary,48.6,18,9.5,4,137.3,72.4,21,0.606,71,0.521,37,0.268,19,0.947,18,3,200,125.3,21.9,7,17,104,,8.4,7,0.38,27,0.444,12,45.9,28,0.65,13.1,12,44,0.568,25,0.571,4,"November 29, 2017",59.5,25,11.4,5,125.3,78.1,25,0.729,70,0.6,42,0.2,14,0.857,12,2,200,137.3,27.6,8,17,114,,8.4,7,0.4,28,0.643,18,54.1,33,0.744,14.6,13,42,0.571,24,0.667,4,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",MARSHALL,Marshall,83.3,Home,WILLIAM-MARY,William & Mary,Marshall,cusa
2017-12-02-19-marshall,37.5,9,5.7,2,106.2,55.6,20,0.429,63,0.381,24,0.302,19,0.526,10,2,200,79.0,28.6,10,19,64,,13.6,11,0.381,24,0.25,6,42.3,30,0.444,23.6,22,39,0.462,18,0.6,3,"December 2, 2017",56.7,17,12.8,5,79.0,71.4,25,0.547,64,0.469,30,0.313,20,0.8,16,3,200,106.2,44.4,16,19,86,,12.3,10,0.453,29,0.345,10,57.7,41,0.585,21.6,20,35,0.571,20,0.625,5,"Henderson Center, Huntington, West Virginia",AKRON,Akron,80.8,Home,MARSHALL,Marshall,Marshall,cusa
2017-12-05-19-marshall,36.4,8,10.4,5,88.6,88.9,32,0.418,61,0.361,22,0.279,17,0.882,15,5,200,83.5,31.4,11,17,66,,6.3,5,0.328,20,0.35,7,60.6,43,0.478,21.7,19,41,0.366,15,0.444,4,"December 5, 2017",24.1,7,26.8,11,83.5,68.6,24,0.461,64,0.453,29,0.266,17,0.647,11,3,200,88.6,11.1,4,18,70,,5.1,4,0.25,16,0.063,1,39.4,28,0.486,14.4,12,48,0.583,28,0.667,6,"Henderson Center, Huntington, West Virginia",CHATTANOOGA,Chattanooga,78.6,Home,MARSHALL,Marshall,Marshall,cusa
2017-12-09-19-toledo,23.5,8,13.6,6,108.8,66.7,22,0.544,68,0.5,34,0.426,29,0.655,19,3,200,116.3,30.8,12,22,93,,10.0,8,0.279,19,0.316,6,47.2,34,0.569,11.0,10,49,0.571,28,0.7,7,"December 9, 2017",69.0,20,10.2,5,116.3,69.2,27,0.516,61,0.475,29,0.459,28,0.857,24,4,200,108.8,33.3,11,24,87,,7.5,6,0.279,17,0.294,5,52.8,38,0.585,18.8,17,44,0.545,24,0.556,5,"John F. Savage Hall, Toledo, Ohio",TOLEDO,Toledo,80.0,Away,MARSHALL,Marshall,Marshall,cusa
