,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-stony-brook,44.4,12,8.3,3,81.3,87.2,34,0.509,55,0.491,27,0.473,26,0.769,20,0,200,101.3,26.9,7,17,76,,5.3,4,0.255,14,0.143,2,63.1,41,0.564,17.4,14,41,0.61,25,1.0,1,"November 10, 2017",65.2,15,4.9,2,101.3,73.1,19,0.437,63,0.365,23,0.143,9,0.667,6,1,200,81.3,12.8,5,19,61,,9.3,7,0.429,27,0.333,9,36.9,24,0.453,16.3,13,36,0.389,14,0.0,0,"Nassau Coliseum, Uniondale, New York",STONY-BROOK,Stony Brook,74.8,Away,MARYLAND,Maryland,Maryland,big-ten
2017-11-12-18-maryland,21.1,4,0.0,0,143.3,44.0,11,0.366,56,0.339,19,0.107,6,0.333,2,1,200,64.2,17.6,6,25,43,,6.0,4,0.339,19,0.158,3,28.8,17,0.365,18.1,13,37,0.432,16,0.5,1,"November 12, 2017",45.5,15,18.9,7,64.2,82.4,28,0.694,54,0.611,33,0.611,33,0.636,21,0,200,143.3,56.0,14,12,96,,9.0,6,0.352,19,0.474,9,71.2,42,0.689,14.9,12,35,0.686,24,1.0,2,"Xfinity Center, College Park, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,66.8,Home,MARYLAND,Maryland,Maryland,big-ten
2017-11-15-20-maryland,43.5,10,11.1,3,108.2,72.7,16,0.403,67,0.343,23,0.164,11,1.0,11,1,200,89.0,20.0,8,17,65,,13.7,10,0.328,22,0.364,8,38.7,24,0.45,12.2,10,45,0.333,15,0.667,2,"November 15, 2017",51.9,14,15.6,7,89.0,80.0,32,0.67,47,0.574,27,0.489,23,0.696,16,0,200,108.2,27.3,6,17,79,,8.2,6,0.426,20,0.45,9,61.3,38,0.682,25.9,20,27,0.667,18,1.0,3,"Xfinity Center, College Park, Maryland",BUTLER,Butler,73.1,Home,MARYLAND,Maryland,Maryland,big-ten
2017-11-18-20-maryland,53.3,16,6.5,3,106.7,64.0,16,0.538,65,0.462,30,0.169,11,0.727,8,4,200,104.0,23.5,8,21,78,,10.7,8,0.369,24,0.417,10,40.7,24,0.555,12.5,10,41,0.488,20,0.0,0,"November 18, 2017",42.9,12,12.2,5,104.0,76.5,26,0.508,59,0.475,28,0.424,25,0.8,20,0,200,106.7,36.0,9,12,80,,4.0,3,0.22,13,0.308,4,59.3,35,0.564,18.6,16,46,0.522,24,1.0,4,"Xfinity Center, College Park, Maryland",BUCKNELL,Bucknell,75.1,Home,MARYLAND,Maryland,Maryland,big-ten
2017-11-20-19-maryland,33.3,6,8.0,2,122.6,48.1,13,0.35,60,0.3,18,0.067,4,0.75,3,3,200,72.6,29.7,11,17,45,,14.5,9,0.333,20,0.3,6,37.5,24,0.363,15.1,11,40,0.3,12,0.25,1,"November 20, 2017",61.5,16,17.5,7,72.6,70.3,26,0.606,52,0.5,26,0.365,19,0.684,13,0,200,122.6,51.9,14,7,76,,4.8,3,0.519,27,0.407,11,62.5,40,0.623,19.9,15,25,0.6,15,1.0,5,"Xfinity Center, College Park, Maryland",JACKSON-STATE,Jackson State,62.0,Home,MARYLAND,Maryland,Maryland,big-ten
2017-11-24-21-maryland,33.3,7,9.1,2,89.7,68.0,17,0.382,55,0.382,21,0.455,25,0.84,21,1,200,92.6,26.7,8,22,63,,17.6,12,0.127,7,0.0,0,45.5,25,0.471,12.0,9,48,0.438,21,0.75,3,"November 24, 2017",57.9,11,12.5,6,92.6,73.3,22,0.478,45,0.422,19,0.511,23,0.783,18,1,200,89.7,32.0,8,19,61,,7.4,5,0.511,23,0.217,5,54.5,30,0.545,26.6,20,22,0.636,14,0.833,5,"The Arena, Niceville, Florida",MARYLAND,Maryland,67.9,Away,ST-BONAVENTURE,St. Bonaventure,Maryland,big-ten
2017-11-25-16-maryland,57.1,12,6.5,2,109.6,63.2,12,0.405,63,0.333,21,0.222,14,1.0,14,4,200,89.0,25.6,10,26,65,,9.6,7,0.46,29,0.31,9,37.9,22,0.467,15.8,13,34,0.353,12,0.333,2,"November 25, 2017",62.5,15,17.6,6,89.0,74.4,29,0.609,46,0.522,24,0.587,27,0.889,24,1,200,109.6,36.8,7,18,80,,4.1,3,0.326,15,0.533,8,62.1,36,0.68,27.5,22,31,0.516,16,0.857,6,"The Arena, Niceville, Florida",NEW-MEXICO,New Mexico,73.2,Home,MARYLAND,Maryland,Maryland,big-ten
2017-11-27-19-syracuse,95.7,22,11.1,5,101.4,58.1,18,0.559,51,0.451,23,0.392,20,0.65,13,2,200,98.6,32.1,9,21,70,,9.9,7,0.451,23,0.478,11,45.8,27,0.579,23.1,18,28,0.429,12,0.75,6,"November 27, 2017",42.9,12,17.9,5,98.6,67.9,19,0.468,63,0.444,28,0.317,20,0.65,13,0,200,101.4,41.9,13,18,72,,16.9,12,0.286,18,0.167,3,54.2,32,0.497,15.3,13,45,0.556,25,1.0,6,"Carrier Dome, Syracuse, New York",MARYLAND,Maryland,71.0,Home,SYRACUSE,Syracuse,Maryland,big-ten
2017-12-01-19-maryland,63.0,17,20.0,7,111.9,65.9,27,0.594,53,0.509,27,0.358,19,0.895,17,2,200,119.4,24.0,6,23,80,,6.0,4,0.377,20,0.45,9,50.0,33,0.645,12.8,9,33,0.545,18,0.778,7,"December 1, 2017",54.5,12,3.0,1,119.4,76.0,19,0.429,63,0.349,22,0.413,26,0.808,21,3,200,111.9,34.1,14,19,75,,9.0,6,0.444,28,0.357,10,50.0,33,0.498,8.6,7,35,0.343,12,0.667,6,"Xfinity Center, College Park, Maryland",MARYLAND,Maryland,66.7,Away,PURDUE,Purdue,Maryland,big-ten
2017-12-03-20-illinois,42.9,15,11.1,5,107.1,78.8,26,0.661,59,0.593,35,0.322,19,0.737,14,3,225,108.2,32.0,8,19,92,,7.1,6,0.305,18,0.444,8,58.6,34,0.676,27.1,25,41,0.659,27,0.7,7,"December 3, 2017",36.1,13,2.4,1,108.2,68.0,17,0.571,70,0.514,36,0.214,15,0.733,11,3,225,107.1,21.2,7,19,91,,18.8,16,0.357,25,0.32,8,41.4,24,0.59,16.4,15,45,0.622,28,0.667,6,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,75.6,Away,MARYLAND,Maryland,Maryland,big-ten
