,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-massachusetts,75.0,15,5.6,2,101.4,67.7,21,0.451,51,0.392,20,0.588,30,0.767,23,1,200,94.5,15.2,5,21,69,,12.3,9,0.353,18,0.333,6,40.6,26,0.529,16.8,13,33,0.424,14,0.0,0,"November 10, 2017",62.5,15,21.2,7,94.5,84.8,28,0.5,51,0.471,24,0.667,34,0.676,23,0,200,101.4,32.3,10,24,74,,11.0,8,0.294,15,0.2,3,59.4,38,0.551,18.5,15,36,0.583,21,1.0,1,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,72.7,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-11-12-14-harvard,29.6,8,2.6,1,85.4,84.8,28,0.445,64,0.422,27,0.172,11,0.909,10,1,225,81.7,9.1,3,22,67,,9.8,8,0.188,12,0.25,3,47.0,31,0.484,18.9,16,52,0.462,24,0.5,1,"November 12, 2017",47.8,11,11.5,6,81.7,90.9,30,0.456,57,0.404,23,0.404,23,0.783,18,0,225,85.4,15.2,5,17,70,,12.2,10,0.333,19,0.316,6,53.0,35,0.515,21.1,18,38,0.447,17,1.0,2,"Lavietes Pavilion, Boston, Massachusetts",MASSACHUSETTS,UMass,72.5,Home,HARVARD,Harvard,Massachusetts,atlantic-10
2017-11-19-12-massachusetts,51.9,14,5.3,2,132.9,56.5,13,0.483,60,0.45,27,0.367,22,0.818,18,2,200,100.0,21.9,7,13,76,,11.8,9,0.267,16,0.25,4,36.4,20,0.539,12.6,10,44,0.523,23,0.333,1,"November 19, 2017",57.9,22,9.1,4,100.0,78.1,25,0.711,64,0.594,38,0.203,13,0.769,10,1,200,132.9,43.5,10,16,101,,2.6,2,0.406,26,0.577,15,63.6,35,0.72,20.5,18,38,0.605,23,0.667,2,"Mullins Center, Amherst, Massachusetts",NIAGARA,Niagara,75.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-11-21-19-massachusetts,52.2,12,11.5,3,121.4,53.8,14,0.542,48,0.479,23,0.646,31,0.774,24,4,200,108.6,38.5,10,19,76,,8.6,6,0.354,17,0.353,6,46.2,24,0.606,21.6,17,31,0.548,17,0.2,1,"November 21, 2017",77.8,21,19.4,6,108.6,61.5,16,0.551,59,0.458,27,0.373,22,0.909,20,1,200,121.4,46.2,12,23,85,,7.1,5,0.559,33,0.333,11,53.8,28,0.612,14.9,12,26,0.615,16,0.75,3,"Mullins Center, Amherst, Massachusetts",WESTERN-CAROLINA,Western Carolina,69.6,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-11-24-12-minnesota,38.1,8,4.3,2,88.5,81.8,27,0.362,65,0.323,21,0.092,6,0.667,4,2,200,65.4,15.0,6,16,51,,11.5,9,0.385,25,0.2,5,45.2,33,0.376,18.2,15,40,0.4,16,0.6,3,"November 24, 2017",51.9,14,10.0,4,65.4,85.0,34,0.484,63,0.429,27,0.206,13,0.615,8,0,200,88.5,18.2,6,14,69,14,10.3,8,0.27,17,0.412,7,54.8,40,0.499,18.9,16,46,0.435,20,1.0,6,"Barclays Center, Brooklyn, New York",MASSACHUSETTS,UMass,78.0,Home,MINNESOTA,Minnesota,Massachusetts,atlantic-10
2017-11-25-14-massachusetts,70.8,17,15.8,6,91.7,84.6,22,0.394,66,0.364,24,0.303,20,0.8,16,2,200,94.4,35.1,13,19,68,,13.9,10,0.273,18,0.222,4,55.6,35,0.45,11.8,10,48,0.417,20,0.667,4,"November 25, 2017",65.2,15,16.7,8,94.4,64.9,24,0.49,52,0.442,23,0.385,20,0.75,15,3,200,91.7,15.4,4,18,66,,5.6,4,0.269,14,0.357,5,44.4,28,0.537,18.7,14,38,0.474,18,0.5,3,"Barclays Center, Brooklyn, New York",MASSACHUSETTS,UMass,72.0,Away,BRIGHAM-YOUNG,BYU,Massachusetts,atlantic-10
2017-11-29-19-quinnipiac,42.9,12,13.3,4,101.5,92.6,25,0.5,63,0.444,28,0.079,5,0.6,3,4,200,98.5,33.3,11,20,66,,4.5,3,0.27,17,0.412,7,60.0,36,0.505,13.3,10,46,0.457,21,0.429,3,"November 29, 2017",57.9,11,6.5,3,98.5,66.7,22,0.451,51,0.373,19,0.529,27,0.815,22,5,200,101.5,7.4,2,14,68,,4.5,3,0.412,21,0.381,8,40.0,24,0.533,10.0,7,30,0.367,11,0.286,2,"TD Bank Sports Center, Hamden, Connecticut",MASSACHUSETTS,UMass,66.6,Home,QUINNIPIAC,Quinnipiac,Massachusetts,atlantic-10
2017-12-02-14-south-carolina,48.1,13,0.0,0,101.3,72.4,21,0.559,59,0.458,27,0.085,5,0.8,4,5,200,93.3,15.6,5,28,70,,4.0,3,0.441,26,0.462,12,42.6,26,0.57,21.7,17,33,0.455,15,0.375,3,"December 2, 2017",50.0,14,3.0,1,93.3,84.4,27,0.536,55,0.509,28,0.527,29,0.586,17,2,200,101.3,27.6,8,12,76,,14.7,11,0.273,15,0.2,3,57.4,35,0.553,18.1,15,40,0.625,25,0.75,6,"The Colonial Life Arena, Columbia, South Carolina",MASSACHUSETTS,UMass,74.6,Home,SOUTH-CAROLINA,South Carolina,Massachusetts,atlantic-10
2017-12-06-19-massachusetts,72.2,13,9.1,2,108.5,70.4,19,0.41,50,0.36,18,0.22,11,0.818,9,6,200,84.7,13.3,4,17,50,,6.8,4,0.42,21,0.238,5,40.4,23,0.453,11.3,7,29,0.448,13,0.25,2,"December 6, 2017",94.4,17,6.9,2,84.7,86.7,26,0.478,46,0.391,18,0.478,22,0.909,20,5,200,108.5,29.6,8,13,64,,6.8,4,0.522,24,0.333,8,59.6,34,0.567,16.5,11,22,0.455,10,0.444,4,"Mullins Center, Amherst, Massachusetts",HOLY-CROSS,Holy Cross,58.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-12-09-15-massachusetts,69.6,16,13.8,4,104.3,79.2,19,0.456,57,0.404,23,0.351,20,0.55,11,3,200,91.3,27.8,10,18,63,,10.1,7,0.316,18,0.333,6,48.3,29,0.474,15.4,12,39,0.436,17,0.7,7,"December 9, 2017",59.3,16,2.6,1,91.3,72.2,26,0.635,48,0.563,27,0.396,19,0.579,11,5,200,104.3,20.8,5,20,72,,5.8,4,0.396,19,0.368,7,51.7,31,0.631,23.2,17,29,0.69,20,0.5,5,"Mullins Center, Amherst, Massachusetts",PROVIDENCE,Providence,68.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-12-16-15-massachusetts,68.2,15,9.4,3,112.5,71.4,15,0.403,62,0.355,22,0.242,15,0.8,12,2,200,96.9,28.6,10,12,62,,7.8,5,0.274,17,0.353,6,44.6,25,0.448,6.8,5,45,0.356,16,0.778,7,"December 16, 2017",77.8,21,11.1,5,96.9,71.4,25,0.611,54,0.5,27,0.148,8,0.75,6,5,200,112.5,28.6,6,18,72,,6.3,4,0.407,22,0.545,12,55.4,31,0.623,17.3,12,32,0.469,15,0.545,6,"Mullins Center, Amherst, Massachusetts",GEORGIA,Georgia,64.0,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-12-20-19-massachusetts,80.0,20,15.4,4,100.0,60.6,20,0.579,57,0.439,25,0.123,7,0.714,5,4,200,112.7,36.0,9,13,71,,12.7,8,0.439,25,0.64,16,50.0,29,0.588,16.6,12,32,0.281,9,0.667,8,"December 20, 2017",86.4,19,15.6,5,112.7,64.0,16,0.5,55,0.4,22,0.2,11,0.727,8,6,200,100.0,39.4,13,15,63,,6.3,4,0.527,29,0.379,11,50.0,29,0.523,20.0,15,26,0.423,11,0.5,6,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,62.8,Away,GEORGIA-STATE,Georgia State,Massachusetts,atlantic-10
2017-12-22-16-massachusetts,66.7,16,3.6,1,115.6,76.0,19,0.491,54,0.444,24,0.315,17,0.588,10,11,200,98.4,24.1,7,9,63,,3.1,2,0.389,21,0.238,5,48.1,26,0.507,15.2,11,33,0.576,19,0.214,3,"December 22, 2017",81.5,22,12.1,4,98.4,75.9,22,0.644,52,0.519,27,0.135,7,1.0,7,6,200,115.6,24.0,6,15,74,,9.4,6,0.462,24,0.542,13,51.9,28,0.669,19.1,13,28,0.5,14,0.538,7,"Mullins Center, Amherst, Massachusetts",MAINE,Maine,64.2,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2017-12-30-14-st-bonaventure,46.7,14,6.5,3,140.0,50.0,14,0.515,66,0.455,30,0.273,18,0.556,10,7,200,111.4,36.6,15,20,78,,4.3,3,0.348,23,0.348,8,42.0,29,0.523,13.0,11,43,0.512,22,0.5,7,"December 30, 2017",50.0,17,4.7,2,111.4,63.4,26,0.609,64,0.531,34,0.391,25,0.8,20,2,200,140.0,50.0,14,16,98,,7.1,5,0.281,18,0.556,10,58.0,40,0.646,9.6,8,46,0.522,24,0.846,11,"Reilly Center, St. Bonaventure, New York",MASSACHUSETTS,UMass,70.2,Home,ST-BONAVENTURE,St. Bonaventure,Massachusetts,atlantic-10
2018-01-03-19-massachusetts,55.6,15,12.2,5,88.9,75.0,30,0.423,71,0.38,27,0.31,22,0.909,20,8,225,98.8,35.9,14,16,80,,12.3,10,0.324,23,0.261,6,55.7,44,0.491,14.8,14,48,0.438,21,0.467,7,"January 3, 2018",53.8,14,22.9,11,98.8,64.1,25,0.419,68,0.382,26,0.324,22,0.682,15,8,225,88.9,25.0,10,19,72,,8.6,7,0.397,27,0.185,5,44.3,35,0.459,13.4,12,41,0.512,21,0.467,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,72.0,Away,GEORGE-MASON,George Mason,Massachusetts,atlantic-10
2018-01-06-12-dayton,41.7,10,4.3,1,100.0,73.3,22,0.519,52,0.462,24,0.154,8,1.0,8,8,200,103.3,26.1,6,20,62,,11.7,7,0.327,17,0.353,6,52.8,28,0.556,16.5,11,35,0.514,18,0.5,8,"January 6, 2018",50.0,10,5.7,2,103.3,73.9,17,0.521,47,0.426,20,0.34,16,0.688,11,8,200,100.0,26.7,8,15,60,,3.3,2,0.511,24,0.375,9,47.2,25,0.549,18.2,12,23,0.478,11,0.467,7,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,59.7,Away,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2018-01-10-19-massachusetts,44.8,13,7.5,3,114.7,78.8,26,0.5,64,0.453,29,0.297,19,0.789,15,10,225,105.3,22.2,8,15,79,,8.0,6,0.313,20,0.3,6,49.3,34,0.541,14.2,12,44,0.523,23,0.412,7,"January 10, 2018",51.6,16,6.8,3,105.3,77.8,28,0.57,64,0.484,31,0.234,15,0.867,13,8,225,114.7,21.2,7,12,86,,10.7,8,0.375,24,0.458,11,50.7,35,0.605,11.3,9,40,0.5,20,0.529,9,"Mullins Center, Amherst, Massachusetts",LA-SALLE,La Salle,66.7,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
2018-01-14-17-massachusetts,48.1,13,12.5,4,102.9,91.3,21,0.468,62,0.435,27,0.226,14,0.786,11,9,200,98.6,20.0,7,17,69,,8.6,6,0.323,20,0.2,4,48.3,28,0.503,11.7,9,42,0.548,23,0.438,7,"January 14, 2018",63.0,17,9.5,4,98.6,80.0,28,0.582,55,0.491,27,0.218,12,0.667,8,8,200,102.9,8.7,2,14,72,,2.9,2,0.418,23,0.435,10,51.7,30,0.593,15.4,11,32,0.531,17,0.556,10,"Mullins Center, Amherst, Massachusetts",SAINT-JOSEPHS,St. Joseph's,70.2,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10
