,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-18-alabama,30.4,7,9.7,3,106.5,64.7,22,0.4,60,0.383,23,0.6,36,0.611,22,1,200,90.9,38.5,15,22,70,,9.1,7,0.283,17,0.118,2,50.7,37,0.454,18.3,17,43,0.488,21,0.0,0,"November 10, 2017",61.5,16,16.3,7,90.9,61.5,24,0.543,58,0.448,26,0.483,28,0.679,19,0,200,106.5,35.3,12,30,82,,10.4,8,0.466,27,0.407,11,49.3,36,0.575,18.5,16,31,0.484,15,1.0,1,"Alumni Hall, Annapolis, Maryland",MEMPHIS,Memphis,77.2,Home,ALABAMA,Alabama,Memphis,aac
2017-11-14-20-memphis,56.5,13,13.5,5,106.1,69.0,20,0.51,52,0.442,23,0.231,12,0.75,9,2,200,93.9,36.0,9,23,62,,4.5,3,0.442,23,0.304,7,53.7,29,0.537,20.8,15,29,0.552,16,0.0,0,"November 14, 2017",39.1,9,0.0,0,93.9,64.0,16,0.491,55,0.418,23,0.418,23,0.696,16,1,200,106.1,31.0,9,14,70,,10.6,7,0.327,18,0.444,8,46.3,25,0.531,14.5,11,37,0.405,15,0.5,1,"FedExForum, Memphis, Tennessee",ARKANSAS-LITTLE-ROCK,Little Rock,65.8,Home,MEMPHIS,Memphis,Memphis,aac
2017-11-21-20-memphis,70.0,14,11.8,4,98.4,73.1,19,0.438,48,0.417,20,0.333,16,0.625,10,3,200,81.3,31.0,9,23,52,,14.1,9,0.292,14,0.143,2,50.9,28,0.468,21.4,15,34,0.529,18,0.0,0,"November 21, 2017",71.4,15,11.8,4,81.3,69.0,20,0.479,47,0.447,21,0.532,25,0.72,18,1,200,98.4,26.9,7,16,63,,9.4,6,0.277,13,0.231,3,49.1,27,0.535,19.4,14,34,0.529,18,0.667,2,"FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,63.7,Home,MEMPHIS,Memphis,Memphis,aac
2017-11-25-18-memphis,66.7,18,0.0,0,107.0,65.5,19,0.533,61,0.443,27,0.23,14,0.643,9,2,200,104.2,25.8,8,24,74,,9.9,7,0.492,30,0.367,11,45.0,27,0.547,13.0,10,31,0.516,16,0.667,4,"November 25, 2017",63.0,17,16.1,5,104.2,74.2,23,0.527,56,0.482,27,0.5,28,0.607,17,1,200,107.0,34.5,10,14,76,,7.0,5,0.339,19,0.263,5,55.0,33,0.548,17.0,14,37,0.595,22,0.75,3,"FedExForum, Memphis, Tennessee",NORTHERN-KENTUCKY,Northern Kentucky,71.5,Home,MEMPHIS,Memphis,Memphis,aac
2017-11-30-20-alabama-birmingham,40.9,9,12.5,5,110.9,69.0,20,0.5,52,0.423,22,0.192,10,0.4,4,2,200,87.5,26.7,8,19,56,,4.7,3,0.423,22,0.364,8,47.5,28,0.493,17.5,12,30,0.467,14,0.6,3,"November 30, 2017",58.3,14,13.3,4,87.5,73.3,22,0.434,61,0.393,24,0.344,21,0.857,18,3,200,110.9,31.0,9,14,71,,4.7,3,0.344,21,0.238,5,52.5,31,0.5,6.6,5,40,0.475,19,0.625,5,"Bartow Arena, Birmingham, Alabama",MEMPHIS,Memphis,63.9,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Memphis,aac
2017-12-02-17-memphis,61.5,16,6.1,2,110.7,62.8,27,0.542,59,0.441,26,0.39,23,0.739,17,4,250,108.0,32.4,11,24,81,,5.3,4,0.458,27,0.444,12,49.4,38,0.579,17.8,15,32,0.438,14,0.556,5,"December 2, 2017",56.5,13,9.4,3,108.0,67.6,23,0.396,67,0.343,23,0.507,34,0.882,30,2,250,110.7,37.2,16,23,83,,8.0,6,0.507,34,0.206,7,50.6,39,0.499,9.9,9,33,0.485,16,0.667,4,"FedExForum, Memphis, Tennessee",MERCER,Mercer,60.0,Home,MEMPHIS,Memphis,Memphis,aac
2017-12-05-20-memphis,61.9,13,6.5,2,103.2,52.9,18,0.472,54,0.389,21,0.315,17,0.765,13,7,200,101.6,34.5,10,20,64,,15.9,10,0.519,28,0.321,9,44.4,28,0.516,16.3,12,26,0.462,12,0.222,2,"December 5, 2017",63.6,14,7.7,2,101.6,65.5,19,0.462,53,0.415,22,0.396,21,0.762,16,2,200,103.2,47.1,16,16,65,,9.5,6,0.415,22,0.227,5,55.6,35,0.516,19.4,15,31,0.548,17,0.714,5,"FedExForum, Memphis, Tennessee",SAMFORD,Samford,63.0,Home,MEMPHIS,Memphis,Memphis,aac
2017-12-09-13-memphis,74.1,20,5.6,2,120.0,67.9,19,0.478,68,0.397,27,0.162,11,0.636,7,9,200,96.0,34.4,11,21,72,,10.7,8,0.441,30,0.367,11,50.0,30,0.492,15.1,13,38,0.421,16,0.1,1,"December 9, 2017",76.5,26,21.1,8,96.0,65.6,21,0.686,59,0.576,34,0.288,17,0.529,9,2,200,120.0,32.1,9,15,90,,9.3,7,0.39,23,0.565,13,50.0,30,0.671,19.4,16,36,0.583,21,0.75,6,"FedExForum, Memphis, Tennessee",BRYANT,Bryant,74.7,Home,MEMPHIS,Memphis,Memphis,aac
2017-12-12-21-memphis,38.1,8,6.3,2,98.5,79.3,23,0.377,61,0.344,21,0.246,15,0.8,12,2,200,85.3,32.4,12,18,58,,5.9,4,0.279,17,0.235,4,53.0,35,0.426,17.2,14,44,0.386,17,0.833,10,"December 12, 2017",43.5,10,25.0,11,85.3,67.6,25,0.51,49,0.469,23,0.49,24,0.708,17,2,200,98.5,20.7,6,16,67,,10.3,7,0.347,17,0.235,4,47.0,31,0.555,16.8,12,32,0.594,19,0.778,7,"FedExForum, Memphis, Tennessee",ALBANY-NY,Albany (NY),68.3,Home,MEMPHIS,Memphis,Memphis,aac
2017-12-16-12-memphis,57.1,16,28.6,14,107.5,60.0,18,0.574,61,0.459,28,0.197,12,0.917,11,2,200,120.9,35.5,11,20,81,,11.9,8,0.426,26,0.538,14,47.5,29,0.607,13.1,10,35,0.4,14,0.8,8,"December 16, 2017",37.0,10,14.3,5,120.9,64.5,20,0.483,60,0.45,27,0.3,18,0.778,14,3,200,107.5,40.0,12,13,72,,9.0,6,0.183,11,0.364,4,52.5,32,0.525,15.0,12,49,0.469,23,0.7,7,"Madison Square Garden (IV), New York, New York",MEMPHIS,Memphis,67.1,Away,LOUISVILLE,Louisville,Memphis,aac
2017-12-20-20-memphis,65.2,15,3.1,1,106.1,69.0,20,0.577,52,0.442,23,0.154,8,0.75,6,9,200,100.0,26.9,7,28,66,,12.1,8,0.577,30,0.467,14,49.1,27,0.591,22.4,16,22,0.409,9,0.25,3,"December 20, 2017",65.0,13,18.2,4,100.0,73.1,19,0.478,46,0.435,20,0.804,37,0.703,26,3,200,106.1,31.0,9,13,70,,10.6,7,0.304,14,0.286,4,50.9,28,0.551,16.2,12,32,0.5,16,0.727,8,"FedExForum, Memphis, Tennessee",SIENA,Siena,65.7,Home,MEMPHIS,Memphis,Memphis,aac
2017-12-23-12-memphis,63.0,17,7.9,3,115.3,74.1,20,0.468,63,0.429,27,0.286,18,0.667,12,9,200,98.6,32.4,11,22,71,,11.1,8,0.349,22,0.227,5,50.8,31,0.496,17.5,15,41,0.537,22,0.182,2,"December 23, 2017",51.7,15,17.1,7,98.6,67.6,23,0.582,55,0.527,29,0.473,26,0.731,19,3,200,115.3,25.9,7,14,83,,15.3,11,0.309,17,0.353,6,49.2,30,0.616,11.9,9,38,0.605,23,0.75,9,"FedExForum, Memphis, Tennessee",LOYOLA-MD,Loyola (MD),72.5,Home,MEMPHIS,Memphis,Memphis,aac
