,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-central-florida,60.9,14,2.6,1,115.8,59.3,16,0.518,56,0.411,23,0.5,28,0.75,21,1,200,103.9,23.5,8,28,79,,6.6,5,0.518,29,0.414,12,39.3,24,0.57,17.0,14,27,0.407,11,0.0,0,"November 10, 2017",40.0,12,22.2,6,103.9,76.5,26,0.58,56,0.536,30,0.661,37,0.622,23,0,200,115.8,40.7,11,24,88,,9.2,7,0.304,17,0.294,5,60.7,37,0.598,16.2,14,39,0.641,25,1.0,1,"CFE Arena, Orlando, Florida",MERCER,Mercer,75.9,Home,CENTRAL-FLORIDA,UCF,Mercer,southern
2017-11-12-14-mercer,52.9,9,4.5,2,135.8,62.5,20,0.364,55,0.309,17,0.091,5,0.6,3,0,200,53.1,11.5,3,24,43,,6.2,5,0.527,29,0.207,6,39.7,23,0.375,31.3,26,26,0.423,11,0.0,0,"November 12, 2017",71.8,28,23.1,6,53.1,88.5,23,0.643,70,0.557,39,0.414,29,0.69,20,1,200,135.8,37.5,12,6,110,,17.3,14,0.371,26,0.462,12,60.3,35,0.657,9.8,9,44,0.614,27,0.5,1,"Hawkins Arena, Macon, Georgia","Toccoa Falls
			","Toccoa Falls
			",80.6,Home,MERCER,Mercer,Mercer,southern
2017-11-14-19-mercer,72.7,16,7.5,3,136.5,53.6,15,0.51,51,0.431,22,0.157,8,0.75,6,1,200,92.1,29.6,8,21,58,,6.3,4,0.49,25,0.32,8,41.8,23,0.529,21.6,15,26,0.538,14,0.5,1,"November 14, 2017",65.5,19,7.7,2,92.1,70.4,19,0.561,57,0.509,29,0.474,27,0.815,22,1,200,136.5,46.4,13,12,86,,17.5,11,0.298,17,0.353,6,58.2,32,0.616,9.2,7,40,0.575,23,0.667,2,"Hawkins Arena, Macon, Georgia",JACKSON-STATE,Jackson State,62.8,Home,MERCER,Mercer,Mercer,southern
2017-11-17-12-liberty,72.7,16,4.3,1,82.8,93.8,30,0.563,48,0.458,22,0.229,11,0.818,9,1,200,108.6,24.0,6,15,63,,5.2,3,0.458,22,0.455,10,63.2,36,0.592,17.2,11,26,0.462,12,0.75,3,"November 17, 2017",70.6,12,7.7,2,108.6,76.0,19,0.418,49,0.347,17,0.163,8,0.875,7,1,200,82.8,6.3,2,14,48,,5.2,3,0.531,26,0.269,7,36.8,21,0.455,11.8,7,23,0.435,10,0.667,2,"Vines Center, Lynchburg, Virginia",LIBERTY,Liberty,58.0,Away,MERCER,Mercer,Mercer,southern
2017-11-18-18-drexel,45.8,11,3.1,1,83.1,84.2,32,0.509,56,0.429,24,0.518,29,0.724,21,1,200,109.9,10.0,3,20,78,,7.0,5,0.429,24,0.375,9,51.5,35,0.559,6.8,5,32,0.469,15,0.8,4,"November 18, 2017",57.1,12,12.5,4,109.9,90.0,27,0.464,56,0.375,21,0.286,16,0.438,7,2,200,83.1,15.8,6,26,59,,0.0,0,0.429,24,0.417,10,48.5,33,0.464,17.1,13,32,0.344,11,0.5,2,"Vines Center, Lynchburg, Virginia",DREXEL,Drexel,71.2,Away,MERCER,Mercer,Mercer,southern
2017-11-19-20-colorado,30.8,8,3.4,1,114.5,61.5,16,0.518,56,0.464,26,0.268,15,0.8,12,2,200,101.4,28.0,7,21,70,,8.7,6,0.268,15,0.4,6,45.1,23,0.554,18.3,14,41,0.488,20,0.667,4,"November 19, 2017",62.5,15,12.2,5,101.4,72.0,18,0.56,50,0.48,24,0.6,30,0.767,23,0,200,114.5,38.5,10,20,79,,5.8,4,0.42,21,0.381,8,54.9,28,0.615,17.1,13,29,0.552,16,1.0,5,"Vines Center, Lynchburg, Virginia",MERCER,Mercer,68.7,Home,COLORADO,Colorado,Mercer,southern
2017-11-26-14-mercer,57.9,11,4.0,1,118.4,66.7,16,0.43,57,0.333,19,0.175,10,0.4,4,0,200,69.7,11.8,4,23,53,,7.9,6,0.421,24,0.458,11,34.5,20,0.429,23.6,19,33,0.242,8,0.0,0,"November 26, 2017",82.8,24,21.2,7,69.7,88.2,30,0.7,50,0.58,29,0.62,31,0.645,20,2,200,118.4,33.3,8,13,90,,10.5,8,0.5,25,0.48,12,65.5,38,0.695,22.0,18,25,0.68,17,0.714,5,"Hawkins Arena, Macon, Georgia","Hiwassee
			","Hiwassee
			",75.7,Home,MERCER,Mercer,Mercer,southern
2017-11-29-19-tennessee,58.8,10,3.4,1,123.5,76.0,19,0.456,45,0.378,17,0.578,26,0.731,19,3,200,88.2,29.2,7,19,60,,2.9,2,0.378,17,0.412,7,53.1,26,0.523,26.2,20,28,0.357,10,0.625,5,"November 29, 2017",86.7,26,25.0,7,88.2,70.8,17,0.676,54,0.556,30,0.259,14,0.786,11,1,200,123.5,24.0,6,23,84,,10.3,7,0.463,25,0.52,13,46.9,23,0.692,15.5,11,29,0.586,17,0.833,5,"Thompson-Boling Arena, Knoxville, Tennessee",MERCER,Mercer,68.0,Home,TENNESSEE,Tennessee,Mercer,southern
2017-12-02-17-memphis,61.5,16,6.1,2,110.7,62.8,27,0.542,59,0.441,26,0.39,23,0.739,17,4,250,108.0,32.4,11,24,81,,5.3,4,0.458,27,0.444,12,49.4,38,0.579,17.8,15,32,0.438,14,0.556,5,"December 2, 2017",56.5,13,9.4,3,108.0,67.6,23,0.396,67,0.343,23,0.507,34,0.882,30,2,250,110.7,37.2,16,23,83,,8.0,6,0.507,34,0.206,7,50.6,39,0.499,9.9,9,33,0.485,16,0.667,4,"FedExForum, Memphis, Tennessee",MERCER,Mercer,60.0,Home,MEMPHIS,Memphis,Mercer,southern
2017-12-09-16-mercer,65.2,15,17.4,4,139.0,60.9,14,0.569,51,0.451,23,0.216,11,0.545,6,10,200,108.5,18.8,6,18,64,,8.5,5,0.451,23,0.522,12,36.4,20,0.569,11.1,7,28,0.393,11,0.091,1,"December 9, 2017",63.0,17,0.0,0,108.5,81.3,26,0.654,52,0.519,27,0.404,21,0.667,14,4,200,139.0,39.1,9,12,82,,5.1,3,0.558,29,0.483,14,63.6,35,0.662,11.6,8,23,0.565,13,0.6,6,"Hawkins Arena, Macon, Georgia",FLORIDA-AM,Florida A&M,59.1,Home,MERCER,Mercer,Mercer,southern
