,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-19-michigan,50.0,11,8.7,4,113.2,64.7,22,0.53,50,0.44,22,0.34,17,0.765,13,2,200,86.8,20.7,6,19,66,,6.6,5,0.3,15,0.6,9,44.4,28,0.568,28.6,23,35,0.371,13,0.0,0,"November 11, 2017",63.6,21,5.7,2,86.8,79.3,23,0.528,71,0.465,33,0.225,16,0.688,11,0,200,113.2,35.3,12,12,86,,15.8,12,0.352,25,0.36,9,55.6,35,0.547,11.4,10,46,0.522,24,1.0,1,"Crisler Arena, Ann Arbor, Michigan",NORTH-FLORIDA,North Florida,75.8,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-11-13-19-michigan,54.5,12,8.0,2,114.3,80.6,25,0.529,51,0.431,22,0.235,12,0.917,11,1,200,103.2,26.9,7,18,65,,3.2,2,0.471,24,0.417,10,56.1,32,0.573,19.9,14,27,0.444,12,0.5,1,"November 13, 2017",53.8,14,11.1,3,103.2,73.1,19,0.525,59,0.441,26,0.203,12,0.833,10,0,200,114.3,19.4,6,11,72,,7.9,5,0.576,34,0.294,10,43.9,25,0.556,5.9,4,25,0.64,16,1.0,2,"Crisler Arena, Ann Arbor, Michigan",CENTRAL-MICHIGAN,Central Michigan,63.2,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-11-16-19-michigan,45.0,9,0.0,0,113.0,68.0,17,0.469,49,0.408,20,0.061,3,0.333,1,1,200,87.0,17.9,5,12,47,,7.4,4,0.265,13,0.462,6,41.5,22,0.466,16.6,10,36,0.389,14,0.5,1,"November 16, 2017",56.5,13,8.3,3,87.0,82.1,23,0.574,47,0.489,23,0.191,9,0.778,7,0,200,113.0,32.0,8,10,61,,9.3,5,0.489,23,0.348,8,58.5,31,0.595,15.0,9,24,0.625,15,1.0,3,"Crisler Arena, Ann Arbor, Michigan",SOUTHERN-MISSISSIPPI,Southern Miss,53.9,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-11-20-23-louisiana-state,44.4,12,3.4,1,122.2,66.7,14,0.508,59,0.458,27,0.356,21,0.714,15,1,200,119.0,40.6,13,20,75,,9.5,6,0.39,23,0.261,6,50.9,27,0.544,9.3,7,36,0.583,21,0.75,3,"November 20, 2017",40.7,11,8.3,3,119.0,59.4,19,0.663,46,0.587,27,0.5,23,0.696,16,0,200,122.2,33.3,7,23,77,,7.9,5,0.37,17,0.412,7,49.1,26,0.676,18.8,13,29,0.69,20,1.0,3,"Lahaina Civic Center, Lahaina, Hawaii",MICHIGAN,Michigan,63.0,Home,LOUISIANA-STATE,LSU,Michigan,big-ten
2017-11-21-20-chaminade,59.5,22,14.6,6,94.1,63.4,26,0.781,57,0.649,37,0.316,18,0.722,13,1,200,150.0,28.6,6,12,102,,13.2,9,0.491,28,0.536,15,51.6,32,0.778,11.0,8,29,0.759,22,0.8,4,"November 21, 2017",37.5,9,0.0,0,150.0,71.4,15,0.421,63,0.381,24,0.254,16,0.688,11,0,200,94.1,36.6,15,17,64,,4.4,3,0.349,22,0.227,5,48.4,30,0.453,15.7,13,41,0.463,19,0.0,0,"Lahaina Civic Center, Lahaina, Hawaii","Chaminade
			","Chaminade
			",68.1,Away,MICHIGAN,Michigan,Michigan,big-ten
2017-11-22-17-michigan,24.0,6,6.1,2,104.6,78.1,25,0.473,56,0.446,25,0.196,11,0.636,7,3,200,92.3,19.4,6,20,60,,9.2,6,0.196,11,0.273,3,49.2,31,0.49,12.9,9,45,0.489,22,0.5,3,"November 22, 2017",40.0,10,8.9,4,92.3,80.6,25,0.519,53,0.472,25,0.415,22,0.591,13,1,200,104.6,21.9,7,14,68,,9.2,6,0.377,20,0.25,5,50.8,32,0.536,13.8,10,33,0.606,20,0.833,5,"Lahaina Civic Center, Lahaina, Hawaii",VIRGINIA-COMMONWEALTH,VCU,65.3,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-11-26-16-michigan,33.3,6,8.6,3,122.5,69.7,23,0.325,60,0.3,18,0.1,6,0.5,3,3,200,59.2,15.8,6,12,42,,8.5,6,0.233,14,0.214,3,40.8,29,0.334,19.3,15,46,0.326,15,0.4,2,"November 26, 2017",70.6,24,15.2,7,59.2,84.2,32,0.643,63,0.54,34,0.175,11,0.545,6,1,200,122.5,30.3,10,6,87,,14.1,10,0.444,28,0.464,13,59.2,42,0.638,14.0,11,35,0.6,21,0.857,6,"Crisler Arena, Ann Arbor, Michigan",CALIFORNIA-RIVERSIDE,UC-Riverside,70.5,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-11-29-19-north-carolina,57.1,16,12.8,6,119.4,66.7,18,0.5,66,0.424,28,0.167,11,0.455,5,2,200,98.6,26.5,9,16,71,,11.1,8,0.515,34,0.294,10,44.3,27,0.498,12.4,10,32,0.563,18,0.75,6,"November 29, 2017",70.6,24,18.8,6,98.6,73.5,25,0.605,62,0.548,34,0.258,16,0.688,11,1,200,119.4,33.3,9,12,86,13,2.8,2,0.242,15,0.467,7,55.7,34,0.618,14.8,12,47,0.574,27,0.857,6,"Dean Smith Center, Chapel Hill, North Carolina",MICHIGAN,Michigan,72.4,Home,NORTH-CAROLINA,UNC,Michigan,big-ten
2017-12-02-12-michigan,31.8,7,8.3,2,104.5,86.2,25,0.418,55,0.4,22,0.255,14,0.643,9,4,200,83.3,17.6,6,14,55,,6.1,4,0.127,7,0.286,2,49.2,31,0.446,14.1,10,48,0.417,20,0.5,4,"December 2, 2017",61.5,16,6.3,3,83.3,82.4,28,0.573,55,0.473,26,0.182,10,0.6,6,2,200,104.5,13.8,4,15,69,,7.6,5,0.564,31,0.355,11,50.8,32,0.577,14.4,10,24,0.625,15,0.778,7,"Crisler Arena, Ann Arbor, Michigan",INDIANA,Indiana,65.7,Home,MICHIGAN,Michigan,Michigan,big-ten
2017-12-04-18-ohio-state,59.1,13,0.0,0,112.7,80.0,20,0.441,59,0.373,22,0.237,14,0.714,10,3,200,98.4,28.9,11,20,62,,7.9,5,0.475,28,0.286,8,49.2,31,0.472,10.9,8,31,0.452,14,0.7,7,"December 4, 2017",54.5,12,12.9,4,98.4,71.1,27,0.544,45,0.489,22,0.644,29,0.759,22,3,200,112.7,20.0,5,18,71,,6.3,4,0.311,14,0.357,5,50.8,32,0.604,14.8,10,31,0.548,17,0.7,7,"Value City Arena, Columbus, Ohio",MICHIGAN,Michigan,63.2,Home,OHIO-STATE,Ohio State,Michigan,big-ten
