,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-arkansas,60.0,12,2.4,1,123.4,68.2,15,0.393,61,0.328,20,0.246,15,0.533,8,1,200,72.7,28.9,11,20,56,,7.8,6,0.475,29,0.276,8,43.3,26,0.411,21.9,19,32,0.375,12,0.0,0,"November 10, 2017",77.8,28,18.8,6,72.7,71.1,27,0.643,63,0.571,36,0.349,22,0.636,14,0,200,123.4,31.8,7,18,95,,9.1,7,0.349,22,0.409,9,56.7,34,0.647,13.1,11,41,0.659,27,1.0,1,"Bud Walton Arena, Fayetteville, Arkansas",SAMFORD,Samford,76.8,Home,ARKANSAS,Arkansas,Arkansas,sec
2017-11-12-18-arkansas,57.7,15,5.4,3,127.8,51.7,15,0.543,58,0.448,26,0.31,18,0.556,10,2,200,92.4,22.6,7,21,73,,3.8,3,0.466,27,0.407,11,36.7,22,0.548,20.5,17,31,0.484,15,0.0,0,"November 12, 2017",31.6,12,16.1,5,92.4,77.4,24,0.577,71,0.535,38,0.352,25,0.76,19,0,200,127.8,48.3,14,21,101,,12.7,10,0.211,15,0.4,6,63.3,38,0.609,13.7,13,56,0.571,32,1.0,2,"Bud Walton Arena, Fayetteville, Arkansas",BUCKNELL,Bucknell,79.2,Home,ARKANSAS,Arkansas,Arkansas,sec
2017-11-17-20-arkansas,39.3,11,4.8,2,109.2,77.1,27,0.508,61,0.459,28,0.361,22,0.591,13,1,200,98.7,33.3,12,29,75,,6.6,5,0.262,16,0.375,6,54.9,39,0.525,17.5,15,45,0.489,22,0.667,2,"November 17, 2017",55.6,15,13.3,6,98.7,66.7,24,0.518,56,0.482,27,0.679,38,0.658,25,0,200,109.2,22.9,8,21,83,,6.6,5,0.25,14,0.286,4,45.1,32,0.56,13.1,11,42,0.548,23,1.0,3,"Bud Walton Arena, Fayetteville, Arkansas",FRESNO-STATE,Fresno State,75.8,Home,ARKANSAS,Arkansas,Arkansas,sec
2017-11-23-17-oklahoma,50.0,14,11.1,4,94.3,86.1,31,0.5,65,0.431,28,0.508,33,0.818,27,0,200,104.5,25.7,9,19,92,,9.1,8,0.277,18,0.5,9,56.3,40,0.57,16.8,16,47,0.404,19,1.0,4,"November 23, 2017",50.0,15,8.5,4,104.5,74.3,26,0.523,65,0.462,30,0.308,20,0.75,15,1,200,94.3,13.9,5,24,83,,10.2,9,0.446,29,0.276,8,43.7,31,0.557,20.5,19,36,0.611,22,0.667,2,"Moda Center, Portland, Oregon",OKLAHOMA,Oklahoma,88.1,Away,ARKANSAS,Arkansas,Arkansas,sec
2017-11-24-15-arkansas,51.6,16,15.6,7,87.2,82.5,33,0.556,63,0.492,31,0.333,21,0.81,17,0,200,111.5,32.1,9,13,87,9,2.6,2,0.254,16,0.5,8,61.8,42,0.596,16.2,14,47,0.489,23,1.0,5,"November 24, 2017",37.0,10,19.1,9,111.5,67.9,19,0.438,72,0.375,27,0.111,8,0.625,5,1,200,87.2,17.5,7,19,68,,10.3,8,0.375,27,0.333,9,38.2,26,0.449,10.6,9,45,0.4,18,0.8,4,"Memorial Coliseum, Portland, Oregon",ARKANSAS,Arkansas,77.9,Away,NORTH-CAROLINA,UNC,Arkansas,sec
2017-11-26-15-connecticut,48.5,16,2.9,1,85.9,83.8,31,0.7,55,0.6,33,0.6,33,0.758,25,1,200,130.8,31.8,7,17,102,,6.4,5,0.345,19,0.579,11,64.4,38,0.722,15.8,13,36,0.611,22,0.833,5,"November 26, 2017",39.1,9,2.8,1,130.8,68.2,15,0.434,61,0.377,23,0.361,22,0.636,14,2,200,85.9,16.2,6,26,67,,10.3,8,0.426,26,0.269,7,35.6,21,0.469,16.5,14,35,0.457,16,0.667,4,"Moda Center, Portland, Oregon",CONNECTICUT,UConn,78.1,Away,ARKANSAS,Arkansas,Arkansas,sec
2017-12-02-19-houston,36.8,7,2.9,1,121.3,70.8,17,0.4,55,0.345,19,0.545,30,0.7,21,2,200,86.7,18.9,7,19,65,,5.3,4,0.345,19,0.316,6,39.3,24,0.469,16.0,13,36,0.361,13,0.714,5,"December 2, 2017",65.5,19,11.1,4,86.7,81.1,30,0.607,56,0.518,29,0.5,28,0.821,23,1,200,121.3,29.2,7,26,91,,10.7,8,0.375,21,0.476,10,60.7,37,0.657,14.9,12,35,0.543,19,0.857,6,"Health & Physical Education Arena, Houston, Texas",ARKANSAS,Arkansas,74.8,Home,HOUSTON,Houston,Arkansas,sec
2017-12-05-20-arkansas,42.1,8,2.3,1,126.0,78.1,25,0.452,52,0.365,19,0.538,28,0.679,19,5,200,90.4,31.3,10,18,66,,4.1,3,0.481,25,0.36,9,54.7,35,0.505,20.9,17,27,0.37,10,0.444,4,"December 5, 2017",62.9,22,11.1,3,90.4,68.8,22,0.59,67,0.522,35,0.269,18,0.722,13,2,200,126.0,21.9,7,22,92,,8.2,6,0.358,24,0.375,9,45.3,29,0.609,6.3,5,43,0.605,26,0.75,6,"Bud Walton Arena, Fayetteville, Arkansas",COLORADO-STATE,Colorado State,72.9,Home,ARKANSAS,Arkansas,Arkansas,sec
2017-12-09-18-arkansas,40.0,10,4.4,2,121.8,80.6,25,0.451,61,0.41,25,0.607,37,0.649,24,3,200,101.3,26.5,9,19,79,14,3.8,3,0.311,19,0.263,5,52.3,34,0.503,11.5,10,42,0.476,20,0.727,8,"December 9, 2017",59.0,23,21.4,9,101.3,73.5,25,0.647,68,0.574,39,0.191,13,0.538,7,2,200,121.8,19.4,6,27,95,,6.4,5,0.338,23,0.435,10,47.7,31,0.64,9.8,8,45,0.644,29,0.778,7,"Bud Walton Arena, Fayetteville, Arkansas",MINNESOTA,Minnesota,77.9,Home,ARKANSAS,Arkansas,Arkansas,sec
2017-12-16-20-arkansas,50.0,9,9.8,4,120.5,75.0,24,0.373,59,0.305,18,0.424,25,0.76,19,6,200,86.3,15.4,6,14,63,,5.5,4,0.492,29,0.276,8,42.3,30,0.444,12.5,10,30,0.333,10,0.455,5,"December 16, 2017",55.9,19,26.7,8,86.3,84.6,33,0.594,64,0.531,34,0.297,19,0.632,12,2,200,120.5,25.0,8,20,88,,9.6,7,0.359,23,0.348,8,57.7,41,0.603,7.7,6,41,0.634,26,0.8,8,"Verizon Arena, North Little Rock, Arkansas",TROY,Troy,73.0,Home,ARKANSAS,Arkansas,Arkansas,sec
