,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-mississippi,53.8,14,4.5,2,116.0,61.1,22,0.423,71,0.366,26,0.324,23,0.696,16,1,200,93.8,28.9,13,23,76,,7.4,6,0.324,23,0.348,8,43.2,35,0.464,13.8,13,48,0.375,18,0.0,0,"November 10, 2017",51.5,17,14.6,7,93.8,71.1,32,0.562,65,0.508,33,0.477,31,0.677,21,0,200,116.0,38.9,14,19,94,,7.4,6,0.323,21,0.333,7,56.8,46,0.59,15.1,14,44,0.591,26,1.0,1,"The Pavilion at Ole Miss, Oxford, Mississippi",LOUISIANA-LAFAYETTE,Louisiana,80.8,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-11-13-18-mississippi,38.5,10,7.3,3,121.4,69.4,25,0.569,51,0.51,26,0.431,22,0.773,17,1,200,107.1,13.6,3,17,75,,5.7,4,0.235,12,0.5,6,48.3,28,0.61,16.5,12,39,0.513,20,0.5,1,"November 13, 2017",63.3,19,10.3,4,107.1,86.4,19,0.556,63,0.476,30,0.349,22,0.682,15,0,200,121.4,30.6,11,15,85,,11.4,8,0.349,22,0.455,10,51.7,30,0.579,9.9,8,41,0.488,20,1.0,2,"The Pavilion at Ole Miss, Oxford, Mississippi",EASTERN-KENTUCKY,Eastern Kentucky,70.5,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-11-17-19-mississippi,37.5,9,4.0,1,108.5,72.4,21,0.528,53,0.453,24,0.415,22,0.727,16,1,200,101.4,29.0,9,30,72,,7.0,5,0.396,21,0.381,8,50.0,30,0.567,20.3,16,32,0.5,16,0.667,2,"November 17, 2017",56.5,13,18.8,6,101.4,71.0,22,0.529,52,0.442,23,0.577,30,0.733,22,0,200,108.5,27.6,8,22,77,,7.0,5,0.519,27,0.333,9,50.0,30,0.581,16.6,13,25,0.56,14,1.0,3,"The Pavilion at Ole Miss, Oxford, Mississippi",GEORGIA-STATE,Georgia State,70.9,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-11-21-00-utah,36.0,9,15.4,4,115.3,56.0,14,0.5,58,0.431,25,0.362,21,0.762,16,1,200,102.8,32.4,11,23,74,,19.4,14,0.414,24,0.333,8,42.4,25,0.544,18.2,15,34,0.5,17,0.75,3,"November 21, 2017",65.4,17,2.9,1,102.8,67.6,23,0.573,55,0.473,26,0.436,24,0.833,20,0,200,115.3,44.0,11,18,83,,12.5,9,0.527,29,0.379,11,57.6,34,0.625,19.6,16,26,0.577,15,1.0,4,"T-Mobile Arena, Las Vegas, Nevada",MISSISSIPPI,Ole Miss,71.7,Home,UTAH,Utah,Mississippi,sec
2017-11-22-22-rice,65.5,19,12.5,4,86.1,69.2,27,0.583,60,0.483,29,0.233,14,0.643,9,1,200,109.7,32.1,9,18,79,,12.5,9,0.533,32,0.375,12,53.7,36,0.593,16.4,13,28,0.607,17,0.8,4,"November 22, 2017",66.7,14,7.1,2,109.7,67.9,19,0.389,63,0.333,21,0.317,20,0.65,13,4,200,86.1,30.8,12,14,62,,5.6,4,0.492,31,0.226,7,46.3,31,0.428,15.3,13,32,0.438,14,0.2,1,"T-Mobile Arena, Las Vegas, Nevada",RICE,Rice,72.1,Away,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-11-28-20-mississippi,62.9,22,2.2,1,111.5,80.6,29,0.595,74,0.473,35,0.189,14,0.786,11,2,225,113.8,23.7,9,22,99,,5.7,5,0.554,41,0.439,18,51.4,38,0.614,14.9,14,33,0.515,17,0.778,7,"November 28, 2017",52.8,19,6.1,2,113.8,76.3,29,0.549,72,0.5,36,0.375,27,0.667,18,2,225,111.5,19.4,7,18,97,,8.0,7,0.375,27,0.259,7,48.6,36,0.572,10.7,10,45,0.644,29,0.667,4,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,77.1,Away,SOUTH-DAKOTA-STATE,South Dakota State,Mississippi,sec
2017-12-02-14-mississippi,72.0,18,2.4,1,94.1,73.7,28,0.5,57,0.439,25,0.649,37,0.703,26,1,225,97.6,15.2,5,21,83,,7.1,6,0.386,22,0.318,7,46.5,33,0.556,16.0,14,35,0.514,18,0.875,7,"December 2, 2017",58.6,17,20.0,7,97.6,84.8,28,0.459,73,0.397,29,0.329,24,0.542,13,3,225,94.1,26.3,10,28,80,,3.5,3,0.425,31,0.29,9,53.5,38,0.474,12.6,12,42,0.476,20,0.571,4,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,75.5,Away,VIRGINIA-TECH,Virginia Tech,Mississippi,sec
2017-12-09-18-middle-tennessee,75.0,15,10.0,4,118.5,77.8,21,0.45,50,0.4,20,0.3,15,0.867,13,4,200,89.2,14.8,4,11,58,,4.6,3,0.36,18,0.278,5,46.3,25,0.508,16.3,11,32,0.469,15,0.5,4,"December 9, 2017",71.0,22,12.5,4,89.2,85.2,23,0.556,62,0.5,31,0.145,9,0.889,8,1,200,118.5,22.2,6,14,77,,9.2,6,0.355,22,0.318,7,53.7,29,0.581,8.3,6,40,0.6,24,0.875,7,"Murphy Athletic Center, Murfreesboro, Tennessee",MISSISSIPPI,Ole Miss,65.2,Home,MIDDLE-TENNESSEE,Middle Tennessee,Mississippi,sec
2017-12-13-20-mississippi,73.1,19,6.5,2,118.8,64.5,20,0.477,64,0.406,26,0.172,11,0.727,8,5,200,100.0,21.6,8,19,69,,7.2,5,0.359,23,0.391,9,41.2,28,0.498,10.4,8,41,0.415,17,0.5,5,"December 13, 2017",67.7,21,9.8,4,100.0,78.4,29,0.6,60,0.517,31,0.283,17,0.588,10,4,200,118.8,35.5,11,11,82,,5.8,4,0.483,29,0.345,10,58.8,40,0.602,14.0,11,31,0.677,21,0.556,5,"The Pavilion at Ole Miss, Oxford, Mississippi",SAM-HOUSTON-STATE,Sam Houston State,68.7,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-12-16-15-mississippi,64.5,20,12.8,6,110.2,69.8,30,0.514,73,0.425,31,0.425,31,0.839,26,6,225,114.8,36.1,13,30,101,,5.7,5,0.425,31,0.419,13,54.4,43,0.576,14.8,15,42,0.429,18,0.455,5,"December 16, 2017",71.0,22,19.0,8,114.8,63.9,23,0.473,73,0.425,31,0.507,37,0.757,28,5,225,110.2,30.2,13,19,97,,8.0,7,0.356,26,0.269,7,45.6,36,0.535,9.2,9,47,0.511,24,0.5,5,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,78.4,Away,ILLINOIS-STATE,Illinois State,Mississippi,sec
2017-12-19-19-mississippi,73.1,19,4.5,1,119.7,71.4,15,0.484,61,0.426,26,0.098,6,0.667,4,7,200,88.7,25.9,7,21,63,,8.5,6,0.23,14,0.5,7,45.8,22,0.493,18.0,14,47,0.404,19,0.3,3,"December 19, 2017",89.3,25,21.3,10,88.7,74.1,20,0.673,52,0.538,28,0.404,21,0.714,15,5,200,119.7,28.6,6,12,85,,11.3,8,0.577,30,0.467,14,54.2,26,0.686,19.7,15,22,0.636,14,0.545,6,"The Pavilion at Ole Miss, Oxford, Mississippi",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-12-22-19-mississippi,65.0,13,5.6,2,102.5,77.4,24,0.387,62,0.323,20,0.339,21,0.524,11,3,200,73.8,33.3,14,17,59,,12.5,10,0.387,24,0.333,8,52.1,38,0.41,23.6,22,38,0.316,12,0.769,10,"December 22, 2017",62.1,18,18.4,7,73.8,66.7,28,0.556,63,0.46,29,0.222,14,0.857,12,5,200,102.5,22.6,7,14,82,,12.5,10,0.429,27,0.444,12,47.9,35,0.589,19.7,17,36,0.472,17,0.583,7,"The Pavilion at Ole Miss, Oxford, Mississippi",BRADLEY,Bradley,79.8,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2017-12-31-18-mississippi,72.7,16,14.3,4,101.4,93.1,27,0.448,58,0.379,22,0.448,26,0.654,17,4,200,94.5,29.0,9,21,69,,2.7,2,0.345,20,0.4,8,60.0,36,0.49,16.8,14,38,0.368,14,0.692,9,"December 31, 2017",75.0,15,18.4,7,94.5,71.0,22,0.49,49,0.408,20,0.673,33,0.788,26,5,200,101.4,6.9,2,23,74,,12.3,9,0.429,21,0.381,8,40.0,24,0.572,9.9,7,28,0.429,12,0.615,8,"The Pavilion at Ole Miss, Oxford, Mississippi",SOUTH-CAROLINA,South Carolina,72.5,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2018-01-03-18-georgia,24.0,6,7.9,3,104.4,66.7,24,0.4,70,0.357,25,0.086,6,0.667,4,6,200,88.2,32.5,13,23,60,,8.8,6,0.371,26,0.231,6,48.7,37,0.412,12.1,10,44,0.432,19,0.571,8,"January 3, 2018",66.7,16,13.6,6,88.2,67.5,27,0.482,57,0.421,24,0.386,22,0.727,16,3,200,104.4,33.3,12,12,71,,5.9,4,0.333,19,0.368,7,51.3,39,0.526,14.2,11,38,0.447,17,0.769,10,"Stegeman Coliseum, Athens, Georgia",MISSISSIPPI,Ole Miss,68.2,Home,GEORGIA,Georgia,Mississippi,sec
2018-01-06-16-mississippi,59.1,13,11.8,4,87.7,79.4,27,0.389,63,0.349,22,0.27,17,0.529,9,2,200,79.5,28.9,11,21,58,,5.5,4,0.365,23,0.217,5,52.8,38,0.408,16.6,14,40,0.425,17,0.867,13,"January 6, 2018",47.6,10,12.5,5,79.5,71.1,27,0.395,62,0.339,21,0.355,22,0.682,15,6,200,87.7,20.6,7,14,64,,8.2,6,0.452,28,0.25,7,47.2,34,0.442,8.9,7,34,0.412,14,0.6,9,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI-STATE,Mississippi State,73.3,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2018-01-09-21-auburn,36.4,8,11.8,4,110.4,69.7,23,0.4,65,0.338,22,0.415,27,0.667,18,7,200,90.9,34.1,15,27,70,,7.8,6,0.446,29,0.276,8,49.4,38,0.45,13.5,12,36,0.389,14,0.562,9,"January 9, 2018",64.0,16,22.2,8,90.9,65.9,29,0.5,56,0.446,25,0.661,37,0.784,29,1,200,110.4,30.3,10,20,85,22,6.5,5,0.393,22,0.273,6,50.6,39,0.578,17.2,15,34,0.559,19,0.938,15,"Auburn Arena, Auburn, Alabama",MISSISSIPPI,Ole Miss,76.7,Home,AUBURN,Auburn,Mississippi,sec
2018-01-13-13-mississippi,60.9,14,10.0,4,106.8,76.5,26,0.459,61,0.377,23,0.361,22,0.727,16,5,200,98.6,24.3,9,20,72,,11.0,8,0.475,29,0.345,10,49.3,35,0.504,12.4,10,32,0.406,13,0.706,12,"January 13, 2018",68.0,17,9.4,3,98.6,75.7,28,0.483,58,0.431,25,0.448,26,0.846,22,7,200,106.8,23.5,8,15,78,,5.5,4,0.31,18,0.333,6,50.7,36,0.554,13.7,11,40,0.475,19,0.588,10,"The Pavilion at Ole Miss, Oxford, Mississippi",FLORIDA,Florida,72.9,Home,MISSISSIPPI,Ole Miss,Mississippi,sec
2018-01-16-21-texas-am,70.4,19,4.9,2,112.7,58.6,17,0.5,59,0.458,27,0.22,13,0.769,10,8,200,109.5,36.7,11,15,69,,4.8,3,0.356,21,0.238,5,47.5,28,0.529,12.2,9,38,0.579,22,0.556,10,"January 16, 2018",58.6,17,10.5,4,109.5,63.3,19,0.553,57,0.509,29,0.281,16,0.5,8,6,200,112.7,41.4,12,13,71,,9.5,6,0.281,16,0.313,5,52.5,31,0.55,13.5,10,41,0.585,24,0.667,12,"Reed Arena, College Station, Texas",MISSISSIPPI,Ole Miss,62.9,Home,TEXAS-AM,Texas A&M,Mississippi,sec
