,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-murray-state,50.0,11,2.9,1,147.5,58.3,14,0.362,69,0.319,22,0.203,14,0.786,11,0,200,76.3,22.7,10,26,61,,5.0,4,0.362,25,0.24,6,35.3,24,0.403,16.6,15,44,0.364,16,0.0,0,"November 10, 2017",65.0,26,13.6,6,76.3,77.3,34,0.802,58,0.69,40,0.603,35,0.714,25,0,200,147.5,41.7,10,18,118,,11.3,9,0.397,23,0.565,13,64.7,44,0.791,16.0,14,35,0.771,27,1.0,1,"CFSB Center, Murray, Kentucky","Brescia
			","Brescia
			",79.6,Home,MURRAY-STATE,Murray State,Murray State,ovc
2017-11-13-20-murray-state,36.0,9,5.3,2,90.5,76.7,23,0.447,57,0.439,25,0.386,22,0.955,21,0,200,97.3,35.5,11,25,72,,13.5,10,0.211,12,0.083,1,55.7,34,0.534,20.3,17,45,0.533,24,1.0,2,"November 13, 2017",45.5,10,6.7,3,97.3,64.5,20,0.435,54,0.407,22,0.444,24,0.833,20,1,200,90.5,23.3,7,22,67,,8.1,6,0.296,16,0.188,3,44.3,27,0.512,20.8,17,38,0.5,19,0.5,1,"CFSB Center, Murray, Kentucky",MURRAY-STATE,Murray State,74.4,Away,MIDDLE-TENNESSEE,Middle Tennessee,Murray State,ovc
2017-11-18-19-wright-state,56.3,18,5.3,2,88.4,70.6,24,0.633,60,0.533,32,0.1,6,0.667,4,1,200,115.9,33.3,9,21,80,,10.1,7,0.4,24,0.5,12,54.1,33,0.636,19.3,15,36,0.556,20,0.667,2,"November 18, 2017",33.3,7,0.0,0,115.9,66.7,18,0.426,54,0.389,21,0.37,20,0.75,15,3,200,88.4,29.4,10,8,61,,8.7,6,0.296,16,0.25,4,45.9,28,0.48,19.3,15,38,0.447,17,0.0,0,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,68.7,Away,MURRAY-STATE,Murray State,Murray State,ovc
2017-11-25-20-murray-state,37.9,11,6.5,2,115.7,67.9,19,0.5,65,0.446,29,0.154,10,0.8,8,2,200,104.3,17.2,5,21,73,,12.9,9,0.323,21,0.333,7,42.1,24,0.523,8.0,6,44,0.5,22,0.5,2,"November 25, 2017",51.9,14,11.4,5,104.3,82.8,24,0.573,55,0.491,27,0.436,24,0.75,18,1,200,115.7,32.1,9,16,81,,4.3,3,0.436,24,0.375,9,57.9,33,0.61,15.5,12,31,0.581,18,0.75,3,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,70.1,Home,MURRAY-STATE,Murray State,Murray State,ovc
2017-11-28-20-murray-state,38.1,8,11.1,4,116.4,63.3,19,0.471,52,0.404,21,0.173,9,0.778,7,0,200,76.7,17.2,5,18,56,,8.2,6,0.423,22,0.318,7,40.7,24,0.498,27.3,21,30,0.467,14,0.0,0,"November 28, 2017",58.6,17,13.3,4,76.7,82.8,24,0.55,60,0.483,29,0.383,23,0.826,19,1,200,116.4,36.7,11,13,85,,15.1,11,0.4,24,0.333,8,59.3,35,0.599,16.6,14,36,0.583,21,0.8,4,"CFSB Center, Murray, Kentucky","Harris-Stowe
			","Harris-Stowe
			",73.1,Home,MURRAY-STATE,Murray State,Murray State,ovc
2017-12-02-20-murray-state,27.3,6,11.4,5,125.0,54.5,18,0.43,57,0.386,22,0.193,11,0.909,10,9,200,92.2,37.1,13,17,59,,3.1,2,0.298,17,0.294,5,45.6,31,0.474,17.4,13,40,0.425,17,0.1,1,"December 2, 2017",54.8,17,10.0,4,92.2,62.9,22,0.515,65,0.477,31,0.323,21,0.619,13,1,200,125.0,45.5,15,13,80,,14.1,9,0.323,21,0.238,5,54.4,37,0.534,6.3,5,44,0.591,26,0.833,5,"CFSB Center, Murray, Kentucky",FLORIDA-AM,Florida A&M,63.6,Home,MURRAY-STATE,Murray State,Murray State,ovc
2017-12-09-16-illinois-state,60.7,17,17.4,4,109.1,80.6,25,0.571,56,0.5,28,0.286,16,0.875,14,1,200,118.2,27.6,8,20,78,,3.0,2,0.429,24,0.333,8,55.0,33,0.613,13.7,10,32,0.625,20,0.857,6,"December 9, 2017",59.1,13,3.1,1,118.2,72.4,21,0.519,54,0.407,22,0.37,20,0.8,16,6,200,109.1,19.4,6,17,72,,1.5,1,0.574,31,0.387,12,45.0,27,0.567,12.5,9,23,0.435,10,0.4,4,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,66.1,Away,MURRAY-STATE,Murray State,Murray State,ovc
2017-12-12-20-saint-louis,47.4,9,15.8,6,97.2,68.3,28,0.391,55,0.345,19,0.345,19,0.632,12,2,200,77.5,25.0,9,22,55,,5.6,4,0.327,18,0.278,5,48.1,37,0.43,19.1,15,37,0.378,14,0.75,6,"December 12, 2017",63.6,14,13.5,5,77.5,75.0,27,0.411,62,0.355,22,0.484,30,0.6,18,5,200,97.2,31.7,13,15,69,,15.5,11,0.387,24,0.292,7,51.9,40,0.452,10.7,9,38,0.395,15,0.5,5,"Chaifetz Arena, St. Louis, Missouri",MURRAY-STATE,Murray State,71.1,Home,SAINT-LOUIS,Saint Louis,Murray State,ovc
2017-12-16-20-murray-state,57.9,11,5.4,2,151.5,55.0,11,0.571,42,0.452,19,0.571,24,0.625,15,9,200,95.5,16.7,4,20,63,,6.1,4,0.595,25,0.4,10,34.1,15,0.59,23.3,16,17,0.529,9,0.182,2,"December 16, 2017",55.6,20,29.4,5,95.5,83.3,20,0.707,58,0.621,36,0.379,22,0.818,18,2,200,151.5,45.0,9,19,100,,13.6,9,0.362,21,0.476,10,65.9,29,0.73,9.4,7,37,0.703,26,0.778,7,"CFSB Center, Murray, Kentucky",MARIST,Marist,65.9,Home,MURRAY-STATE,Murray State,Murray State,ovc
2017-12-19-20-murray-state,40.7,11,22.2,10,105.5,60.9,28,0.516,64,0.422,27,0.266,17,0.882,15,1,200,111.0,29.7,11,20,81,,4.1,3,0.422,27,0.444,12,47.0,39,0.562,14.4,12,37,0.405,15,0.909,10,"December 19, 2017",50.0,13,13.5,5,111.0,70.3,26,0.442,69,0.377,26,0.333,23,0.696,16,3,200,105.5,39.1,18,16,77,,8.2,6,0.348,24,0.375,9,53.0,44,0.482,12.2,11,45,0.378,17,0.7,7,"CFSB Center, Murray, Kentucky",MURRAY-STATE,Murray State,73.0,Away,AUBURN,Auburn,Murray State,ovc
