,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-22-nevada,72.7,16,5.1,2,111.4,84.4,27,0.414,58,0.379,22,0.362,21,0.762,16,1,200,81.0,20.6,7,24,64,,5.1,4,0.328,19,0.211,4,51.5,34,0.471,20.2,17,39,0.462,18,0.0,0,"November 10, 2017",70.0,21,17.9,7,81.0,79.4,27,0.54,62,0.484,30,0.419,26,0.808,21,0,200,111.4,15.6,5,22,88,,12.7,10,0.371,23,0.304,7,48.5,32,0.592,12.0,10,39,0.59,23,1.0,1,"Lawlor Events Center, Reno, Nevada",IDAHO,Idaho,78.7,Home,NEVADA,Nevada,Nevada,mwc
2017-11-13-23-nevada,54.8,17,3.3,1,118.9,68.4,13,0.507,70,0.443,31,0.257,18,0.556,10,1,200,109.5,40.0,16,28,81,,6.8,5,0.314,22,0.409,9,49.2,29,0.516,15.2,14,48,0.458,22,0.5,1,"November 13, 2017",54.2,13,8.3,4,109.5,60.0,24,0.605,43,0.558,24,1.023,44,0.818,36,0,200,118.9,31.6,6,17,88,,9.5,7,0.302,13,0.308,4,50.8,30,0.689,18.3,14,30,0.667,20,1.0,2,"Lawlor Events Center, Reno, Nevada",RHODE-ISLAND,Rhode Island,74.2,Home,NEVADA,Nevada,Nevada,mwc
2017-11-15-22-santa-clara,75.0,27,14.3,5,92.6,77.5,31,0.659,66,0.545,36,0.152,10,0.6,6,0,200,136.8,40.0,12,17,93,,4.4,3,0.455,30,0.5,15,61.4,43,0.657,13.5,11,36,0.583,21,1.0,3,"November 15, 2017",65.2,15,0.0,0,136.8,60.0,18,0.466,59,0.39,23,0.288,17,0.471,8,1,200,92.6,22.5,9,17,63,,5.9,4,0.407,24,0.375,9,38.6,27,0.47,11.9,9,35,0.4,14,0.5,1,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,68.4,Away,NEVADA,Nevada,Nevada,mwc
2017-11-18-22-pacific,63.0,17,7.4,4,100.0,68.3,28,0.53,67,0.403,27,0.299,20,0.9,18,0,200,120.3,30.8,12,21,89,,5.4,4,0.507,34,0.5,17,50.0,40,0.582,11.7,10,33,0.303,10,1.0,4,"November 18, 2017",28.6,8,15.2,5,120.3,69.2,27,0.447,66,0.424,28,0.348,23,0.652,15,3,200,100.0,31.7,13,20,74,,8.1,6,0.182,12,0.25,3,50.0,40,0.481,11.6,10,54,0.463,25,0.0,0,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,74.2,Away,NEVADA,Nevada,Nevada,mwc
2017-11-21-22-nevada,78.3,18,0.0,0,114.1,91.7,22,0.527,56,0.411,23,0.196,11,0.818,9,1,200,95.8,16.1,5,16,68,,7.0,5,0.643,36,0.361,13,49.1,27,0.555,19.8,15,20,0.5,10,0.667,2,"November 21, 2017",66.7,20,20.0,4,95.8,83.9,26,0.639,54,0.556,30,0.315,17,0.706,12,0,200,114.1,8.3,2,15,81,,15.5,11,0.37,20,0.45,9,50.9,28,0.652,14.0,10,34,0.618,21,1.0,5,"Lawlor Events Center, Reno, Nevada",DAVIDSON,Davidson,70.7,Home,NEVADA,Nevada,Nevada,mwc
2017-11-25-01-hawaii,36.4,8,13.9,5,76.1,81.8,27,0.49,50,0.44,22,0.58,29,0.621,18,0,200,94.4,18.2,6,23,67,,9.9,7,0.34,17,0.294,5,50.0,33,0.525,14.9,11,33,0.515,17,1.0,6,"November 25, 2017",45.0,9,9.1,3,94.4,81.8,27,0.413,52,0.385,20,0.404,21,0.524,11,1,200,76.1,18.2,6,21,54,,5.6,4,0.308,16,0.188,3,50.0,33,0.436,21.7,17,36,0.472,17,0.75,3,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,70.9,Away,NEVADA,Nevada,Nevada,mwc
2017-11-29-22-nevada,58.3,14,3.0,1,124.1,65.5,19,0.536,56,0.429,24,0.268,15,0.533,8,4,200,86.1,9.1,3,20,68,,6.3,5,0.589,33,0.364,12,35.5,22,0.539,24.2,20,23,0.522,12,0.429,3,"November 29, 2017",71.4,25,13.0,3,86.1,90.9,30,0.677,62,0.565,35,0.339,21,0.667,14,0,200,124.1,34.5,10,14,98,,10.1,8,0.468,29,0.483,14,64.5,40,0.681,18.3,16,33,0.636,21,1.0,7,"Lawlor Events Center, Reno, Nevada",ILLINOIS-STATE,Illinois State,79.1,Home,NEVADA,Nevada,Nevada,mwc
2017-12-02-22-california-irvine,65.4,17,6.0,3,100.0,57.1,24,0.544,57,0.456,26,0.368,21,0.667,14,0,200,116.9,18.2,6,14,76,,4.6,3,0.386,22,0.455,10,40.0,30,0.567,7.0,5,35,0.457,16,1.0,8,"December 2, 2017",39.3,11,11.4,4,116.9,81.8,27,0.462,65,0.431,28,0.169,11,0.455,5,6,200,100.0,42.9,18,15,65,,4.6,3,0.231,15,0.267,4,60.0,45,0.463,14.7,12,50,0.48,24,0.4,4,"Bren Events Center, Irvine, California",CALIFORNIA-IRVINE,UC-Irvine,65.1,Away,NEVADA,Nevada,Nevada,mwc
2017-12-05-20-texas-tech,52.0,13,4.3,2,98.8,75.0,27,0.525,59,0.424,25,0.288,17,0.824,14,1,225,91.6,13.8,4,27,76,22,9.6,8,0.508,30,0.4,12,47.7,31,0.567,23.1,20,29,0.448,13,0.889,8,"December 5, 2017",30.8,8,17.2,5,91.6,86.2,25,0.452,62,0.419,26,0.613,38,0.684,26,1,225,98.8,25.0,9,14,82,,12.0,10,0.258,16,0.25,4,52.3,34,0.512,13.2,12,46,0.478,22,0.875,7,"United Supermarkets Arena, Lubbock, Texas",NEVADA,Nevada,73.8,Home,TEXAS-TECH,Texas Tech,Nevada,mwc
2017-12-09-01-texas-christian,40.7,11,8.3,3,118.3,83.3,20,0.508,59,0.458,27,0.508,30,0.667,20,2,200,112.7,40.6,13,18,80,22,5.6,4,0.305,18,0.333,6,58.9,33,0.546,12.2,10,41,0.512,21,0.8,8,"December 9, 2017",33.3,10,9.8,4,112.7,59.4,19,0.648,54,0.556,30,0.389,21,0.667,14,0,200,118.3,16.7,4,21,84,20,8.5,6,0.333,18,0.556,10,41.1,23,0.657,14.8,11,36,0.556,20,1.0,10,"Staples Center, Los Angeles, California",NEVADA,Nevada,70.6,Home,TEXAS-CHRISTIAN,TCU,Nevada,mwc
