,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-st-johns-ny,42.9,9,3.8,1,106.9,82.8,24,0.426,54,0.389,21,0.389,21,0.714,15,1,200,84.7,41.9,13,17,61,,5.6,4,0.259,14,0.286,4,61.7,37,0.477,24.9,21,40,0.425,17,0.0,0,"November 10, 2017",68.0,17,7.5,3,84.7,58.1,18,0.554,56,0.446,25,0.339,19,0.789,15,0,200,106.9,17.2,5,19,77,,13.9,10,0.536,30,0.4,12,38.3,23,0.592,14.6,11,26,0.5,13,1.0,1,"Carnesecca Arena, Jamaica, New York",NEW-ORLEANS,New Orleans,71.5,Home,ST-JOHNS-NY,St. John's (NY),New Orleans,southland
2017-11-13-19-oakland,77.8,21,12.1,4,122.5,73.9,17,0.475,60,0.45,27,0.333,20,0.55,11,2,200,95.8,24.2,8,20,68,,12.7,9,0.133,8,0.375,3,44.6,25,0.489,12.7,10,52,0.462,24,0.0,0,"November 13, 2017",69.7,23,11.5,6,95.8,75.8,25,0.69,58,0.569,33,0.19,11,0.636,7,0,200,122.5,26.1,6,20,87,,5.6,4,0.431,25,0.56,14,55.4,31,0.688,18.2,14,33,0.576,19,1.0,2,"Athletics Center O'rena, Rochester, Michigan",NEW-ORLEANS,New Orleans,71.4,Home,OAKLAND,Oakland,New Orleans,southland
2017-11-21-20-memphis,70.0,14,11.8,4,98.4,73.1,19,0.438,48,0.417,20,0.333,16,0.625,10,3,200,81.3,31.0,9,23,52,,14.1,9,0.292,14,0.143,2,50.9,28,0.468,21.4,15,34,0.529,18,0.0,0,"November 21, 2017",71.4,15,11.8,4,81.3,69.0,20,0.479,47,0.447,21,0.532,25,0.72,18,1,200,98.4,26.9,7,16,63,,9.4,6,0.277,13,0.231,3,49.1,27,0.535,19.4,14,34,0.529,18,0.667,2,"FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,63.7,Home,MEMPHIS,Memphis,New Orleans,southland
2017-11-24-15-new-orleans,57.7,15,2.9,1,105.7,73.9,17,0.492,59,0.441,26,0.22,13,0.692,9,0,200,95.7,36.4,12,30,67,,8.6,6,0.322,19,0.316,6,51.8,29,0.514,21.8,18,40,0.5,20,0.0,0,"November 24, 2017",81.8,18,7.5,3,95.7,63.6,21,0.561,41,0.537,22,0.951,39,0.718,28,3,200,105.7,26.1,6,16,74,,12.9,9,0.146,6,0.333,2,48.2,27,0.622,21.6,16,35,0.571,20,0.25,1,"Kiefer Lakefront Arena, New Orleans , Louisiana","Spring Hill
			","Spring Hill
			",70.4,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2017-11-26-16-south-alabama,61.9,13,4.5,1,84.6,80.0,24,0.441,51,0.412,21,0.216,11,0.636,7,4,200,80.0,35.5,11,23,52,,10.8,7,0.255,13,0.231,3,57.4,35,0.462,25.4,19,38,0.474,18,0.2,1,"November 26, 2017",64.7,11,2.6,1,80.0,64.5,20,0.476,42,0.405,17,0.643,27,0.556,15,3,200,84.6,20.0,6,14,55,,12.3,8,0.476,20,0.3,6,42.6,26,0.502,22.9,16,22,0.5,11,0.571,4,"Mitchell Center, Mobile, Alabama",NEW-ORLEANS,New Orleans,64.5,Home,SOUTH-ALABAMA,South Alabama,New Orleans,southland
2017-11-29-20-houston,44.4,12,0.0,0,104.2,74.1,20,0.604,48,0.563,27,0.333,16,0.5,8,5,200,91.7,8.7,2,19,66,,9.7,7,0.208,10,0.4,4,44.0,22,0.594,26.7,20,38,0.605,23,0.167,1,"November 29, 2017",52.0,13,0.0,0,91.7,91.3,21,0.57,50,0.5,25,0.46,23,0.783,18,1,200,104.2,25.9,7,19,75,,15.3,11,0.36,18,0.389,7,56.0,28,0.616,22.0,17,32,0.563,18,0.833,5,"Health & Physical Education Arena, Houston, Texas",NEW-ORLEANS,New Orleans,72.3,Home,HOUSTON,Houston,New Orleans,southland
2017-12-02-15-new-orleans,74.1,20,2.3,1,111.5,67.7,21,0.5,66,0.409,27,0.121,8,0.5,4,0,200,89.7,12.5,5,15,70,,16.7,13,0.47,31,0.387,12,36.6,26,0.501,15.8,13,35,0.429,15,0.0,0,"December 2, 2017",67.6,23,20.0,7,89.7,87.5,35,0.603,63,0.54,34,0.254,16,0.688,11,5,200,111.5,32.3,10,14,87,,9.0,7,0.302,19,0.421,8,63.4,45,0.616,20.4,18,44,0.591,26,0.286,2,"Kiefer Lakefront Arena, New Orleans , Louisiana","Williams Baptist
			","Williams Baptist
			",78.2,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2017-12-13-20-southern-methodist,60.0,15,6.3,2,114.5,64.0,16,0.547,53,0.472,25,0.264,14,0.571,8,6,200,95.7,28.6,8,16,66,,13.0,9,0.283,15,0.533,8,45.3,24,0.553,22.3,17,38,0.447,17,0.25,2,"December 13, 2017",82.8,24,10.5,4,95.7,71.4,20,0.639,54,0.537,29,0.259,14,0.714,10,3,200,114.5,36.0,9,14,79,,11.6,8,0.407,22,0.5,11,54.7,29,0.651,22.0,17,32,0.563,18,0.727,8,"Moody Coliseum, Dallas, Texas",NEW-ORLEANS,New Orleans,68.7,Home,SOUTHERN-METHODIST,SMU,New Orleans,southland
2017-12-16-20-louisiana-lafayette,52.0,13,2.8,1,135.9,60.0,15,0.519,52,0.481,25,0.327,17,0.647,11,7,200,101.6,32.1,9,20,65,,4.7,3,0.212,11,0.364,4,45.3,24,0.541,17.9,13,41,0.512,21,0.222,2,"December 16, 2017",72.4,21,9.8,4,101.6,67.9,19,0.632,53,0.547,29,0.472,25,0.8,20,2,200,135.9,40.0,10,16,87,,9.4,6,0.321,17,0.529,9,54.7,29,0.671,13.5,10,36,0.556,20,0.818,9,"Cajundome, Lafayette, Louisiana",NEW-ORLEANS,New Orleans,64.5,Home,LOUISIANA-LAFAYETTE,Louisiana,New Orleans,southland
2017-12-18-20-new-orleans,61.9,13,5.4,3,132.1,44.8,13,0.41,61,0.344,21,0.23,14,0.643,9,0,200,72.8,12.5,5,17,59,,9.9,8,0.443,27,0.296,8,26.1,18,0.436,22.1,19,34,0.382,13,0.0,0,"December 18, 2017",62.5,25,23.5,8,72.8,87.5,35,0.606,71,0.563,40,0.394,28,0.75,21,7,200,132.1,55.2,16,19,107,,16.0,13,0.211,15,0.4,6,73.9,51,0.635,13.5,13,56,0.607,34,0.3,3,"Kiefer Lakefront Arena, New Orleans , Louisiana","Panhandle State
			","Panhandle State
			",81.5,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
