,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-18-njit,60.0,12,20.0,5,70.0,78.8,26,0.418,55,0.364,20,0.4,22,0.636,14,0,200,85.7,32.4,12,21,60,,8.6,6,0.382,21,0.286,6,54.3,38,0.458,19.8,16,34,0.412,14,1.0,1,"November 11, 2017",46.7,7,11.8,4,85.7,67.6,25,0.362,47,0.319,15,0.638,30,0.5,15,1,200,70.0,21.2,7,25,49,,14.3,10,0.468,22,0.182,4,45.7,32,0.4,21.0,16,25,0.44,11,0.0,0,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,69.9,Away,WAGNER,Wagner,NJIT,atlantic-sun
2017-11-14-19-njit,40.7,11,9.1,4,128.0,73.5,25,0.615,52,0.519,27,0.519,27,0.593,16,2,200,106.7,17.9,5,14,80,,4.0,3,0.385,20,0.5,10,48.4,30,0.617,19.0,15,32,0.531,17,0.0,0,"November 14, 2017",34.2,13,15.6,5,106.7,82.1,23,0.636,70,0.543,38,0.157,11,0.636,7,1,200,128.0,26.5,9,24,96,,10.7,8,0.371,26,0.5,13,51.6,32,0.638,9.7,8,44,0.568,25,0.5,1,"NJIT Wellness and Events Center, Newark, New Jersey",LAFAYETTE,Lafayette,74.5,Home,NJIT,NJIT,NJIT,atlantic-sun
2017-11-18-16-seton-hall,45.0,9,0.0,0,117.1,65.6,21,0.444,54,0.37,20,0.185,10,0.5,5,2,200,75.7,18.2,6,21,53,,4.3,3,0.5,27,0.296,8,41.5,27,0.451,23.6,18,27,0.444,12,0.333,1,"November 18, 2017",63.3,19,25.9,7,75.7,81.8,27,0.558,60,0.5,30,0.317,19,0.789,15,0,200,117.1,34.4,11,14,82,22,8.6,6,0.35,21,0.333,7,58.5,38,0.594,13.9,11,39,0.59,23,1.0,4,"Prudential Center, Newark, New Jersey",NJIT,NJIT,69.9,Home,SETON-HALL,Seton Hall,NJIT,atlantic-sun
2017-11-22-16-njit,47.8,11,7.3,3,139.8,71.4,15,0.421,63,0.365,23,0.286,18,0.556,10,0,200,75.9,22.0,9,15,63,,12.0,10,0.381,24,0.292,7,38.7,24,0.44,22.8,21,39,0.41,16,0.0,0,"November 22, 2017",72.7,32,12.8,5,75.9,78.0,32,0.785,65,0.677,44,0.262,17,0.824,14,2,200,139.8,28.6,6,19,116,,19.3,16,0.369,24,0.583,14,61.3,38,0.794,17.1,15,41,0.732,30,0.5,2,"NJIT Wellness and Events Center, Newark, New Jersey","Kean
			","Kean
			",82.8,Home,NJIT,NJIT,NJIT,atlantic-sun
2017-11-25-16-njit,26.3,5,8.1,3,91.5,76.7,23,0.353,58,0.328,19,0.431,25,0.48,12,4,200,74.6,37.0,17,15,53,,8.5,6,0.362,21,0.143,3,52.6,40,0.379,19.8,17,37,0.432,16,0.333,2,"November 25, 2017",52.0,13,13.5,5,74.6,63.0,29,0.482,57,0.439,25,0.246,14,0.714,10,2,200,91.5,23.3,7,26,65,,12.7,9,0.351,20,0.25,5,47.4,36,0.511,20.2,16,37,0.541,20,0.6,3,"NJIT Wellness and Events Center, Newark, New Jersey",DREXEL,Drexel,71.3,Home,NJIT,NJIT,NJIT,atlantic-sun
2017-11-28-19-njit,40.0,8,0.0,0,102.8,81.3,26,0.443,53,0.377,20,0.472,25,0.88,22,6,200,97.2,29.4,10,19,69,,8.5,6,0.415,22,0.318,7,54.5,36,0.532,20.0,16,31,0.419,13,0.25,2,"November 28, 2017",51.7,15,12.9,4,97.2,70.6,24,0.543,58,0.5,29,0.345,20,0.5,10,2,200,102.8,18.8,6,21,73,,11.3,8,0.293,17,0.294,5,45.5,30,0.541,13.0,10,41,0.585,24,0.667,4,"NJIT Wellness and Events Center, Newark, New Jersey",LONG-ISLAND-UNIVERSITY,LIU,71.2,Home,NJIT,NJIT,NJIT,atlantic-sun
2017-11-30-19-west-virginia,34.8,8,5.4,2,127.5,65.8,25,0.456,57,0.404,23,0.404,23,0.739,17,3,200,86.3,22.2,8,22,69,,8.8,7,0.298,17,0.353,6,44.6,33,0.508,21.1,18,40,0.425,17,0.571,4,"November 30, 2017",48.6,17,20.0,8,86.3,77.8,28,0.592,71,0.493,35,0.338,24,0.75,18,1,200,127.5,34.2,13,23,102,19,11.3,9,0.479,34,0.412,14,55.4,41,0.619,12.8,12,37,0.568,21,0.875,7,"WVU Coliseum, Morgantown, West Virginia",NJIT,NJIT,79.7,Home,WEST-VIRGINIA,West Virginia,NJIT,atlantic-sun
2017-12-03-14-njit,34.6,9,7.8,4,106.8,73.0,27,0.549,51,0.51,26,0.333,17,0.529,9,3,200,89.0,35.7,10,23,65,,6.8,5,0.275,14,0.286,4,56.9,37,0.55,28.2,23,37,0.595,22,0.625,5,"December 3, 2017",43.3,13,2.7,1,89.0,64.3,18,0.533,61,0.492,30,0.344,21,0.619,13,3,200,106.8,27.0,10,20,78,,19.2,14,0.164,10,0.5,5,43.1,28,0.549,14.6,12,51,0.49,25,0.625,5,"NJIT Wellness and Events Center, Newark, New Jersey",MASSACHUSETTS-LOWELL,UMass-Lowell,72.5,Home,NJIT,NJIT,NJIT,atlantic-sun
2017-12-07-19-rutgers,56.5,13,4.8,2,100.0,67.9,19,0.34,75,0.307,23,0.253,19,0.684,13,4,200,87.7,42.0,21,22,64,,20.5,15,0.373,28,0.179,5,51.3,40,0.381,12.6,12,47,0.383,18,0.556,5,"December 7, 2017",31.0,9,19.1,9,87.7,58.0,29,0.61,50,0.58,29,0.46,23,0.522,12,3,200,100.0,32.1,9,16,73,,11.0,8,0.16,8,0.375,3,48.7,38,0.599,24.0,19,42,0.619,26,0.7,7,"Louis Brown Athletic Center, New Brunswick, New Jersey",NJIT,NJIT,73.0,Home,RUTGERS,Rutgers,NJIT,atlantic-sun
2017-12-09-16-njit,53.8,14,13.5,5,106.1,60.0,24,0.534,58,0.448,26,0.241,14,0.857,12,4,200,112.1,34.5,10,19,74,,4.5,3,0.345,20,0.5,10,49.3,34,0.572,15.8,12,38,0.421,16,0.5,4,"December 9, 2017",40.9,9,5.3,2,112.1,65.5,19,0.425,60,0.367,22,0.433,26,0.731,19,5,200,106.1,40.0,16,15,70,,6.1,4,0.383,23,0.304,7,50.7,35,0.484,11.2,9,37,0.405,15,0.5,5,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,66.0,Away,IONA,Iona,NJIT,atlantic-sun
