,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-north-carolina-state,50.0,9,3.6,2,125.9,58.8,20,0.4,50,0.36,18,0.7,35,0.771,27,1,200,82.7,17.9,5,25,67,,7.4,6,0.4,20,0.2,4,40.3,25,0.503,22.5,19,30,0.467,14,0.0,0,"November 10, 2017",48.6,18,20.0,6,82.7,82.1,23,0.548,73,0.507,37,0.411,30,0.733,22,0,200,125.9,41.2,14,23,102,,12.3,10,0.247,18,0.333,6,59.7,37,0.585,9.5,9,55,0.564,31,1.0,1,"PNC Arena, Raleigh, North Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,81.4,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-11-12-16-north-carolina-state,52.4,11,17.2,5,109.9,66.7,20,0.462,52,0.404,21,0.25,13,0.615,8,2,200,78.9,34.4,11,25,56,,7.0,5,0.346,18,0.333,6,50.0,31,0.481,28.5,23,34,0.441,15,0.0,0,"November 12, 2017",52.0,13,5.9,2,78.9,65.6,21,0.567,52,0.481,25,0.615,32,0.594,19,0,200,109.9,33.3,10,18,78,,12.7,9,0.442,23,0.391,9,50.0,31,0.58,18.5,15,29,0.552,16,1.0,2,"PNC Arena, Raleigh, North Carolina",CHARLESTON-SOUTHERN,Charleston Southern,71.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-11-14-19-north-carolina-state,74.1,20,3.3,2,114.5,64.1,25,0.596,52,0.519,27,0.288,15,0.667,10,2,200,86.7,13.0,3,22,72,,3.6,3,0.346,18,0.444,8,45.2,28,0.609,30.7,26,34,0.559,19,0.0,0,"November 14, 2017",41.7,15,11.8,4,86.7,87.0,20,0.475,79,0.456,36,0.329,26,0.769,20,0,200,114.5,35.9,14,17,95,,16.9,14,0.228,18,0.167,3,54.8,34,0.52,7.2,7,61,0.541,33,1.0,3,"PNC Arena, Raleigh, North Carolina",BRYANT,Bryant,83.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-11-16-19-north-carolina-state,58.3,14,6.3,3,121.1,64.0,16,0.551,49,0.49,24,0.347,17,0.824,14,2,200,95.8,34.8,8,20,68,,4.2,3,0.347,17,0.353,6,50.0,24,0.596,28.0,22,32,0.563,18,0.333,1,"November 16, 2017",48.5,16,15.6,5,95.8,65.2,15,0.549,61,0.541,33,0.393,24,0.792,19,0,200,121.1,36.0,9,20,86,,18.3,13,0.213,13,0.077,1,50.0,24,0.594,10.1,8,48,0.667,32,1.0,4,"PNC Arena, Raleigh, North Carolina",PRESBYTERIAN,Presbyterian,71.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-11-22-19-north-carolina-state,44.8,13,11.4,4,121.6,79.3,23,0.484,62,0.468,29,0.565,35,0.686,24,1,200,113.5,36.8,14,22,84,2,6.8,5,0.274,17,0.118,2,55.2,37,0.534,9.4,8,45,0.6,27,0.75,3,"November 22, 2017",63.0,17,8.9,4,113.5,63.2,24,0.564,55,0.491,27,0.636,35,0.8,28,0,200,121.6,20.7,6,26,90,,5.4,4,0.364,20,0.4,8,44.8,30,0.628,12.4,10,35,0.543,19,1.0,5,"Imperial Arena at Atlantis Resort, Paradise Island",ARIZONA,Arizona,74.1,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-11-23-15-northern-iowa,31.8,7,10.8,4,100.0,62.5,20,0.4,65,0.338,22,0.2,13,0.615,8,1,200,93.8,44.2,19,19,60,,9.4,6,0.462,30,0.267,8,52.0,39,0.421,15.5,13,35,0.4,14,0.833,5,"November 23, 2017",28.6,6,2.9,1,93.8,55.8,24,0.427,55,0.382,21,0.4,22,0.773,17,1,200,100.0,37.5,12,13,64,,9.4,6,0.327,18,0.278,5,48.0,36,0.489,13.4,10,37,0.432,16,0.833,5,"Imperial Arena at Atlantis Resort, Paradise Island",NORTH-CAROLINA-STATE,NC State,64.3,Home,NORTHERN-IOWA,Northern Iowa,NC State,acc
2017-11-24-14-north-carolina-state,70.0,14,23.1,9,81.7,64.5,20,0.453,53,0.377,20,0.528,28,0.679,19,1,200,94.4,35.9,14,22,67,,18.3,13,0.34,18,0.444,8,48.6,34,0.505,19.7,16,35,0.343,12,0.8,4,"November 24, 2017",42.9,9,2.9,1,94.4,64.1,25,0.409,55,0.382,21,0.4,22,0.591,13,2,200,81.7,35.5,11,22,58,,12.7,9,0.291,16,0.188,3,51.4,36,0.443,23.6,20,39,0.462,18,0.714,5,"Imperial Arena at Atlantis Resort, Paradise Island",NORTH-CAROLINA-STATE,NC State,71.4,Away,TENNESSEE,Tennessee,NC State,acc
2017-11-29-19-north-carolina-state,41.4,12,12.2,5,110.4,67.6,23,0.47,67,0.433,29,0.343,23,0.652,15,2,200,101.3,43.6,17,29,78,,10.4,8,0.194,13,0.385,5,54.8,40,0.5,17.2,16,54,0.444,24,0.75,6,"November 29, 2017",56.0,14,13.0,7,101.3,56.4,22,0.526,57,0.439,25,0.649,37,0.676,25,2,200,110.4,32.4,11,21,85,,7.8,6,0.281,16,0.625,10,45.2,33,0.57,16.0,14,41,0.366,15,0.75,6,"PNC Arena, Raleigh, North Carolina",PENN-STATE,Penn State,77.3,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-12-02-12-north-carolina-state,39.3,11,2.3,1,130.4,65.4,17,0.492,63,0.444,28,0.19,12,0.75,9,7,200,89.9,21.2,7,16,71,,11.4,9,0.333,21,0.286,6,40.7,24,0.517,19.9,17,42,0.524,22,0.125,1,"December 2, 2017",75.6,31,9.5,4,89.9,78.8,26,0.7,65,0.631,41,0.262,17,0.706,12,2,200,130.4,34.6,9,15,103,,10.1,8,0.323,21,0.429,9,59.3,35,0.705,17.1,15,44,0.727,32,0.778,7,"PNC Arena, Raleigh, North Carolina",SOUTH-CAROLINA-STATE,South Carolina State,78.9,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
2017-12-09-14-north-carolina-state,39.3,11,11.4,5,114.3,57.9,22,0.449,68,0.412,28,0.235,16,0.5,8,8,200,89.6,23.8,10,16,69,,11.7,9,0.397,27,0.185,5,40.0,32,0.456,11.8,10,41,0.561,23,0.273,3,"December 9, 2017",48.5,16,9.8,4,89.6,76.2,32,0.537,68,0.485,33,0.324,22,0.682,15,2,200,114.3,42.1,16,16,88,,10.4,8,0.353,24,0.292,7,60.0,48,0.561,16.2,15,44,0.591,26,0.8,8,"PNC Arena, Raleigh, North Carolina",MISSOURI-KANSAS-CITY,UMKC,76.5,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc
