,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-arizona,47.8,11,2.3,1,136.5,50.0,10,0.431,58,0.397,23,0.517,30,0.567,17,1,200,90.5,23.1,9,24,67,,4.1,3,0.224,13,0.308,4,32.2,19,0.464,13.4,11,45,0.422,19,0.0,0,"November 10, 2017",61.8,21,13.3,6,90.5,76.9,30,0.64,57,0.596,34,0.561,32,0.875,28,0,200,136.5,50.0,10,23,101,3,8.1,6,0.228,13,0.385,5,67.8,40,0.699,13.4,11,44,0.659,29,1.0,1,"McKale Center, Tucson, Arizona",NORTHERN-ARIZONA,Northern Arizona,73.7,Home,ARIZONA,Arizona,Northern Arizona,big-sky
2017-11-13-20-northern-arizona,48.1,13,10.5,4,89.7,76.2,32,0.543,58,0.466,27,0.345,20,0.95,19,0,200,105.1,20.0,6,26,82,,6.4,5,0.414,24,0.375,9,52.8,38,0.607,19.3,16,34,0.529,18,0.0,0,"November 13, 2017",66.7,14,5.9,2,105.1,80.0,24,0.398,59,0.356,21,0.576,34,0.676,23,2,200,89.7,23.8,10,22,70,,11.5,9,0.356,21,0.238,5,47.2,34,0.466,14.9,13,38,0.421,16,0.0,0,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,77.8,Away,"Embry–Riddle (FL)
			","Embry–Riddle (FL)
			",Northern Arizona,big-sky
2017-11-17-20-arizona-state,63.2,12,13.5,5,118.3,76.5,26,0.375,60,0.317,19,0.367,22,0.773,17,3,200,75.6,27.0,10,26,62,,4.9,4,0.483,29,0.241,7,50.7,36,0.44,25.6,24,31,0.387,12,0.0,0,"November 17, 2017",72.7,24,16.1,5,75.6,73.0,27,0.611,63,0.524,33,0.444,28,0.714,20,0,200,118.3,23.5,8,19,97,,14.6,12,0.413,26,0.423,11,49.3,35,0.636,12.7,11,37,0.595,22,1.0,3,"Wells Fargo Arena, Tempe, Arizona",NORTHERN-ARIZONA,Northern Arizona,81.9,Home,ARIZONA-STATE,Arizona State,Northern Arizona,big-sky
2017-11-20-20-kansas-state,50.0,8,5.3,2,108.1,73.3,22,0.451,41,0.39,16,0.659,27,0.778,21,4,200,78.4,35.7,10,19,58,,8.1,6,0.463,19,0.263,5,55.2,32,0.539,36.2,30,22,0.5,11,0.0,0,"November 20, 2017",71.0,22,4.5,1,78.4,64.3,18,0.548,62,0.5,31,0.306,19,0.632,12,0,200,108.1,26.7,8,22,80,,25.7,19,0.387,24,0.25,6,44.8,26,0.563,13.5,11,38,0.658,25,1.0,4,"Bramlage Coliseum, Manhattan, Kansas",NORTHERN-ARIZONA,Northern Arizona,73.9,Home,KANSAS-STATE,Kansas State,Northern Arizona,big-sky
2017-11-23-14-northern-arizona,66.7,18,6.1,2,85.7,80.5,33,0.527,55,0.491,27,0.491,27,0.667,18,4,200,98.7,16.7,4,20,76,,9.1,7,0.273,15,0.267,4,56.9,37,0.56,18.3,15,40,0.575,23,0.333,2,"November 23, 2017",33.3,7,15.0,6,98.7,83.3,20,0.439,57,0.368,21,0.491,28,0.571,16,5,200,85.7,19.5,8,21,66,,9.1,7,0.421,24,0.333,8,43.1,28,0.469,14.8,12,33,0.394,13,0.0,0,"Orleans Arena, Paradise, Nevada",NORTHERN-ARIZONA,Northern Arizona,76.6,Away,HAMPTON,Hampton,Northern Arizona,big-sky
2017-11-24-14-california-irvine,54.5,12,8.8,3,108.5,71.4,20,0.448,58,0.379,22,0.397,23,0.826,19,6,200,100.0,32.4,11,21,71,,4.2,3,0.345,20,0.4,8,50.0,31,0.515,15.0,12,38,0.368,14,0.0,0,"November 24, 2017",48.0,12,13.2,5,100.0,67.6,23,0.57,50,0.5,25,0.58,29,0.69,20,4,200,108.5,28.6,8,20,77,,8.5,6,0.32,16,0.438,7,50.0,31,0.604,21.3,17,34,0.529,18,0.429,3,"Orleans Arena, Paradise, Nevada",NORTHERN-ARIZONA,Northern Arizona,71.4,Home,CALIFORNIA-IRVINE,UC-Irvine,Northern Arizona,big-sky
2017-11-30-22-santa-clara,66.7,12,4.2,1,123.6,75.9,22,0.435,46,0.391,18,0.543,25,0.68,17,7,200,79.2,17.2,5,18,57,,8.3,6,0.304,14,0.286,4,46.6,27,0.492,26.0,20,32,0.438,14,0.0,0,"November 30, 2017",71.9,23,6.3,2,79.2,82.8,24,0.686,59,0.542,32,0.22,13,0.615,8,5,200,123.6,24.1,7,22,89,,12.5,9,0.593,35,0.486,17,53.4,31,0.683,15.6,12,24,0.625,15,0.286,2,"Leavey Center, Santa Clara, California",NORTHERN-ARIZONA,Northern Arizona,71.5,Home,SANTA-CLARA,Santa Clara,Northern Arizona,big-sky
2017-12-02-22-cal-state-bakersfield,54.2,13,12.0,3,76.5,58.6,17,0.565,46,0.522,24,0.304,14,0.571,8,7,200,88.2,37.5,9,18,60,,14.7,10,0.348,16,0.25,4,49.1,26,0.57,30.6,23,30,0.667,20,0.125,1,"December 2, 2017",63.2,12,6.7,2,88.2,62.5,15,0.449,49,0.388,19,0.286,14,0.571,8,5,200,76.5,41.4,12,15,52,,13.2,9,0.49,24,0.25,6,50.9,27,0.467,31.2,25,25,0.52,13,0.444,4,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,67.7,Away,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2017-12-06-20-northern-arizona,66.7,18,4.4,2,106.8,65.7,23,0.543,58,0.466,27,0.207,12,0.583,7,0,200,94.6,12.1,4,22,70,,8.1,6,0.534,31,0.29,9,39.7,27,0.549,18.1,14,27,0.667,18,0.0,0,"December 6, 2017",50.0,14,7.4,2,94.6,87.9,29,0.508,61,0.459,28,0.361,22,0.773,17,7,200,106.8,34.3,12,15,79,,6.8,5,0.262,16,0.375,6,60.3,41,0.553,16.5,14,45,0.489,22,0.222,2,"Walkup Skydome, Flagstaff, Arizona","San Diego Christian
			","San Diego Christian
			",73.6,Home,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2017-12-09-22-san-diego,50.0,6,4.5,1,111.3,67.9,19,0.3,45,0.267,12,0.644,29,0.828,24,8,200,71.8,9.7,3,18,51,,9.9,7,0.333,15,0.2,3,37.3,22,0.434,22.7,17,30,0.3,9,0.2,2,"December 9, 2017",73.1,19,16.7,5,71.8,90.3,28,0.602,54,0.481,26,0.296,16,0.875,14,2,200,111.3,32.1,9,29,79,,8.5,6,0.593,32,0.406,13,62.7,37,0.641,21.8,17,22,0.591,13,0.778,7,"Jenny Craig Pavillion, San Diego, California",NORTHERN-ARIZONA,Northern Arizona,71.2,Home,SAN-DIEGO,San Diego,Northern Arizona,big-sky
