,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-northern-kentucky,13.6,3,15.2,5,101.3,75.0,30,0.383,60,0.367,22,0.4,24,0.708,17,1,200,78.8,30.8,12,22,63,,10.0,8,0.3,18,0.111,2,53.2,42,0.441,22.1,20,42,0.476,20,0.0,0,"November 10, 2017",63.0,17,7.1,3,78.8,69.2,27,0.477,66,0.409,27,0.318,21,0.857,18,0,200,101.3,25.0,10,21,81,,11.3,9,0.5,33,0.273,9,46.8,37,0.533,15.7,14,33,0.545,18,1.0,1,"Bank of Kentucky Center, Highland Heights, Kentucky",EAST-TENNESSEE-STATE,ETSU,79.7,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-11-12-13-northern-kentucky,43.5,10,2.9,1,124.0,52.8,19,0.456,57,0.404,23,0.298,17,0.765,13,0,200,86.7,11.1,4,22,65,,5.3,4,0.439,25,0.24,6,31.9,23,0.499,17.8,14,32,0.531,17,0.0,0,"November 12, 2017",72.7,24,15.6,5,86.7,88.9,32,0.583,66,0.5,33,0.333,22,0.727,16,0,200,124.0,47.2,17,21,93,,9.3,7,0.47,31,0.355,11,68.1,49,0.608,16.5,15,35,0.629,22,1.0,2,"Bank of Kentucky Center, Highland Heights, Kentucky","Wilmington (OH)
			","Wilmington (OH)
			",74.8,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-11-17-17-james-madison,56.5,13,12.5,5,100.0,61.8,21,0.552,48,0.479,23,1.0,48,0.708,34,0,200,111.5,20.0,6,23,87,,9.0,7,0.458,22,0.318,7,42.2,27,0.614,16.8,14,26,0.615,16,1.0,3,"November 17, 2017",32.0,8,19.2,5,111.5,80.0,24,0.468,62,0.403,25,0.452,28,0.714,20,2,200,100.0,38.2,13,32,78,,10.3,8,0.355,22,0.364,8,57.8,37,0.518,16.8,15,40,0.425,17,0.333,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",JAMES-MADISON,James Madison,78.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-11-18-20-iona,74.2,23,5.3,2,96.0,74.1,20,0.616,56,0.554,31,0.411,23,0.696,16,0,200,113.3,18.5,5,12,85,,9.3,7,0.429,24,0.292,7,46.3,25,0.635,15.4,12,32,0.75,24,1.0,4,"November 18, 2017",37.0,10,6.3,2,113.3,81.5,22,0.525,59,0.458,27,0.237,14,0.714,10,3,200,96.0,25.9,7,15,72,,9.3,7,0.356,21,0.381,8,53.7,29,0.548,21.6,18,38,0.5,19,0.25,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",IONA,Iona,75.3,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-11-19-20-vermont,60.0,15,7.0,3,97.1,68.0,17,0.519,54,0.463,25,0.167,9,0.889,8,1,200,94.1,7.1,2,17,64,,14.7,10,0.407,22,0.273,6,35.8,19,0.549,16.0,11,32,0.594,19,0.8,4,"November 19, 2017",26.9,7,12.5,4,94.1,92.9,26,0.528,54,0.481,26,0.222,12,0.75,9,1,200,97.1,32.0,8,11,66,,5.9,4,0.204,11,0.455,5,64.2,34,0.553,23.3,18,43,0.488,21,0.75,3,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",NORTHERN-KENTUCKY,Northern Kentucky,68.5,Home,VERMONT,Vermont,Northern Kentucky,horizon
2017-11-25-18-memphis,66.7,18,0.0,0,107.0,65.5,19,0.533,61,0.443,27,0.23,14,0.643,9,2,200,104.2,25.8,8,24,74,,9.9,7,0.492,30,0.367,11,45.0,27,0.547,13.0,10,31,0.516,16,0.667,4,"November 25, 2017",63.0,17,16.1,5,104.2,74.2,23,0.527,56,0.482,27,0.5,28,0.607,17,1,200,107.0,34.5,10,14,76,,7.0,5,0.339,19,0.263,5,55.0,33,0.548,17.0,14,37,0.595,22,0.75,3,"FedExForum, Memphis, Tennessee",NORTHERN-KENTUCKY,Northern Kentucky,71.5,Home,MEMPHIS,Memphis,Northern Kentucky,horizon
2017-11-29-19-northern-kentucky,66.7,8,4.5,2,138.3,57.7,15,0.265,51,0.235,12,0.176,9,0.667,6,0,200,40.7,18.4,7,24,33,,4.9,4,0.412,21,0.143,3,34.4,22,0.299,33.8,28,30,0.3,9,0.0,0,"November 29, 2017",60.0,24,16.7,5,40.7,81.6,31,0.615,74,0.541,40,0.351,26,0.808,21,2,200,138.3,42.3,11,14,112,,23.5,19,0.405,30,0.367,11,65.6,42,0.649,10.5,10,44,0.659,29,0.714,5,"Bank of Kentucky Center, Highland Heights, Kentucky","Berea
			","Berea
			",80.8,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-12-02-19-northern-kentucky,42.1,8,14.7,5,121.1,59.3,16,0.412,51,0.373,19,0.275,14,0.5,7,6,200,69.0,26.5,9,22,49,,9.9,7,0.353,18,0.222,4,41.0,25,0.425,26.9,21,33,0.455,15,0.25,2,"December 2, 2017",53.1,17,9.1,3,69.0,73.5,25,0.704,54,0.593,32,0.481,26,0.385,10,2,200,121.1,40.7,11,19,86,,8.5,6,0.37,20,0.6,12,59.0,36,0.648,19.6,16,34,0.588,20,0.75,6,"Bank of Kentucky Center, Highland Heights, Kentucky",MOREHEAD-STATE,Morehead State,70.5,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
2017-12-06-19-east-tennessee-state,37.0,10,2.7,1,121.7,76.0,19,0.527,55,0.491,27,0.273,15,0.867,13,3,200,102.9,18.5,5,20,71,,10.1,7,0.309,17,0.235,4,46.2,24,0.571,18.5,14,38,0.605,23,0.667,6,"December 6, 2017",54.8,17,18.4,7,102.9,81.5,22,0.644,52,0.596,31,0.404,21,0.81,17,3,200,121.7,24.0,6,16,84,,8.7,6,0.288,15,0.333,5,53.8,28,0.678,14.0,10,37,0.703,26,0.625,5,"Freedom Hall Civic Center, Johnson City, Tennessee",NORTHERN-KENTUCKY,Northern Kentucky,68.6,Home,EAST-TENNESSEE-STATE,ETSU,Northern Kentucky,horizon
2017-12-10-18-northern-kentucky,56.0,14,2.3,1,137.9,51.9,14,0.527,55,0.455,25,0.2,11,0.455,5,6,200,95.5,25.8,8,13,63,,3.0,2,0.345,19,0.421,8,37.9,22,0.523,19.0,14,36,0.472,17,0.4,4,"December 10, 2017",56.4,22,5.6,2,95.5,74.2,23,0.638,65,0.6,39,0.169,11,0.727,8,3,200,137.9,48.1,13,13,91,,12.1,8,0.338,22,0.227,5,62.1,36,0.648,10.3,8,43,0.791,34,0.7,7,"Bank of Kentucky Center, Highland Heights, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,65.7,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon
