,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-oakland,46.2,12,3.4,1,107.6,76.7,23,0.419,68,0.382,26,0.25,17,0.824,14,1,200,89.9,26.8,11,24,71,,8.9,7,0.25,17,0.294,5,47.9,34,0.467,15.6,14,51,0.412,21,0.0,0,"November 10, 2017",59.3,16,13.7,7,89.9,73.2,30,0.583,54,0.5,27,0.519,28,0.786,22,0,200,107.6,23.3,7,14,85,,10.1,8,0.463,25,0.36,9,52.1,37,0.632,21.3,18,29,0.621,18,1.0,1,"Athletics Center O'rena, Rochester, Michigan",IPFW,Purdue-Fort Wayne,78.7,Home,OAKLAND,Oakland,Oakland,horizon
2017-11-13-19-oakland,77.8,21,12.1,4,122.5,73.9,17,0.475,60,0.45,27,0.333,20,0.55,11,2,200,95.8,24.2,8,20,68,,12.7,9,0.133,8,0.375,3,44.6,25,0.489,12.7,10,52,0.462,24,0.0,0,"November 13, 2017",69.7,23,11.5,6,95.8,75.8,25,0.69,58,0.569,33,0.19,11,0.636,7,0,200,122.5,26.1,6,20,87,,5.6,4,0.431,25,0.56,14,55.4,31,0.688,18.2,14,33,0.576,19,1.0,2,"Athletics Center O'rena, Rochester, Michigan",NEW-ORLEANS,New Orleans,71.4,Home,OAKLAND,Oakland,Oakland,horizon
2017-11-18-19-toledo,50.0,13,2.1,1,114.5,71.1,27,0.428,69,0.377,26,0.29,20,0.75,15,1,200,97.4,26.2,11,20,74,,3.9,3,0.362,25,0.28,7,47.5,38,0.471,10.4,9,44,0.432,19,0.667,2,"November 18, 2017",39.4,13,13.6,6,97.4,73.8,31,0.515,68,0.485,33,0.324,22,0.773,17,0,200,114.5,28.9,11,17,87,,1.3,1,0.309,21,0.19,4,52.5,42,0.554,9.3,8,47,0.617,29,1.0,3,"John F. Savage Hall, Toledo, Ohio",OAKLAND,Oakland,76.0,Home,TOLEDO,Toledo,Oakland,horizon
2017-11-20-19-syracuse,66.7,12,5.4,3,98.7,66.7,20,0.356,59,0.305,18,0.186,11,0.727,8,2,200,66.7,20.0,8,18,50,,6.7,5,0.373,22,0.273,6,40.0,28,0.389,21.0,17,37,0.324,12,0.5,2,"November 20, 2017",41.9,13,40.5,15,66.7,80.0,32,0.508,64,0.484,31,0.281,18,0.5,9,0,200,98.7,33.3,10,17,74,,16.0,12,0.125,8,0.375,3,60.0,42,0.51,16.3,14,56,0.5,28,1.0,4,"Carrier Dome, Syracuse, New York",OAKLAND,Oakland,74.9,Home,SYRACUSE,Syracuse,Oakland,horizon
2017-11-24-20-kansas,43.5,10,7.4,4,120.0,71.0,22,0.371,70,0.329,23,0.1,7,1.0,7,3,200,69.4,16.7,7,18,59,,7.1,6,0.429,30,0.2,6,39.7,29,0.402,21.5,20,40,0.425,17,0.4,2,"November 24, 2017",35.9,14,22.5,9,69.4,83.3,35,0.6,70,0.557,39,0.329,23,0.783,18,0,200,120.0,29.0,9,11,102,3,16.5,14,0.229,16,0.375,6,60.3,44,0.63,13.0,12,54,0.611,33,1.0,5,"Allen Fieldhouse, Lawrence, Kansas",OAKLAND,Oakland,85.1,Home,KANSAS,Kansas,Oakland,horizon
2017-11-27-20-oral-roberts,63.6,21,4.0,2,108.9,78.9,30,0.559,68,0.485,33,0.412,28,0.607,17,3,225,117.7,35.9,14,18,93,,3.8,3,0.353,24,0.417,10,57.1,44,0.572,11.1,10,44,0.523,23,0.5,3,"November 27, 2017",54.5,18,20.5,9,117.7,64.1,25,0.528,72,0.458,33,0.194,14,0.714,10,6,225,108.9,21.1,8,24,86,,7.6,6,0.306,22,0.455,10,42.9,33,0.547,12.3,11,50,0.46,23,0.143,1,"Mabee Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,70.6,Away,OAKLAND,Oakland,Oakland,horizon
2017-11-30-19-oakland,39.4,13,17.0,8,116.9,78.1,25,0.514,71,0.465,33,0.239,17,0.824,14,7,200,104.8,21.6,8,21,87,,4.8,4,0.31,22,0.318,7,47.8,33,0.55,15.1,14,49,0.531,26,0.0,0,"November 30, 2017",76.5,26,16.3,8,104.8,78.4,29,0.56,67,0.507,34,0.388,26,0.846,22,3,200,116.9,21.9,7,14,97,,9.6,8,0.299,20,0.35,7,52.2,36,0.611,9.3,8,47,0.574,27,0.571,4,"Athletics Center O'rena, Rochester, Michigan",TEXAS-SOUTHERN,Texas Southern,82.7,Home,OAKLAND,Oakland,Oakland,horizon
2017-12-02-14-western-michigan,63.0,17,6.5,3,104.3,77.1,27,0.576,59,0.458,27,0.203,12,0.833,10,3,200,111.4,30.0,9,15,78,,8.6,6,0.407,24,0.583,14,55.4,36,0.603,17.9,14,35,0.371,13,0.625,5,"December 2, 2017",37.9,11,11.4,4,111.4,70.0,21,0.516,62,0.468,29,0.194,12,0.75,9,4,200,104.3,22.9,8,14,73,,14.3,10,0.258,16,0.375,6,44.6,29,0.539,12.9,10,46,0.5,23,0.5,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,69.7,Away,OAKLAND,Oakland,Oakland,horizon
2017-12-06-19-eastern-michigan,54.8,17,16.3,7,115.9,66.7,20,0.521,70,0.443,31,0.343,24,0.667,16,4,200,108.5,31.7,13,24,89,,7.3,6,0.429,30,0.367,11,46.5,33,0.547,15.7,15,40,0.5,20,0.556,5,"December 6, 2017",45.7,16,17.5,7,108.5,68.3,28,0.613,62,0.565,35,0.484,30,0.633,19,2,200,115.9,33.3,10,19,95,,14.6,12,0.306,19,0.316,6,53.5,38,0.623,15.7,14,43,0.674,29,0.75,6,"Convocation Center, Ypsilanti, Michigan",OAKLAND,Oakland,81.8,Home,EASTERN-MICHIGAN,Eastern Michigan,Oakland,horizon
2017-12-09-15-oakland,50.0,8,11.4,4,107.9,68.8,22,0.305,59,0.271,16,0.288,17,0.824,14,10,200,65.8,10.3,4,24,50,,6.6,5,0.288,17,0.235,4,36.6,26,0.373,16.4,13,42,0.286,12,0.167,2,"December 9, 2017",65.4,17,21.4,9,65.8,89.7,35,0.483,58,0.448,26,0.586,34,0.765,26,4,200,107.9,31.3,10,15,82,,10.5,8,0.397,23,0.174,4,63.4,45,0.553,14.1,12,35,0.629,22,0.6,6,"Athletics Center O'rena, Rochester, Michigan",CHICAGO-STATE,Chicago State,76.1,Home,OAKLAND,Oakland,Oakland,horizon
2017-12-16-14-oakland,58.1,18,17.1,6,94.8,82.9,29,0.592,60,0.517,31,0.383,23,0.652,15,1,200,111.7,43.8,14,16,86,2,9.1,7,0.383,23,0.391,9,64.2,43,0.606,19.5,17,37,0.595,22,0.909,10,"December 16, 2017",68.2,15,8.1,3,111.7,56.3,18,0.435,62,0.355,22,0.371,23,0.826,19,5,200,94.8,17.1,6,22,73,,14.3,11,0.435,27,0.37,10,35.8,24,0.501,15.3,13,35,0.343,12,0.545,6,"Little Caesars Arena, Detroit, Michigan",OAKLAND,Oakland,76.9,Away,MICHIGAN-STATE,Michigan State,Oakland,horizon
2017-12-20-19-oakland,48.5,16,14.3,4,118.3,79.2,19,0.536,70,0.471,33,0.257,18,0.611,11,2,200,104.9,23.5,8,24,86,,12.2,10,0.243,17,0.529,9,46.6,27,0.547,13.3,12,53,0.453,24,0.833,10,"December 20, 2017",78.6,22,11.3,6,104.9,76.5,26,0.644,52,0.538,28,0.692,36,0.833,30,5,200,118.3,20.8,5,17,97,,7.3,6,0.462,24,0.458,11,53.4,31,0.702,20.0,17,28,0.607,17,0.583,7,"Athletics Center O'rena, Rochester, Michigan",TOWSON,Towson,81.8,Home,OAKLAND,Oakland,Oakland,horizon
2017-12-22-19-oakland,44.1,15,16.7,5,117.8,61.5,16,0.529,69,0.493,34,0.145,10,0.8,8,3,200,111.0,32.4,11,19,81,,11.0,8,0.232,16,0.313,5,45.0,27,0.549,15.0,13,53,0.547,29,0.727,8,"December 22, 2017",75.0,21,3.8,2,111.0,67.6,23,0.591,55,0.509,28,0.418,23,0.913,21,5,200,117.8,38.5,10,15,86,,6.8,5,0.455,25,0.36,9,55.0,33,0.652,18.7,15,30,0.633,19,0.615,8,"Athletics Center O'rena, Rochester, Michigan",EASTERN-MICHIGAN,Eastern Michigan,73.3,Home,OAKLAND,Oakland,Oakland,horizon
2017-12-28-20-milwaukee,61.5,16,17.6,9,89.5,73.8,31,0.5,57,0.456,26,0.386,22,0.864,19,5,200,100.0,9.7,3,13,76,,6.6,5,0.316,18,0.278,5,46.6,34,0.563,15.3,12,39,0.538,21,0.643,9,"December 28, 2017",51.9,14,10.3,4,100.0,90.3,28,0.429,70,0.386,27,0.157,11,0.727,8,7,200,89.5,26.2,11,15,68,,7.9,6,0.271,19,0.316,6,53.4,39,0.452,13.8,12,51,0.412,21,0.5,7,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,76.3,Away,OAKLAND,Oakland,Oakland,horizon
2017-12-30-13-green-bay,55.2,16,19.5,8,111.1,72.7,24,0.5,70,0.414,29,0.157,11,0.818,9,6,200,109.7,33.3,13,16,79,,8.3,6,0.471,33,0.364,12,51.4,37,0.525,10.7,9,37,0.459,17,0.6,9,"December 30, 2017",70.4,19,10.8,4,109.7,66.7,26,0.524,62,0.435,27,0.274,17,0.882,15,8,200,111.1,27.3,9,15,80,,6.9,5,0.339,21,0.524,11,48.6,35,0.571,14.7,12,41,0.39,16,0.467,7,"Resch Center, Green Bay, Wisconsin",OAKLAND,Oakland,72.2,Home,GREEN-BAY,Green Bay,Oakland,horizon
2018-01-05-21-oakland,34.4,11,12.1,4,115.3,89.3,25,0.582,61,0.525,32,0.344,21,0.762,16,5,200,120.8,33.3,9,23,87,,8.3,6,0.311,19,0.368,7,61.8,34,0.613,12.5,10,42,0.595,25,0.667,10,"January 5, 2018",78.6,22,16.7,7,120.8,66.7,18,0.604,53,0.528,28,0.528,28,0.679,19,7,200,115.3,10.7,3,17,83,,9.7,7,0.377,20,0.4,8,38.2,21,0.626,12.1,9,33,0.606,20,0.562,9,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,72.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Oakland,horizon
