,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-ohio-state,52.2,12,4.1,2,118.8,38.5,10,0.431,65,0.354,23,0.154,10,0.8,8,1,200,80.0,15.4,6,22,64,,8.8,7,0.385,25,0.4,10,24.6,16,0.459,20.6,18,40,0.325,13,0.0,0,"November 10, 2017",40.0,16,20.0,8,80.0,84.6,33,0.634,67,0.597,40,0.239,16,0.625,10,0,200,118.8,61.5,16,13,95,,10.0,8,0.269,18,0.278,5,75.4,49,0.637,20.4,19,49,0.714,35,1.0,1,"Value City Arena, Columbus, Ohio",ROBERT-MORRIS,Robert Morris,79.7,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-11-12-14-ohio-state,37.5,9,7.5,3,106.5,61.1,22,0.5,59,0.407,24,0.288,17,0.765,13,1,200,93.5,14.7,5,26,72,,7.8,6,0.373,22,0.5,11,38.6,27,0.537,17.4,14,37,0.351,13,0.5,1,"November 12, 2017",34.5,10,10.8,4,93.5,85.3,29,0.493,67,0.433,29,0.328,22,0.727,16,0,200,106.5,38.9,14,19,82,,6.5,5,0.403,27,0.296,8,61.4,43,0.529,16.4,15,40,0.525,21,1.0,2,"Value City Arena, Columbus, Ohio",RADFORD,Radford,77.3,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-11-16-19-ohio-state,54.5,12,8.1,3,113.9,66.7,22,0.472,53,0.415,22,0.283,15,0.933,14,3,200,88.9,13.3,4,17,64,,6.9,5,0.415,22,0.273,6,41.3,26,0.532,21.2,16,31,0.516,16,0.0,0,"November 16, 2017",63.3,19,12.9,4,88.9,86.7,26,0.531,65,0.462,30,0.246,16,0.813,13,0,200,113.9,33.3,11,17,82,,6.9,5,0.431,28,0.321,9,58.7,37,0.565,12.2,10,37,0.568,21,1.0,3,"Value City Arena, Columbus, Ohio",TEXAS-SOUTHERN,Texas Southern,71.9,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-11-19-14-ohio-state,60.0,12,2.4,1,114.3,75.9,22,0.42,56,0.357,20,0.179,10,0.8,8,2,200,78.6,18.9,7,22,55,,4.3,3,0.464,26,0.269,7,43.9,29,0.453,20.9,16,30,0.433,13,0.5,2,"November 19, 2017",46.4,13,16.7,5,78.6,81.1,30,0.527,56,0.5,28,0.482,27,0.778,21,0,200,114.3,24.1,7,13,80,,11.4,8,0.268,15,0.2,3,56.1,37,0.581,11.7,9,41,0.61,25,1.0,4,"Value City Arena, Columbus, Ohio",NORTHEASTERN,Northeastern,70.3,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-11-23-23-ohio-state,45.2,14,14.3,5,84.3,73.5,25,0.698,53,0.585,31,0.34,18,0.667,12,0,197,122.9,28.0,7,21,86,17,8.6,6,0.472,25,0.48,12,54.2,32,0.699,17.6,13,28,0.679,19,1.0,4,"November 23, 2017",73.7,14,7.1,2,122.9,72.0,18,0.4,55,0.345,19,0.4,22,0.682,15,1,197,84.3,26.5,9,18,59,,5.7,4,0.364,20,0.3,6,45.8,27,0.451,18.8,15,35,0.371,13,0.8,4,"Memorial Coliseum, Portland, Oregon",OHIO-STATE,Ohio State,70.6,Away,GONZAGA,Gonzaga,Ohio State,big-ten
2017-11-24-21-ohio-state,50.0,11,10.0,4,100.0,65.6,21,0.41,61,0.361,22,0.492,30,0.7,21,4,200,89.9,21.2,7,25,71,,7.6,6,0.344,21,0.286,6,43.1,28,0.472,14.9,13,40,0.4,16,0.429,3,"November 24, 2017",52.0,13,7.5,3,89.9,78.8,26,0.484,61,0.41,25,0.41,25,0.8,20,1,200,100.0,34.4,11,25,79,,3.8,3,0.344,21,0.429,9,56.9,37,0.542,16.3,14,40,0.4,16,0.833,5,"Moda Center, Portland, Oregon",STANFORD,Stanford,78.6,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-11-26-15-ohio-state,32.0,8,5.4,2,82.5,82.1,23,0.406,69,0.362,25,0.29,20,0.55,11,2,225,83.8,26.1,12,26,67,,13.8,11,0.449,31,0.194,6,47.3,35,0.427,15.3,14,38,0.5,19,0.714,5,"November 26, 2017",54.2,13,5.3,2,83.8,73.9,34,0.51,52,0.462,24,0.346,18,0.722,13,2,225,82.5,17.9,5,21,66,,5.0,4,0.288,15,0.333,5,52.7,39,0.545,28.6,24,37,0.514,19,0.714,5,"Memorial Coliseum, Portland, Oregon",OHIO-STATE,Ohio State,71.1,Away,BUTLER,Butler,Ohio State,big-ten
2017-11-29-19-ohio-state,55.2,16,17.6,6,98.5,76.5,26,0.654,52,0.558,29,0.25,13,0.846,11,1,200,119.7,9.1,2,14,79,,7.6,5,0.365,19,0.526,10,50.0,28,0.679,14.8,10,33,0.576,19,0.857,6,"November 29, 2017",62.5,15,12.1,4,119.7,90.9,20,0.518,55,0.436,24,0.291,16,0.5,8,3,200,98.5,23.5,8,13,65,,4.5,3,0.382,21,0.429,9,50.0,28,0.519,16.2,12,34,0.441,15,0.625,5,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,66.4,Away,CLEMSON,Clemson,Ohio State,big-ten
2017-12-02-17-wisconsin,61.3,19,13.6,3,90.6,83.3,25,0.734,47,0.66,31,0.404,19,0.737,14,3,200,129.7,25.0,4,16,83,,15.6,10,0.277,13,0.538,7,63.0,29,0.741,19.0,13,34,0.706,24,0.667,6,"December 2, 2017",52.6,10,2.9,1,129.7,75.0,12,0.49,49,0.388,19,0.245,12,0.833,10,5,200,90.6,16.7,5,18,58,,7.8,5,0.551,27,0.37,10,37.0,17,0.53,19.3,13,22,0.409,9,0.375,3,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,63.9,Away,OHIO-STATE,Ohio State,Ohio State,big-ten
2017-12-04-18-ohio-state,59.1,13,0.0,0,112.7,80.0,20,0.441,59,0.373,22,0.237,14,0.714,10,3,200,98.4,28.9,11,20,62,,7.9,5,0.475,28,0.286,8,49.2,31,0.472,10.9,8,31,0.452,14,0.7,7,"December 4, 2017",54.5,12,12.9,4,98.4,71.1,27,0.544,45,0.489,22,0.644,29,0.759,22,3,200,112.7,20.0,5,18,71,,6.3,4,0.311,14,0.357,5,50.8,32,0.604,14.8,10,31,0.548,17,0.7,7,"Value City Arena, Columbus, Ohio",MICHIGAN,Michigan,63.2,Home,OHIO-STATE,Ohio State,Ohio State,big-ten
