,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-13-baylor,60.0,15,9.5,4,139.0,60.0,12,0.444,63,0.397,25,0.238,15,0.667,10,1,200,85.7,13.9,5,19,66,,5.2,4,0.317,20,0.3,6,30.4,17,0.471,14.7,12,43,0.442,19,0.0,0,"November 10, 2017",74.4,29,7.0,3,85.7,86.1,31,0.763,59,0.661,39,0.339,20,0.85,17,0,200,139.0,40.0,8,16,107,24,6.5,5,0.288,17,0.706,12,69.6,39,0.781,19.1,16,42,0.643,27,1.0,1,"Ferrell Center, Waco, Texas",CENTRAL-ARKANSAS,Central Arkansas,76.8,Home,BAYLOR,Baylor,Baylor,big-12
2017-11-13-20-baylor,42.9,9,5.9,2,114.8,58.6,17,0.388,58,0.362,21,0.069,4,0.25,1,1,200,75.4,29.0,9,19,46,,1.6,1,0.31,18,0.167,3,43.3,26,0.384,14.3,10,40,0.45,18,0.5,1,"November 13, 2017",52.0,13,15.0,6,75.4,71.0,22,0.519,53,0.472,25,0.453,24,0.625,15,0,200,114.8,41.4,12,13,70,25,6.6,4,0.358,19,0.263,5,56.7,34,0.543,11.2,8,34,0.588,20,1.0,2,"Ferrell Center, Waco, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,60.7,Home,BAYLOR,Baylor,Baylor,big-12
2017-11-17-21-baylor,64.0,16,5.1,2,113.0,51.4,19,0.492,60,0.417,25,0.067,4,0.5,2,4,200,88.4,9.4,3,19,61,,5.8,4,0.45,27,0.333,9,31.9,22,0.493,16.3,12,33,0.485,16,0.0,0,"November 17, 2017",63.0,17,12.1,4,88.4,90.6,29,0.476,63,0.429,27,0.381,24,0.75,18,0,200,113.0,48.6,18,11,78,25,4.3,3,0.381,24,0.25,6,68.1,47,0.524,12.0,10,39,0.538,21,1.0,3,"Ferrell Center, Waco, Texas",ALCORN-STATE,Alcorn State,68.7,Home,BAYLOR,Baylor,Baylor,big-12
2017-11-20-21-wisconsin,57.1,12,16.2,6,100.0,72.2,26,0.453,53,0.396,21,0.585,31,0.71,22,0,200,107.7,35.5,11,21,70,22,7.7,5,0.245,13,0.462,6,55.2,37,0.517,11.9,9,40,0.375,15,1.0,4,"November 20, 2017",56.5,13,10.0,4,107.7,64.5,20,0.457,58,0.397,23,0.31,18,0.667,12,2,200,100.0,27.8,10,20,65,,3.1,2,0.362,21,0.333,7,44.8,30,0.488,10.8,8,37,0.432,16,0.5,2,"Sprint Center, Kansas City, Missouri",WISCONSIN,Wisconsin,65.1,Away,BAYLOR,Baylor,Baylor,big-12
2017-11-21-22-creighton,37.5,9,2.9,1,86.8,74.4,29,0.51,52,0.462,24,0.269,14,0.857,12,0,200,95.6,25.0,6,15,65,22,5.9,4,0.308,16,0.313,5,55.6,35,0.554,20.5,15,36,0.528,19,1.0,5,"November 21, 2017",68.2,15,8.3,3,95.6,75.0,18,0.383,64,0.344,22,0.203,13,0.769,10,1,200,86.8,25.6,10,15,59,,10.3,7,0.469,30,0.167,5,44.4,28,0.42,11.4,9,34,0.5,17,0.8,4,"Sprint Center, Kansas City, Missouri",CREIGHTON,Creighton,68.4,Away,BAYLOR,Baylor,Baylor,big-12
2017-11-28-18-xavier,58.3,14,12.5,4,116.9,57.6,19,0.473,56,0.429,24,0.214,12,0.833,10,1,200,96.9,26.7,8,22,63,16,7.7,5,0.286,16,0.313,5,42.9,27,0.511,15.2,11,40,0.475,19,0.833,5,"November 28, 2017",68.0,17,5.0,2,96.9,73.3,22,0.518,56,0.446,25,0.411,23,0.783,18,1,200,116.9,42.4,14,15,76,21,6.2,4,0.429,24,0.333,8,57.1,36,0.568,15.4,12,32,0.531,17,0.857,6,"Cintas Center, Cincinnati, Ohio",BAYLOR,Baylor,64.8,Home,XAVIER,Xavier,Baylor,big-12
2017-12-02-14-baylor,62.5,15,7.9,3,93.9,70.3,26,0.547,53,0.453,24,0.321,17,0.647,11,1,200,104.5,30.0,9,16,69,8,4.5,3,0.302,16,0.625,10,52.2,35,0.565,16.6,12,37,0.378,14,0.857,6,"December 2, 2017",36.4,8,10.8,4,104.5,70.0,21,0.415,59,0.373,22,0.288,17,0.765,13,2,200,93.9,29.7,11,17,62,16,9.1,6,0.356,21,0.238,5,47.8,32,0.462,14.2,11,38,0.447,17,0.714,5,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,65.6,Away,WICHITA-STATE,Wichita State,Baylor,big-12
2017-12-04-20-baylor,59.1,13,11.8,4,115.1,80.0,28,0.389,63,0.349,22,0.175,11,0.636,7,4,200,76.7,23.7,9,20,56,,1.4,1,0.413,26,0.192,5,50.7,37,0.41,17.1,14,37,0.459,17,0.556,5,"December 4, 2017",62.1,18,13.5,5,76.7,76.3,29,0.567,60,0.483,29,0.4,24,0.667,16,2,200,115.1,20.0,7,12,84,23,12.3,9,0.433,26,0.385,10,49.3,36,0.588,10.2,8,34,0.559,19,0.75,6,"Ferrell Center, Waco, Texas",SAM-HOUSTON-STATE,Sam Houston State,72.8,Home,BAYLOR,Baylor,Baylor,big-12
2017-12-09-19-baylor,60.0,18,5.1,2,134.6,57.1,16,0.556,63,0.476,30,0.302,19,0.632,12,0,200,105.1,8.3,3,14,82,,10.3,8,0.349,22,0.455,10,29.7,19,0.569,11.2,9,41,0.488,20,0.0,0,"December 9, 2017",77.5,31,17.1,7,105.1,91.7,33,0.664,70,0.571,40,0.229,16,0.75,12,2,200,134.6,42.9,12,15,105,23,6.4,5,0.443,31,0.419,13,70.3,45,0.677,14.4,13,39,0.692,27,0.778,7,"Ferrell Center, Waco, Texas","Hillsdale
			","Hillsdale
			",78.3,Home,BAYLOR,Baylor,Baylor,big-12
2017-12-14-20-baylor,50.0,12,4.5,2,141.4,61.9,13,0.466,59,0.407,24,0.288,17,0.765,13,10,200,97.1,36.4,12,15,68,,8.6,6,0.322,19,0.368,7,46.3,25,0.507,17.4,14,40,0.425,17,0.0,0,"December 14, 2017",53.7,22,15.0,6,97.1,63.6,21,0.742,62,0.661,41,0.21,13,0.538,7,2,200,141.4,38.1,8,16,99,21,10.0,7,0.29,18,0.556,10,53.7,29,0.726,14.0,11,44,0.705,31,0.8,8,"Ferrell Center, Waco, Texas",TEXAS-SOUTHERN,Texas Southern,70.1,Home,BAYLOR,Baylor,Baylor,big-12
