,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-14-ohio,23.8,5,2.3,1,75.3,89.5,34,0.371,62,0.339,21,0.129,8,0.875,7,1,200,65.4,21.6,8,17,53,,4.9,4,0.306,19,0.211,4,56.0,42,0.403,25.1,22,43,0.395,17,0.0,0,"November 11, 2017",45.8,11,14.0,6,65.4,78.4,29,0.408,65,0.369,24,0.2,13,0.615,8,0,200,75.3,10.5,4,13,61,,11.1,9,0.323,21,0.238,5,44.0,33,0.429,17.5,15,44,0.432,19,1.0,1,"Convocation Center, Athens, Ohio",ALABAMA-AM,Alabama A&M,81.0,Home,OHIO,Ohio,Ohio,mac
2017-11-16-17-ohio,53.8,14,5.7,2,104.1,87.1,27,0.547,53,0.491,26,0.528,28,0.821,23,0,200,111.0,17.9,5,17,81,,9.6,7,0.321,17,0.353,6,54.2,32,0.611,14.4,11,36,0.556,20,1.0,3,"November 16, 2017",53.6,15,2.8,1,111.0,82.1,23,0.541,61,0.459,28,0.18,11,0.909,10,1,200,104.1,12.9,4,21,76,,5.5,4,0.426,26,0.385,10,45.8,27,0.574,14.3,11,35,0.514,18,0.5,1,"TD Arena, Charleston, South Carolina",OHIO,Ohio,72.8,Away,CLEMSON,Clemson,Ohio,mac
2017-11-17-19-dayton,50.0,13,3.0,1,112.9,65.6,21,0.537,54,0.481,26,0.315,17,0.412,7,2,200,92.9,15.2,5,16,65,,7.1,5,0.296,16,0.375,6,40.0,26,0.524,17.5,13,38,0.526,20,0.333,1,"November 17, 2017",53.6,15,7.9,3,92.9,84.8,28,0.532,62,0.452,28,0.242,15,0.867,13,1,200,112.9,34.4,11,20,79,,8.6,6,0.468,29,0.345,10,60.0,39,0.571,14.9,12,33,0.545,18,0.667,2,"TD Arena, Charleston, South Carolina",OHIO,Ohio,70.1,Home,DAYTON,Dayton,Ohio,mac
2017-11-19-13-ohio,46.4,13,18.4,9,92.3,85.1,40,0.411,79,0.354,28,0.481,38,0.763,29,3,300,90.4,20.4,10,21,94,,6.7,7,0.329,26,0.346,9,52.1,50,0.484,15.8,18,53,0.358,19,0.25,1,"November 19, 2017",44.1,15,5.7,3,90.4,79.6,39,0.482,82,0.415,34,0.244,20,0.85,17,2,300,92.3,14.9,7,27,96,,6.7,7,0.402,33,0.333,11,47.9,46,0.525,16.5,18,49,0.469,23,0.5,2,"TD Arena, Charleston, South Carolina",INDIANA-STATE,Indiana State,69.2,Home,OHIO,Ohio,Ohio,mac
2017-11-24-19-ohio,48.4,15,6.4,3,131.5,74.1,20,0.589,62,0.5,31,0.065,4,1.0,4,4,200,105.5,14.3,4,12,77,,1.4,1,0.516,32,0.344,11,43.6,24,0.603,16.9,13,30,0.667,20,0.333,2,"November 24, 2017",48.7,19,3.3,1,105.5,85.7,24,0.613,71,0.549,39,0.141,10,0.9,9,2,200,131.5,25.9,7,9,96,,11.0,8,0.338,24,0.375,9,56.4,31,0.634,6.2,5,47,0.638,30,0.6,3,"Convocation Center, Athens, Ohio",MOUNT-ST-MARYS,Mount St. Mary's,73.3,Home,OHIO,Ohio,Ohio,mac
2017-11-28-19-ohio,54.5,18,10.8,4,114.3,82.9,29,0.563,71,0.465,33,0.183,13,1.0,13,4,200,120.8,26.5,9,16,93,,2.6,2,0.493,35,0.4,14,55.1,38,0.603,10.5,9,36,0.528,19,0.333,2,"November 28, 2017",60.6,20,13.9,5,120.8,73.5,25,0.608,65,0.508,33,0.231,15,0.6,9,3,200,114.3,17.1,6,14,88,,3.9,3,0.431,28,0.464,13,44.9,31,0.61,13.3,11,37,0.541,20,0.5,3,"Convocation Center, Athens, Ohio",OHIO,Ohio,77.2,Away,IONA,Iona,Ohio,mac
2017-12-01-19-ohio,38.5,5,14.3,7,108.1,68.4,26,0.238,61,0.213,13,0.18,11,0.727,8,7,200,50.0,18.2,8,16,37,,2.7,2,0.41,25,0.12,3,41.5,34,0.279,18.6,15,36,0.278,10,0.0,0,"December 1, 2017",55.2,16,8.3,3,50.0,81.8,36,0.478,69,0.42,29,0.261,18,0.778,14,3,200,108.1,31.6,12,8,80,,14.9,11,0.29,20,0.4,8,58.5,48,0.516,11.5,10,49,0.429,21,0.571,4,"Convocation Center, Athens, Ohio",COPPIN-STATE,Coppin State,74.4,Home,OHIO,Ohio,Ohio,mac
2017-12-07-19-maryland,42.9,9,7.5,3,107.4,66.7,22,0.392,60,0.35,21,0.367,22,0.682,15,4,200,76.5,15.0,6,18,62,,12.3,10,0.333,20,0.25,5,38.4,28,0.44,17.7,15,40,0.4,16,0.5,4,"December 7, 2017",50.0,16,20.0,8,76.5,85.0,34,0.553,66,0.485,32,0.242,16,0.875,14,3,200,107.4,33.3,11,19,87,,8.6,7,0.394,26,0.346,9,61.6,45,0.591,20.6,19,40,0.575,23,0.727,8,"Xfinity Center, College Park, Maryland",OHIO,Ohio,80.5,Home,MARYLAND,Maryland,Ohio,mac
2017-12-10-14-ohio,31.3,10,5.4,2,111.3,81.5,22,0.507,68,0.471,32,0.353,24,0.625,15,3,200,105.0,25.6,10,25,84,,10.0,8,0.265,18,0.278,5,48.5,32,0.529,11.3,10,50,0.54,27,0.667,6,"December 10, 2017",46.2,12,2.0,1,105.0,74.4,29,0.518,56,0.464,26,0.625,35,0.886,31,4,200,111.3,18.5,5,19,89,,8.8,7,0.339,19,0.316,6,51.5,34,0.613,15.4,13,37,0.541,20,0.556,5,"Convocation Center, Athens, Ohio",WESTERN-KENTUCKY,Western Kentucky,80.0,Home,OHIO,Ohio,Ohio,mac
2017-12-16-20-marshall,38.9,14,2.9,1,107.6,90.3,28,0.494,83,0.434,36,0.217,18,0.778,14,5,225,104.3,26.1,12,21,96,,8.7,8,0.361,30,0.333,10,51.9,40,0.524,12.5,13,53,0.491,26,0.5,5,"December 16, 2017",71.0,22,22.6,12,104.3,73.9,34,0.571,63,0.492,31,0.492,31,0.871,27,3,225,107.6,9.7,3,18,99,,7.6,7,0.46,29,0.345,10,48.1,37,0.637,17.3,16,34,0.618,21,0.727,8,"Henderson Center, Huntington, West Virginia",OHIO,Ohio,81.5,Home,MARSHALL,Marshall,Ohio,mac
