,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-oral-roberts,50.0,13,1.8,1,111.7,57.1,24,0.517,60,0.433,26,0.3,18,0.556,10,0,200,93.5,19.4,7,18,72,,5.2,4,0.4,24,0.417,10,39.7,31,0.525,19.1,16,36,0.444,16,0.0,0,"November 10, 2017",37.1,13,13.9,5,93.5,80.6,29,0.5,75,0.467,35,0.267,20,0.55,11,0,200,111.7,42.9,18,18,86,,14.3,11,0.24,18,0.278,5,60.3,47,0.509,10.7,10,57,0.526,30,1.0,1,"Mabee Center, Tulsa, Oklahoma","Avila
			","Avila
			",77.0,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit
2017-11-13-20-tulsa,65.4,17,8.3,3,115.4,72.0,18,0.492,59,0.441,26,0.356,21,0.619,13,1,200,91.0,23.5,8,25,71,,6.4,5,0.339,20,0.3,6,44.1,26,0.515,20.9,18,39,0.513,20,0.5,1,"November 13, 2017",41.9,13,15.4,6,91.0,76.5,26,0.614,57,0.544,31,0.474,27,0.741,20,1,200,115.4,28.0,7,22,90,,11.5,9,0.368,21,0.381,8,55.9,33,0.644,16.9,14,36,0.639,23,0.5,1,"Donald W. Reynolds Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,77.9,Home,TULSA,Tulsa,Oral Roberts,summit
2017-11-16-20-oklahoma-state,45.0,9,5.4,2,135.8,52.9,18,0.358,60,0.333,20,0.133,8,0.625,5,2,200,71.6,21.6,8,14,48,,3.0,2,0.3,18,0.167,3,36.6,26,0.376,15.9,12,42,0.405,17,0.333,1,"November 16, 2017",65.7,23,14.3,6,71.6,78.4,29,0.593,70,0.5,35,0.157,11,0.727,8,0,200,135.8,47.1,16,10,91,,7.5,5,0.471,33,0.394,13,63.4,45,0.605,8.6,7,37,0.595,22,1.0,3,"Gallagher-Iba Arena, Stillwater, Oklahoma",ORAL-ROBERTS,Oral Roberts,67.0,Home,OKLAHOMA-STATE,Oklahoma State,Oral Roberts,summit
2017-11-20-20-montana,56.5,13,8.8,3,106.2,62.5,20,0.519,52,0.442,23,0.288,15,0.667,10,3,200,98.5,32.1,9,18,64,,9.2,6,0.308,16,0.5,8,48.3,29,0.541,20.4,15,36,0.417,15,0.25,1,"November 20, 2017",75.0,18,11.1,4,98.5,67.9,19,0.464,56,0.429,24,0.393,22,0.773,17,1,200,106.2,37.5,12,18,69,,15.4,10,0.393,22,0.182,4,51.7,31,0.519,13.2,10,34,0.588,20,0.75,3,"Firestone Fieldhouse, Malibu, California",ORAL-ROBERTS,Oral Roberts,64.8,Home,MONTANA,Montana,Oral Roberts,summit
2017-11-21-22-pepperdine,78.6,22,11.8,4,117.6,70.8,17,0.571,56,0.5,28,0.304,17,0.706,12,4,200,111.8,31.0,9,23,76,,4.4,3,0.357,20,0.4,8,49.1,26,0.593,14.8,11,36,0.556,20,0.2,1,"November 21, 2017",51.9,14,5.6,2,111.8,69.0,20,0.598,51,0.529,27,0.51,26,0.731,19,3,200,117.6,29.2,7,19,80,,7.4,5,0.333,17,0.412,7,50.9,27,0.631,17.2,13,34,0.588,20,0.4,2,"Firestone Fieldhouse, Malibu, California",ORAL-ROBERTS,Oral Roberts,67.7,Home,PEPPERDINE,Pepperdine,Oral Roberts,summit
2017-11-24-15-penn-state,42.1,8,8.1,3,130.3,60.0,15,0.386,57,0.333,19,0.123,7,0.571,4,5,200,72.7,32.4,12,13,48,,10.6,7,0.281,16,0.375,6,43.5,27,0.398,22.1,17,41,0.317,13,0.167,1,"November 24, 2017",50.0,16,17.1,7,72.7,67.6,25,0.64,57,0.561,32,0.333,19,0.684,13,1,200,130.3,40.0,10,13,86,,21.2,14,0.351,20,0.45,9,56.5,35,0.651,13.3,10,37,0.622,23,0.857,6,"Bryce Jordan Center, University Park, Pennsylvania",ORAL-ROBERTS,Oral Roberts,65.7,Home,PENN-STATE,Penn State,Oral Roberts,summit
2017-11-27-20-oral-roberts,63.6,21,4.0,2,108.9,78.9,30,0.559,68,0.485,33,0.412,28,0.607,17,3,225,117.7,35.9,14,18,93,,3.8,3,0.353,24,0.417,10,57.1,44,0.572,11.1,10,44,0.523,23,0.5,3,"November 27, 2017",54.5,18,20.5,9,117.7,64.1,25,0.528,72,0.458,33,0.194,14,0.714,10,6,225,108.9,21.1,8,24,86,,7.6,6,0.306,22,0.455,10,42.9,33,0.547,12.3,11,50,0.46,23,0.143,1,"Mabee Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,70.6,Away,OAKLAND,Oakland,Oral Roberts,summit
2017-11-29-20-kansas-state,57.1,12,5.9,2,116.7,65.6,21,0.412,57,0.368,21,0.456,26,0.808,21,7,200,103.0,38.7,12,17,68,,6.1,4,0.281,16,0.313,5,52.4,33,0.49,10.5,8,41,0.39,16,0.125,1,"November 29, 2017",65.5,19,9.8,4,103.0,61.3,19,0.55,60,0.483,29,0.283,17,0.647,11,1,200,116.7,34.4,11,20,77,,10.6,7,0.433,26,0.308,8,47.6,30,0.566,11.8,9,34,0.618,21,0.857,6,"Bramlage Coliseum, Manhattan, Kansas",ORAL-ROBERTS,Oral Roberts,65.7,Home,KANSAS-STATE,Kansas State,Oral Roberts,summit
2017-12-02-16-arkansas-little-rock,65.4,17,12.8,6,76.7,78.7,37,0.475,61,0.426,26,0.459,28,0.571,16,7,250,86.0,28.9,11,13,74,,4.7,4,0.361,22,0.273,6,56.5,48,0.498,22.3,21,39,0.513,20,0.222,2,"December 2, 2017",60.7,17,7.7,3,86.0,71.1,27,0.39,77,0.364,28,0.143,11,0.545,6,6,250,76.7,21.3,10,24,66,,5.8,5,0.39,30,0.133,4,43.5,37,0.401,16.4,16,47,0.511,24,0.25,2,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,69.0,Away,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit
2017-12-05-22-nevada-las-vegas,50.0,13,2.4,1,119.5,58.6,17,0.378,74,0.351,26,0.216,16,0.625,10,8,200,85.7,33.3,13,26,66,,11.7,9,0.189,14,0.286,4,44.1,30,0.404,11.0,10,60,0.367,22,0.2,2,"December 5, 2017",84.4,27,6.7,4,85.7,66.7,26,0.619,59,0.542,32,0.492,29,0.655,19,2,200,119.5,41.4,12,19,92,,6.5,5,0.288,17,0.529,9,55.9,38,0.632,17.3,15,42,0.548,23,0.778,7,"MGM Grand Garden Arena, Paradise, Nevada",ORAL-ROBERTS,Oral Roberts,77.2,Home,NEVADA-LAS-VEGAS,UNLV,Oral Roberts,summit
