,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-22-oregon-state,31.8,7,0.0,0,115.1,76.7,23,0.439,57,0.386,22,0.807,46,0.696,32,1,200,95.3,15.4,6,29,82,,5.8,5,0.316,18,0.333,6,42.0,29,0.52,15.3,14,39,0.41,16,0.0,0,"November 10, 2017",50.0,17,17.9,7,95.3,84.6,33,0.579,63,0.54,34,0.556,35,0.743,26,0,200,115.1,23.3,7,33,99,,8.1,7,0.317,20,0.25,5,58.0,40,0.622,14.2,13,43,0.674,29,1.0,1,"Gill Coliseum, Corvallis, Oregon",SOUTHERN-UTAH,Southern Utah,86.2,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-11-13-23-oregon-state,53.8,14,17.9,7,91.7,75.8,25,0.598,51,0.51,26,0.373,19,0.737,14,0,200,104.2,20.0,5,16,75,,6.9,5,0.392,20,0.45,9,51.7,30,0.625,21.2,16,31,0.548,17,1.0,2,"November 13, 2017",62.5,15,9.7,3,104.2,80.0,20,0.441,59,0.407,24,0.39,23,0.609,14,1,200,91.7,24.2,8,21,66,,12.5,9,0.339,20,0.2,4,48.3,28,0.472,13.7,11,39,0.513,20,0.5,1,"Gill Coliseum, Corvallis, Oregon",OREGON-STATE,Oregon State,72.0,Away,WYOMING,Wyoming,Oregon State,pac-12
2017-11-18-23-oregon-state,43.3,13,0.0,0,107.2,79.2,19,0.507,68,0.441,30,0.235,16,0.75,12,1,200,97.6,28.9,11,26,81,,8.4,7,0.294,20,0.45,9,48.4,30,0.536,19.3,18,48,0.438,21,0.667,2,"November 18, 2017",58.1,18,6.3,3,97.6,71.1,27,0.598,56,0.554,31,0.518,29,0.759,22,1,200,107.2,20.8,5,18,89,,12.0,10,0.339,19,0.263,5,51.6,32,0.638,20.7,18,37,0.703,26,0.667,2,"Gill Coliseum, Corvallis, Oregon",LONG-BEACH-STATE,Long Beach State,82.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-11-23-14-oregon-state,44.0,11,11.5,3,104.1,66.7,18,0.424,66,0.379,25,0.455,30,0.867,26,0,200,110.8,33.3,13,22,82,,18.9,14,0.227,15,0.4,6,47.0,31,0.511,7.0,6,51,0.373,19,1.0,5,"November 23, 2017",50.0,11,3.9,2,110.8,66.7,26,0.55,50,0.44,22,0.5,25,0.88,22,2,200,104.1,33.3,9,26,77,,2.7,2,0.48,24,0.458,11,53.0,35,0.622,25.6,21,26,0.423,11,0.5,2,"HP Field House, Orlando, Florida",OREGON-STATE,Oregon State,73.6,Away,ST-JOHNS-NY,St. John's (NY),Oregon State,pac-12
2017-11-24-13-oregon-state,66.7,16,10.0,4,95.8,56.4,22,0.491,55,0.436,24,0.545,30,0.667,20,3,200,102.8,32.4,11,21,74,,13.9,10,0.327,18,0.333,6,45.2,33,0.534,16.0,13,37,0.486,18,0.5,3,"November 24, 2017",46.2,12,16.2,6,102.8,67.6,23,0.43,64,0.406,26,0.313,20,0.7,14,3,200,95.8,43.6,17,26,69,,5.6,4,0.375,24,0.125,3,54.8,40,0.469,18.0,16,40,0.575,23,0.4,2,"HP Field House, Orlando, Florida",OREGON-STATE,Oregon State,71.9,Away,LONG-BEACH-STATE,Long Beach State,Oregon State,pac-12
2017-11-26-19-marist,58.3,14,16.7,4,69.7,88.6,31,0.473,56,0.429,24,0.268,15,0.8,12,3,200,98.5,41.4,12,16,65,,7.6,5,0.268,15,0.333,5,67.2,43,0.515,19.3,15,41,0.463,19,0.5,3,"November 26, 2017",41.2,7,12.2,5,98.5,58.6,17,0.382,51,0.333,17,0.255,13,0.538,7,6,200,69.7,11.4,4,15,46,,9.1,6,0.529,27,0.185,5,32.8,21,0.402,17.5,12,24,0.5,12,0.0,0,"HP Field House, Orlando, Florida",MARIST,Marist,65.7,Away,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-12-02-17-oregon-state,51.9,14,0.0,0,113.0,70.8,17,0.508,63,0.429,27,0.238,15,0.667,10,3,200,107.2,38.7,12,25,74,,7.2,5,0.413,26,0.385,10,52.7,29,0.528,15.7,13,37,0.459,17,0.571,4,"December 2, 2017",57.1,16,21.6,8,107.2,61.3,19,0.58,50,0.56,28,0.58,29,0.69,20,3,200,113.0,29.2,7,15,78,,10.1,7,0.26,13,0.154,2,47.3,26,0.612,13.7,10,37,0.703,26,0.571,4,"Gill Coliseum, Corvallis, Oregon",LOYOLA-MARYMOUNT,Loyola Marymount,69.0,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-12-05-22-oregon-state,44.0,11,5.4,2,113.8,67.9,19,0.536,55,0.455,25,0.109,6,0.5,3,5,200,95.4,14.3,4,19,62,,10.8,7,0.436,24,0.375,9,41.1,23,0.536,17.2,12,31,0.516,16,0.444,4,"December 5, 2017",70.0,21,12.9,4,95.4,85.7,24,0.62,54,0.556,30,0.259,14,0.5,7,3,200,113.8,32.1,9,15,74,,13.8,9,0.315,17,0.412,7,58.9,33,0.61,16.6,12,37,0.622,23,0.625,5,"Gill Coliseum, Corvallis, Oregon",EASTERN-KENTUCKY,Eastern Kentucky,64.8,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-12-09-22-oregon-state,57.1,12,7.1,3,126.9,59.3,16,0.543,46,0.457,21,0.217,10,0.8,8,10,200,86.6,20.0,5,20,58,,10.4,7,0.391,18,0.444,8,40.4,21,0.571,27.4,19,28,0.464,13,0.0,0,"December 9, 2017",69.0,20,7.1,2,86.6,80.0,20,0.553,57,0.509,29,0.439,25,0.88,22,3,200,126.9,40.7,11,14,85,,16.4,11,0.263,15,0.333,5,59.6,31,0.617,13.9,11,42,0.571,24,0.667,6,"Gill Coliseum, Corvallis, Oregon",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,66.8,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2017-12-12-22-oregon-state,25.0,6,7.1,2,109.4,70.8,17,0.465,57,0.421,24,0.298,17,0.941,16,3,200,107.8,40.0,10,21,69,,9.4,6,0.193,11,0.455,5,55.1,27,0.53,14.6,11,46,0.413,19,0.7,7,"December 12, 2017",70.8,17,8.7,4,107.8,60.0,15,0.609,46,0.522,24,0.478,22,0.636,14,3,200,109.4,29.2,7,17,70,,7.8,5,0.391,18,0.444,8,44.9,22,0.62,17.7,12,28,0.571,16,0.7,7,"Gill Coliseum, Corvallis, Oregon",JACKSONVILLE-STATE,Jacksonville State,63.8,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
