,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-13-fairfield,53.8,14,7.7,3,100.0,76.7,23,0.424,72,0.361,26,0.264,19,0.579,11,1,200,90.0,15.9,7,21,72,,7.5,6,0.542,39,0.231,9,40.5,30,0.444,10.1,9,33,0.515,17,0.0,0,"November 11, 2017",46.4,13,15.2,5,90.0,84.1,37,0.536,56,0.5,28,0.429,24,0.833,20,0,200,100.0,23.3,7,22,80,,6.3,5,0.304,17,0.235,4,59.5,44,0.593,19.4,16,39,0.615,24,1.0,1,"Webster Bank Arena, Bridgeport, Connecticut",PENNSYLVANIA,Penn,79.7,Home,FAIRFIELD,Fairfield,Pennsylvania,ivy
2017-11-13-19-pennsylvania,23.1,6,14.8,8,88.8,77.6,38,0.443,61,0.426,26,0.426,26,0.808,21,0,250,93.8,34.3,12,18,75,,3.8,3,0.213,13,0.154,2,59.5,50,0.511,19.0,17,48,0.5,24,1.0,2,"November 13, 2017",40.0,10,6.3,3,93.8,65.7,23,0.372,74,0.338,25,0.338,25,0.64,16,2,250,88.8,22.4,11,19,71,,13.8,11,0.27,20,0.25,5,40.5,34,0.413,7.6,7,54,0.37,20,0.0,0,"The Palestra, Philadelphia, Pennsylvania",PENNSYLVANIA,Penn,64.1,Away,LA-SALLE,La Salle,Pennsylvania,ivy
2017-11-15-19-pennsylvania,25.0,4,5.4,2,93.0,75.0,21,0.298,57,0.281,16,0.263,15,0.733,11,2,200,63.4,25.0,9,15,45,,11.3,8,0.316,18,0.111,2,46.9,30,0.351,21.1,17,39,0.359,14,0.333,1,"November 15, 2017",59.3,16,17.9,7,63.4,75.0,27,0.517,59,0.458,27,0.136,8,0.625,5,2,200,93.0,25.0,7,19,66,,12.7,9,0.373,22,0.318,7,53.1,34,0.525,19.3,15,37,0.541,20,0.333,1,"The Palestra, Philadelphia, Pennsylvania",NAVY,Navy,71.5,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-11-18-11-pennsylvania,37.5,6,0.0,0,125.3,79.3,23,0.268,71,0.225,16,0.127,9,0.222,2,0,200,50.6,20.8,10,17,40,,2.5,2,0.423,30,0.2,6,42.9,33,0.266,17.6,16,41,0.244,10,0.0,0,"November 18, 2017",79.4,27,7.3,3,50.6,79.2,38,0.648,64,0.531,34,0.344,22,0.727,16,2,200,125.3,20.7,6,11,99,,11.4,9,0.609,39,0.385,15,57.1,44,0.665,9.8,8,25,0.76,19,0.5,2,"The Palestra, Philadelphia, Pennsylvania","Penn St. - Brandywine
			","Penn St. - Brandywine
			",78.9,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-11-20-17-northern-illinois,68.6,24,2.2,1,109.6,81.1,30,0.669,62,0.565,35,0.274,17,0.588,10,2,200,127.4,27.6,8,20,93,,1.4,1,0.387,24,0.542,13,57.6,38,0.664,13.7,11,38,0.579,22,0.6,3,"November 20, 2017",36.7,11,5.3,2,127.4,72.4,21,0.54,62,0.484,30,0.355,22,0.591,13,1,200,109.6,18.9,7,19,80,,6.8,5,0.274,17,0.412,7,42.4,28,0.552,10.0,8,45,0.511,23,0.667,2,"Germain Arena, Estero, Florida",NORTHERN-ILLINOIS,Northern Illinois,73.3,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-11-21-19-towson,53.6,15,2.8,1,109.7,77.4,24,0.525,59,0.475,28,0.237,14,0.643,9,3,200,98.6,27.6,8,24,71,,5.6,4,0.322,19,0.316,6,53.3,32,0.541,17.7,14,40,0.55,22,0.5,3,"November 21, 2017",58.3,14,10.0,4,98.6,72.4,21,0.529,52,0.462,24,0.712,37,0.649,24,1,200,109.7,22.6,7,18,79,,8.3,6,0.308,16,0.438,7,46.7,28,0.568,12.8,10,36,0.472,17,0.8,4,"Germain Arena, Estero, Florida",PENNSYLVANIA,Penn,72.1,Home,TOWSON,Towson,Pennsylvania,ivy
2017-11-22-17-missouri-kansas-city,52.0,13,6.9,2,86.7,90.9,30,0.539,51,0.49,25,0.451,23,0.565,13,3,200,90.7,12.9,4,17,68,,6.7,5,0.373,19,0.263,5,53.1,34,0.549,22.8,18,32,0.625,20,0.571,4,"November 22, 2017",47.6,10,0.0,0,90.7,87.1,27,0.455,55,0.382,21,0.364,20,0.75,15,5,200,86.7,9.1,3,24,65,,8.0,6,0.473,26,0.308,8,46.9,30,0.504,16.9,13,29,0.448,13,0.286,2,"Germain Arena, Estero, Florida",MISSOURI-KANSAS-CITY,UMKC,75.2,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-11-25-19-monmouth,40.0,12,3.8,2,93.2,69.6,32,0.461,77,0.39,30,0.649,50,0.6,30,3,300,98.1,32.7,17,40,101,,6.8,7,0.455,35,0.314,11,50.0,49,0.501,16.1,19,42,0.452,19,0.625,5,"November 25, 2017",46.9,15,9.5,4,98.1,67.3,35,0.486,74,0.432,32,0.689,51,0.471,24,4,300,93.2,30.4,14,39,96,,5.8,6,0.297,22,0.364,8,50.0,49,0.489,16.5,19,52,0.462,24,0.333,2,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,68.7,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-11-29-19-villanova,62.5,15,7.1,3,123.3,96.2,25,0.466,58,0.414,24,0.224,13,0.615,8,4,200,84.9,12.1,4,18,62,,4.1,3,0.345,20,0.3,6,49.2,29,0.483,16.9,13,38,0.474,18,0.556,5,"November 29, 2017",48.5,16,13.2,5,84.9,87.9,29,0.638,58,0.569,33,0.328,19,0.842,16,0,200,123.3,3.8,1,18,90,4,11.0,8,0.276,16,0.5,8,50.8,30,0.671,9.5,7,42,0.595,25,1.0,7,"Jake Nevin Field House, Villanova, Pennsylvania",PENNSYLVANIA,Penn,73.1,Home,VILLANOVA,Villanova,Pennsylvania,ivy
2017-12-04-19-howard,74.1,20,11.4,5,86.1,76.9,30,0.478,68,0.397,27,0.368,25,0.64,16,4,200,102.5,43.9,18,16,81,,7.6,6,0.485,33,0.333,11,60.0,48,0.507,16.8,16,35,0.457,16,0.6,6,"December 4, 2017",39.1,9,2.9,1,102.5,56.1,23,0.398,64,0.359,23,0.344,22,0.773,17,8,200,86.1,23.1,9,21,68,,3.8,3,0.313,20,0.25,5,40.0,32,0.457,16.0,14,44,0.409,18,0.111,1,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,78.7,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-12-06-20-lafayette,35.7,10,2.9,1,94.4,84.4,27,0.524,63,0.444,28,0.222,14,0.5,7,4,200,101.4,18.4,7,15,73,,6.9,5,0.397,25,0.4,10,48.6,34,0.524,12.6,10,38,0.474,18,0.636,7,"December 6, 2017",40.0,10,7.9,3,101.4,81.6,31,0.483,58,0.431,25,0.241,14,0.857,12,7,200,94.4,15.6,5,17,68,,8.3,6,0.397,23,0.261,6,51.4,36,0.526,15.8,12,35,0.543,19,0.125,1,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,72.2,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-12-09-15-dayton,76.9,20,9.1,3,102.9,79.3,23,0.691,47,0.553,26,0.383,18,0.722,13,4,200,114.7,16.0,4,11,78,,8.8,6,0.468,22,0.591,13,50.0,27,0.702,21.5,15,25,0.52,13,0.667,8,"December 9, 2017",55.2,16,12.0,3,114.7,84.0,21,0.568,59,0.492,29,0.085,5,0.6,3,5,200,102.9,20.7,6,15,70,,5.9,4,0.441,26,0.346,9,50.0,27,0.57,18.6,14,33,0.606,20,0.444,4,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,68.0,Away,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-12-27-19-pennsylvania,26.3,5,3.3,1,154.4,72.7,16,0.382,55,0.345,19,0.255,14,0.714,10,13,200,76.5,19.4,6,16,52,,4.4,3,0.291,16,0.25,4,41.5,22,0.422,15.2,11,39,0.385,15,0.133,2,"December 27, 2017",65.7,23,5.1,2,76.5,80.6,25,0.737,57,0.614,35,0.439,25,0.84,21,4,200,154.4,27.3,6,11,105,,13.2,9,0.474,27,0.519,14,58.5,31,0.762,9.3,7,30,0.7,21,0.692,9,"The Palestra, Philadelphia, Pennsylvania",DELAWARE-STATE,Delaware State,68.3,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2017-12-29-16-pennsylvania,33.3,10,2.9,1,104.3,80.6,29,0.605,57,0.526,30,0.351,20,0.8,16,5,200,123.2,20.7,6,11,85,,5.8,4,0.246,14,0.643,9,53.8,35,0.639,10.8,8,43,0.488,21,0.615,8,"December 29, 2017",53.6,15,4.7,2,123.2,79.3,23,0.492,65,0.431,28,0.185,12,0.667,8,5,200,104.3,19.4,7,14,72,,4.3,3,0.462,30,0.267,8,46.2,30,0.509,7.9,6,35,0.571,20,0.643,9,"The Palestra, Philadelphia, Pennsylvania",PENNSYLVANIA,Penn,69.1,Away,TOLEDO,Toledo,Pennsylvania,ivy
2018-01-06-16-pennsylvania,28.0,7,7.9,3,113.4,76.9,20,0.518,55,0.455,25,0.291,16,0.813,13,8,200,104.5,19.2,5,19,70,,3.0,2,0.382,21,0.333,7,48.1,25,0.559,13.9,10,34,0.529,18,0.467,7,"January 6, 2018",35.7,10,2.9,1,104.5,80.8,21,0.574,54,0.519,28,0.407,22,0.636,14,5,200,113.4,23.1,6,17,76,,7.5,5,0.296,16,0.375,6,51.9,27,0.59,11.2,8,38,0.579,22,0.667,10,"The Palestra, Philadelphia, Pennsylvania",PRINCETON,Princeton,67.0,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-01-12-20-pennsylvania,30.4,7,10.0,4,94.5,86.1,31,0.439,57,0.404,23,0.263,15,0.733,11,8,200,83.6,20.0,7,20,61,,5.5,4,0.333,19,0.211,4,53.5,38,0.476,20.1,16,38,0.5,19,0.429,6,"January 12, 2018",65.4,17,7.9,3,83.6,80.0,28,0.5,58,0.448,26,0.397,23,0.478,11,5,200,94.5,13.9,5,21,69,,15.1,11,0.31,18,0.333,6,46.5,33,0.501,11.7,9,40,0.5,20,0.688,11,"The Palestra, Philadelphia, Pennsylvania",CORNELL,Cornell,73.0,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-01-13-19-pennsylvania,10.7,3,6.9,2,97.5,73.7,28,0.437,71,0.394,28,0.211,15,0.6,9,12,200,89.9,34.1,15,16,71,,13.9,11,0.352,25,0.24,6,52.4,43,0.454,15.3,14,46,0.478,22,0.2,3,"January 13, 2018",44.4,12,6.5,3,89.9,65.9,29,0.532,62,0.435,27,0.274,17,0.647,11,5,200,97.5,26.3,10,14,77,,8.9,7,0.532,33,0.364,12,47.6,39,0.549,22.4,20,29,0.517,15,0.706,12,"The Palestra, Philadelphia, Pennsylvania",COLUMBIA,Columbia,78.6,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-01-20-14-pennsylvania,23.8,5,6.9,2,78.5,68.3,28,0.48,51,0.412,21,0.333,17,0.647,11,9,200,92.3,24.2,8,17,60,,7.7,5,0.314,16,0.438,7,48.6,36,0.508,18.2,13,35,0.4,14,0.526,10,"January 20, 2018",76.5,13,11.4,4,92.3,75.8,25,0.35,60,0.283,17,0.233,14,0.643,9,6,200,78.5,31.7,13,15,51,,12.3,8,0.517,31,0.258,8,51.4,38,0.383,15.4,12,29,0.31,9,0.667,12,"The Palestra, Philadelphia, Pennsylvania",PENNSYLVANIA,Penn,64.9,Away,TEMPLE,Temple,Pennsylvania,ivy
2018-01-27-19-pennsylvania,38.1,8,7.4,2,90.5,76.5,26,0.348,69,0.304,21,0.188,13,0.615,8,11,200,75.7,11.4,5,18,56,,12.2,9,0.362,25,0.24,6,39.7,31,0.372,7.4,6,44,0.341,15,0.45,9,"January 27, 2018",40.0,10,6.8,3,75.7,88.6,39,0.491,58,0.431,25,0.241,14,0.714,10,6,200,90.5,23.5,8,18,67,,1.4,1,0.534,31,0.226,7,60.3,47,0.518,20.0,16,27,0.667,18,0.684,13,"The Palestra, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,74.4,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-02-02-19-pennsylvania,45.7,16,11.4,4,113.1,80.0,24,0.549,71,0.493,35,0.268,19,0.632,12,9,225,107.1,21.2,7,30,90,,9.5,8,0.254,18,0.444,8,49.2,31,0.562,14.1,13,53,0.509,27,0.5,9,"February 2, 2018",50.0,14,9.4,5,107.1,78.8,26,0.602,54,0.519,28,0.815,44,0.682,30,6,225,113.1,20.0,6,18,95,,8.3,7,0.352,19,0.474,9,50.8,32,0.634,16.0,14,35,0.543,19,0.7,14,"The Palestra, Philadelphia, Pennsylvania",BROWN,Brown,75.1,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
2018-02-03-19-pennsylvania,30.0,6,10.5,4,89.4,73.7,28,0.347,59,0.339,20,0.169,10,0.9,9,13,200,75.8,17.9,7,16,50,,7.6,5,0.322,19,0.053,1,45.5,35,0.392,11.2,8,40,0.475,19,0.409,9,"February 3, 2018",56.5,13,5.0,2,75.8,82.1,32,0.418,61,0.377,23,0.148,9,0.889,8,6,200,89.4,26.3,10,10,59,,4.5,3,0.377,23,0.217,5,54.5,42,0.452,14.5,11,38,0.474,18,0.714,15,"The Palestra, Philadelphia, Pennsylvania",YALE,Yale,65.5,Home,PENNSYLVANIA,Penn,Pennsylvania,ivy
