,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-oklahoma-state,46.2,6,3.3,1,109.9,82.8,24,0.315,46,0.283,13,0.63,29,0.621,18,1,200,66.2,15.4,6,16,47,,8.5,6,0.348,16,0.188,3,44.1,30,0.393,22.4,17,30,0.333,10,0.0,0,"November 10, 2017",64.3,18,10.0,3,66.2,84.6,33,0.559,59,0.475,28,0.254,15,0.8,12,0,200,109.9,17.2,5,22,78,,8.5,6,0.492,29,0.345,10,55.9,38,0.59,13.2,10,30,0.6,18,1.0,1,"Gallagher-Iba Arena, Stillwater, Oklahoma",PEPPERDINE,Pepperdine,71.0,Home,OKLAHOMA-STATE,Oklahoma State,Pepperdine,wcc
2017-11-14-22-pepperdine,67.7,21,2.0,1,137.2,45.7,16,0.598,61,0.508,31,0.23,14,0.643,9,0,200,105.1,21.9,7,27,82,,7.7,6,0.459,28,0.393,11,34.3,23,0.606,20.2,17,33,0.606,20,0.0,0,"November 14, 2017",45.0,18,3.0,1,105.1,78.1,25,0.62,71,0.563,40,0.394,28,0.679,19,1,200,137.2,54.3,19,18,107,,10.3,8,0.296,21,0.381,8,65.7,44,0.635,14.4,14,50,0.64,32,0.5,1,"Firestone Fieldhouse, Malibu, California","Cal Lutheran
			","Cal Lutheran
			",78.5,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc
2017-11-17-22-pepperdine,56.0,14,10.2,6,112.3,63.4,26,0.527,56,0.446,25,0.661,37,0.676,25,2,200,115.1,28.9,11,24,84,,4.1,3,0.482,27,0.333,9,46.8,37,0.571,11.1,9,29,0.552,16,0.333,1,"November 17, 2017",53.3,16,0.0,0,115.1,71.1,27,0.444,71,0.423,30,0.31,22,0.864,19,2,200,112.3,36.6,15,23,82,,1.4,1,0.169,12,0.25,3,53.2,42,0.503,8.0,7,59,0.458,27,0.333,1,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,72.5,Away,NORTHERN-COLORADO,Northern Colorado,Pepperdine,wcc
2017-11-20-22-pepperdine,57.6,19,4.5,2,110.5,54.2,13,0.603,63,0.524,33,0.349,22,0.727,16,2,200,121.1,19.4,6,19,92,,13.2,10,0.333,21,0.476,10,34.5,19,0.626,7.6,6,42,0.548,23,0.5,2,"November 20, 2017",50.0,15,4.8,2,121.1,80.6,25,0.58,56,0.536,30,0.482,27,0.704,19,3,200,110.5,45.8,11,18,84,,2.6,2,0.214,12,0.417,5,65.5,36,0.61,22.8,20,44,0.568,25,0.25,1,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,75.6,Away,CALIFORNIA-SANTA-BARBARA,UCSB,Pepperdine,wcc
2017-11-21-22-pepperdine,78.6,22,11.8,4,117.6,70.8,17,0.571,56,0.5,28,0.304,17,0.706,12,4,200,111.8,31.0,9,23,76,,4.4,3,0.357,20,0.4,8,49.1,26,0.593,14.8,11,36,0.556,20,0.2,1,"November 21, 2017",51.9,14,5.6,2,111.8,69.0,20,0.598,51,0.529,27,0.51,26,0.731,19,3,200,117.6,29.2,7,19,80,,7.4,5,0.333,17,0.412,7,50.9,27,0.631,17.2,13,34,0.588,20,0.4,2,"Firestone Fieldhouse, Malibu, California",ORAL-ROBERTS,Oral Roberts,67.7,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc
2017-11-24-21-texas-am,70.8,17,2.8,1,112.5,64.5,20,0.419,62,0.387,24,0.387,24,0.542,13,4,200,90.3,31.8,14,15,65,,8.3,6,0.306,19,0.211,4,45.3,34,0.443,14.2,12,43,0.465,20,0.333,2,"November 24, 2017",86.2,25,25.6,11,90.3,68.2,30,0.54,62,0.468,29,0.355,22,0.636,14,0,200,112.5,35.5,11,21,81,16,8.3,6,0.419,26,0.346,9,54.7,41,0.559,14.3,12,36,0.556,20,1.0,5,"Reed Arena, College Station, Texas",PEPPERDINE,Pepperdine,72.4,Home,TEXAS-AM,Texas A&M,Pepperdine,wcc
2017-11-29-22-pepperdine,70.4,19,4.3,2,107.9,61.3,19,0.585,59,0.458,27,0.458,27,0.704,19,3,200,115.8,12.9,4,24,88,,10.5,8,0.508,30,0.5,15,37.1,23,0.613,9.0,7,29,0.414,12,0.5,3,"November 29, 2017",51.6,16,13.8,4,115.8,87.1,27,0.575,60,0.517,31,0.433,26,0.5,13,5,200,107.9,38.7,12,23,82,,3.9,3,0.233,14,0.5,7,62.9,39,0.567,18.3,16,46,0.522,24,0.286,2,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,75.6,Away,SOUTHERN-UTAH,Southern Utah,Pepperdine,wcc
2017-12-02-22-cal-poly,48.3,14,3.3,1,130.0,77.8,21,0.545,55,0.527,29,0.491,27,0.778,21,6,200,115.7,17.9,5,14,81,,4.3,3,0.2,11,0.182,2,47.3,26,0.597,11.9,9,44,0.614,27,0.25,2,"December 2, 2017",63.3,19,9.1,4,115.7,82.1,23,0.623,57,0.526,30,0.404,23,0.87,20,4,200,130.0,22.2,6,21,91,,7.1,5,0.474,27,0.407,11,52.7,29,0.67,9.4,7,30,0.633,19,0.5,4,"Robert A. Mott Gymnasium, San Luis Obispo, California",PEPPERDINE,Pepperdine,70.4,Home,CAL-POLY,Cal Poly,Pepperdine,wcc
2017-12-05-22-pepperdine,60.9,14,13.9,5,106.1,78.8,26,0.447,57,0.404,23,0.211,12,0.667,8,6,200,89.4,23.3,7,20,59,,6.1,4,0.333,19,0.263,5,52.4,33,0.47,15.0,11,38,0.474,18,0.25,2,"December 5, 2017",85.7,18,5.3,2,89.4,76.7,23,0.438,56,0.375,21,0.446,25,0.84,21,6,200,106.1,21.2,7,15,70,,7.6,5,0.357,20,0.35,7,47.6,30,0.516,6.9,5,36,0.389,14,0.333,3,"Firestone Fieldhouse, Malibu, California",CALIFORNIA-RIVERSIDE,UC-Riverside,66.3,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc
2017-12-09-22-pepperdine,72.4,21,14.6,6,101.4,60.0,18,0.55,60,0.483,29,0.283,17,0.706,12,7,200,111.4,34.4,11,16,78,,14.3,10,0.367,22,0.364,8,46.8,29,0.573,14.0,11,38,0.553,21,0.417,5,"December 9, 2017",62.1,18,5.3,2,111.4,65.6,21,0.5,64,0.453,29,0.188,12,0.583,7,7,200,101.4,40.0,12,19,71,,5.7,4,0.359,23,0.261,6,53.2,33,0.509,17.8,15,41,0.561,23,0.3,3,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,70.4,Away,LONG-BEACH-STATE,Long Beach State,Pepperdine,wcc
