,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-22-portland,53.6,15,14.7,5,97.4,65.5,19,0.471,70,0.4,28,0.443,31,0.452,14,0,200,103.9,42.6,20,26,80,,9.1,7,0.3,21,0.476,10,51.3,39,0.472,13.5,13,49,0.367,18,1.0,1,"November 11, 2017",73.9,17,22.4,11,103.9,57.4,27,0.519,54,0.426,23,0.574,31,0.613,19,1,200,97.4,34.5,10,25,75,,9.1,7,0.37,20,0.5,10,48.7,37,0.546,20.1,17,34,0.382,13,0.0,0,"Chiles Center, Portland, Oregon",PORTLAND,Portland,76.7,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-11-14-23-portland-state,73.7,14,0.0,0,126.1,65.7,23,0.414,58,0.328,19,0.276,16,0.75,12,0,200,68.2,21.6,8,14,60,,6.8,6,0.448,26,0.385,10,43.1,31,0.457,31.6,30,32,0.281,9,0.0,0,"November 14, 2017",53.2,25,12.5,4,68.2,78.4,29,0.64,82,0.573,47,0.122,10,0.6,6,0,200,126.1,34.3,12,20,111,,25.0,22,0.354,29,0.379,11,56.9,41,0.64,13.9,14,53,0.679,36,1.0,2,"Pamplin Sports Center, Portland, Oregon","Willamette
			","Willamette
			",88.2,Home,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-11-18-19-california-riverside,42.4,14,10.4,5,87.2,84.8,28,0.52,75,0.44,33,0.387,29,0.552,16,0,200,100.0,43.5,20,31,94,,11.7,11,0.4,30,0.4,12,60.8,48,0.529,21.5,24,45,0.467,21,1.0,3,"November 18, 2017",53.6,15,6.7,3,100.0,56.5,26,0.483,60,0.467,28,0.583,35,0.686,24,2,200,87.2,15.2,5,25,82,,9.6,9,0.2,12,0.167,2,39.2,31,0.535,23.4,23,48,0.542,26,0.333,1,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,93.7,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-11-20-22-portland-state,35.7,10,0.0,0,102.5,75.0,24,0.571,56,0.5,28,0.464,26,0.577,15,3,200,97.5,28.1,9,28,79,,6.2,5,0.375,21,0.381,8,51.6,33,0.578,22.9,20,35,0.571,20,0.4,2,"November 20, 2017",64.0,16,8.6,3,97.5,71.9,23,0.5,59,0.424,25,0.576,34,0.706,24,0,200,102.5,25.0,8,25,83,,11.1,9,0.373,22,0.409,9,48.4,31,0.552,16.9,15,37,0.432,16,1.0,4,"Peter W. Stott Center, Portland, Oregon",UTAH-STATE,Utah State,80.8,Home,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-11-23-16-duke,70.0,21,2.2,1,125.3,57.6,19,0.468,77,0.39,30,0.156,12,0.75,9,1,200,102.5,27.9,12,33,81,,7.6,6,0.429,33,0.364,12,40.8,31,0.49,7.8,7,44,0.409,18,0.8,4,"November 23, 2017",59.4,19,20.5,9,102.5,72.1,31,0.54,63,0.508,32,0.667,42,0.738,31,0,200,125.3,42.4,14,16,99,1,2.5,2,0.286,18,0.222,4,59.2,45,0.597,11.9,11,45,0.622,28,1.0,6,"Memorial Coliseum, Portland, Oregon",PORTLAND-STATE,Portland State,78.8,Home,DUKE,Duke,Portland State,big-sky
2017-11-24-15-butler,58.3,14,12.5,5,106.0,69.0,20,0.545,55,0.436,24,0.291,16,0.563,9,2,200,103.0,25.8,8,17,69,,6.0,4,0.473,26,0.462,12,46.7,28,0.551,16.2,12,29,0.414,12,0.667,4,"November 24, 2017",51.7,15,10.3,3,103.0,74.2,23,0.544,57,0.509,29,0.246,14,0.643,9,2,200,106.0,31.0,9,15,71,,10.4,7,0.298,17,0.235,4,53.3,32,0.558,17.1,13,40,0.625,25,0.667,4,"Moda Center, Portland, Oregon",PORTLAND-STATE,Portland State,67.1,Home,BUTLER,Butler,Portland State,big-sky
2017-11-26-21-stanford,23.1,6,17.5,7,96.3,57.7,15,0.429,70,0.371,26,0.471,33,0.818,27,2,200,107.4,34.8,16,22,87,,22.2,18,0.343,24,0.333,8,43.1,31,0.508,10.6,10,46,0.391,18,0.714,5,"November 26, 2017",42.9,12,10.9,5,107.4,65.2,30,0.583,54,0.519,28,0.407,22,0.682,15,5,200,96.3,42.3,11,25,78,,3.7,3,0.259,14,0.5,7,56.9,41,0.605,30.5,28,40,0.525,21,0.375,3,"Memorial Coliseum, Portland, Oregon",STANFORD,Stanford,80.6,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-02-16-portland-state,71.4,15,2.0,1,138.9,60.6,20,0.377,61,0.344,21,0.082,5,0.8,4,0,200,55.6,30.6,11,14,50,,3.3,3,0.41,25,0.16,4,44.9,31,0.394,37.5,38,36,0.472,17,0.0,0,"December 2, 2017",73.5,36,19.4,7,55.6,69.4,25,0.645,86,0.57,49,0.174,15,0.933,14,2,200,138.9,39.4,13,14,125,,30.0,27,0.407,35,0.371,13,55.1,38,0.671,9.7,10,51,0.706,36,0.75,6,"Pamplin Sports Center, Portland, Oregon","Portland Bible
			","Portland Bible
			",90.3,Home,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-06-22-loyola-marymount,53.3,16,12.5,6,90.4,61.0,25,0.507,68,0.441,30,0.456,31,0.806,25,2,200,100.0,28.2,11,25,94,,21.3,20,0.397,27,0.333,9,45.0,36,0.568,19.7,20,41,0.512,21,0.778,7,"December 6, 2017",60.0,18,9.8,4,100.0,71.8,28,0.478,69,0.435,30,0.377,26,0.731,19,4,200,90.4,39.0,16,25,85,,10.6,10,0.304,21,0.286,6,55.0,44,0.522,27.8,31,48,0.5,24,0.5,4,"Albert Gersten Pavilion, Los Angeles, California",LOYOLA-MARYMOUNT,Loyola Marymount,94.0,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-09-22-santa-clara,53.1,17,10.8,4,115.1,66.7,20,0.623,57,0.561,32,0.456,26,0.615,16,2,200,119.2,6.7,2,17,87,,5.5,4,0.333,19,0.368,7,36.7,22,0.627,6.8,5,38,0.658,25,0.8,8,"December 9, 2017",43.8,14,0.0,0,119.2,93.3,28,0.587,63,0.508,32,0.222,14,0.714,10,6,200,115.1,33.3,10,21,84,,4.1,3,0.413,26,0.385,10,63.3,38,0.603,15.8,13,37,0.595,22,0.333,3,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,72.5,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-13-22-oregon,50.0,14,2.7,1,108.0,73.3,22,0.466,74,0.378,28,0.257,19,0.789,15,3,200,95.5,19.5,8,23,84,,8.0,7,0.459,34,0.382,13,42.3,30,0.506,15.4,15,40,0.375,15,0.727,8,"December 13, 2017",84.4,27,22.5,9,95.5,80.5,33,0.586,64,0.5,32,0.406,26,0.769,20,3,200,108.0,26.7,8,18,95,,6.8,6,0.422,27,0.407,11,57.7,41,0.622,19.3,18,37,0.568,21,0.727,8,"Matthew Knight Arena, Eugene, Oregon",PORTLAND-STATE,Portland State,88.2,Home,OREGON,Oregon,Portland State,big-sky
2017-12-16-16-portland-state,76.9,20,5.4,2,123.4,66.7,24,0.492,60,0.433,26,0.417,25,0.48,12,0,200,75.5,19.0,8,21,71,,11.7,11,0.45,27,0.259,7,41.0,32,0.494,27.6,27,33,0.576,19,0.0,0,"December 16, 2017",82.5,33,3.0,1,75.5,81.0,34,0.628,78,0.513,40,0.385,30,0.6,18,3,200,123.4,33.3,12,22,116,,22.3,21,0.526,41,0.439,18,59.0,46,0.629,14.9,16,37,0.595,22,0.75,9,"Pamplin Sports Center, Portland, Oregon","Linfield
			","Linfield
			",93.6,Home,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-21-23-california,70.3,26,18.8,9,91.0,58.1,18,0.552,77,0.481,37,0.351,27,0.778,21,3,200,119.1,29.7,11,28,106,,13.5,12,0.403,31,0.355,11,42.6,29,0.59,10.1,10,46,0.565,26,0.769,10,"December 21, 2017",24.0,6,17.4,8,119.1,70.3,26,0.446,56,0.446,25,0.768,43,0.721,31,7,200,91.0,41.9,13,21,81,,9.0,8,0.143,8,0.0,0,57.4,39,0.53,25.0,25,48,0.521,25,0.462,6,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,88.6,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2017-12-30-22-sacramento-state,43.3,13,5.4,2,115.9,91.3,21,0.458,72,0.417,30,0.236,17,0.529,9,4,200,108.7,40.5,17,20,75,,11.6,8,0.333,24,0.25,6,58.5,38,0.468,7.0,6,48,0.5,24,0.714,10,"December 30, 2017",43.8,14,12.5,6,108.7,59.5,25,0.66,53,0.604,32,0.302,16,0.625,10,10,200,115.9,8.7,2,18,80,,1.4,1,0.302,16,0.375,6,41.5,27,0.66,15.5,11,37,0.703,26,0.286,4,"The Nest, Sacramento, California",PORTLAND-STATE,Portland State,69.3,Home,SACRAMENTO-STATE,Sacramento State,Portland State,big-sky
2018-01-04-21-eastern-washington,40.0,10,21.4,6,114.1,56.0,14,0.39,68,0.368,25,0.426,29,0.724,21,5,200,104.2,36.4,16,21,74,,14.1,10,0.294,20,0.15,3,43.5,30,0.452,8.0,7,48,0.458,22,0.667,10,"January 4, 2018",54.2,13,10.4,5,104.2,63.6,28,0.571,49,0.49,24,0.551,27,0.926,25,9,200,114.1,44.0,11,19,81,,4.2,3,0.429,21,0.381,8,56.5,39,0.655,23.8,19,28,0.571,16,0.438,7,"Reese Court, Cheney, Washington",PORTLAND-STATE,Portland State,71.3,Home,EASTERN-WASHINGTON,Eastern Washington,Portland State,big-sky
2018-01-06-22-idaho,53.6,15,7.5,3,110.8,60.6,20,0.524,63,0.444,28,0.222,14,0.5,7,5,200,112.3,30.8,12,14,73,,12.3,8,0.492,31,0.323,10,44.4,32,0.524,10.4,8,32,0.563,18,0.688,11,"January 6, 2018",64.3,18,6.3,2,112.3,69.2,27,0.549,61,0.459,28,0.098,6,0.833,5,6,200,110.8,39.4,13,13,72,,10.8,7,0.344,21,0.524,11,55.6,40,0.564,18.0,14,40,0.425,17,0.625,10,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,65.3,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
2018-01-11-23-portland-state,83.3,20,0.0,0,117.7,75.0,21,0.519,54,0.444,24,0.463,25,0.72,18,7,200,93.7,24.2,8,15,74,,8.9,7,0.315,17,0.471,8,47.5,29,0.562,24.4,21,37,0.432,16,0.611,11,"January 11, 2018",64.7,22,5.4,2,93.7,75.8,25,0.641,64,0.531,34,0.203,13,0.846,11,5,200,117.7,25.0,7,22,93,,12.7,10,0.5,32,0.438,14,52.5,32,0.663,18.7,16,32,0.625,20,0.706,12,"Pamplin Sports Center, Portland, Oregon",MONTANA-STATE,Montana State,79.0,Home,PORTLAND-STATE,Portland State,Portland State,big-sky
2018-01-13-16-portland-state,48.1,13,1.9,1,109.9,56.1,23,0.602,49,0.551,27,0.959,47,0.702,33,5,200,113.6,42.3,11,25,92,,8.6,7,0.224,11,0.455,5,50.7,34,0.645,21.4,19,38,0.579,22,0.722,13,"January 13, 2018",39.4,13,5.3,2,113.6,57.7,15,0.461,77,0.429,33,0.286,22,0.818,18,6,200,109.9,43.9,18,32,89,,13.6,11,0.312,24,0.208,5,49.3,33,0.509,13.9,14,53,0.528,28,0.667,12,"Pamplin Sports Center, Portland, Oregon",PORTLAND-STATE,Portland State,81.4,Away,MONTANA,Montana,Portland State,big-sky
2018-01-18-21-idaho-state,21.2,7,11.4,4,106.4,80.6,25,0.562,65,0.508,33,0.277,18,0.778,14,6,200,111.5,37.5,12,26,87,,12.8,10,0.385,25,0.28,7,58.7,37,0.591,18.9,17,40,0.65,26,0.684,13,"January 18, 2018",45.2,14,5.0,2,111.5,62.5,20,0.643,56,0.554,31,0.375,21,0.524,11,9,200,106.4,19.4,6,22,83,,10.3,8,0.375,21,0.476,10,41.3,26,0.629,20.7,17,35,0.6,21,0.471,8,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,77.8,Away,PORTLAND-STATE,Portland State,Portland State,big-sky
