,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-rider,48.1,13,13.5,5,116.9,63.6,28,0.492,63,0.429,27,0.27,17,0.765,13,1,200,97.4,27.0,10,28,75,,3.9,3,0.317,20,0.4,8,46.9,38,0.528,18.5,16,43,0.442,19,0.0,0,"November 10, 2017",50.0,14,7.0,3,97.4,73.0,27,0.515,68,0.412,28,0.5,34,0.588,20,0,200,116.9,36.4,16,21,90,,11.7,9,0.456,31,0.452,14,53.1,43,0.535,9.8,9,37,0.378,14,1.0,1,"Alumni Gymnasium, Lawrenceville, New Jersey",HAMPTON,Hampton,77.1,Home,RIDER,Rider,Rider,maac
2017-11-13-20-xavier,62.5,15,7.7,2,129.5,72.0,18,0.375,72,0.333,24,0.403,29,0.724,21,1,200,96.2,34.7,17,26,75,,6.4,5,0.417,30,0.2,6,47.3,35,0.437,10.6,10,42,0.429,18,0.5,1,"November 13, 2017",80.6,25,16.7,7,96.2,65.3,32,0.632,57,0.544,31,0.614,35,0.829,29,0,200,129.5,28.0,7,26,101,15,6.4,5,0.544,31,0.323,10,52.7,39,0.686,13.2,11,26,0.808,21,1.0,2,"Cintas Center, Cincinnati, Ohio",RIDER,Rider,78.2,Home,XAVIER,Xavier,Rider,maac
2017-11-15-19-rider,47.1,8,15.0,6,109.9,75.0,27,0.353,58,0.293,17,0.397,23,0.522,12,1,200,65.4,6.5,3,23,53,,2.5,2,0.5,29,0.241,7,36.6,30,0.384,17.0,14,29,0.345,10,0.667,2,"November 15, 2017",58.6,17,13.8,4,65.4,93.5,43,0.524,63,0.46,29,0.571,36,0.639,23,1,200,109.9,25.0,9,19,89,,3.7,3,0.365,23,0.348,8,63.4,52,0.556,12.2,11,40,0.525,21,0.667,2,"Alumni Gymnasium, Lawrenceville, New Jersey",HARTFORD,Hartford,81.0,Home,RIDER,Rider,Rider,maac
2017-11-20-19-george-washington,51.9,14,2.3,1,101.6,62.5,20,0.435,69,0.391,27,0.188,13,0.538,7,1,200,104.7,39.0,16,14,67,,9.4,6,0.304,21,0.286,6,49.3,36,0.446,8.6,7,48,0.438,21,0.75,3,"November 20, 2017",59.3,16,25.0,12,104.7,61.0,25,0.475,61,0.443,27,0.164,10,0.7,7,2,200,101.6,37.5,12,12,65,,9.4,6,0.295,18,0.222,4,50.7,37,0.494,12.1,9,43,0.535,23,0.5,2,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,64.5,Away,RIDER,Rider,Rider,maac
2017-11-23-22-rider,50.0,16,12.8,5,111.1,72.7,24,0.562,65,0.492,32,0.292,19,0.474,9,4,200,101.2,27.8,10,27,82,,7.4,6,0.338,22,0.409,9,49.3,34,0.554,18.8,17,43,0.535,23,0.333,2,"November 23, 2017",48.3,14,7.0,3,101.2,72.2,26,0.549,61,0.475,29,0.574,35,0.657,23,1,200,111.1,27.3,9,20,90,,8.6,7,0.361,22,0.409,9,50.7,35,0.58,14.5,13,39,0.513,20,0.8,4,"Orleans Arena, Paradise, Nevada",CALIFORNIA-IRVINE,UC-Irvine,81.3,Home,RIDER,Rider,Rider,maac
2017-11-24-22-rider,48.4,15,9.5,4,122.1,71.4,25,0.5,67,0.463,31,0.239,16,0.813,13,5,200,103.9,29.0,9,23,80,,5.2,4,0.254,17,0.294,5,51.5,34,0.536,14.9,13,50,0.52,26,0.286,2,"November 24, 2017",50.0,16,8.0,4,103.9,71.0,22,0.589,62,0.516,32,0.468,29,0.724,21,1,200,122.1,28.6,10,18,94,,10.4,8,0.323,20,0.45,9,48.5,32,0.62,11.8,10,42,0.548,23,0.833,5,"Orleans Arena, Paradise, Nevada",HAMPTON,Hampton,77.2,Home,RIDER,Rider,Rider,maac
2017-11-29-19-providence,44.8,13,12.5,5,114.3,56.8,21,0.532,63,0.46,29,0.286,18,0.944,17,2,200,109.1,40.6,13,26,84,,7.8,6,0.302,19,0.474,9,49.3,34,0.587,22.0,20,44,0.455,20,0.714,5,"November 29, 2017",42.9,12,20.5,9,109.1,59.4,19,0.525,61,0.459,28,0.574,35,0.686,24,1,200,114.3,43.2,16,18,88,,10.4,8,0.344,21,0.381,8,50.7,35,0.567,15.5,14,40,0.5,20,0.857,6,"Dunkin' Donuts Center, Providence, Rhode Island",RIDER,Rider,77.1,Home,PROVIDENCE,Providence,Rider,maac
2017-12-02-16-drexel,65.5,19,9.1,3,121.9,72.4,21,0.525,61,0.475,29,0.311,19,0.684,13,3,200,105.5,25.0,9,19,77,,4.1,3,0.262,16,0.375,6,46.2,30,0.55,16.8,14,45,0.511,23,0.625,5,"December 2, 2017",53.6,15,15.6,7,105.5,75.0,27,0.561,57,0.491,28,0.509,29,0.862,25,4,200,121.9,27.6,8,14,89,,16.4,12,0.421,24,0.333,8,53.8,35,0.629,11.4,9,33,0.606,20,0.5,4,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",RIDER,Rider,73.4,Home,DREXEL,Drexel,Rider,maac
2017-12-06-19-robert-morris,45.8,11,3.1,1,108.3,73.5,25,0.459,61,0.393,24,0.508,31,0.613,19,4,200,104.2,46.3,19,19,75,,12.5,9,0.344,21,0.381,8,58.7,44,0.495,16.7,15,40,0.4,16,0.556,5,"December 6, 2017",74.1,20,12.5,5,104.2,53.7,22,0.551,59,0.458,27,0.305,18,0.722,13,4,200,108.3,26.5,9,22,78,,5.6,4,0.458,27,0.407,11,41.3,31,0.577,16.3,13,32,0.5,16,0.556,5,"CONSOL Energy Center, Pittsburgh, Pennsylvania",RIDER,Rider,71.6,Home,ROBERT-MORRIS,Robert Morris,Rider,maac
2017-12-09-19-rider,36.7,11,8.6,3,100.0,82.1,32,0.645,55,0.545,30,0.327,18,0.944,17,3,200,107.3,21.7,5,22,88,,6.1,5,0.436,24,0.458,11,59.7,37,0.692,25.9,22,31,0.613,19,0.667,6,"December 9, 2017",35.5,11,9.7,3,107.3,78.3,18,0.582,61,0.508,31,0.41,25,0.44,11,5,200,100.0,17.9,7,21,82,,18.3,15,0.426,26,0.346,9,40.3,25,0.563,19.1,17,35,0.629,22,0.5,5,"Alumni Gymnasium, Lawrenceville, New Jersey",RIDER,Rider,81.7,Away,HOFSTRA,Hofstra,Rider,maac
