,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-20-saint-marys-ca,32.0,8,2.6,1,126.9,64.3,18,0.519,52,0.481,25,0.346,18,0.778,14,1,200,101.5,7.4,2,10,68,,9.0,6,0.231,12,0.333,4,36.4,20,0.562,13.1,9,40,0.525,21,0.0,0,"November 11, 2017",68.6,24,5.0,2,101.5,92.6,25,0.631,65,0.538,35,0.046,3,1.0,3,0,200,126.9,35.7,10,22,85,22,6.0,4,0.4,26,0.462,12,63.6,35,0.64,13.1,10,39,0.59,23,1.0,1,"McKeon Pavilion, Moraga, California",SAINT-FRANCIS-PA,Saint Francis (PA),67.0,Home,SAINT-MARYS-CA,Saint Mary's,Saint Francis (PA),northeast
2017-11-13-22-san-francisco,36.0,9,11.8,4,102.7,77.8,21,0.427,62,0.403,25,0.242,15,0.667,10,2,200,86.3,25.6,10,17,63,,11.0,8,0.29,18,0.167,3,47.0,31,0.456,16.9,14,44,0.5,22,0.0,0,"November 13, 2017",50.0,14,9.1,4,86.3,74.4,29,0.57,57,0.491,28,0.246,14,0.714,10,1,200,102.7,22.2,6,19,75,,11.0,8,0.404,23,0.391,9,53.0,35,0.589,20.2,16,34,0.559,19,0.5,1,"War Memorial Gymnasium, San Francisco, California",SAINT-FRANCIS-PA,Saint Francis (PA),73.4,Home,SAN-FRANCISCO,San Francisco,Saint Francis (PA),northeast
2017-11-18-15-longwood,46.7,14,5.9,2,73.7,81.1,30,0.486,71,0.423,30,0.239,17,0.824,14,2,200,109.2,29.7,11,17,83,,14.5,11,0.366,26,0.346,9,55.4,41,0.525,10.3,9,45,0.467,21,0.333,1,"November 18, 2017",52.6,10,13.3,6,109.2,70.3,26,0.398,54,0.352,19,0.315,17,0.765,13,3,200,73.7,18.9,7,16,56,,3.9,3,0.37,20,0.25,5,44.6,33,0.451,24.5,20,34,0.412,14,0.0,0,"Willett Hall, Farmville, Virginia",LONGWOOD,Longwood,76.1,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-11-21-19-saint-francis-pa,55.0,11,6.8,3,120.0,67.7,21,0.367,60,0.333,20,0.233,14,0.714,10,0,200,67.5,24.4,10,19,54,,7.5,6,0.333,20,0.2,4,43.1,31,0.405,26.6,24,40,0.4,16,0.0,0,"November 21, 2017",42.9,15,7.5,3,67.5,75.6,31,0.558,69,0.507,35,0.362,25,0.76,19,2,200,120.0,32.3,10,15,96,,17.5,14,0.362,25,0.28,7,56.9,41,0.594,10.1,9,44,0.636,28,0.5,2,"DeGol Arena, Loretto, Pennsylvania","Franciscan
			","Franciscan
			",80.3,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-11-24-19-louisville,44.0,11,2.6,1,120.0,63.9,23,0.545,55,0.455,25,0.309,17,0.706,12,3,200,102.9,33.3,10,17,72,,2.9,2,0.382,21,0.476,10,50.0,33,0.571,23.3,19,34,0.441,15,0.4,2,"November 24, 2017",51.6,16,20.6,7,102.9,66.7,20,0.555,64,0.484,31,0.266,17,0.765,13,0,200,120.0,36.1,13,13,84,19,7.1,5,0.391,25,0.36,9,50.0,33,0.583,11.2,9,39,0.564,22,1.0,4,"KFC Yum! Center, Louisville, Kentucky",SAINT-FRANCIS-PA,Saint Francis (PA),70.1,Home,LOUISVILLE,Louisville,Saint Francis (PA),northeast
2017-11-29-19-saint-francis-pa,63.6,21,8.1,3,137.0,54.2,13,0.627,59,0.559,33,0.373,22,0.682,15,4,200,121.9,22.2,6,18,89,,9.6,7,0.407,24,0.333,8,37.3,19,0.641,14.9,12,35,0.714,25,0.333,2,"November 29, 2017",50.0,18,0.0,0,121.9,77.8,21,0.683,60,0.6,36,0.333,20,0.9,18,3,200,137.0,45.8,11,22,100,,13.7,10,0.383,23,0.435,10,62.7,32,0.719,15.9,13,37,0.703,26,0.5,3,"DeGol Arena, Loretto, Pennsylvania",AMERICAN,American,73.5,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-12-02-19-stony-brook,69.0,20,2.5,1,116.4,72.4,21,0.76,48,0.604,29,0.375,18,0.556,10,4,200,113.7,10.5,2,20,83,,9.6,7,0.5,24,0.625,15,47.9,23,0.734,24.4,18,24,0.583,14,0.429,3,"December 2, 2017",60.6,20,8.3,2,113.7,89.5,17,0.617,60,0.55,33,0.3,18,0.611,11,5,200,116.4,27.6,8,20,85,,11.0,8,0.333,20,0.4,8,52.1,25,0.62,16.1,13,40,0.625,25,0.375,3,"Island Federal Credit Union, Stony Brook, New York",SAINT-FRANCIS-PA,Saint Francis (PA),73.1,Home,STONY-BROOK,Stony Brook,Saint Francis (PA),northeast
2017-12-05-21-duke,45.8,11,0.0,0,147.6,52.9,18,0.387,71,0.338,24,0.211,15,0.8,12,5,200,79.8,8.3,4,18,67,,9.5,8,0.423,30,0.233,7,26.8,22,0.429,8.3,7,41,0.415,17,0.375,3,"December 5, 2017",70.8,34,9.8,4,79.8,91.7,44,0.694,80,0.6,48,0.238,19,0.684,13,0,200,147.6,47.1,16,16,124,1,3.6,3,0.325,26,0.577,15,73.2,60,0.696,12.8,13,54,0.611,33,1.0,11,"Cameron Indoor Stadium, Durham, North Carolina",SAINT-FRANCIS-PA,Saint Francis (PA),83.6,Home,DUKE,Duke,Saint Francis (PA),northeast
2017-12-10-14-niagara,30.3,10,4.8,2,111.5,69.2,27,0.587,63,0.524,33,0.365,23,0.826,19,5,225,119.2,26.7,8,25,93,,3.8,3,0.238,15,0.533,8,50.7,35,0.629,16.1,14,48,0.521,25,0.444,4,"December 10, 2017",56.7,17,14.6,7,119.2,73.3,22,0.507,68,0.441,30,0.456,31,0.581,18,6,225,111.5,30.8,12,18,87,,6.4,5,0.382,26,0.346,9,49.3,34,0.526,6.8,6,42,0.5,21,0.4,4,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,69.6,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-12-18-19-saint-francis-pa,53.6,15,0.0,0,132.9,62.9,22,0.453,74,0.378,28,0.216,16,0.625,10,0,200,90.6,26.2,11,27,77,,4.7,4,0.432,32,0.344,11,42.9,33,0.472,16.5,16,42,0.405,17,0.0,0,"December 18, 2017",61.5,24,7.1,3,90.6,73.8,31,0.648,71,0.549,39,0.493,35,0.6,21,5,200,132.9,37.1,13,21,113,,8.2,7,0.38,27,0.519,14,57.1,44,0.645,9.4,9,44,0.568,25,0.5,5,"DeGol Arena, Loretto, Pennsylvania","Bethany (WV)
			","Bethany (WV)
			",85.1,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-12-21-19-saint-francis-pa,44.8,13,5.9,2,107.7,74.3,26,0.444,71,0.408,29,0.127,9,0.778,7,6,200,89.7,27.0,10,18,70,,7.7,6,0.366,26,0.192,5,50.0,36,0.465,16.7,15,45,0.533,24,0.455,5,"December 21, 2017",48.3,14,6.7,3,89.7,73.0,27,0.547,64,0.453,29,0.266,17,0.824,14,5,200,107.7,25.7,9,12,84,,7.7,6,0.469,30,0.4,12,50.0,36,0.583,14.4,12,34,0.5,17,0.545,6,"DeGol Arena, Loretto, Pennsylvania",LEHIGH,Lehigh,77.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2017-12-29-19-central-connecticut-state,51.9,14,2.6,1,102.9,75.0,18,0.492,64,0.422,27,0.109,7,0.714,5,6,200,97.1,16.1,5,13,68,,14.3,10,0.406,26,0.346,9,41.8,23,0.505,13.0,10,38,0.474,18,0.5,6,"December 29, 2017",48.3,14,7.9,3,97.1,83.9,26,0.618,51,0.569,29,0.235,12,0.75,9,6,200,102.9,25.0,6,15,72,,5.7,4,0.255,13,0.385,5,58.2,32,0.635,23.2,17,38,0.632,24,0.571,8,"Detrick Gymnasium, New Britain, Connecticut",SAINT-FRANCIS-PA,Saint Francis (PA),70.0,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Saint Francis (PA),northeast
2017-12-31-15-bryant,51.5,17,3.1,1,106.5,73.7,28,0.629,62,0.532,33,0.145,9,0.889,8,6,225,111.7,11.1,3,11,86,,7.8,6,0.339,21,0.571,12,47.7,31,0.649,15.4,12,41,0.512,21,0.538,7,"December 31, 2017",72.7,24,4.9,2,111.7,88.9,24,0.534,73,0.452,33,0.123,9,0.444,4,14,225,106.5,26.3,10,14,82,,10.4,8,0.562,41,0.293,12,52.3,34,0.531,13.5,12,32,0.656,21,0.067,1,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,68.7,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2018-01-04-19-saint-francis-pa,54.2,13,9.1,3,118.1,82.1,23,0.447,66,0.364,24,0.227,15,0.6,9,10,200,94.4,29.5,13,17,68,,5.6,4,0.53,35,0.314,11,50.0,36,0.465,15.2,13,31,0.419,13,0.375,6,"January 4, 2018",58.1,18,6.5,2,94.4,70.5,31,0.592,60,0.517,31,0.267,16,0.875,14,6,200,118.1,17.9,5,15,85,,11.1,8,0.45,27,0.333,9,50.0,36,0.629,10.7,8,33,0.667,22,0.571,8,"DeGol Arena, Loretto, Pennsylvania",LONG-ISLAND-UNIVERSITY,LIU,71.9,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2018-01-06-16-saint-francis-pa,51.5,17,15.0,6,124.7,56.7,17,0.631,61,0.541,33,0.197,12,0.833,10,11,200,119.2,24.0,6,23,87,,13.7,10,0.508,31,0.355,11,41.8,23,0.652,16.4,13,30,0.733,22,0.312,5,"January 6, 2018",24.1,7,3.3,1,119.2,76.0,19,0.552,58,0.5,29,0.534,31,0.871,27,6,200,124.7,43.3,13,16,91,,9.6,7,0.31,18,0.333,6,58.2,32,0.626,15.4,13,40,0.575,23,0.6,9,"DeGol Arena, Loretto, Pennsylvania",ST-FRANCIS-NY,St. Francis (NY),73.2,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2018-01-11-19-robert-morris,38.7,12,6.1,2,106.7,55.9,19,0.539,64,0.484,31,0.406,26,0.769,20,6,200,118.7,35.5,11,16,89,,6.7,5,0.359,23,0.304,7,46.2,30,0.583,12.7,11,41,0.585,24,0.625,10,"January 11, 2018",63.3,19,4.9,2,118.7,64.5,20,0.531,65,0.462,30,0.277,18,0.611,11,8,200,106.7,44.1,15,19,80,,5.3,4,0.492,32,0.281,9,53.8,35,0.544,17.1,15,33,0.636,21,0.556,10,"CONSOL Energy Center, Pittsburgh, Pennsylvania",ROBERT-MORRIS,Robert Morris,75.0,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast
2018-01-13-14-saint-francis-pa,68.8,22,3.3,1,111.1,60.6,20,0.625,60,0.533,32,0.133,8,0.75,6,9,225,112.5,16.7,4,19,81,,8.3,6,0.483,29,0.379,11,42.1,24,0.635,15.9,12,31,0.677,21,0.526,10,"January 13, 2018",51.9,14,3.2,1,112.5,83.3,20,0.516,61,0.443,27,0.311,19,0.895,17,7,225,111.1,39.4,13,15,80,,6.9,5,0.508,31,0.29,9,57.9,33,0.571,17.8,15,30,0.6,18,0.588,10,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),63.9,Away,MOUNT-ST-MARYS,Mount St. Mary's,Saint Francis (PA),northeast
2018-01-18-19-wagner,57.1,12,9.8,4,107.4,60.7,17,0.462,52,0.404,21,0.404,21,0.762,16,8,200,94.1,19.4,6,21,64,,10.3,7,0.365,19,0.316,6,39.0,23,0.516,16.4,12,33,0.455,15,0.556,10,"January 18, 2018",59.3,16,6.1,2,94.1,80.6,25,0.536,55,0.491,27,0.364,20,0.7,14,6,200,107.4,39.3,11,20,73,,7.4,5,0.255,14,0.357,5,61.0,36,0.566,18.0,14,41,0.537,22,0.667,12,"Spiro Sports Center, Staten Island, New York",SAINT-FRANCIS-PA,Saint Francis (PA),67.7,Home,WAGNER,Wagner,Saint Francis (PA),northeast
