,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-binghamton,40.9,9,5.6,2,98.7,70.6,24,0.369,65,0.338,22,0.231,15,0.733,11,1,200,76.6,30.2,13,20,59,,13.0,10,0.231,15,0.267,4,48.1,37,0.409,19.2,17,50,0.36,18,0.0,0,"November 10, 2017",42.3,11,14.0,7,76.6,69.8,30,0.544,57,0.456,26,0.368,21,0.667,14,0,200,98.7,29.4,10,21,76,,9.1,7,0.368,21,0.476,10,51.9,40,0.567,23.2,20,36,0.444,16,1.0,1,"Binghamton University Events Center, Vestal, New York",MORGAN-STATE,Morgan State,76.6,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2017-11-13-19-cornell,44.1,15,11.8,4,130.6,73.1,19,0.586,64,0.531,34,0.313,20,0.45,9,1,200,116.7,16.7,6,25,84,,1.4,1,0.313,20,0.35,7,40.3,25,0.571,8.8,7,44,0.614,27,0.5,1,"November 13, 2017",70.4,19,6.8,3,116.7,83.3,30,0.582,55,0.491,27,0.618,34,0.882,30,1,200,130.6,26.9,7,17,94,,4.2,3,0.382,21,0.476,10,59.7,37,0.661,7.9,6,34,0.5,17,0.5,1,"Newman Arena, Ithaca, New York",BINGHAMTON,Binghamton,72.3,Home,CORNELL,Cornell,Binghamton,america-east
2017-11-16-19-george-mason,47.6,10,23.5,8,103.0,70.8,17,0.471,51,0.412,21,0.294,15,0.6,9,2,200,85.1,29.0,9,20,57,,10.4,7,0.392,20,0.3,6,47.3,26,0.49,21.7,16,31,0.484,15,0.333,1,"November 16, 2017",57.7,15,6.5,2,85.1,71.0,22,0.555,55,0.473,26,0.309,17,0.471,8,1,200,103.0,29.2,7,15,69,,11.9,8,0.382,21,0.429,9,52.7,29,0.547,17.2,13,34,0.5,17,0.667,2,"EagleBank Arena, Fairfax, Virginia",BINGHAMTON,Binghamton,67.1,Home,GEORGE-MASON,George Mason,Binghamton,america-east
2017-11-18-16-evansville,31.8,7,12.8,5,95.7,69.0,20,0.52,50,0.44,22,0.34,17,0.529,9,3,200,88.4,18.5,5,16,61,,10.1,7,0.4,20,0.4,8,44.6,25,0.525,23.8,18,30,0.467,14,0.25,1,"November 18, 2017",69.6,16,6.7,2,88.4,81.5,22,0.5,55,0.418,23,0.255,14,0.786,11,0,200,95.7,31.0,9,18,66,,10.1,7,0.291,16,0.563,9,55.4,31,0.535,18.6,14,39,0.359,14,1.0,4,"Ford Center, Evansville, Indiana",BINGHAMTON,Binghamton,68.9,Home,EVANSVILLE,Evansville,Binghamton,america-east
2017-11-21-12-binghamton,56.5,13,8.3,2,98.5,66.7,16,0.519,52,0.442,23,0.442,23,0.87,20,2,200,113.8,41.4,12,17,74,,7.7,5,0.365,19,0.421,8,52.8,28,0.588,20.5,16,33,0.455,15,0.6,3,"November 21, 2017",65.2,15,27.3,9,113.8,58.6,17,0.585,47,0.489,23,0.298,14,0.643,9,4,200,98.5,33.3,8,19,64,,10.8,7,0.489,23,0.391,9,47.2,25,0.596,25.3,18,24,0.583,14,0.2,1,"Hard Rock Hotel Riviera Maya, Cancun",BINGHAMTON,Binghamton,65.3,Away,MONTANA-STATE,Montana State,Binghamton,america-east
2017-11-22-12-binghamton,36.0,9,6.7,2,104.5,75.0,24,0.528,53,0.472,25,0.264,14,0.643,9,4,200,97.0,17.2,5,17,65,,7.5,5,0.245,13,0.462,6,47.5,29,0.545,16.9,12,40,0.475,19,0.2,1,"November 22, 2017",50.0,12,7.5,3,97.0,82.8,24,0.509,55,0.436,24,0.455,25,0.56,14,4,200,104.5,25.0,8,14,70,,10.4,7,0.455,25,0.32,8,52.5,32,0.523,12.0,9,30,0.533,16,0.333,2,"Hard Rock Hotel Riviera Maya, Cancun",CAL-STATE-NORTHRIDGE,Cal State Northridge,67.3,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2017-11-26-14-binghamton,36.0,9,4.9,2,119.8,74.3,26,0.508,59,0.424,25,0.136,8,0.625,5,0,200,80.2,12.1,4,14,65,,6.2,5,0.424,25,0.4,10,44.1,30,0.518,24.2,20,34,0.441,15,0.0,0,"November 26, 2017",59.0,23,23.5,8,80.2,87.9,29,0.588,74,0.527,39,0.257,19,0.526,10,4,200,119.8,25.7,9,8,97,,11.1,9,0.446,33,0.273,9,55.9,38,0.584,9.9,9,41,0.732,30,0.429,3,"Binghamton University Events Center, Vestal, New York","Hartwick
			","Hartwick
			",80.9,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2017-11-29-20-delaware-state,54.8,17,3.4,1,103.2,86.7,26,0.708,53,0.585,31,0.226,12,0.833,10,4,200,137.1,33.3,7,17,85,,8.1,5,0.472,25,0.52,13,64.7,33,0.724,14.6,10,28,0.643,18,0.5,4,"November 29, 2017",50.0,11,10.7,3,137.1,66.7,14,0.532,47,0.468,22,0.426,20,0.7,14,6,200,103.2,13.3,4,13,64,,9.7,6,0.383,18,0.333,6,35.3,18,0.566,15.2,10,29,0.552,16,0.25,2,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,62.1,Away,BINGHAMTON,Binghamton,Binghamton,america-east
2017-12-02-14-binghamton,41.7,10,11.4,4,115.2,69.7,23,0.509,57,0.421,24,0.158,9,0.778,7,4,200,98.5,12.1,4,21,65,,4.5,3,0.456,26,0.385,10,40.9,27,0.53,12.9,9,31,0.452,14,0.429,3,"December 2, 2017",65.4,17,12.9,4,98.5,87.9,29,0.517,58,0.448,26,0.379,22,0.727,16,4,200,115.2,30.3,10,11,76,,7.6,5,0.397,23,0.348,8,59.1,39,0.555,10.6,8,35,0.514,18,0.556,5,"Binghamton University Events Center, Vestal, New York",COLGATE,Colgate,66.4,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2017-12-06-19-binghamton,65.4,17,3.2,1,101.4,80.0,20,0.447,66,0.394,26,0.136,9,0.778,7,3,200,94.3,20.0,8,18,66,,10.0,7,0.303,20,0.35,7,43.1,28,0.47,12.5,10,46,0.413,19,0.625,5,"December 6, 2017",33.3,8,15.2,7,94.3,80.0,32,0.596,47,0.511,24,0.511,24,0.625,15,4,200,101.4,20.0,5,12,71,,5.7,4,0.34,16,0.5,8,56.9,37,0.608,20.7,15,31,0.516,16,0.6,6,"Binghamton University Events Center, Vestal, New York",ARMY,Army,70.3,Home,BINGHAMTON,Binghamton,Binghamton,america-east
