,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-19-toledo,40.6,13,16.1,5,128.9,80.8,21,0.543,70,0.457,32,0.286,20,0.55,11,1,200,114.5,23.8,10,23,87,,7.9,6,0.371,26,0.462,12,45.6,31,0.547,7.1,6,44,0.455,20,0.0,0,"November 11, 2017",70.0,21,11.4,5,114.5,76.2,32,0.661,56,0.536,30,0.518,29,0.828,24,0,200,128.9,19.2,5,19,98,,5.3,4,0.446,25,0.56,14,54.4,37,0.702,14.9,12,31,0.516,16,1.0,1,"John F. Savage Hall, Toledo, Ohio",SAINT-JOSEPHS,St. Joseph's,76.1,Home,TOLEDO,Toledo,Saint Joseph's,atlantic-10
2017-11-13-20-illinois-chicago,64.7,22,15.9,7,96.5,69.2,27,0.5,75,0.453,34,0.227,17,0.647,11,1,225,101.2,28.9,11,19,86,,11.8,10,0.293,22,0.318,7,49.4,38,0.518,14.5,14,53,0.509,27,0.5,1,"November 13, 2017",56.7,17,11.3,6,101.2,71.1,27,0.466,74,0.405,30,0.297,22,0.591,13,1,225,96.5,30.8,12,16,82,,11.8,10,0.405,30,0.3,9,50.6,39,0.485,12.5,12,44,0.477,21,0.5,1,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,75.8,Away,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10
2017-11-18-19-saint-josephs,52.4,11,0.0,0,118.3,80.0,20,0.51,51,0.412,21,0.137,7,0.857,6,3,200,96.7,11.1,3,18,58,,1.7,1,0.627,32,0.313,10,44.2,23,0.534,14.3,9,19,0.579,11,0.0,0,"November 18, 2017",44.0,11,10.5,2,96.7,88.9,24,0.566,53,0.472,25,0.321,17,0.647,11,1,200,118.3,20.0,5,13,71,,6.7,4,0.509,27,0.37,10,55.8,29,0.581,6.2,4,26,0.577,15,0.667,2,"Hagan Arena, Philadelphia, Pennsylvania",PRINCETON,Princeton,60.2,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10
2017-11-23-18-washington-state,61.5,16,12.5,3,102.7,84.8,28,0.47,66,0.394,26,0.227,15,0.6,9,2,200,97.3,13.9,5,13,71,,8.2,6,0.515,34,0.294,10,47.8,33,0.485,8.8,7,32,0.5,16,0.5,2,"November 23, 2017",64.0,16,15.6,5,97.3,86.1,31,0.579,57,0.439,25,0.228,13,0.692,9,0,200,102.7,15.2,5,15,75,,4.1,3,0.579,33,0.485,16,52.2,36,0.594,17.2,13,24,0.375,9,1.0,4,"Titan Gym, Fullerton, California",SAINT-JOSEPHS,St. Joseph's,73.2,Home,WASHINGTON-STATE,Washington State,Saint Joseph's,atlantic-10
2017-11-24-16-saint-josephs,69.2,18,8.6,3,98.6,66.7,26,0.527,56,0.464,26,0.446,25,0.72,18,3,200,106.9,21.2,7,23,77,,4.2,3,0.446,25,0.28,7,45.8,33,0.567,14.1,11,31,0.613,19,0.5,3,"November 24, 2017",59.1,13,6.5,2,106.9,78.8,26,0.418,61,0.361,22,0.508,31,0.645,20,3,200,98.6,33.3,13,24,71,,8.3,6,0.426,26,0.269,7,54.2,39,0.469,11.8,10,35,0.429,15,0.4,2,"Titan Gym, Fullerton, California",SAINT-JOSEPHS,St. Joseph's,72.3,Away,HARVARD,Harvard,Saint Joseph's,atlantic-10
2017-11-26-14-sacramento-state,42.9,9,0.0,0,97.2,70.0,21,0.454,54,0.389,21,0.611,33,0.758,25,3,200,104.2,31.4,11,18,74,,18.3,13,0.481,26,0.269,7,49.2,32,0.531,15.9,13,28,0.5,14,0.5,3,"November 26, 2017",79.2,19,10.7,3,104.2,68.6,24,0.509,53,0.453,24,0.396,21,0.714,15,6,200,97.2,30.0,9,21,69,,2.8,2,0.396,21,0.286,6,50.8,33,0.548,21.5,17,32,0.563,18,0.143,1,"Titan Gym, Fullerton, California",SACRAMENTO-STATE,Sacramento State,71.3,Away,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10
2017-11-29-19-saint-josephs,33.3,9,4.7,2,105.1,78.6,33,0.367,79,0.342,27,0.291,23,0.522,12,5,200,88.6,29.4,15,22,70,,3.8,3,0.342,27,0.148,4,51.6,48,0.389,6.3,6,52,0.442,23,0.375,3,"November 29, 2017",53.6,15,11.5,6,88.6,70.6,36,0.485,68,0.412,28,0.353,24,0.708,17,3,200,105.1,21.4,9,16,83,,5.1,4,0.368,25,0.4,10,48.4,45,0.523,7.1,6,43,0.419,18,0.571,4,"Hagan Arena, Philadelphia, Pennsylvania",BUCKNELL,Bucknell,78.7,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10
2017-12-02-17-saint-josephs,72.7,24,12.5,5,76.8,83.3,35,0.654,65,0.508,33,0.185,12,0.75,9,0,200,136.2,43.3,13,15,94,4,5.8,4,0.538,35,0.543,19,66.7,48,0.665,12.5,10,30,0.467,14,1.0,8,"December 2, 2017",38.1,8,10.0,3,136.2,56.7,17,0.367,64,0.328,21,0.125,8,0.75,6,4,200,76.8,16.7,7,12,53,,7.2,5,0.375,24,0.208,5,33.3,24,0.391,11.8,9,40,0.4,16,0.5,4,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,68.8,Away,VILLANOVA,Villanova,Saint Joseph's,atlantic-10
2017-12-09-14-temple,70.4,19,10.3,4,111.0,78.0,32,0.55,60,0.45,27,0.367,22,0.545,12,5,200,106.8,25.6,10,13,78,,2.7,2,0.45,27,0.444,12,52.5,42,0.554,15.7,13,33,0.455,15,0.444,4,"December 9, 2017",46.4,13,12.1,4,106.8,74.4,29,0.5,67,0.418,28,0.284,19,0.737,14,2,200,111.0,22.0,9,19,81,,11.0,8,0.418,28,0.393,11,47.5,38,0.533,7.4,6,39,0.436,17,0.75,6,"Liacouras Center, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,73.2,Home,TEMPLE,Temple,Saint Joseph's,atlantic-10
2017-12-17-16-saint-josephs,52.2,12,6.7,3,97.3,80.0,36,0.445,64,0.359,23,0.031,2,1.0,2,9,200,79.7,22.5,9,19,59,,2.7,2,0.5,32,0.344,11,52.9,45,0.454,20.8,17,32,0.375,12,0.25,3,"December 17, 2017",34.6,9,9.4,3,79.7,77.5,31,0.414,70,0.371,26,0.329,23,0.609,14,5,200,97.3,20.0,9,8,72,,14.9,11,0.357,25,0.24,6,47.1,40,0.445,3.6,3,45,0.444,20,0.5,5,"Hagan Arena, Philadelphia, Pennsylvania",MAINE,Maine,73.9,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10
