,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-saint-louis,47.1,8,11.8,4,95.4,63.6,21,0.427,48,0.354,17,0.125,6,0.833,5,1,200,70.8,3.7,1,18,46,,7.7,5,0.521,25,0.28,7,36.7,22,0.452,21.7,14,23,0.435,10,0.0,0,"November 10, 2017",52.6,10,17.4,4,70.8,96.3,26,0.413,52,0.365,19,0.519,27,0.704,19,0,200,95.4,36.4,12,14,62,,15.4,10,0.346,18,0.278,5,63.3,38,0.478,18.0,14,34,0.412,14,1.0,1,"Chaifetz Arena, St. Louis, Missouri",SEATTLE,Seattle,65.3,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2017-11-13-20-saint-louis,76.5,13,3.3,1,110.4,68.2,15,0.434,53,0.321,17,0.094,5,0.8,4,0,200,74.6,13.3,4,21,50,,4.5,3,0.585,31,0.387,12,36.5,19,0.451,23.5,17,22,0.227,5,0.0,0,"November 13, 2017",72.0,18,22.7,5,74.6,86.7,26,0.636,44,0.568,25,0.636,28,0.643,18,0,200,110.4,31.8,7,10,74,,13.4,9,0.318,14,0.429,6,63.5,33,0.646,21.0,15,30,0.633,19,1.0,2,"Chaifetz Arena, St. Louis, Missouri","Rockhurst
			","Rockhurst
			",66.8,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2017-11-16-19-saint-louis,57.1,12,10.3,4,105.5,81.3,26,0.462,52,0.404,21,0.692,36,0.639,23,1,200,97.3,16.2,6,24,71,,8.2,6,0.365,19,0.316,6,46.4,32,0.514,11.7,9,33,0.455,15,0.667,2,"November 16, 2017",48.1,13,9.1,3,97.3,83.8,31,0.509,57,0.474,27,0.439,25,0.76,19,0,200,105.5,18.8,6,26,77,,8.2,6,0.316,18,0.222,4,53.6,37,0.559,15.0,12,39,0.59,23,1.0,3,"Madison Square Garden (IV), New York, New York",VIRGINIA-TECH,Virginia Tech,73.5,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2017-11-17-19-saint-louis,67.7,21,18.2,6,91.3,60.0,21,0.71,50,0.62,31,0.48,24,0.792,19,1,200,130.4,35.0,7,22,90,,8.7,6,0.2,10,0.9,9,50.9,28,0.733,20.9,16,40,0.55,22,0.75,3,"November 17, 2017",47.4,9,5.0,2,130.4,65.0,13,0.4,55,0.345,19,0.491,27,0.704,19,1,200,91.3,40.0,14,22,63,,11.6,8,0.4,22,0.273,6,49.1,27,0.464,16.3,13,33,0.394,13,0.75,3,"Madison Square Garden (IV), New York, New York",SAINT-LOUIS,Saint Louis,68.6,Away,PROVIDENCE,Providence,Saint Louis,atlantic-10
2017-11-22-20-saint-louis,42.3,11,5.1,2,100.0,64.1,25,0.454,65,0.4,26,0.231,15,0.867,13,2,200,102.9,32.4,12,16,72,,10.0,7,0.308,20,0.35,7,48.7,37,0.499,12.3,10,45,0.422,19,0.6,3,"November 22, 2017",61.5,16,17.8,8,102.9,67.6,25,0.46,63,0.413,26,0.317,20,0.6,12,2,200,100.0,35.9,14,15,70,,4.3,3,0.381,24,0.25,6,51.3,39,0.483,14.3,12,39,0.513,20,0.6,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,70.3,Away,DETROIT-MERCY,Detroit,Saint Louis,atlantic-10
2017-11-28-20-saint-louis,69.6,16,5.7,2,77.3,78.8,26,0.491,55,0.418,23,0.218,12,0.917,11,3,200,98.5,35.7,10,19,65,,12.1,8,0.382,21,0.381,8,59.0,36,0.535,21.0,16,34,0.441,15,0.571,4,"November 28, 2017",55.6,10,11.8,4,98.5,64.3,18,0.39,50,0.36,18,0.4,20,0.6,12,3,200,77.3,21.2,7,14,51,,9.1,6,0.3,15,0.2,3,41.0,25,0.429,18.1,13,35,0.429,15,0.5,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,66.1,Away,WESTERN-MICHIGAN,Western Michigan,Saint Louis,atlantic-10
2017-12-02-14-butler,28.6,4,3.2,1,108.7,73.1,19,0.327,49,0.286,14,0.367,18,0.722,13,4,200,65.2,15.2,5,19,45,,5.8,4,0.388,19,0.211,4,40.7,24,0.391,23.0,17,30,0.333,10,0.429,3,"December 2, 2017",57.7,15,20.0,6,65.2,84.8,28,0.566,53,0.491,26,0.358,19,0.789,15,2,200,108.7,26.9,7,17,75,,7.2,5,0.415,22,0.364,8,59.3,35,0.605,17.5,13,31,0.581,18,0.75,6,"Hinkle Fieldhouse, Indianapolis, Indiana",SAINT-LOUIS,Saint Louis,68.8,Home,BUTLER,Butler,Saint Louis,atlantic-10
2017-12-06-20-saint-louis,60.9,14,6.1,2,108.8,77.8,21,0.543,47,0.489,23,0.511,24,0.75,18,3,200,101.5,13.0,3,22,69,,5.9,4,0.277,13,0.385,5,48.0,24,0.591,17.3,12,34,0.529,18,0.571,4,"December 6, 2017",68.0,17,14.7,5,101.5,87.0,20,0.509,55,0.455,25,0.455,25,0.72,18,4,200,108.8,22.2,6,19,74,,5.9,4,0.4,22,0.273,6,52.0,26,0.553,10.8,8,33,0.576,19,0.5,4,"Chaifetz Arena, St. Louis, Missouri",SOUTHERN-ILLINOIS,Southern Illinois,68.1,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2017-12-09-20-saint-louis,27.3,6,10.7,3,81.7,86.7,26,0.5,48,0.458,22,0.729,35,0.829,29,1,200,108.5,32.0,8,24,77,,8.5,6,0.271,13,0.308,4,61.8,34,0.596,20.2,16,35,0.514,18,0.889,8,"December 9, 2017",75.0,12,17.1,6,108.5,68.0,17,0.432,44,0.364,16,0.659,29,0.69,20,5,200,81.7,13.3,4,27,58,,9.9,7,0.364,16,0.375,6,38.2,21,0.502,22.0,16,28,0.357,10,0.444,4,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,71.2,Away,HOUSTON,Houston,Saint Louis,atlantic-10
2017-12-12-20-saint-louis,47.4,9,15.8,6,97.2,68.3,28,0.391,55,0.345,19,0.345,19,0.632,12,2,200,77.5,25.0,9,22,55,,5.6,4,0.327,18,0.278,5,48.1,37,0.43,19.1,15,37,0.378,14,0.75,6,"December 12, 2017",63.6,14,13.5,5,77.5,75.0,27,0.411,62,0.355,22,0.484,30,0.6,18,5,200,97.2,31.7,13,15,69,,15.5,11,0.387,24,0.292,7,51.9,40,0.452,10.7,9,38,0.395,15,0.5,5,"Chaifetz Arena, St. Louis, Missouri",MURRAY-STATE,Murray State,71.1,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
