,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-arkansas,60.0,12,2.4,1,123.4,68.2,15,0.393,61,0.328,20,0.246,15,0.533,8,1,200,72.7,28.9,11,20,56,,7.8,6,0.475,29,0.276,8,43.3,26,0.411,21.9,19,32,0.375,12,0.0,0,"November 10, 2017",77.8,28,18.8,6,72.7,71.1,27,0.643,63,0.571,36,0.349,22,0.636,14,0,200,123.4,31.8,7,18,95,,9.1,7,0.349,22,0.409,9,56.7,34,0.647,13.1,11,41,0.659,27,1.0,1,"Bud Walton Arena, Fayetteville, Arkansas",SAMFORD,Samford,76.8,Home,ARKANSAS,Arkansas,Samford,southern
2017-11-13-20-samford,52.4,11,5.3,2,111.5,70.6,24,0.48,51,0.412,21,0.471,24,0.792,19,2,200,87.2,26.7,8,21,68,,9.0,7,0.294,15,0.467,7,50.0,32,0.545,28.9,25,36,0.389,14,0.0,0,"November 13, 2017",65.6,21,11.1,4,87.2,73.3,22,0.563,64,0.5,32,0.313,20,0.75,15,1,200,111.5,29.4,10,23,87,,12.8,10,0.406,26,0.308,8,50.0,32,0.592,16.1,14,38,0.632,24,0.5,1,"Pete Hanna Center, Birmingham, Alabama",ALABAMA-AM,Alabama A&M,78.5,Home,SAMFORD,Samford,Samford,southern
2017-11-16-20-louisiana-state,48.4,15,0.0,0,147.9,50.0,13,0.611,63,0.492,31,0.206,13,0.692,9,2,200,121.1,37.5,12,21,86,,9.9,7,0.46,29,0.517,15,43.1,25,0.622,17.9,15,34,0.471,16,0.333,1,"November 16, 2017",74.4,29,11.8,4,121.1,62.5,20,0.662,65,0.6,39,0.308,20,0.95,19,0,200,147.9,50.0,13,15,105,,14.1,10,0.354,23,0.348,8,56.9,33,0.705,10.9,9,42,0.738,31,1.0,2,"Maravich Assembly Center, Baton Rouge, Louisiana",SAMFORD,Samford,71.3,Home,LOUISIANA-STATE,LSU,Samford,southern
2017-11-19-15-loyola-il,50.0,12,0.0,0,135.4,80.0,16,0.458,60,0.4,24,0.267,16,0.75,12,3,200,103.1,31.4,11,20,67,,7.7,5,0.45,27,0.259,7,49.1,27,0.496,11.8,9,33,0.515,17,0.25,1,"November 19, 2017",62.1,18,9.1,3,103.1,68.6,24,0.734,47,0.617,29,0.553,26,0.731,19,0,200,135.4,20.0,4,16,88,,3.1,2,0.489,23,0.478,11,50.9,28,0.741,13.3,9,24,0.75,18,1.0,4,"Joseph J. Gentile Center, Chicago, Illinois",SAMFORD,Samford,65.0,Home,LOYOLA-IL,Loyola (IL),Samford,southern
2017-11-21-20-valparaiso,40.0,10,0.0,0,131.3,28.0,7,0.492,59,0.424,25,0.22,13,0.692,9,4,200,100.0,20.6,7,16,67,,7.5,5,0.424,25,0.32,8,23.7,14,0.514,11.0,8,34,0.5,17,0.2,1,"November 21, 2017",61.8,21,11.8,4,100.0,79.4,27,0.585,65,0.523,34,0.246,16,0.75,12,0,200,131.3,72.0,18,15,88,,6.0,4,0.415,27,0.296,8,76.3,45,0.606,15.3,13,38,0.684,26,1.0,5,"Savannah Civic Center, Savannah, Georgia",SAMFORD,Samford,66.9,Home,VALPARAISO,Valparaiso,Samford,southern
2017-11-24-14-samford,69.0,20,5.9,2,106.0,60.7,17,0.583,60,0.483,29,0.183,11,0.636,7,3,200,114.9,32.3,10,12,77,,13.4,9,0.5,30,0.4,12,45.8,27,0.59,17.8,14,30,0.567,17,0.5,3,"November 24, 2017",66.7,18,16.7,5,114.9,67.7,21,0.582,55,0.491,27,0.164,9,0.778,7,5,200,106.0,39.3,11,14,71,,10.4,7,0.382,21,0.476,10,54.2,32,0.599,21.3,16,34,0.5,17,0.167,1,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,66.8,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Samford,southern
2017-11-26-15-samford,55.6,15,4.3,1,129.7,75.0,21,0.5,63,0.429,27,0.143,9,0.778,7,7,200,109.4,26.5,9,16,70,,4.7,3,0.381,24,0.375,9,48.4,30,0.52,9.5,7,39,0.462,18,0.0,0,"November 26, 2017",85.2,23,15.4,6,109.4,73.5,25,0.673,52,0.519,27,0.346,18,0.722,13,5,200,129.7,25.0,7,15,83,,4.7,3,0.558,29,0.552,16,51.6,32,0.685,14.3,10,23,0.478,11,0.286,2,"Pete Hanna Center, Birmingham, Alabama",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,64.4,Home,SAMFORD,Samford,Samford,southern
2017-12-03-15-jacksonville-state,70.0,14,3.1,1,120.3,83.3,20,0.4,60,0.333,20,0.25,15,0.667,10,6,200,78.4,22.5,9,17,58,,9.5,7,0.517,31,0.258,8,45.3,29,0.432,21.3,18,29,0.414,12,0.25,2,"December 3, 2017",69.7,23,6.9,2,78.4,77.5,31,0.726,53,0.623,33,0.377,20,0.6,12,2,200,120.3,16.7,4,18,89,,9.5,7,0.396,21,0.524,11,54.7,35,0.712,17.4,13,32,0.688,22,0.75,6,"Pete Mathews Coliseum, Jacksonville, Alabama",SAMFORD,Samford,73.8,Home,JACKSONVILLE-STATE,Jacksonville State,Samford,southern
2017-12-05-20-memphis,61.9,13,6.5,2,103.2,52.9,18,0.472,54,0.389,21,0.315,17,0.765,13,7,200,101.6,34.5,10,20,64,,15.9,10,0.519,28,0.321,9,44.4,28,0.516,16.3,12,26,0.462,12,0.222,2,"December 5, 2017",63.6,14,7.7,2,101.6,65.5,19,0.462,53,0.415,22,0.396,21,0.762,16,2,200,103.2,47.1,16,16,65,,9.5,6,0.415,22,0.227,5,55.6,35,0.516,19.4,15,31,0.548,17,0.714,5,"FedExForum, Memphis, Tennessee",SAMFORD,Samford,63.0,Home,MEMPHIS,Memphis,Samford,southern
2017-12-09-15-clemson,47.6,10,0.0,0,115.7,55.9,19,0.543,47,0.447,21,0.255,12,0.667,8,8,200,84.3,20.0,5,26,59,,5.7,4,0.447,21,0.429,9,40.7,24,0.56,29.6,22,26,0.462,12,0.2,2,"December 9, 2017",68.0,17,15.4,4,84.3,80.0,20,0.492,60,0.417,25,0.55,33,0.667,22,1,200,115.7,44.1,15,17,81,,14.3,10,0.6,36,0.25,9,59.3,35,0.535,10.8,9,24,0.667,16,0.889,8,"Littlejohn Coliseum, Clemson, South Carolina",SAMFORD,Samford,69.7,Home,CLEMSON,Clemson,Samford,southern
