,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-college-of-charleston,39.1,9,17.8,8,84.0,79.5,35,0.417,60,0.383,23,0.233,14,0.714,10,1,225,74.1,25.7,9,25,60,,3.7,3,0.233,14,0.286,4,55.7,44,0.45,26.6,24,46,0.413,19,0.0,0,"November 10, 2017",43.5,10,8.7,4,74.1,74.3,26,0.364,70,0.329,23,0.371,26,0.654,17,0,225,84.0,20.5,9,16,68,,8.6,7,0.357,25,0.2,5,44.3,35,0.413,6.9,6,45,0.4,18,1.0,1,"TD Arena, Charleston, South Carolina",SIENA,Siena,71.6,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Siena,maac
2017-11-13-19-siena,48.5,16,6.3,3,73.6,63.4,26,0.563,64,0.516,33,0.313,20,0.7,14,0,200,119.4,50.0,15,20,86,,13.9,10,0.313,20,0.3,6,57.7,41,0.585,16.1,14,44,0.614,27,1.0,2,"November 13, 2017",36.8,7,9.1,4,119.4,50.0,15,0.325,63,0.302,19,0.333,21,0.571,12,2,200,73.6,36.6,15,15,53,,9.7,7,0.238,15,0.2,3,42.3,30,0.363,15.3,13,48,0.333,16,0.0,0,"Times Union Center , Albany, New York",SIENA,Siena,71.7,Away,FLORIDA-GULF-COAST,Florida Gulf Coast,Siena,maac
2017-11-17-19-lehigh,45.7,16,7.9,3,112.3,78.1,25,0.549,71,0.493,35,0.31,22,0.545,12,3,225,111.1,32.4,12,18,90,,4.9,4,0.352,25,0.32,8,53.6,37,0.552,11.0,10,46,0.587,27,0.0,0,"November 17, 2017",60.0,18,2.2,1,111.1,67.6,25,0.554,65,0.462,30,0.385,25,0.76,19,1,225,112.3,21.9,7,19,91,,6.2,5,0.415,27,0.444,12,46.4,32,0.592,13.6,12,38,0.474,18,0.667,2,"Stabler Arena, Bethlehem, Pennsylvania",SIENA,Siena,71.7,Home,LEHIGH,Lehigh,Siena,maac
2017-11-20-19-bucknell,46.9,15,5.9,2,138.6,81.8,18,0.537,67,0.478,32,0.448,30,0.667,20,4,200,110.8,40.0,14,32,92,,6.0,5,0.313,21,0.381,8,56.1,32,0.566,16.6,16,46,0.522,24,0.0,0,"November 20, 2017",72.7,24,4.3,2,110.8,60.0,21,0.704,54,0.611,33,0.833,45,0.867,39,4,200,138.6,18.2,4,22,115,,9.6,8,0.37,20,0.5,10,43.9,25,0.763,13.0,11,34,0.676,23,0.2,1,"Sojka Pavilion, Lewisburg, Pennsylvania",SIENA,Siena,82.8,Home,BUCKNELL,Bucknell,Siena,maac
2017-11-25-14-siena,52.0,13,2.9,1,128.8,59.1,13,0.434,68,0.368,25,0.382,26,0.654,17,3,200,115.2,41.9,18,19,76,,4.5,3,0.5,34,0.265,9,47.7,31,0.473,7.0,6,34,0.471,16,0.5,3,"November 25, 2017",73.3,22,8.8,3,115.2,58.1,25,0.686,51,0.588,30,0.451,23,0.652,15,4,200,128.8,40.9,9,19,85,,4.5,3,0.333,17,0.588,10,52.3,34,0.686,15.3,11,34,0.588,20,0.2,1,"Times Union Center , Albany, New York",HOFSTRA,Hofstra,66.1,Home,SIENA,Siena,Siena,maac
2017-11-29-19-siena,50.0,13,12.1,4,84.6,72.2,26,0.518,56,0.464,26,0.536,30,0.567,17,2,200,115.4,36.4,12,18,75,,12.3,8,0.268,15,0.4,6,55.1,38,0.534,9.2,7,41,0.488,20,0.667,4,"November 29, 2017",44.4,8,9.8,4,115.4,63.6,21,0.377,53,0.34,18,0.377,20,0.75,15,5,200,84.6,27.8,10,22,55,,6.2,4,0.377,20,0.2,4,44.9,31,0.44,17.4,13,33,0.424,14,0.167,1,"Times Union Center , Albany, New York",SIENA,Siena,65.4,Away,ST-BONAVENTURE,St. Bonaventure,Siena,maac
2017-12-02-14-siena,44.4,12,7.1,3,104.1,67.9,19,0.478,67,0.403,27,0.284,19,0.526,10,4,200,101.4,28.6,12,21,74,,11.0,8,0.328,22,0.455,10,44.3,31,0.487,11.7,10,45,0.378,17,0.5,4,"December 2, 2017",44.0,11,11.1,5,101.4,71.4,30,0.519,52,0.481,25,0.519,27,0.815,22,5,200,104.1,32.1,9,13,76,,6.8,5,0.192,10,0.4,4,55.7,39,0.586,20.0,16,42,0.5,21,0.286,2,"Times Union Center , Albany, New York",ROBERT-MORRIS,Robert Morris,72.9,Home,SIENA,Siena,Siena,maac
2017-12-06-19-louisville,31.6,6,2.2,1,111.7,61.8,21,0.377,61,0.311,19,0.344,21,0.667,14,6,200,77.9,33.3,15,16,60,,10.4,8,0.262,16,0.5,8,45.6,36,0.423,23.0,21,45,0.244,11,0.25,2,"December 6, 2017",34.4,11,33.3,15,77.9,66.7,30,0.555,64,0.5,32,0.297,19,0.789,15,2,200,111.7,38.2,13,19,86,,14.3,11,0.297,19,0.368,7,54.4,43,0.589,18.1,16,45,0.556,25,0.714,5,"KFC Yum! Center, Louisville, Kentucky",SIENA,Siena,76.5,Home,LOUISVILLE,Louisville,Siena,maac
2017-12-09-19-siena,42.3,11,3.3,1,98.6,78.3,18,0.518,55,0.473,26,0.455,25,0.68,17,1,200,105.7,27.6,8,15,74,,11.4,8,0.273,15,0.333,5,50.0,26,0.553,15.4,12,40,0.525,21,0.909,10,"December 9, 2017",41.7,10,7.5,3,105.7,72.4,21,0.57,50,0.48,24,0.34,17,0.706,12,7,200,98.6,21.7,5,22,69,,7.1,5,0.4,20,0.45,9,50.0,26,0.594,21.8,16,30,0.5,15,0.222,2,"Times Union Center , Albany, New York",SIENA,Siena,70.0,Away,ALBANY-NY,Albany (NY),Siena,maac
2017-12-11-19-vermont,27.3,6,8.8,3,120.9,77.8,21,0.424,59,0.373,22,0.153,9,0.778,7,8,200,85.1,20.0,7,20,57,,4.5,3,0.356,21,0.286,6,45.2,28,0.45,16.0,12,38,0.421,16,0.2,2,"December 11, 2017",73.1,19,10.5,4,85.1,80.0,28,0.588,51,0.51,26,0.529,27,0.778,21,4,200,120.9,22.2,6,16,81,,11.9,8,0.333,17,0.471,8,54.8,34,0.635,11.3,8,34,0.529,18,0.636,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",SIENA,Siena,67.1,Home,VERMONT,Vermont,Siena,maac
