,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-minnesota,50.0,13,4.8,2,119.5,52.5,21,0.485,68,0.382,26,0.235,16,0.688,11,1,200,100.0,26.8,11,25,77,,6.5,5,0.456,31,0.452,14,39.5,32,0.509,13.8,12,37,0.324,12,0.0,0,"November 10, 2017",62.5,20,16.2,6,100.0,73.2,30,0.521,70,0.457,32,0.443,31,0.613,19,0,200,119.5,47.5,19,16,92,15,3.9,3,0.4,28,0.321,9,60.5,49,0.543,12.5,12,42,0.548,23,1.0,1,"Williams Arena, Minneapolis, Minnesota",SOUTH-CAROLINA-UPSTATE,USC Upstate,77.2,Home,MINNESOTA,Minnesota,South Carolina Upstate,atlantic-sun
2017-11-12-15-south-carolina-upstate,52.4,11,3.0,1,114.9,58.3,21,0.445,55,0.382,21,0.382,21,0.81,17,0,200,89.2,15.2,5,15,66,,6.8,5,0.4,22,0.318,7,37.7,26,0.508,18.9,15,33,0.424,14,0.0,0,"November 12, 2017",42.4,14,6.1,2,89.2,84.8,28,0.58,69,0.478,33,0.159,11,0.455,5,1,200,114.9,41.7,15,16,85,,13.5,10,0.522,36,0.389,14,62.3,43,0.573,15.9,14,33,0.576,19,0.5,1,"G.B. Hodge Center, Spartanburg, South Carolina","Allen
			","Allen
			",74.1,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,atlantic-sun
2017-11-14-19-georgia,48.0,12,11.4,4,98.7,71.0,22,0.441,68,0.368,25,0.132,9,0.556,5,2,200,86.7,16.7,7,19,65,,9.3,7,0.529,36,0.278,10,39.7,29,0.45,13.3,11,32,0.469,15,0.333,1,"November 14, 2017",65.4,17,6.3,2,86.7,83.3,35,0.5,57,0.456,26,0.421,24,0.708,17,0,200,98.7,29.0,9,15,74,,8.0,6,0.386,22,0.227,5,60.3,44,0.541,18.2,15,35,0.6,21,1.0,2,"Stegeman Coliseum, Athens, Georgia",SOUTH-CAROLINA-UPSTATE,USC Upstate,75.3,Home,GEORGIA,Georgia,South Carolina Upstate,atlantic-sun
2017-11-18-14-south-carolina-upstate,46.4,13,10.0,2,100.0,77.8,28,0.542,60,0.467,28,0.367,22,0.773,17,2,200,113.9,41.2,14,16,82,,6.9,5,0.45,27,0.333,9,60.0,42,0.582,18.7,16,33,0.576,19,0.5,2,"November 18, 2017",60.9,14,3.0,1,113.9,58.8,20,0.517,58,0.397,23,0.293,17,0.706,12,3,200,100.0,22.2,8,21,72,,8.3,6,0.655,38,0.368,14,40.0,28,0.545,17.6,14,20,0.45,9,0.25,1,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,72.3,Away,CHARLESTON-SOUTHERN,Charleston Southern,South Carolina Upstate,atlantic-sun
2017-11-20-19-south-carolina-upstate,75.0,15,0.0,0,111.3,79.4,27,0.417,54,0.37,20,0.333,18,0.778,14,0,200,83.1,38.2,13,16,59,,7.0,5,0.352,19,0.263,5,58.8,40,0.472,26.2,22,35,0.429,15,0.0,0,"November 20, 2017",70.8,17,8.6,3,83.1,61.8,21,0.5,57,0.421,24,0.456,26,0.846,22,3,200,111.3,20.6,7,15,79,,9.9,7,0.561,32,0.281,9,41.2,28,0.57,11.6,9,25,0.6,15,0.4,2,"G.B. Hodge Center, Spartanburg, South Carolina","Paine
			","Paine
			",71.5,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,atlantic-sun
2017-11-24-17-south-carolina-upstate,72.4,21,5.1,2,98.7,75.8,25,0.556,62,0.468,29,0.306,19,0.737,14,1,196,110.7,18.8,6,8,83,,10.7,8,0.355,22,0.5,11,47.7,31,0.584,12.4,10,40,0.45,18,0.8,4,"November 24, 2017",48.3,14,7.5,3,110.7,81.3,26,0.486,69,0.42,29,0.116,8,0.875,7,4,196,98.7,24.2,8,14,74,,8.0,6,0.435,30,0.3,9,52.3,34,0.508,13.2,11,39,0.513,20,0.333,2,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,77.0,Away,BOWLING-GREEN-STATE,Bowling Green State,South Carolina Upstate,atlantic-sun
2017-11-25-17-south-carolina-upstate,48.1,13,4.0,1,129.4,73.9,17,0.534,58,0.466,27,0.293,17,0.941,16,3,200,114.7,32.3,10,14,78,,11.8,8,0.397,23,0.348,8,50.0,27,0.59,14.4,11,35,0.543,19,0.5,3,"November 25, 2017",58.6,17,5.7,2,114.7,67.7,21,0.657,54,0.537,29,0.333,18,0.944,17,4,200,129.4,26.1,6,12,88,,10.3,7,0.537,29,0.448,13,50.0,27,0.703,16.2,12,25,0.64,16,0.429,3,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",ABILENE-CHRISTIAN,Abilene Christian,67.8,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,atlantic-sun
2017-11-26-16-campbell,60.0,18,9.1,2,132.9,90.9,20,0.566,61,0.492,30,0.098,6,0.833,5,5,200,105.7,20.0,6,17,74,,14.3,10,0.328,20,0.45,9,50.0,26,0.579,15.9,12,41,0.512,21,0.375,3,"November 26, 2017",93.3,28,7.3,3,105.7,80.0,24,0.792,48,0.625,30,0.479,23,0.739,17,4,200,132.9,9.1,2,12,93,,14.3,10,0.542,26,0.615,16,50.0,26,0.789,19.4,14,22,0.636,14,0.429,3,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,70.4,Home,CAMPBELL,Campbell,South Carolina Upstate,atlantic-sun
2017-11-29-19-north-carolina-asheville,45.5,10,3.0,1,120.6,67.7,21,0.491,55,0.4,22,0.382,21,0.762,16,6,200,102.9,24.2,8,16,70,,8.8,6,0.618,34,0.294,10,45.3,29,0.539,16.8,13,21,0.571,12,0.333,3,"November 29, 2017",78.6,22,28.6,6,102.9,75.8,25,0.616,56,0.5,28,0.321,18,0.722,13,2,200,120.6,32.3,10,17,82,,11.8,8,0.411,23,0.565,13,54.7,35,0.635,15.8,12,33,0.455,15,0.714,5,"Kimmel Arena, Asheville, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,68.3,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,South Carolina Upstate,atlantic-sun
2017-12-02-15-gardner-webb,56.5,13,0.0,0,140.3,53.3,8,0.5,56,0.411,23,0.304,17,0.588,10,7,200,106.5,13.9,5,19,66,,12.9,8,0.464,26,0.385,10,25.5,13,0.515,8.6,6,30,0.433,13,0.3,3,"December 2, 2017",82.8,24,10.0,3,106.5,86.1,31,0.791,43,0.674,29,0.581,25,0.76,19,6,200,140.3,46.7,7,17,87,,6.5,4,0.326,14,0.714,10,74.5,38,0.793,18.2,12,29,0.655,19,0.333,3,"Paul Porter Arena, Boiling Springs, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,62.5,Home,GARDNER-WEBB,Gardner-Webb,South Carolina Upstate,atlantic-sun
