,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-south-florida,38.1,8,14.7,5,92.3,84.0,21,0.381,59,0.356,21,0.356,21,0.667,14,1,200,90.8,35.0,14,18,59,,9.2,6,0.203,12,0.25,3,53.8,35,0.428,13.9,11,47,0.383,18,0.0,0,"November 10, 2017",75.0,15,2.1,1,90.8,65.0,26,0.45,50,0.4,20,0.34,17,0.882,15,0,200,92.3,16.0,4,18,60,,9.2,6,0.32,16,0.313,5,46.2,30,0.517,14.8,10,34,0.441,15,1.0,1,"Sun Dome, Tampa, Florida",FLORIDA-ATLANTIC,Florida Atlantic,65.0,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-11-13-19-south-florida,65.0,13,10.0,3,88.3,78.6,22,0.45,50,0.4,20,0.5,25,0.72,18,1,200,105.0,32.4,11,18,63,,11.7,7,0.24,12,0.417,5,53.2,33,0.509,11.6,8,38,0.395,15,0.5,1,"November 13, 2017",68.8,11,10.5,4,105.0,67.6,23,0.391,46,0.348,16,0.435,20,0.85,17,1,200,88.3,21.4,6,22,53,,3.3,2,0.348,16,0.25,4,46.8,29,0.477,18.0,12,30,0.4,12,0.5,1,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,60.2,Away,MORGAN-STATE,Morgan State,South Florida,aac
2017-11-15-20-stetson,60.0,15,3.2,1,109.1,90.0,27,0.625,48,0.521,25,0.438,21,0.714,15,1,200,113.6,21.7,5,13,75,,4.5,3,0.458,22,0.455,10,60.4,32,0.647,16.1,11,26,0.577,15,0.667,2,"November 15, 2017",69.0,20,11.5,3,113.6,78.3,18,0.523,64,0.453,29,0.078,5,1.0,5,1,200,109.1,10.0,3,20,72,,9.1,6,0.516,33,0.273,9,39.6,21,0.542,5.7,4,31,0.645,20,0.667,2,"Edmunds Center, DeLand, Florida",STETSON,Stetson,65.7,Away,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-11-19-18-indiana,47.1,8,3.1,1,112.9,52.0,13,0.39,50,0.34,17,0.34,17,0.824,14,2,200,85.5,31.3,10,20,53,,11.3,7,0.34,17,0.294,5,40.4,23,0.456,22.8,17,33,0.364,12,0.5,2,"November 19, 2017",52.2,12,27.3,9,85.5,68.8,22,0.52,49,0.469,23,0.51,25,0.76,19,2,200,112.9,48.0,12,17,70,,6.5,4,0.347,17,0.294,5,59.6,34,0.575,15.5,11,32,0.563,18,0.5,2,"Assembly Hall, Bloomington, Indiana",SOUTH-FLORIDA,South Florida,62.5,Home,INDIANA,Indiana,South Florida,aac
2017-11-22-19-south-florida,65.0,13,15.6,5,100.0,70.0,21,0.358,60,0.333,20,0.233,14,0.643,9,6,200,69.3,25.7,9,27,52,,10.7,8,0.383,23,0.13,3,46.2,30,0.39,21.4,18,37,0.459,17,0.0,0,"November 22, 2017",76.0,19,5.4,2,69.3,74.3,26,0.545,56,0.446,25,0.375,21,0.667,14,2,200,100.0,30.0,9,16,75,,8.0,6,0.429,24,0.458,11,53.8,35,0.568,21.6,18,32,0.438,14,0.6,3,"Sun Dome, Tampa, Florida",HOWARD,Howard,75.3,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-11-24-12-south-florida,36.4,8,0.0,0,98.6,70.8,17,0.432,59,0.373,22,0.271,16,0.625,10,4,200,83.6,14.7,5,24,61,,6.8,5,0.407,24,0.292,7,37.9,22,0.458,17.5,14,35,0.429,15,0.333,2,"November 24, 2017",56.0,14,14.3,5,83.6,85.3,29,0.49,52,0.481,25,0.519,27,0.778,21,2,200,98.6,29.2,7,18,72,,5.5,4,0.192,10,0.1,1,62.1,36,0.555,15.8,12,42,0.571,24,0.667,4,"Sun Dome, Tampa, Florida",ARKANSAS-STATE,Arkansas State,72.7,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-11-26-16-south-florida,63.2,12,22.6,7,74.6,69.7,23,0.489,47,0.404,19,0.532,25,0.76,19,1,200,103.2,23.1,6,17,65,,15.9,10,0.489,23,0.348,8,49.2,29,0.552,13.4,9,24,0.458,11,0.833,5,"November 26, 2017",92.9,13,12.5,3,103.2,76.9,20,0.333,48,0.292,14,0.417,20,0.75,15,3,200,74.6,30.3,10,22,47,,7.9,5,0.354,17,0.235,4,50.8,30,0.409,22.0,16,31,0.323,10,0.571,4,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,62.7,Away,EASTERN-MICHIGAN,Eastern Michigan,South Florida,aac
2017-11-30-19-elon,28.1,9,7.5,3,102.6,70.3,26,0.514,70,0.457,32,0.129,9,0.667,6,4,225,101.3,24.3,9,17,78,,7.8,6,0.243,17,0.471,8,47.3,35,0.525,12.9,11,53,0.453,24,0.5,4,"November 30, 2017",58.1,18,3.8,2,101.3,75.7,28,0.5,70,0.443,31,0.243,17,0.529,9,3,225,102.6,29.7,11,12,79,,5.2,4,0.429,30,0.267,8,52.7,39,0.506,12.4,11,40,0.575,23,0.625,5,"Alumni Gym, Elon, North Carolina",SOUTH-FLORIDA,South Florida,68.6,Home,ELON,Elon,South Florida,aac
2017-12-02-19-appalachian-state,29.2,7,9.8,4,116.7,76.9,20,0.473,55,0.436,24,0.2,11,0.818,9,5,200,84.7,25.0,7,16,61,,9.7,7,0.255,14,0.286,4,50.0,27,0.506,22.1,17,41,0.488,20,0.444,4,"December 2, 2017",51.5,17,4.9,2,84.7,75.0,21,0.578,64,0.516,33,0.172,11,0.909,10,4,200,116.7,23.1,6,12,84,,15.3,11,0.359,23,0.348,8,50.0,27,0.607,13.8,11,41,0.61,25,0.556,5,"Holmes Convocation Center, Boone, North Carolina",SOUTH-FLORIDA,South Florida,72.2,Home,APPALACHIAN-STATE,Appalachian State,South Florida,aac
2017-12-11-19-south-florida,54.2,13,15.9,7,72.6,71.4,30,0.441,59,0.407,24,0.373,22,0.591,13,4,200,89.0,19.4,7,17,65,,12.3,9,0.22,13,0.308,4,47.4,37,0.468,13.8,11,46,0.435,20,0.556,5,"December 11, 2017",60.0,12,10.9,5,89.0,80.6,29,0.367,60,0.333,20,0.233,14,0.643,9,6,200,72.6,28.6,12,16,53,,5.5,4,0.267,16,0.25,4,52.6,41,0.398,21.4,18,44,0.364,16,0.4,4,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,73.1,Away,FLORIDA-INTERNATIONAL,Florida International,South Florida,aac
2017-12-14-19-south-florida,48.0,12,10.0,4,127.7,50.0,12,0.475,59,0.424,25,0.22,13,0.538,7,6,200,96.9,40.0,12,20,63,,7.7,5,0.237,14,0.429,6,44.4,24,0.483,17.8,14,45,0.422,19,0.455,5,"December 14, 2017",63.3,19,2.2,1,96.9,60.0,18,0.62,54,0.556,30,0.389,21,0.762,16,6,200,127.7,50.0,12,13,83,,9.2,6,0.259,14,0.5,7,55.6,30,0.649,13.7,10,40,0.575,23,0.455,5,"Sun Dome, Tampa, Florida",BETHUNE-COOKMAN,Bethune-Cookman,64.6,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-12-18-19-south-florida,50.0,11,3.3,1,101.4,67.9,19,0.381,63,0.349,22,0.222,14,0.571,8,10,200,81.2,29.3,12,12,56,,11.6,8,0.365,23,0.174,4,44.9,31,0.402,16.8,14,40,0.45,18,0.167,2,"December 18, 2017",50.0,13,12.5,5,81.2,70.7,29,0.596,52,0.5,26,0.231,12,0.667,8,6,200,101.4,32.1,9,14,70,,13.0,9,0.423,22,0.455,10,55.1,38,0.607,23.9,18,30,0.533,16,0.5,6,"Sun Dome, Tampa, Florida",NORTHERN-ARIZONA,Northern Arizona,69.2,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2017-12-21-19-south-florida,65.4,17,5.0,2,111.4,69.0,20,0.533,60,0.433,26,0.3,18,0.667,12,7,200,108.6,24.3,9,13,76,,7.1,5,0.417,25,0.48,12,43.9,29,0.554,11.7,9,35,0.4,14,0.364,4,"December 21, 2017",61.3,19,11.4,4,108.6,75.7,28,0.556,63,0.492,31,0.238,15,0.533,8,6,200,111.4,31.0,9,13,78,,8.6,6,0.365,23,0.348,8,56.1,37,0.556,13.6,11,40,0.575,23,0.538,7,"Sun Dome, Tampa, Florida",CHARLOTTE,Charlotte,70.3,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
