,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-purdue,48.4,15,4.8,2,132.9,60.0,15,0.444,81,0.383,31,0.086,7,0.286,2,1,200,93.7,44.2,19,24,74,,5.1,4,0.383,31,0.323,10,50.0,34,0.439,15.1,15,50,0.42,21,0.0,0,"November 10, 2017",66.7,24,16.0,8,93.7,55.8,24,0.664,61,0.59,36,0.525,32,0.75,24,0,200,132.9,40.0,10,15,105,20,10.1,8,0.311,19,0.474,9,50.0,34,0.689,12.8,11,42,0.643,27,1.0,1,"Mackey Arena, West Lafayette, Indiana",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,78.8,Home,PURDUE,Purdue,SIU Edwardsville,ovc
2017-11-15-20-southern-illinois-edwardsville,69.0,20,4.8,2,83.1,73.0,27,0.609,55,0.527,29,0.673,37,0.73,27,0,200,113.3,13.8,4,24,94,,12.0,10,0.291,16,0.563,9,47.0,31,0.648,15.4,13,39,0.513,20,1.0,3,"November 15, 2017",63.6,14,10.3,4,113.3,86.2,25,0.392,60,0.367,22,0.483,29,0.759,22,2,200,83.1,27.0,10,29,69,,2.4,2,0.3,18,0.167,3,53.0,35,0.468,22.4,21,42,0.452,19,0.0,0,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,83.2,Away,VALPARAISO,Valparaiso,SIU Edwardsville,ovc
2017-11-18-13-stetson,55.6,15,14.0,6,98.7,80.0,32,0.542,59,0.458,27,0.424,25,0.64,16,2,200,103.9,20.0,6,28,80,,0.0,0,0.373,22,0.455,10,54.3,38,0.564,14.6,12,37,0.459,17,0.333,1,"November 18, 2017",42.9,9,2.7,1,103.9,80.0,24,0.369,61,0.344,21,0.689,42,0.738,31,2,200,98.7,20.0,8,21,76,,9.1,7,0.295,18,0.167,3,45.7,32,0.469,4.8,4,43,0.419,18,0.5,2,"Edmunds Center, DeLand, Florida",STETSON,Stetson,76.9,Away,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc
2017-11-22-20-southern-illinois-edwardsville,45.5,10,13.9,5,94.4,81.3,26,0.576,46,0.478,22,0.522,24,0.667,16,0,200,97.2,16.7,4,16,69,,5.6,4,0.413,19,0.474,9,53.6,30,0.601,22.1,16,27,0.481,13,1.0,4,"November 22, 2017",54.2,13,3.7,1,97.2,83.3,20,0.453,64,0.375,24,0.219,14,0.643,9,3,200,94.4,18.8,6,21,67,,8.5,6,0.438,28,0.357,10,46.4,26,0.474,10.2,8,36,0.389,14,0.25,1,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.0,Away,WESTERN-ILLINOIS,Western Illinois,SIU Edwardsville,ovc
2017-11-25-16-creighton,33.3,8,6.3,2,133.8,75.9,22,0.419,62,0.387,24,0.339,21,0.667,14,4,200,85.7,11.1,4,20,66,,7.8,6,0.323,20,0.2,4,40.0,26,0.458,12.3,10,42,0.476,20,0.2,1,"November 25, 2017",77.1,27,4.8,2,85.7,88.9,32,0.683,60,0.583,35,0.45,27,0.778,21,1,200,133.8,24.1,7,14,103,,10.4,8,0.467,28,0.429,12,60.0,39,0.707,13.3,11,32,0.719,23,0.833,5,"CenturyLink Center, Omaha, Nebraska",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,77.4,Home,CREIGHTON,Creighton,SIU Edwardsville,ovc
2017-11-29-20-southern-illinois,52.9,9,2.3,1,119.4,72.4,21,0.328,58,0.293,17,0.517,30,0.7,21,5,200,81.9,25.0,10,17,59,,9.7,7,0.414,24,0.167,4,44.9,31,0.408,13.4,11,34,0.382,13,0.167,1,"November 29, 2017",64.5,20,17.6,6,81.9,75.0,30,0.603,58,0.534,31,0.362,21,0.762,16,2,200,119.4,27.6,8,22,86,,11.1,8,0.259,15,0.533,8,55.1,38,0.633,12.9,10,43,0.535,23,0.6,3,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,SIU Edwardsville,ovc
2017-12-03-14-ipfw,35.7,10,6.3,2,111.7,51.7,15,0.464,70,0.4,28,0.114,8,0.75,6,6,200,92.2,23.5,8,20,71,,7.8,6,0.343,24,0.375,9,36.5,23,0.481,15.0,13,46,0.413,19,0.143,1,"December 3, 2017",67.9,19,15.2,7,92.2,76.5,26,0.557,61,0.459,28,0.393,24,0.75,18,3,200,111.7,48.3,14,11,86,,3.9,3,0.475,29,0.414,12,63.5,40,0.594,19.2,17,32,0.5,16,0.667,6,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,77.1,Home,IPFW,Purdue-Fort Wayne,SIU Edwardsville,ovc
2017-12-06-19-iupui,48.1,13,10.8,4,119.1,54.3,19,0.691,47,0.574,27,0.532,25,0.68,17,6,200,120.6,31.6,6,25,82,,4.4,3,0.34,16,0.688,11,46.3,25,0.696,21.6,16,31,0.516,16,0.25,2,"December 6, 2017",70.0,21,29.0,9,120.6,68.4,13,0.55,60,0.5,30,0.433,26,0.577,15,5,200,119.1,45.7,16,20,81,,11.8,8,0.383,23,0.261,6,53.7,29,0.56,12.3,10,37,0.649,24,0.286,2,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,67.6,Away,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc
2017-12-10-15-southern-illinois-edwardsville,37.5,9,11.4,4,105.6,71.1,27,0.458,60,0.4,24,0.417,25,0.8,20,5,200,104.2,31.3,10,20,75,,8.3,6,0.35,21,0.333,7,52.9,37,0.522,15.5,13,39,0.436,17,0.5,5,"December 10, 2017",66.7,16,12.8,5,104.2,68.8,22,0.492,59,0.407,24,0.424,25,0.72,18,6,200,105.6,28.9,11,24,76,,4.2,3,0.407,24,0.417,10,47.1,33,0.536,12.5,10,35,0.4,14,0.333,3,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTH-ALABAMA,South Alabama,72.4,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc
2017-12-19-20-southern-illinois-edwardsville,41.9,13,2.8,1,112.8,77.3,17,0.524,62,0.5,31,0.21,13,0.846,11,13,200,97.4,24.1,7,21,76,,7.7,6,0.161,10,0.3,3,47.1,24,0.557,21.0,18,52,0.538,28,0.133,2,"December 19, 2017",59.4,19,17.3,9,97.4,75.9,22,0.67,53,0.604,32,0.453,24,0.708,17,6,200,112.8,22.7,5,16,88,,10.3,8,0.321,17,0.412,7,52.9,27,0.683,21.1,17,36,0.694,25,0.4,4,"Sam Vadalabene Center , Edwardsville, Illinois",CHICAGO-STATE,Chicago State,77.8,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc
