,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-winthrop,40.6,13,7.9,3,88.0,85.3,29,0.582,61,0.525,32,0.213,13,0.769,10,0,200,108.0,34.5,10,25,81,,14.7,11,0.279,17,0.412,7,61.9,39,0.603,19.3,16,44,0.568,25,1.0,1,"November 10, 2017",45.5,10,2.3,1,108.0,65.5,19,0.444,54,0.407,22,0.5,27,0.667,18,1,200,88.0,14.7,5,15,66,,12.0,9,0.296,16,0.25,4,38.1,24,0.494,18.5,15,38,0.474,18,0.0,0,"Winthrop Coliseum, Rock Hill, South Carolina",WINTHROP,Winthrop,75.0,Away,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-11-18-20-southern-illinois,34.8,8,12.5,4,98.6,78.8,26,0.458,59,0.39,23,0.22,13,0.769,10,0,200,91.4,21.1,8,24,64,,10.0,7,0.407,24,0.333,8,47.9,34,0.491,15.6,12,35,0.429,15,0.0,0,"November 18, 2017",56.5,13,22.9,8,91.4,78.9,30,0.5,53,0.434,23,0.453,24,0.667,16,0,200,98.6,21.2,7,14,69,,8.6,6,0.396,21,0.333,7,52.1,37,0.536,18.1,14,32,0.5,16,1.0,2,"The SIU Arena, Carbondale, Illinois","Illinois-Springfield
			","Illinois-Springfield
			",70.3,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-11-21-19-louisville,64.7,11,9.3,4,113.5,73.7,28,0.289,64,0.266,17,0.141,9,0.556,5,1,200,56.8,18.8,9,16,42,,5.4,4,0.328,21,0.143,3,43.0,37,0.308,19.1,16,43,0.326,14,0.667,2,"November 21, 2017",54.8,17,20.9,9,56.8,81.3,39,0.507,69,0.449,31,0.217,15,0.933,14,0,200,113.5,26.3,10,9,84,19,10.8,8,0.377,26,0.308,8,57.0,49,0.552,8.5,7,43,0.535,23,1.0,3,"KFC Yum! Center, Louisville, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,74.2,Home,LOUISVILLE,Louisville,Southern Illinois,mvc
2017-11-25-20-murray-state,37.9,11,6.5,2,115.7,67.9,19,0.5,65,0.446,29,0.154,10,0.8,8,2,200,104.3,17.2,5,21,73,,12.9,9,0.323,21,0.333,7,42.1,24,0.523,8.0,6,44,0.5,22,0.5,2,"November 25, 2017",51.9,14,11.4,5,104.3,82.8,24,0.573,55,0.491,27,0.436,24,0.75,18,1,200,115.7,32.1,9,16,81,,4.3,3,0.436,24,0.375,9,57.9,33,0.61,15.5,12,31,0.581,18,0.75,3,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,70.1,Home,MURRAY-STATE,Murray State,Southern Illinois,mvc
2017-11-29-20-southern-illinois,52.9,9,2.3,1,119.4,72.4,21,0.328,58,0.293,17,0.517,30,0.7,21,5,200,81.9,25.0,10,17,59,,9.7,7,0.414,24,0.167,4,44.9,31,0.408,13.4,11,34,0.382,13,0.167,1,"November 29, 2017",64.5,20,17.6,6,81.9,75.0,30,0.603,58,0.534,31,0.362,21,0.762,16,2,200,119.4,27.6,8,22,86,,11.1,8,0.259,15,0.533,8,55.1,38,0.633,12.9,10,43,0.535,23,0.6,3,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-12-02-16-southern-illinois,44.4,8,5.1,2,105.6,66.7,16,0.433,45,0.4,18,0.6,27,0.704,19,5,200,80.6,24.0,6,14,58,,6.9,5,0.267,12,0.25,3,44.9,22,0.502,25.0,19,33,0.455,15,0.286,2,"December 2, 2017",50.0,15,18.2,6,80.6,76.0,19,0.561,57,0.526,30,0.228,13,0.923,12,2,200,105.6,33.3,8,26,76,,13.9,10,0.316,18,0.222,4,55.1,27,0.602,21.3,17,39,0.667,26,0.667,4,"The SIU Arena, Carbondale, Illinois",SAN-JOSE-STATE,San Jose State,71.5,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-12-06-20-saint-louis,60.9,14,6.1,2,108.8,77.8,21,0.543,47,0.489,23,0.511,24,0.75,18,3,200,101.5,13.0,3,22,69,,5.9,4,0.277,13,0.385,5,48.0,24,0.591,17.3,12,34,0.529,18,0.571,4,"December 6, 2017",68.0,17,14.7,5,101.5,87.0,20,0.509,55,0.455,25,0.455,25,0.72,18,4,200,108.8,22.2,6,19,74,,5.9,4,0.4,22,0.273,6,52.0,26,0.553,10.8,8,33,0.576,19,0.5,4,"Chaifetz Arena, St. Louis, Missouri",SOUTHERN-ILLINOIS,Southern Illinois,68.1,Home,SAINT-LOUIS,Saint Louis,Southern Illinois,mvc
2017-12-09-20-southern-illinois,40.9,9,0.0,0,97.2,63.6,21,0.56,50,0.44,22,0.6,30,0.633,19,4,200,105.6,20.0,6,20,75,,11.3,8,0.52,26,0.462,12,42.9,27,0.584,14.8,11,24,0.417,10,0.6,6,"December 9, 2017",60.0,15,25.0,6,105.6,80.0,24,0.484,63,0.397,25,0.238,15,0.533,8,4,200,97.2,36.4,12,23,69,,4.2,3,0.444,28,0.393,11,57.1,36,0.492,17.7,15,35,0.4,14,0.5,4,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS,Southern Illinois,71.2,Away,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southern Illinois,mvc
2017-12-13-20-southern-illinois,35.3,6,6.9,2,101.5,76.2,16,0.299,67,0.254,17,0.269,18,0.611,11,8,200,75.0,34.0,17,25,51,,11.8,8,0.328,22,0.273,6,46.5,33,0.338,10.7,9,45,0.244,11,0.273,3,"December 13, 2017",81.8,18,15.6,7,75.0,66.0,33,0.56,42,0.524,22,0.667,28,0.786,22,4,200,101.5,23.8,5,17,69,,4.4,3,0.31,13,0.231,3,53.5,38,0.624,25.9,19,29,0.655,19,0.556,5,"The SIU Arena, Carbondale, Illinois",JACKSON-STATE,Jackson State,68.4,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-12-17-16-southern-illinois,56.0,14,0.0,0,102.9,82.1,23,0.438,65,0.385,25,0.154,10,0.4,4,2,200,88.4,34.1,14,14,61,,11.6,8,0.323,21,0.333,7,53.6,37,0.437,16.8,14,44,0.409,18,0.8,8,"December 17, 2017",50.0,15,9.1,4,88.4,65.9,27,0.6,55,0.545,30,0.2,11,0.455,5,4,200,102.9,17.9,5,16,71,,11.6,8,0.327,18,0.333,6,46.4,32,0.589,17.8,13,37,0.649,24,0.6,6,"The SIU Arena, Carbondale, Illinois",LAMAR,Lamar,69.0,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
2017-12-19-20-southern-illinois,58.3,14,10.8,4,152.2,59.1,13,0.529,52,0.462,24,0.385,20,0.45,9,6,200,95.5,32.3,10,18,64,,4.5,3,0.385,20,0.35,7,43.4,23,0.52,21.9,17,32,0.531,17,0.5,6,"December 19, 2017",63.2,24,3.1,1,95.5,67.7,21,0.726,62,0.613,38,0.258,16,0.75,12,4,200,152.2,40.9,9,20,102,,10.4,7,0.403,25,0.56,14,56.6,30,0.733,6.8,5,37,0.649,24,0.636,7,"The SIU Arena, Carbondale, Illinois",NORTH-CAROLINA-AT,North Carolina A&T,67.1,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc
