,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-illinois,26.3,5,9.5,4,132.5,58.6,17,0.392,51,0.373,19,0.451,23,0.652,15,1,200,71.4,23.5,8,25,55,,3.9,3,0.216,11,0.182,2,39.7,25,0.444,26.5,22,40,0.425,17,0.0,0,"November 10, 2017",53.1,17,10.0,4,71.4,76.5,26,0.54,63,0.508,32,0.587,37,0.919,34,0,200,132.5,41.4,12,26,102,,10.4,8,0.333,21,0.19,4,60.3,38,0.633,11.2,10,42,0.667,28,1.0,1,"State Farm Center, Champaign, Illinois",SOUTHERN,Southern,77.3,Home,ILLINOIS,Illinois,Southern,swac
2017-11-13-19-marshall,50.0,13,5.7,2,109.2,87.1,27,0.456,68,0.382,26,0.309,21,0.571,12,2,200,97.4,31.7,13,15,74,,10.5,8,0.368,25,0.4,10,55.6,40,0.475,13.4,12,43,0.372,16,0.0,0,"November 13, 2017",66.7,20,18.6,8,97.4,68.3,28,0.573,62,0.484,30,0.226,14,0.857,12,0,200,109.2,12.9,4,17,83,,6.6,5,0.435,27,0.407,11,44.4,32,0.605,13.9,11,35,0.543,19,1.0,2,"Henderson Center, Huntington, West Virginia",SOUTHERN,Southern,76.3,Home,MARSHALL,Marshall,Southern,swac
2017-11-15-18-missouri-state,55.0,11,8.9,4,122.9,47.4,18,0.366,67,0.299,20,0.269,18,0.5,9,3,200,82.9,39.2,20,18,58,,10.0,7,0.313,21,0.429,9,42.7,38,0.384,17.6,16,46,0.239,11,0.0,0,"November 15, 2017",54.8,17,15.2,7,82.9,60.8,31,0.514,69,0.449,31,0.333,23,0.652,15,0,200,122.9,52.6,20,20,86,,8.6,6,0.348,24,0.375,9,57.3,51,0.538,10.2,9,45,0.489,22,1.0,2,"JQH Arena, Springfield, Missouri",SOUTHERN,Southern,70.2,Home,MISSOURI-STATE,Missouri State,Southern,swac
2017-11-17-19-duke,36.4,8,11.1,4,109.9,55.9,19,0.381,67,0.328,22,0.224,15,0.667,10,4,200,85.9,28.9,13,27,61,,7.0,5,0.254,17,0.412,7,40.5,32,0.411,9.8,8,50,0.3,15,0.0,0,"November 17, 2017",56.0,14,20.0,10,85.9,71.1,32,0.482,56,0.446,25,0.661,37,0.649,24,0,200,109.9,44.1,15,15,78,1,4.2,3,0.357,20,0.2,4,59.5,47,0.53,17.2,15,36,0.583,21,1.0,4,"Cameron Indoor Stadium, Durham, North Carolina",SOUTHERN,Southern,71.4,Home,DUKE,Duke,Southern,swac
2017-11-19-16-north-carolina-central,68.2,15,7.1,2,119.4,73.1,19,0.491,53,0.415,22,0.377,20,0.75,15,5,200,100.0,25.0,8,21,67,,4.5,3,0.434,23,0.348,8,46.6,27,0.536,17.4,13,30,0.467,14,0.0,0,"November 19, 2017",46.2,12,6.7,2,100.0,75.0,24,0.592,49,0.531,26,0.592,29,0.759,22,3,200,119.4,26.9,7,18,80,,7.5,5,0.429,21,0.286,6,53.4,31,0.637,15.1,11,28,0.714,20,0.4,2,"McLendon-McDougald Gym, Durham, North Carolina",SOUTHERN,Southern,67.1,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,Southern,swac
2017-11-22-20-southern,41.7,10,12.9,4,100.0,85.7,24,0.5,56,0.429,24,0.214,12,0.833,10,4,200,95.7,33.3,8,24,66,,10.1,7,0.446,25,0.32,8,61.5,32,0.535,19.7,15,31,0.516,16,0.2,1,"November 22, 2017",57.1,12,3.2,1,95.7,66.7,16,0.511,46,0.457,21,0.717,33,0.667,22,5,200,100.0,14.3,4,15,69,,7.2,5,0.326,15,0.333,5,38.5,20,0.559,16.5,12,31,0.516,16,0.167,1,"F. G. Clark Activity Center, Baton Rouge, Louisiana",TENNESSEE-MARTIN,UT-Martin,69.2,Home,SOUTHERN,Southern,Southern,swac
2017-11-29-19-southern,30.8,8,0.0,0,124.3,54.1,20,0.509,56,0.464,26,0.321,18,0.667,12,0,200,93.2,24.2,8,25,69,,5.4,4,0.357,20,0.25,5,40.0,28,0.534,21.0,17,36,0.583,21,0.0,0,"November 29, 2017",53.1,17,5.6,2,93.2,75.8,25,0.546,65,0.492,32,0.508,33,0.636,21,5,200,124.3,45.9,17,22,92,,12.2,9,0.277,18,0.389,7,60.0,42,0.57,11.2,10,47,0.532,25,0.286,2,"F. G. Clark Activity Center, Baton Rouge, Louisiana","Wiley
			","Wiley
			",73.6,Home,SOUTHERN,Southern,Southern,swac
2017-12-06-13-tulane,48.1,13,7.5,3,126.7,66.7,22,0.423,71,0.38,27,0.268,19,0.842,16,6,200,101.3,34.1,14,21,76,,6.7,5,0.225,16,0.375,6,48.6,36,0.475,10.2,9,55,0.382,21,0.25,2,"December 6, 2017",58.8,20,10.9,6,101.3,65.9,27,0.619,63,0.54,34,0.413,26,0.654,17,2,200,126.7,33.3,11,16,95,,9.3,7,0.365,23,0.435,10,51.4,38,0.63,11.8,10,40,0.6,24,0.778,7,"Devlin Fieldhouse, New Orleans, Louisiana",SOUTHERN,Southern,74.7,Home,TULANE,Tulane,Southern,swac
2017-12-09-13-central-florida,50.0,11,0.0,0,116.9,66.7,18,0.473,55,0.4,22,0.2,11,0.727,8,7,200,92.3,17.6,6,13,60,,7.7,5,0.291,16,0.5,8,39.3,24,0.498,16.7,12,39,0.359,14,0.222,2,"December 9, 2017",64.3,18,7.7,3,92.3,82.4,28,0.604,53,0.528,28,0.302,16,0.75,12,3,200,116.9,33.3,9,8,76,,10.8,7,0.453,24,0.333,8,60.7,37,0.627,17.8,13,29,0.69,20,0.667,6,"CFE Arena, Orlando, Florida",SOUTHERN,Southern,65.4,Home,CENTRAL-FLORIDA,UCF,Southern,swac
2017-12-10-17-iowa,19.0,4,6.5,2,124.7,72.2,26,0.321,70,0.3,21,0.286,20,0.75,15,8,200,82.2,31.3,15,22,60,,5.5,4,0.3,21,0.143,3,48.8,41,0.377,10.3,9,49,0.367,18,0.2,2,"December 10, 2017",78.6,22,16.3,8,82.2,68.8,33,0.548,63,0.444,28,0.444,28,0.786,22,6,200,124.7,27.8,10,15,91,,8.2,6,0.508,32,0.406,13,51.2,43,0.596,8.5,7,31,0.484,15,0.455,5,"Carver-Hawkeye Arena, Iowa City, Iowa",SOUTHERN,Southern,73.4,Home,IOWA,Iowa,Southern,swac
