,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-st-johns-ny,42.9,9,3.8,1,106.9,82.8,24,0.426,54,0.389,21,0.389,21,0.714,15,1,200,84.7,41.9,13,17,61,,5.6,4,0.259,14,0.286,4,61.7,37,0.477,24.9,21,40,0.425,17,0.0,0,"November 10, 2017",68.0,17,7.5,3,84.7,58.1,18,0.554,56,0.446,25,0.339,19,0.789,15,0,200,106.9,17.2,5,19,77,,13.9,10,0.536,30,0.4,12,38.3,23,0.592,14.6,11,26,0.5,13,1.0,1,"Carnesecca Arena, Jamaica, New York",NEW-ORLEANS,New Orleans,71.5,Home,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-11-14-18-st-johns-ny,60.0,12,5.4,2,109.6,68.6,24,0.479,48,0.417,20,0.292,14,0.643,9,3,200,75.3,10.3,3,21,55,,8.2,6,0.396,19,0.316,6,42.2,27,0.503,27.9,21,29,0.483,14,0.0,0,"November 14, 2017",55.6,15,10.3,3,75.3,89.7,26,0.543,58,0.466,27,0.431,25,0.68,17,0,200,109.6,31.4,11,14,80,,12.3,9,0.362,21,0.429,9,57.8,37,0.572,16.9,14,37,0.486,18,1.0,2,"Carnesecca Arena, Jamaica, New York",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.8,Home,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-11-16-18-st-johns-ny,56.3,9,9.6,5,106.8,62.5,25,0.333,57,0.281,16,0.421,24,0.75,18,1,200,75.7,22.5,9,20,56,,5.4,4,0.456,26,0.231,6,42.5,34,0.409,19.1,16,31,0.323,10,0.667,2,"November 16, 2017",33.3,10,32.3,10,75.7,77.5,31,0.471,69,0.435,30,0.29,20,0.7,14,0,200,106.8,37.5,15,21,79,,10.8,8,0.246,17,0.294,5,57.5,46,0.503,10.4,9,52,0.481,25,1.0,3,"Carnesecca Arena, Jamaica, New York",NEBRASKA,Nebraska,74.0,Home,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-11-20-18-st-johns-ny,41.2,7,4.7,2,93.4,79.4,27,0.361,54,0.315,17,0.185,10,0.4,4,0,199,56.6,13.5,5,16,43,,6.6,5,0.444,24,0.208,5,45.1,32,0.366,26.4,21,30,0.4,12,0.0,0,"November 20, 2017",44.8,13,20.0,6,56.6,86.5,32,0.477,65,0.446,29,0.215,14,0.643,9,0,199,93.4,20.6,7,15,71,,14.5,11,0.338,22,0.182,4,54.9,39,0.495,14.4,12,43,0.581,25,1.0,4,"Carnesecca Arena, Jamaica, New York","Molloy
			","Molloy
			",76.1,Home,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-11-23-14-oregon-state,44.0,11,11.5,3,104.1,66.7,18,0.424,66,0.379,25,0.455,30,0.867,26,0,200,110.8,33.3,13,22,82,,18.9,14,0.227,15,0.4,6,47.0,31,0.511,7.0,6,51,0.373,19,1.0,5,"November 23, 2017",50.0,11,3.9,2,110.8,66.7,26,0.55,50,0.44,22,0.5,25,0.88,22,2,200,104.1,33.3,9,26,77,,2.7,2,0.48,24,0.458,11,53.0,35,0.622,25.6,21,26,0.423,11,0.5,2,"HP Field House, Orlando, Florida",OREGON-STATE,Oregon State,73.6,Away,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-11-24-11-st-johns-ny,80.0,20,15.4,6,113.9,75.0,27,0.593,54,0.463,25,0.593,32,0.813,26,1,200,125.0,48.3,14,19,90,,9.7,7,0.5,27,0.519,14,63.1,41,0.65,17.1,14,27,0.407,11,0.833,5,"November 24, 2017",66.7,18,18.5,5,125.0,51.7,15,0.508,64,0.422,27,0.281,18,0.944,17,1,200,113.9,25.0,9,26,82,,5.6,4,0.391,25,0.44,11,36.9,24,0.565,13.3,11,39,0.41,16,0.833,5,"HP Field House, Orlando, Florida",ST-JOHNS-NY,St. John's (NY),71.9,Away,MISSOURI,Missouri,St. John's (NY),big-east
2017-11-26-12-central-florida,50.0,8,37.5,15,60.6,69.2,27,0.331,59,0.271,16,0.136,8,0.875,7,1,200,64.8,35.0,14,25,46,,12.7,9,0.458,27,0.259,7,51.9,41,0.366,25.1,21,32,0.281,9,0.857,6,"November 26, 2017",50.0,7,25.0,8,64.8,65.0,26,0.274,53,0.264,14,0.434,23,0.609,14,2,200,60.6,30.8,12,15,43,,12.7,9,0.245,13,0.077,1,48.1,38,0.336,24.1,20,40,0.325,13,0.667,4,"HP Field House, Orlando, Florida",CENTRAL-FLORIDA,UCF,70.9,Away,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-12-02-16-st-johns-ny,45.0,9,2.6,1,126.8,53.3,16,0.48,49,0.408,20,0.265,13,0.615,8,5,200,77.5,26.7,8,17,55,,7.0,5,0.429,21,0.333,7,40.0,24,0.498,31.4,25,28,0.464,13,0.375,3,"December 2, 2017",44.1,15,28.6,8,77.5,73.3,22,0.621,62,0.548,34,0.29,18,0.722,13,1,200,126.8,46.7,14,16,90,,21.1,15,0.387,24,0.375,9,60.0,36,0.638,15.7,13,38,0.658,25,0.875,7,"Carnesecca Arena, Jamaica, New York",SACRED-HEART,Sacred Heart,70.9,Home,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-12-05-23-grand-canyon,38.1,8,8.8,3,75.0,68.9,31,0.453,53,0.396,21,0.509,27,0.741,20,1,200,85.0,20.6,7,22,68,,12.5,10,0.34,18,0.333,6,48.1,38,0.517,21.7,18,35,0.429,15,0.889,8,"December 5, 2017",45.0,9,5.7,2,85.0,79.4,27,0.364,66,0.303,20,0.333,22,0.545,12,2,200,75.0,31.1,14,22,60,,13.8,11,0.485,32,0.25,8,51.9,41,0.392,21.7,21,34,0.353,12,0.714,5,"Talking Stick Resort Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,80.1,Away,ST-JOHNS-NY,St. John's (NY),St. John's (NY),big-east
2017-12-08-20-arizona-state,52.0,13,18.8,6,110.8,84.6,22,0.445,64,0.391,25,0.344,22,0.591,13,2,200,94.6,31.0,13,27,70,,6.8,5,0.375,24,0.292,7,51.5,35,0.47,13.0,11,40,0.45,18,0.8,8,"December 8, 2017",64.0,16,0.0,0,94.6,69.0,29,0.536,55,0.455,25,0.491,27,0.852,23,0,200,110.8,15.4,4,18,82,16,1.4,1,0.418,23,0.391,9,48.5,33,0.604,15.2,12,32,0.5,16,1.0,8,"Staples Center, Los Angeles, California",ST-JOHNS-NY,St. John's (NY),74.1,Home,ARIZONA-STATE,Arizona State,St. John's (NY),big-east
