,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-syracuse,76.9,10,1.9,1,110.0,55.3,21,0.288,52,0.25,13,0.5,26,0.577,15,1,200,64.3,23.1,9,15,45,,1.4,1,0.519,27,0.148,4,39.0,30,0.35,19.1,15,25,0.36,9,0.0,0,"November 10, 2017",48.3,14,24.0,6,64.3,76.9,30,0.457,70,0.414,29,0.257,18,0.722,13,0,200,110.0,44.7,17,22,77,,17.1,12,0.243,17,0.353,6,61.0,47,0.49,9.3,8,53,0.434,23,1.0,1,"Carrier Dome, Syracuse, New York",CORNELL,Cornell,70.0,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-11-14-19-syracuse,81.8,18,8.3,3,102.9,61.5,16,0.45,60,0.367,22,0.167,10,0.8,8,2,200,89.9,23.5,8,19,62,,10.1,7,0.533,32,0.313,10,40.0,24,0.479,15.7,12,28,0.429,12,0.0,0,"November 14, 2017",46.2,12,28.6,8,89.9,76.5,26,0.537,54,0.481,26,0.407,22,0.591,13,0,200,102.9,38.5,10,12,71,,8.7,6,0.333,18,0.333,6,60.0,36,0.551,19.1,15,36,0.556,20,1.0,2,"Carrier Dome, Syracuse, New York",IONA,Iona,69.1,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-11-18-19-syracuse,72.7,16,6.1,2,119.4,56.3,18,0.531,49,0.449,22,0.449,22,0.682,15,4,200,100.0,14.3,3,20,67,,7.5,5,0.429,21,0.381,8,39.6,21,0.563,14.6,10,28,0.5,14,0.0,0,"November 18, 2017",80.8,21,14.3,4,100.0,85.7,18,0.526,57,0.456,26,0.526,30,0.667,20,0,200,119.4,43.8,14,19,80,,11.9,8,0.421,24,0.333,8,60.4,32,0.561,12.5,10,33,0.545,18,1.0,3,"Carrier Dome, Syracuse, New York",TEXAS-SOUTHERN,Texas Southern,66.9,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-11-20-19-syracuse,66.7,12,5.4,3,98.7,66.7,20,0.356,59,0.305,18,0.186,11,0.727,8,2,200,66.7,20.0,8,18,50,,6.7,5,0.373,22,0.273,6,40.0,28,0.389,21.0,17,37,0.324,12,0.5,2,"November 20, 2017",41.9,13,40.5,15,66.7,80.0,32,0.508,64,0.484,31,0.281,18,0.5,9,0,200,98.7,33.3,10,17,74,,16.0,12,0.125,8,0.375,3,60.0,42,0.51,16.3,14,56,0.5,28,1.0,4,"Carrier Dome, Syracuse, New York",OAKLAND,Oakland,74.9,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-11-22-19-syracuse,66.7,12,6.7,3,107.5,58.8,20,0.444,54,0.333,18,0.407,22,0.727,16,1,200,95.5,15.4,6,18,64,,7.5,5,0.463,25,0.48,12,35.6,26,0.497,11.2,8,29,0.207,6,0.75,3,"November 22, 2017",33.3,9,20.7,6,95.5,84.6,33,0.46,63,0.429,27,0.317,20,0.7,14,0,200,107.5,41.2,14,18,72,,9.0,6,0.286,18,0.222,4,64.4,47,0.497,11.1,9,45,0.511,23,1.0,5,"Carrier Dome, Syracuse, New York",TOLEDO,Toledo,67.0,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-11-27-19-syracuse,95.7,22,11.1,5,101.4,58.1,18,0.559,51,0.451,23,0.392,20,0.65,13,2,200,98.6,32.1,9,21,70,,9.9,7,0.451,23,0.478,11,45.8,27,0.579,23.1,18,28,0.429,12,0.75,6,"November 27, 2017",42.9,12,17.9,5,98.6,67.9,19,0.468,63,0.444,28,0.317,20,0.65,13,0,200,101.4,41.9,13,18,72,,16.9,12,0.286,18,0.167,3,54.2,32,0.497,15.3,13,45,0.556,25,1.0,6,"Carrier Dome, Syracuse, New York",MARYLAND,Maryland,71.0,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-12-02-17-syracuse,81.5,22,10.3,3,83.3,66.7,24,0.591,55,0.491,27,0.236,13,0.846,11,0,200,105.6,25.0,7,21,76,2,5.6,4,0.564,31,0.355,11,48.4,31,0.621,20.9,16,24,0.667,16,1.0,7,"December 2, 2017",50.0,9,4.2,1,105.6,75.0,21,0.375,56,0.321,18,0.464,26,0.692,18,1,200,83.3,33.3,12,16,60,,12.5,9,0.482,27,0.222,6,51.6,33,0.439,20.1,17,29,0.414,12,0.857,6,"American Airlines Arena, Miami, Florida",SYRACUSE,Syracuse,71.8,Away,KANSAS,Kansas,Syracuse,acc
2017-12-05-21-connecticut,40.9,9,14.3,4,91.3,78.6,22,0.471,51,0.431,22,0.647,33,0.727,24,1,200,104.3,44.4,12,20,72,,15.9,11,0.314,16,0.25,4,61.8,34,0.54,18.6,15,35,0.514,18,0.875,7,"December 5, 2017",55.0,11,8.6,3,104.3,55.6,15,0.5,47,0.426,20,0.489,23,0.696,16,3,200,91.3,21.4,6,21,63,,10.1,7,0.404,19,0.368,7,38.2,21,0.544,22.9,17,28,0.464,13,0.667,6,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,69.3,Away,SYRACUSE,Syracuse,Syracuse,acc
2017-12-09-14-syracuse,95.2,20,3.4,1,126.3,66.7,16,0.549,51,0.412,21,0.078,4,0.5,2,6,200,101.8,19.4,6,19,58,,1.8,1,0.686,35,0.4,14,40.0,22,0.548,15.9,10,16,0.438,7,0.333,3,"December 9, 2017",60.0,15,31.3,5,101.8,80.6,25,0.594,48,0.521,25,0.438,21,0.714,15,1,200,126.3,33.3,8,5,72,,12.3,7,0.396,19,0.368,7,60.0,33,0.621,10.9,7,29,0.621,18,0.889,8,"Carrier Dome, Syracuse, New York",COLGATE,Colgate,56.9,Home,SYRACUSE,Syracuse,Syracuse,acc
2017-12-16-12-georgetown,53.6,15,10.0,4,100.0,75.8,25,0.478,69,0.406,28,0.406,28,0.714,20,1,225,108.9,40.9,18,23,86,,10.1,8,0.333,23,0.435,10,55.8,43,0.522,16.4,16,46,0.391,18,0.9,9,"December 16, 2017",76.9,20,17.4,8,108.9,59.1,26,0.474,57,0.456,26,0.526,30,0.833,25,1,225,100.0,24.2,8,25,79,,13.9,11,0.298,17,0.118,2,44.2,34,0.554,17.6,15,40,0.6,24,0.889,8,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,70.5,Away,SYRACUSE,Syracuse,Syracuse,acc
