,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-16-13-temple,44.0,11,22.9,8,110.1,61.5,16,0.444,62,0.403,25,0.274,17,0.588,10,1,200,94.2,36.4,12,19,65,,11.6,8,0.306,19,0.263,5,47.5,28,0.464,14.7,12,43,0.465,20,0.667,2,"November 16, 2017",60.9,14,9.3,4,94.2,63.6,21,0.519,54,0.426,23,0.463,25,0.8,20,0,200,110.1,38.5,10,17,76,,8.7,6,0.352,19,0.526,10,52.5,31,0.577,16.7,13,35,0.371,13,1.0,1,"TD Arena, Charleston, South Carolina",OLD-DOMINION,Old Dominion,69.5,Home,TEMPLE,Temple,Temple,aac
2017-11-17-11-temple,55.6,15,14.3,5,117.3,78.6,22,0.413,75,0.36,27,0.227,17,0.706,12,1,200,98.7,40.0,18,16,74,,6.7,5,0.44,33,0.242,8,54.8,40,0.445,9.8,9,42,0.452,19,0.667,2,"November 17, 2017",53.3,16,7.1,3,98.7,60.0,27,0.574,61,0.492,30,0.361,22,0.818,18,0,200,117.3,21.4,6,18,88,,5.3,4,0.426,26,0.385,10,45.2,33,0.616,13.5,11,35,0.571,20,1.0,2,"TD Arena, Charleston, South Carolina",AUBURN,Auburn,75.3,Home,TEMPLE,Temple,Temple,aac
2017-11-19-21-clemson,52.2,12,6.9,2,82.2,86.2,25,0.452,62,0.371,23,0.21,13,0.846,11,0,200,91.8,20.0,7,15,67,,11.0,8,0.452,28,0.357,10,50.0,32,0.491,14.0,11,34,0.382,13,1.0,3,"November 19, 2017",52.2,12,8.8,3,91.8,80.0,28,0.482,55,0.418,23,0.164,9,0.778,7,1,200,82.2,13.8,4,18,60,,6.8,5,0.473,26,0.269,7,50.0,32,0.506,23.4,18,29,0.552,16,0.8,4,"TD Arena, Charleston, South Carolina",CLEMSON,Clemson,72.7,Away,TEMPLE,Temple,Temple,aac
2017-11-26-17-la-salle,38.2,13,4.2,2,124.3,71.0,22,0.623,61,0.557,34,0.148,9,0.778,7,1,200,118.6,24.0,6,15,83,,1.4,1,0.295,18,0.444,8,50.0,28,0.636,16.7,13,43,0.605,26,0.75,3,"November 26, 2017",36.4,12,4.7,2,118.6,76.0,19,0.545,67,0.493,33,0.224,15,0.933,14,3,200,124.3,29.0,9,10,87,,7.1,5,0.284,19,0.368,7,50.0,28,0.587,3.9,3,48,0.542,26,0.571,4,"Tom Gola Arena, Philadelphia, Pennsylvania",TEMPLE,Temple,70.2,Home,LA-SALLE,La Salle,Temple,aac
2017-11-30-21-temple,40.9,9,9.3,4,107.0,66.7,18,0.431,58,0.379,22,0.207,12,0.833,10,2,200,84.5,32.3,10,14,60,,9.9,7,0.362,21,0.286,6,48.3,28,0.471,21.2,17,37,0.432,16,0.714,5,"November 30, 2017",37.9,11,21.6,8,84.5,67.7,21,0.517,60,0.483,29,0.35,21,0.667,14,1,200,107.0,33.3,9,13,76,,16.9,12,0.283,17,0.235,4,51.7,30,0.543,13.7,11,43,0.581,25,0.8,4,"Madison Square Garden (IV), New York, New York",SOUTH-CAROLINA,South Carolina,71.3,Home,TEMPLE,Temple,Temple,aac
2017-12-03-14-george-washington,42.3,11,3.4,1,110.9,80.0,16,0.556,54,0.481,26,0.185,10,0.7,7,2,200,104.7,12.0,3,15,67,,17.2,11,0.407,22,0.364,8,42.2,19,0.57,13.4,9,32,0.563,18,0.667,4,"December 3, 2017",59.3,16,9.4,3,104.7,88.0,22,0.7,45,0.6,27,0.289,13,0.615,8,4,200,110.9,20.0,4,14,71,,7.8,5,0.356,16,0.563,9,57.8,26,0.694,25.1,17,29,0.621,18,0.5,4,"Charles E. Smith Center, Washington, District of Columbia",TEMPLE,Temple,64.5,Home,GEORGE-WASHINGTON,George Washington,Temple,aac
2017-12-06-19-temple,60.9,14,5.1,2,95.2,78.6,22,0.455,56,0.411,23,0.107,6,0.667,4,6,200,88.7,25.0,8,14,55,,6.5,4,0.357,20,0.25,5,50.0,30,0.467,14.6,10,36,0.5,18,0.4,4,"December 6, 2017",50.0,12,16.7,6,88.7,75.0,24,0.481,53,0.453,24,0.283,15,0.533,8,2,200,95.2,21.4,6,10,59,,11.3,7,0.264,14,0.214,3,50.0,30,0.491,13.1,9,39,0.538,21,0.714,5,"Liacouras Center, Philadelphia, Pennsylvania",WISCONSIN,Wisconsin,62.0,Home,TEMPLE,Temple,Temple,aac
2017-12-09-14-temple,70.4,19,10.3,4,111.0,78.0,32,0.55,60,0.45,27,0.367,22,0.545,12,5,200,106.8,25.6,10,13,78,,2.7,2,0.45,27,0.444,12,52.5,42,0.554,15.7,13,33,0.455,15,0.444,4,"December 9, 2017",46.4,13,12.1,4,106.8,74.4,29,0.5,67,0.418,28,0.284,19,0.737,14,2,200,111.0,22.0,9,19,81,,11.0,8,0.418,28,0.393,11,47.5,38,0.533,7.4,6,39,0.436,17,0.75,6,"Liacouras Center, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,73.2,Home,TEMPLE,Temple,Temple,aac
2017-12-13-19-temple,57.6,19,5.6,2,103.1,75.0,21,0.718,55,0.6,33,0.218,12,0.667,8,0,200,133.8,30.4,7,15,87,1,10.8,7,0.509,28,0.464,13,54.9,28,0.717,14.2,10,27,0.741,20,1.0,11,"December 13, 2017",30.8,8,0.0,0,133.8,69.6,16,0.536,55,0.473,26,0.273,15,0.533,8,3,200,103.1,25.0,7,14,67,,10.8,7,0.345,19,0.368,7,45.1,23,0.539,15.2,11,36,0.528,19,0.667,6,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,64.9,Away,VILLANOVA,Villanova,Temple,aac
2017-12-16-17-temple,48.0,12,5.3,2,92.6,78.1,25,0.444,62,0.403,25,0.161,10,0.5,5,6,200,88.2,30.6,11,12,60,,7.4,5,0.274,17,0.294,5,52.9,36,0.449,15.3,12,45,0.444,20,0.455,5,"December 16, 2017",52.2,12,15.6,7,88.2,69.4,25,0.441,59,0.39,23,0.22,13,0.846,11,3,200,92.6,21.9,7,13,63,,11.8,8,0.356,21,0.286,6,47.1,32,0.483,14.5,11,38,0.447,17,0.7,7,"Liacouras Center, Philadelphia, Pennsylvania",DREXEL,Drexel,68.5,Home,TEMPLE,Temple,Temple,aac
