,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-kansas,36.8,7,0.0,0,124.3,58.3,14,0.397,58,0.328,19,0.276,16,0.625,10,1,200,75.7,17.5,7,16,56,,13.5,10,0.397,23,0.348,8,32.8,21,0.427,18.7,15,35,0.314,11,0.0,0,"November 10, 2017",63.9,23,20.0,7,75.7,82.5,33,0.7,60,0.6,36,0.183,11,0.727,8,0,200,124.3,41.7,10,13,92,4,10.8,8,0.467,28,0.429,12,67.2,43,0.705,23.6,20,32,0.75,24,1.0,1,"Allen Fieldhouse, Lawrence, Kansas",TENNESSEE-STATE,Tennessee State,74.4,Home,KANSAS,Kansas,Tennessee State,ovc
2017-11-13-20-tennessee-state,63.2,12,6.3,2,124.3,66.7,20,0.397,63,0.302,19,0.095,6,0.5,3,0,200,71.6,17.1,7,14,53,,4.1,3,0.619,39,0.308,12,38.0,27,0.402,18.6,15,24,0.292,7,0.0,0,"November 13, 2017",50.0,18,37.5,9,71.6,82.9,34,0.652,66,0.545,36,0.197,13,0.462,6,1,200,124.3,33.3,10,16,92,,10.8,8,0.515,34,0.412,14,62.0,44,0.637,14.3,12,32,0.688,22,0.5,1,"Gentry Center Complex, Nashville, Tennessee","Reinhardt
			","Reinhardt
			",74.0,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2017-11-18-16-tennessee-state,72.0,18,9.7,3,97.0,75.0,27,0.59,50,0.5,25,0.46,23,0.696,16,1,200,111.9,20.7,6,23,75,,6.0,4,0.5,25,0.36,9,50.8,33,0.616,16.6,12,25,0.64,16,0.75,3,"November 18, 2017",40.0,8,8.0,2,111.9,79.3,23,0.452,52,0.385,20,0.481,25,0.72,18,2,200,97.0,25.0,9,19,65,,7.5,5,0.404,21,0.333,7,49.2,32,0.509,16.0,12,31,0.419,13,0.333,1,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,66.9,Away,MIDDLE-TENNESSEE,Middle Tennessee,Tennessee State,ovc
2017-11-21-20-tennessee-state,75.0,15,0.0,0,92.3,92.0,23,0.5,49,0.408,20,0.082,4,0.75,3,3,200,80.0,18.5,5,14,52,,4.6,3,0.592,29,0.31,9,53.8,28,0.511,27.2,19,20,0.55,11,0.25,1,"November 21, 2017",63.6,14,5.0,1,80.0,81.5,22,0.553,47,0.468,22,0.234,11,0.727,8,2,200,92.3,8.0,2,15,60,,9.2,6,0.489,23,0.348,8,46.2,24,0.574,22.4,15,24,0.583,14,0.5,2,"Gentry Center Complex, Nashville, Tennessee",CANISIUS,Canisius,65.1,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2017-11-25-19-kennesaw-state,54.2,13,3.0,1,93.7,86.2,25,0.475,61,0.393,24,0.459,28,0.679,19,2,225,97.5,15.4,6,24,77,,11.4,9,0.41,25,0.4,10,45.6,31,0.518,10.9,9,36,0.389,14,0.6,3,"November 25, 2017",61.5,16,0.0,0,97.5,84.6,33,0.596,52,0.5,26,0.385,20,0.6,12,5,225,93.7,13.8,4,24,74,,3.8,3,0.365,19,0.526,10,54.4,37,0.602,28.3,24,33,0.485,16,0.167,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,70.6,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2017-11-28-20-tennessee-state,66.7,12,0.0,0,94.4,65.9,27,0.379,58,0.31,18,0.293,17,0.529,9,0,200,74.6,16.3,7,21,53,,7.0,5,0.448,26,0.308,8,40.5,34,0.401,15.5,12,32,0.313,10,0.0,0,"November 28, 2017",45.0,9,18.8,6,74.6,83.7,36,0.395,57,0.351,20,0.491,28,0.786,22,2,200,94.4,34.1,14,19,67,,8.5,6,0.526,30,0.167,5,59.5,50,0.477,17.8,15,27,0.556,15,0.667,4,"Gentry Center Complex, Nashville, Tennessee","Fisk
			","Fisk
			",71.2,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2017-12-02-20-tennessee-state,64.3,18,17.1,7,97.7,76.5,26,0.607,56,0.5,28,0.625,35,0.771,27,3,225,108.0,17.6,6,21,95,,8.0,7,0.446,25,0.48,12,47.1,32,0.654,21.0,19,31,0.516,16,0.625,5,"December 2, 2017",43.3,13,12.9,4,108.0,82.4,28,0.531,64,0.469,30,0.422,27,0.667,18,3,225,97.7,23.5,8,26,86,,8.0,7,0.359,23,0.348,8,52.9,36,0.56,21.7,21,41,0.537,22,0.571,4,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,78.0,Away,LIPSCOMB,Lipscomb,Tennessee State,ovc
2017-12-12-20-alabama-state,35.7,5,7.7,2,67.2,74.3,26,0.434,38,0.368,14,1.026,39,0.795,31,3,200,95.5,12.0,3,23,64,,17.9,12,0.5,19,0.263,5,48.3,29,0.566,19.1,13,19,0.474,9,0.625,5,"December 12, 2017",80.0,8,15.8,3,95.5,88.0,22,0.287,47,0.213,10,0.574,27,0.667,18,9,200,67.2,25.7,9,26,45,,6.0,4,0.447,21,0.333,7,51.7,31,0.376,21.4,16,26,0.115,3,0.0,0,"Dunn-Oliver Acadome, Montgomery, Alabama",ALABAMA-STATE,Alabama State,66.7,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2017-12-15-19-north-carolina-at,47.8,11,4.2,1,100.0,77.8,21,0.449,59,0.39,23,0.068,4,0.25,1,4,200,84.4,18.9,7,19,54,,10.9,7,0.458,27,0.259,7,43.8,28,0.443,14.1,10,32,0.5,16,0.556,5,"December 15, 2017",63.6,14,0.0,0,84.4,81.1,30,0.543,47,0.468,22,0.426,20,0.65,13,4,200,100.0,22.2,6,11,64,,3.1,2,0.489,23,0.304,7,56.3,36,0.566,20.1,14,24,0.625,15,0.6,6,"Ellis Corbett Sports Center, Greensboro, North Carolina",TENNESSEE-STATE,Tennessee State,64.2,Home,NORTH-CAROLINA-AT,North Carolina A&T,Tennessee State,ovc
2017-12-18-21-texas,35.3,6,6.7,2,78.3,60.7,17,0.465,43,0.395,17,0.186,8,0.75,6,5,200,76.7,37.5,9,15,46,,11.7,7,0.372,16,0.375,6,50.0,26,0.491,31.1,21,27,0.407,11,0.5,5,"December 18, 2017",55.6,10,25.9,7,76.7,62.5,15,0.382,51,0.353,18,0.235,12,0.667,8,3,200,78.3,39.3,11,10,47,,13.3,8,0.412,21,0.143,3,50.0,26,0.414,22.1,16,30,0.5,15,0.727,8,"Frank Erwin Center, Austin, Texas",TENNESSEE-STATE,Tennessee State,60.3,Home,TEXAS,Texas,Tennessee State,ovc
