,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-tennessee-tech,55.0,11,7.5,3,113.3,77.8,21,0.367,64,0.313,20,0.281,18,0.5,9,0,200,67.5,19.0,8,16,56,,6.0,5,0.406,26,0.269,7,42.0,29,0.386,20.0,18,38,0.342,13,0.0,0,"November 10, 2017",62.2,23,7.9,3,67.5,81.0,34,0.627,67,0.552,37,0.209,14,0.714,10,0,200,113.3,22.2,6,20,94,,8.4,7,0.403,27,0.37,10,58.0,40,0.638,17.0,15,40,0.675,27,1.0,1,"Eblen Center, Cookeville, Tennessee","Midway
			","Midway
			",82.6,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-13-21-texas-christian,72.0,18,11.1,3,128.2,83.3,20,0.475,61,0.41,25,0.164,10,0.5,5,1,200,80.8,11.4,4,20,63,,6.4,5,0.361,22,0.364,8,40.7,24,0.479,19.7,16,39,0.436,17,0.5,1,"November 13, 2017",65.7,23,12.8,5,80.8,88.6,31,0.768,56,0.625,35,0.429,24,0.583,14,0,200,128.2,16.7,4,18,100,,12.8,10,0.518,29,0.552,16,59.3,35,0.742,17.4,14,27,0.704,19,1.0,2,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",TENNESSEE-TECH,Tennessee Tech,77.6,Home,TEXAS-CHRISTIAN,TCU,Tennessee Tech,ovc
2017-11-16-19-tennessee-tech,55.0,11,4.9,2,126.2,71.0,22,0.358,67,0.299,20,0.045,3,0.0,0,0,200,57.1,15.6,7,20,48,,6.0,5,0.567,38,0.211,8,38.2,29,0.351,25.2,23,29,0.414,12,0.0,0,"November 16, 2017",82.9,34,17.2,5,57.1,84.4,38,0.676,68,0.603,41,0.324,22,0.636,14,1,200,126.2,29.0,9,13,106,,20.2,17,0.397,27,0.37,10,61.8,47,0.676,16.2,15,41,0.756,31,0.667,2,"Eblen Center, Cookeville, Tennessee","Boyce
			","Boyce
			",84.4,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-18-19-tennessee-tech,65.2,15,8.9,4,105.1,68.8,22,0.429,56,0.411,23,0.536,30,0.667,20,3,200,87.2,22.9,8,16,68,,9.0,7,0.25,14,0.143,2,44.8,30,0.484,18.8,16,42,0.5,21,0.25,1,"November 18, 2017",64.5,20,9.5,4,87.2,77.1,27,0.547,64,0.484,31,0.328,21,0.571,12,1,200,105.1,31.3,10,23,82,,14.1,11,0.297,19,0.421,8,55.2,37,0.554,16.0,14,45,0.511,23,0.75,3,"Eblen Center, Cookeville, Tennessee",KENNESAW-STATE,Kennesaw State,78.1,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-21-21-new-mexico,67.6,23,13.3,4,111.6,75.0,27,0.656,61,0.557,34,0.525,32,0.75,24,1,200,120.9,22.2,6,25,104,,15.1,13,0.361,22,0.545,12,52.4,33,0.682,16.7,15,39,0.564,22,0.8,4,"November 21, 2017",67.9,19,15.4,6,120.9,77.8,21,0.522,69,0.406,28,0.42,29,0.828,24,2,200,111.6,25.0,9,26,96,,8.1,7,0.565,39,0.41,16,47.6,30,0.58,14.6,14,30,0.4,12,0.5,2,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,86.5,Away,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-24-12-nebraska-omaha,46.9,15,12.1,4,121.4,67.9,19,0.625,56,0.571,32,0.464,26,0.615,16,1,200,122.9,41.7,10,17,86,,4.3,3,0.25,14,0.429,6,55.8,29,0.629,16.2,13,42,0.619,26,0.833,5,"November 24, 2017",48.3,14,2.4,1,122.9,58.3,14,0.634,56,0.518,29,0.304,17,0.824,14,6,200,121.4,32.1,9,20,85,,2.9,2,0.411,23,0.565,13,44.2,23,0.663,17.0,13,33,0.485,16,0.0,0,"The Arena, Niceville, Florida",NEBRASKA-OMAHA,Omaha,69.7,Away,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-25-13-tennessee-tech,38.1,8,9.7,3,126.8,70.0,21,0.417,60,0.35,21,0.317,19,0.526,10,4,200,84.5,22.0,9,12,60,,7.0,5,0.433,26,0.308,8,42.3,30,0.435,13.9,11,34,0.382,13,0.333,2,"November 25, 2017",64.5,20,2.9,1,84.5,78.0,32,0.631,61,0.508,31,0.246,15,0.867,13,1,200,126.8,30.0,9,21,90,,8.5,6,0.492,30,0.5,15,57.7,41,0.661,15.1,12,31,0.516,16,0.857,6,"The Arena, Niceville, Florida",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.1,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-11-29-19-tennessee-tech,38.7,12,8.3,3,101.2,77.4,24,0.549,61,0.508,31,0.393,24,0.542,13,3,200,94.1,21.9,7,33,80,,10.6,9,0.377,23,0.217,5,49.2,31,0.552,20.1,18,38,0.684,26,0.571,4,"November 29, 2017",47.8,11,2.6,1,94.1,78.1,25,0.462,53,0.434,23,0.925,49,0.755,37,1,200,101.2,22.6,7,23,86,,8.2,7,0.321,17,0.176,3,50.8,32,0.564,18.6,17,36,0.556,20,0.875,7,"Eblen Center, Cookeville, Tennessee",LIPSCOMB,Lipscomb,84.8,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc
2017-12-02-16-furman,55.0,11,10.7,3,88.9,69.0,29,0.35,60,0.333,20,0.267,16,0.5,8,2,200,69.4,25.6,10,18,50,,8.3,6,0.317,19,0.105,2,48.1,39,0.37,19.3,16,41,0.439,18,0.778,7,"December 2, 2017",59.1,13,14.6,6,69.4,74.4,29,0.422,64,0.344,22,0.234,15,0.667,10,3,200,88.9,31.0,13,14,64,,13.9,10,0.563,36,0.278,10,51.9,42,0.45,15.6,13,28,0.429,12,0.625,5,"Timmons Arena, Greenville, South Carolina",TENNESSEE-TECH,Tennessee Tech,72.4,Home,FURMAN,Furman,Tennessee Tech,ovc
2017-12-06-19-dayton,72.7,16,3.2,1,111.3,81.0,17,0.519,52,0.423,22,0.346,18,0.667,12,3,200,93.0,23.3,7,18,66,,12.7,9,0.462,24,0.417,10,47.1,24,0.545,23.1,18,28,0.429,12,0.7,7,"December 6, 2017",71.0,22,7.1,2,93.0,76.7,23,0.648,54,0.574,31,0.204,11,0.818,9,4,200,111.3,19.0,4,16,79,,7.0,5,0.426,23,0.348,8,52.9,27,0.667,20.3,15,31,0.742,23,0.5,4,"University of Dayton Arena, Dayton, Ohio",TENNESSEE-TECH,Tennessee Tech,70.9,Home,DAYTON,Dayton,Tennessee Tech,ovc
