,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-texas-am-corpus-christi,61.9,13,6.3,3,90.8,52.6,20,0.426,61,0.344,21,0.311,19,0.842,16,0,200,89.5,21.6,8,25,68,,13.2,10,0.59,36,0.278,10,37.3,28,0.486,18.7,16,25,0.44,11,0.0,0,"November 10, 2017",63.6,14,16.0,4,89.5,78.4,29,0.385,61,0.361,22,0.508,31,0.71,22,0,200,90.8,47.4,18,18,69,,9.2,7,0.213,13,0.231,3,62.7,47,0.456,17.7,16,48,0.396,19,1.0,1,"American Bank Center, Corpus Christi, Texas","Our Lady of the Lake
			","Our Lady of the Lake
			",75.9,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland
2017-11-13-20-baylor,42.9,9,5.9,2,114.8,58.6,17,0.388,58,0.362,21,0.069,4,0.25,1,1,200,75.4,29.0,9,19,46,,1.6,1,0.31,18,0.167,3,43.3,26,0.384,14.3,10,40,0.45,18,0.5,1,"November 13, 2017",52.0,13,15.0,6,75.4,71.0,22,0.519,53,0.472,25,0.453,24,0.625,15,0,200,114.8,41.4,12,13,70,25,6.6,4,0.358,19,0.263,5,56.7,34,0.543,11.2,8,34,0.588,20,1.0,2,"Ferrell Center, Waco, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,60.7,Home,BAYLOR,Baylor,Texas A&M-Corpus Christi,southland
2017-11-15-20-texas-am-corpus-christi,57.1,12,8.1,3,96.2,74.2,23,0.481,52,0.404,21,0.75,39,0.821,32,1,225,105.1,20.6,7,29,82,,14.1,11,0.577,30,0.267,8,46.2,30,0.581,18.8,16,22,0.591,13,0.667,2,"November 15, 2017",39.1,9,9.1,2,105.1,79.4,27,0.51,51,0.451,23,0.627,32,0.719,23,2,225,96.2,25.8,8,27,75,,3.8,3,0.275,14,0.429,6,53.8,35,0.566,22.6,19,37,0.459,17,0.333,1,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,69.7,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas A&M-Corpus Christi,southland
2017-11-19-13-georgia,33.3,8,12.5,3,95.8,60.0,18,0.473,56,0.429,24,0.25,14,0.857,12,3,200,91.5,25.8,8,25,65,,22.5,16,0.25,14,0.357,5,42.6,26,0.519,22.5,18,42,0.452,19,0.25,1,"November 19, 2017",57.1,12,19.0,8,91.5,74.2,23,0.522,45,0.467,21,0.644,29,0.724,21,0,200,95.8,40.0,12,11,68,,12.7,9,0.467,21,0.238,5,57.4,35,0.578,28.5,23,24,0.667,16,1.0,3,"Stegeman Coliseum, Athens, Georgia",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,71.2,Home,GEORGIA,Georgia,Texas A&M-Corpus Christi,southland
2017-11-24-20-texas-san-antonio,47.4,9,4.2,1,97.3,68.0,17,0.479,47,0.404,19,0.532,25,0.52,13,4,200,78.4,26.7,8,20,58,,10.8,8,0.213,10,0.7,7,45.5,25,0.493,30.1,25,37,0.324,12,0.2,1,"November 24, 2017",68.0,17,10.8,4,78.4,73.3,22,0.628,47,0.532,25,0.426,20,0.65,13,2,200,97.3,32.0,8,22,72,,17.6,13,0.489,23,0.391,9,54.5,30,0.637,29.2,23,24,0.667,16,0.667,4,"Convocation Center, San Antonio, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,73.7,Home,TEXAS-SAN-ANTONIO,UTSA,Texas A&M-Corpus Christi,southland
2017-11-29-20-texas-state,40.0,8,8.3,2,100.0,55.6,15,0.417,54,0.37,20,0.241,13,0.615,8,5,200,80.3,18.2,6,23,53,,15.2,10,0.278,15,0.333,5,35.0,21,0.44,17.9,13,39,0.385,15,0.167,1,"November 29, 2017",68.2,15,10.3,4,80.3,81.8,27,0.58,44,0.5,22,0.545,24,0.625,15,3,200,100.0,44.4,12,12,66,,7.6,5,0.455,20,0.35,7,65.0,39,0.596,28.7,22,24,0.625,15,0.571,4,"Strahan Coliseum, San Marcos, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.3,Home,TEXAS-STATE,Texas State,Texas A&M-Corpus Christi,southland
2017-12-01-20-texas-am-corpus-christi,84.6,11,4.3,2,114.3,67.9,19,0.33,47,0.277,13,0.319,15,0.733,11,0,200,60.0,16.7,5,13,42,,11.4,8,0.489,23,0.217,5,41.4,24,0.388,27.2,20,24,0.333,8,0.0,0,"December 1, 2017",42.4,14,8.3,2,60.0,83.3,25,0.556,63,0.524,33,0.206,13,0.769,10,5,200,114.3,32.1,9,13,80,,21.4,15,0.254,16,0.25,4,58.6,34,0.578,13.8,11,47,0.617,29,0.286,2,"American Bank Center, Corpus Christi, Texas","Texas Lutheran
			","Texas Lutheran
			",70.2,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland
2017-12-06-20-texas-pan-american,51.6,16,7.3,3,110.8,82.8,24,0.578,58,0.534,31,0.293,17,0.647,11,6,200,105.4,25.0,7,18,78,,4.1,3,0.207,12,0.417,5,54.4,31,0.59,17.6,14,46,0.565,26,0.25,2,"December 6, 2017",60.0,18,2.2,1,105.4,75.0,21,0.556,62,0.484,30,0.242,15,0.867,13,6,200,110.8,17.2,5,15,82,,8.1,6,0.339,21,0.429,9,45.6,26,0.593,13.8,11,41,0.512,21,0.455,5,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,74.1,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas A&M-Corpus Christi,southland
2017-12-15-20-texas-am-corpus-christi,56.3,9,2.7,1,98.6,87.5,21,0.435,46,0.348,16,0.543,25,0.6,15,0,200,76.4,17.6,6,24,55,,9.7,7,0.457,21,0.381,8,46.6,27,0.475,24.0,18,25,0.32,8,0.0,0,"December 15, 2017",60.9,14,8.0,2,76.4,82.4,28,0.543,47,0.489,23,0.723,34,0.588,20,6,200,98.6,12.5,3,23,71,,15.3,11,0.213,10,0.5,5,53.4,31,0.562,17.3,13,37,0.486,18,0.333,3,"Dugan Wellness Center, Corpus Christi, Texas","St. Mary's (TX)
			","St. Mary's (TX)
			",71.5,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland
2017-12-19-19-mississippi,73.1,19,4.5,1,119.7,71.4,15,0.484,61,0.426,26,0.098,6,0.667,4,7,200,88.7,25.9,7,21,63,,8.5,6,0.23,14,0.5,7,45.8,22,0.493,18.0,14,47,0.404,19,0.3,3,"December 19, 2017",89.3,25,21.3,10,88.7,74.1,20,0.673,52,0.538,28,0.404,21,0.714,15,5,200,119.7,28.6,6,12,85,,11.3,8,0.577,30,0.467,14,54.2,26,0.686,19.7,15,22,0.636,14,0.545,6,"The Pavilion at Ole Miss, Oxford, Mississippi",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,MISSISSIPPI,Ole Miss,Texas A&M-Corpus Christi,southland
