,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-texas-el-paso,57.9,11,2.3,1,131.6,62.5,20,0.407,59,0.322,19,0.22,13,0.154,2,0,200,65.8,16.3,7,24,50,,7.9,6,0.441,26,0.385,10,36.0,27,0.384,21.8,18,33,0.273,9,0.0,0,"November 10, 2017",59.5,22,21.2,7,65.8,83.7,36,0.656,64,0.578,37,0.375,24,0.667,16,0,200,131.6,37.5,12,17,100,,7.9,6,0.328,21,0.476,10,64.0,48,0.663,14.8,13,43,0.628,27,1.0,1,"Don Haskins Center, El Paso, Texas","Louisiana College
			","Louisiana College
			",76.3,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa
2017-11-16-14-texas-el-paso,47.6,10,11.6,5,81.2,75.0,30,0.417,60,0.35,21,0.217,13,0.615,8,0,200,84.1,17.1,6,19,58,,5.8,4,0.433,26,0.308,8,48.0,36,0.438,10.9,8,34,0.382,13,1.0,3,"November 16, 2017",47.6,10,23.5,8,84.1,82.9,29,0.377,61,0.344,21,0.246,15,0.667,10,1,200,81.2,25.0,10,14,56,,7.2,5,0.295,18,0.222,4,52.0,39,0.411,14.0,11,43,0.395,17,0.5,1,"The HTC Center, Conway, South Carolina",TEXAS-EL-PASO,UTEP,68.7,Away,BOISE-STATE,Boise State,UTEP,cusa
2017-11-17-10-texas-el-paso,70.4,19,6.3,2,75.7,85.2,23,0.534,58,0.466,27,0.397,23,0.783,18,1,200,108.1,35.7,10,20,80,,10.8,8,0.414,24,0.333,8,60.0,33,0.58,20.0,17,34,0.559,19,0.75,3,"November 17, 2017",63.2,12,17.6,6,108.1,64.3,18,0.478,45,0.422,19,0.444,20,0.65,13,2,200,75.7,14.8,4,24,56,,10.8,8,0.289,13,0.385,5,40.0,22,0.514,28.1,21,32,0.438,14,0.333,1,"The HTC Center, Conway, South Carolina",TEXAS-EL-PASO,UTEP,73.7,Away,SOUTH-CAROLINA,South Carolina,UTEP,cusa
2017-11-19-11-appalachian-state,51.9,14,10.3,3,102.7,63.6,21,0.492,59,0.458,27,0.339,20,0.7,14,3,200,97.3,11.8,4,25,72,,6.8,5,0.22,13,0.308,4,37.3,25,0.526,14.0,11,46,0.5,23,0.25,1,"November 19, 2017",43.5,10,4.3,2,97.3,88.2,30,0.509,55,0.418,23,0.6,33,0.606,20,2,200,102.7,36.4,12,20,76,,5.4,4,0.473,26,0.385,10,62.7,42,0.538,16.8,14,29,0.448,13,0.6,3,"The HTC Center, Conway, South Carolina",TEXAS-EL-PASO,UTEP,74.1,Home,APPALACHIAN-STATE,Appalachian State,UTEP,cusa
2017-11-25-21-new-mexico-state,38.1,8,0.0,0,96.0,74.4,29,0.43,57,0.368,21,0.316,18,0.778,14,4,200,84.0,0.0,0,22,63,,5.3,4,0.421,24,0.292,7,39.7,29,0.481,14.5,11,33,0.424,14,0.2,1,"November 25, 2017",56.0,14,12.1,4,84.0,100.0,34,0.526,57,0.439,25,0.404,23,0.522,12,1,200,96.0,25.6,10,23,72,,4.0,3,0.456,26,0.385,10,60.3,44,0.53,19.2,16,31,0.484,15,0.8,4,"Pan American Center, Las Cruces, New Mexico",TEXAS-EL-PASO,UTEP,75.2,Home,NEW-MEXICO-STATE,New Mexico State,UTEP,cusa
2017-11-27-21-texas-el-paso,47.8,11,0.0,0,76.5,72.7,32,0.466,59,0.39,23,0.288,17,0.647,11,1,200,97.1,23.5,8,11,66,,5.9,4,0.305,18,0.5,9,51.3,40,0.492,11.9,9,41,0.341,14,0.833,5,"November 27, 2017",47.6,10,12.2,5,97.1,76.5,26,0.389,63,0.333,21,0.095,6,0.5,3,5,200,76.5,27.3,12,15,52,,2.9,2,0.413,26,0.269,7,48.7,38,0.395,18.6,15,37,0.378,14,0.167,1,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,68.5,Away,LAMAR,Lamar,UTEP,cusa
2017-11-30-22-texas-el-paso,30.0,9,0.0,0,76.9,83.3,35,0.607,56,0.536,30,0.321,18,0.667,12,1,200,102.6,33.3,8,20,80,,5.1,4,0.321,18,0.444,8,65.2,43,0.62,24.7,21,38,0.579,22,0.833,5,"November 30, 2017",19.0,4,0.0,0,102.6,66.7,16,0.411,56,0.375,21,0.446,25,0.56,14,6,200,76.9,16.7,7,17,60,,2.6,2,0.411,23,0.174,4,34.8,23,0.442,21.2,18,33,0.515,17,0.143,1,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,78.2,Away,NEW-MEXICO-STATE,New Mexico State,UTEP,cusa
2017-12-02-21-texas-el-paso,52.4,11,0.0,0,112.8,93.1,27,0.473,56,0.375,21,0.625,35,0.657,23,5,200,97.4,23.7,9,25,76,,5.1,4,0.554,31,0.355,11,53.7,36,0.523,16.4,14,25,0.4,10,0.375,3,"December 2, 2017",34.5,10,0.0,0,97.4,76.3,29,0.62,54,0.537,29,0.5,27,0.778,21,6,200,112.8,6.9,2,25,88,,5.1,4,0.444,24,0.375,9,46.3,31,0.658,16.5,13,30,0.667,20,0.25,2,"Don Haskins Center, El Paso, Texas",NEW-MEXICO,New Mexico,77.7,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa
2017-12-09-21-texas-el-paso,68.0,17,0.0,0,116.9,74.2,23,0.554,56,0.446,25,0.179,10,0.7,7,3,200,106.2,27.6,8,17,69,,6.2,4,0.554,31,0.387,12,51.7,31,0.568,16.6,12,25,0.52,13,0.667,6,"December 9, 2017",54.2,13,4.0,1,106.2,72.4,21,0.482,57,0.421,24,0.386,22,0.955,21,6,200,116.9,25.8,8,9,76,,1.5,1,0.491,28,0.25,7,48.3,29,0.563,7.0,5,29,0.586,17,0.333,3,"Don Haskins Center, El Paso, Texas",WASHINGTON-STATE,Washington State,64.6,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa
2017-12-19-21-texas-el-paso,42.9,9,2.4,1,94.7,77.4,24,0.531,48,0.438,21,0.458,22,0.682,15,4,200,86.8,25.0,7,21,66,,7.9,6,0.375,18,0.5,9,52.5,31,0.565,30.2,25,30,0.4,12,0.556,5,"December 19, 2017",17.9,5,6.7,2,86.8,75.0,21,0.556,54,0.519,28,0.426,23,0.522,12,6,200,94.7,22.6,7,18,72,,10.5,8,0.222,12,0.333,4,47.5,28,0.554,21.9,18,42,0.571,24,0.4,4,"Don Haskins Center, El Paso, Texas",INCARNATE-WORD,Incarnate Word,76.2,Home,TEXAS-EL-PASO,UTEP,UTEP,cusa
