,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-texas-pan-american,56.8,21,6.7,4,105.0,66.7,34,0.543,81,0.457,37,0.358,29,0.793,23,0,200,109.9,34.1,14,29,111,,5.0,5,0.407,33,0.424,14,52.2,48,0.586,18.3,21,48,0.479,23,1.0,1,"November 10, 2017",56.4,22,8.3,4,109.9,65.9,27,0.478,89,0.438,39,0.393,35,0.6,21,1,200,105.0,33.3,17,23,106,,9.9,10,0.326,29,0.241,7,47.8,44,0.502,10.3,12,60,0.533,32,0.0,0,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,101.2,Away,NICHOLLS-STATE,Nicholls State,Texas-Rio Grande Valley,wac
2017-11-13-20-texas-pan-american,33.3,7,11.1,4,109.5,65.7,23,0.383,60,0.35,21,0.6,36,0.778,28,1,200,88.1,25.0,10,26,74,,8.3,7,0.333,20,0.2,4,44.0,33,0.48,17.4,16,40,0.425,17,0.5,1,"November 13, 2017",81.5,22,15.0,6,88.1,75.0,30,0.508,64,0.422,27,0.547,35,0.771,27,1,200,109.5,34.3,12,31,92,,8.3,7,0.438,28,0.393,11,56.0,42,0.571,17.6,17,36,0.444,16,0.5,1,"UTRGV Fieldhouse, Edinburg, Texas",BETHUNE-COOKMAN,Bethune-Cookman,84.4,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-11-15-20-texas-am-corpus-christi,57.1,12,8.1,3,96.2,74.2,23,0.481,52,0.404,21,0.75,39,0.821,32,1,225,105.1,20.6,7,29,82,,14.1,11,0.577,30,0.267,8,46.2,30,0.581,18.8,16,22,0.591,13,0.667,2,"November 15, 2017",39.1,9,9.1,2,105.1,79.4,27,0.51,51,0.451,23,0.627,32,0.719,23,2,225,96.2,25.8,8,27,75,,3.8,3,0.275,14,0.429,6,53.8,35,0.566,22.6,19,37,0.459,17,0.333,1,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,69.7,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-11-18-17-texas-state,42.9,9,10.0,4,101.4,56.7,17,0.435,54,0.389,21,0.37,20,0.55,11,2,200,78.4,18.8,6,24,58,,14.9,11,0.315,17,0.294,5,37.1,23,0.457,21.3,17,37,0.432,16,0.5,2,"November 18, 2017",44.0,11,2.7,1,78.4,81.3,26,0.482,55,0.455,25,0.545,30,0.733,22,2,200,101.4,43.3,13,18,75,,8.1,6,0.273,15,0.2,3,62.9,39,0.542,20.9,18,40,0.55,22,0.333,1,"Strahan Coliseum, San Marcos, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.4,Home,TEXAS-STATE,Texas State,Texas-Rio Grande Valley,wac
2017-11-20-20-north-texas,30.4,7,13.9,5,78.8,77.3,34,0.472,54,0.426,23,0.593,32,0.75,24,2,200,93.8,13.3,4,22,75,,13.8,11,0.296,16,0.313,5,51.4,38,0.542,19.0,16,38,0.474,18,0.6,3,"November 20, 2017",26.3,5,5.3,2,93.8,86.7,26,0.35,60,0.317,19,0.517,31,0.677,21,2,200,78.8,22.7,10,25,63,,5.0,4,0.4,24,0.167,4,48.6,36,0.422,16.0,14,36,0.417,15,0.5,2,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,80.0,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-11-22-19-georgia-tech,64.0,16,5.6,2,108.3,63.0,17,0.4,65,0.385,25,0.308,20,0.8,16,3,200,94.4,42.9,15,22,68,,11.1,8,0.277,18,0.111,2,51.6,32,0.456,17.8,16,47,0.489,23,0.5,3,"November 22, 2017",69.2,18,14.9,7,94.4,57.1,20,0.594,48,0.542,26,0.708,34,0.618,21,1,200,108.3,37.0,10,19,78,,11.1,8,0.25,12,0.417,5,48.4,30,0.608,18.2,14,36,0.583,21,0.667,2,"McCamish Pavilion, Atlanta, Georgia",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.8,Home,GEORGIA-TECH,Georgia Tech,Texas-Rio Grande Valley,wac
2017-11-25-20-texas-pan-american,59.1,13,7.9,3,93.8,64.7,22,0.472,54,0.407,22,0.778,42,0.738,31,4,200,101.2,20.0,6,20,82,,17.3,14,0.278,15,0.467,7,43.8,28,0.554,17.1,15,39,0.385,15,0.2,1,"November 25, 2017",55.6,15,15.4,6,101.2,80.0,24,0.492,62,0.435,27,0.323,20,0.75,15,4,200,93.8,35.3,12,28,76,,9.9,8,0.387,24,0.292,7,56.3,36,0.531,22.0,20,38,0.526,20,0.429,3,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,81.2,Away,GRAMBLING,Grambling,Texas-Rio Grande Valley,wac
2017-11-28-20-southern-methodist,69.6,16,14.0,6,139.7,60.7,17,0.527,55,0.418,23,0.2,11,0.545,6,5,200,94.1,20.7,6,23,64,,1.5,1,0.473,26,0.462,12,40.4,23,0.531,20.0,15,29,0.379,11,0.375,3,"November 28, 2017",63.6,21,3.4,1,94.1,79.3,23,0.625,60,0.55,33,0.433,26,0.769,20,2,200,139.7,39.3,11,13,95,,8.8,6,0.283,17,0.529,9,59.6,34,0.657,7.7,6,43,0.558,24,0.75,6,"Moody Coliseum, Dallas, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,68.3,Home,SOUTHERN-METHODIST,SMU,Texas-Rio Grande Valley,wac
2017-11-30-20-texas-am,72.7,16,6.3,2,105.4,69.7,23,0.35,70,0.314,22,0.186,13,0.846,11,6,200,81.1,21.7,10,23,60,,10.8,8,0.386,27,0.185,5,41.8,33,0.394,10.6,9,43,0.395,17,0.333,3,"November 30, 2017",69.2,18,16.3,7,81.1,78.3,36,0.545,55,0.473,26,0.545,30,0.6,18,0,200,105.4,30.3,10,15,78,9,8.1,6,0.418,23,0.348,8,58.2,46,0.563,16.0,13,32,0.563,18,1.0,7,"Reed Arena, College Station, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,73.7,Home,TEXAS-AM,Texas A&M,Texas-Rio Grande Valley,wac
2017-12-02-15-rice,51.9,14,13.3,4,94.4,73.5,25,0.508,61,0.443,27,0.148,9,0.778,7,6,200,97.2,23.5,8,26,69,,5.6,4,0.459,28,0.286,8,48.5,33,0.529,16.7,13,33,0.576,19,0.4,4,"December 2, 2017",52.6,10,0.0,0,97.2,76.5,26,0.442,52,0.365,19,0.596,31,0.677,21,6,200,94.4,26.5,9,13,67,,7.0,5,0.423,22,0.364,8,51.5,35,0.502,16.5,13,30,0.367,11,0.25,2,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,70.5,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-12-06-20-texas-pan-american,51.6,16,7.3,3,110.8,82.8,24,0.578,58,0.534,31,0.293,17,0.647,11,6,200,105.4,25.0,7,18,78,,4.1,3,0.207,12,0.417,5,54.4,31,0.59,17.6,14,46,0.565,26,0.25,2,"December 6, 2017",60.0,18,2.2,1,105.4,75.0,21,0.556,62,0.484,30,0.242,15,0.867,13,6,200,110.8,17.2,5,15,82,,8.1,6,0.339,21,0.429,9,45.6,26,0.593,13.8,11,41,0.512,21,0.455,5,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,74.1,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-12-09-20-texas-pan-american,54.5,12,8.9,4,96.1,84.2,32,0.462,53,0.415,22,0.245,13,0.769,10,8,200,77.6,27.6,8,23,59,,3.9,3,0.245,13,0.385,5,59.7,40,0.499,27.3,22,40,0.425,17,0.333,4,"December 9, 2017",64.0,16,12.5,5,77.6,72.4,21,0.427,62,0.403,25,0.435,27,0.741,20,6,200,96.1,15.8,6,16,73,,15.8,12,0.274,17,0.176,3,40.3,27,0.488,10.9,9,45,0.489,22,0.5,6,"UTRGV Fieldhouse, Edinburg, Texas",CALIFORNIA-IRVINE,UC-Irvine,75.5,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2017-12-16-20-texas-pan-american,70.6,24,8.9,4,77.4,85.4,35,0.521,73,0.466,34,0.288,21,0.476,10,3,200,102.4,32.4,12,20,86,,7.1,6,0.274,20,0.4,8,60.3,47,0.518,14.5,14,53,0.491,26,0.727,8,"December 16, 2017",69.6,16,5.7,3,102.4,67.6,25,0.418,61,0.377,23,0.393,24,0.583,14,7,200,77.4,14.6,6,20,65,,6.0,5,0.262,16,0.313,5,39.7,31,0.449,19.2,17,45,0.4,18,0.462,6,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,84.2,Away,TEXAS-ARLINGTON,Texas-Arlington,Texas-Rio Grande Valley,wac
2017-12-22-13-oklahoma-state,60.0,18,5.3,2,115.9,60.7,17,0.451,71,0.423,30,0.324,23,0.826,19,8,200,94.3,36.8,14,25,83,,13.6,12,0.254,18,0.222,4,47.0,31,0.507,19.0,19,53,0.491,26,0.429,6,"December 22, 2017",68.8,22,11.3,6,94.3,63.2,24,0.553,66,0.485,32,0.515,34,0.853,29,2,200,115.9,39.3,11,19,102,,13.6,12,0.424,28,0.321,9,53.0,35,0.621,18.2,18,38,0.605,23,0.833,10,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,88.0,Home,OKLAHOMA-STATE,Oklahoma State,Texas-Rio Grande Valley,wac
2017-12-30-20-texas-pan-american,60.0,15,10.0,5,95.2,69.4,34,0.398,64,0.391,25,0.328,21,0.857,18,10,200,82.1,13.9,5,24,69,,8.3,7,0.188,12,0.083,1,45.9,39,0.466,17.9,16,52,0.462,24,0.333,5,"December 30, 2017",76.9,20,13.5,7,82.1,86.1,31,0.417,72,0.361,26,0.389,28,0.714,20,8,200,95.2,30.6,15,15,80,,10.7,9,0.306,22,0.364,8,54.1,46,0.469,12.5,12,50,0.36,18,0.467,7,"UTRGV Fieldhouse, Edinburg, Texas",HAMPTON,Hampton,83.6,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2018-01-02-20-texas-pan-american,68.0,17,5.7,2,111.6,75.0,24,0.44,67,0.373,25,0.418,28,0.571,16,0,200,87.2,9.5,4,20,75,,5.8,5,0.478,32,0.281,9,37.8,28,0.467,12.2,11,35,0.457,16,0.0,0,"January 2, 2018",78.8,26,11.4,4,87.2,90.5,38,0.56,67,0.493,33,0.418,28,0.75,21,8,200,111.6,25.0,8,24,96,,8.1,7,0.478,32,0.281,9,62.2,46,0.598,14.1,13,35,0.686,24,0.5,8,"UTRGV Fieldhouse, Edinburg, Texas","Our Lady of the Lake
			","Our Lady of the Lake
			",86.3,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2018-01-06-20-missouri-kansas-city,47.6,10,12.1,4,75.3,89.2,33,0.426,61,0.344,21,0.426,26,0.808,21,8,200,90.1,25.7,9,27,73,,6.2,5,0.311,19,0.526,10,58.3,42,0.498,19.9,18,42,0.262,11,0.529,9,"January 6, 2018",50.0,10,11.9,5,90.1,74.3,26,0.435,54,0.37,20,0.519,28,0.5,14,12,200,75.3,10.8,4,22,61,,7.4,6,0.389,21,0.333,7,41.7,30,0.453,19.4,16,33,0.394,13,0.294,5,"Municipal Auditorium, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,80.8,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2018-01-11-22-cal-state-bakersfield,46.4,13,2.3,1,105.7,50.0,16,0.613,53,0.528,28,0.547,29,0.759,22,8,200,124.3,26.9,7,22,87,,12.9,9,0.396,21,0.429,9,39.7,23,0.651,9.6,7,32,0.594,19,0.556,10,"January 11, 2018",37.5,9,6.3,2,124.3,73.1,19,0.44,58,0.414,24,0.534,31,0.742,23,10,200,105.7,50.0,16,23,74,,7.1,5,0.259,15,0.2,3,60.3,35,0.509,18.3,16,43,0.488,21,0.412,7,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,69.8,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
2018-01-13-21-grand-canyon,42.1,8,5.9,2,110.5,59.4,19,0.368,57,0.333,19,0.632,36,0.806,29,9,200,93.4,25.0,9,28,71,,6.6,5,0.263,15,0.267,4,41.2,28,0.479,12.1,10,42,0.357,15,0.526,10,"January 13, 2018",64.0,16,11.9,5,93.4,75.0,27,0.518,55,0.455,25,0.618,34,0.794,27,6,200,110.5,40.6,13,28,84,,7.9,6,0.382,21,0.333,7,58.8,40,0.59,20.5,18,34,0.529,18,0.667,12,"Grand Canyon University Arena, Phoenix, Arizona",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,75.6,Home,GRAND-CANYON,Grand Canyon,Texas-Rio Grande Valley,wac
2018-01-18-20-texas-pan-american,70.0,21,8.0,4,97.4,71.4,30,0.556,63,0.476,30,0.333,21,0.667,14,5,200,107.7,25.8,8,16,84,,9.0,7,0.413,26,0.385,10,52.1,38,0.576,16.2,14,37,0.541,20,0.75,15,"January 18, 2018",71.4,20,10.8,4,107.7,74.2,23,0.437,71,0.394,28,0.268,19,0.737,14,10,200,97.4,28.6,12,19,76,,9.0,7,0.296,21,0.286,6,47.9,35,0.475,10.2,9,50,0.44,22,0.5,10,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,78.0,Away,UTAH-VALLEY,Utah Valley,Texas-Rio Grande Valley,wac
2018-01-20-20-texas-pan-american,53.6,15,10.7,6,92.7,72.9,35,0.559,59,0.475,28,0.322,19,0.684,13,8,225,96.3,18.2,6,23,79,,6.1,5,0.39,23,0.435,10,50.6,41,0.581,20.2,17,36,0.5,18,0.636,14,"January 20, 2018",55.6,15,8.3,3,96.3,81.8,27,0.39,77,0.351,27,0.312,24,0.667,16,11,225,92.7,27.1,13,17,76,,11.0,9,0.273,21,0.286,6,49.4,40,0.43,10.3,10,56,0.375,21,0.476,10,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,73.1,Away,SEATTLE,Seattle,Texas-Rio Grande Valley,wac
2018-01-27-15-chicago-state,67.7,21,2.2,1,102.5,75.9,22,0.541,61,0.508,31,0.492,30,0.7,21,11,200,110.1,39.3,11,22,87,,15.2,12,0.197,12,0.333,4,57.9,33,0.578,17.7,16,49,0.551,27,0.5,11,"January 27, 2018",46.4,13,8.2,4,110.1,60.7,17,0.526,58,0.483,28,0.448,26,0.769,20,21,200,102.5,24.1,7,21,81,,10.1,8,0.224,13,0.385,5,42.1,24,0.576,17.8,15,45,0.511,23,0.087,2,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,79.3,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac
