,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-texas-tech,42.9,6,5.6,2,100.0,65.5,19,0.38,46,0.304,14,0.652,30,0.5,15,1,200,66.7,22.9,8,22,50,,12.0,9,0.435,20,0.35,7,42.2,27,0.415,28.8,24,26,0.269,7,0.0,0,"November 10, 2017",55.6,15,11.5,3,66.7,77.1,27,0.527,56,0.482,27,0.393,22,0.727,16,0,200,100.0,34.5,10,19,75,,14.7,11,0.357,20,0.25,5,57.8,37,0.564,21.5,18,36,0.611,22,1.0,1,"United Supermarkets Arena, Lubbock, Texas",SOUTH-ALABAMA,South Alabama,75.4,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-14-20-texas-tech,64.3,9,5.1,2,113.7,75.0,18,0.272,57,0.246,14,0.263,15,0.867,13,2,200,60.3,16.7,6,18,44,,8.2,6,0.368,21,0.143,3,40.0,24,0.343,20.1,16,36,0.306,11,0.0,0,"November 14, 2017",65.5,19,22.2,8,60.3,83.3,30,0.596,57,0.509,29,0.333,19,0.789,15,0,200,113.7,25.0,6,14,83,,13.7,10,0.316,18,0.556,10,60.0,36,0.629,14.4,11,39,0.487,19,1.0,2,"United Supermarkets Arena, Lubbock, Texas",MAINE,Maine,72.6,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-18-12-boston-college,29.6,8,17.6,6,88.9,70.4,19,0.475,61,0.443,27,0.393,24,0.708,17,0,200,104.2,32.4,11,21,75,,8.3,6,0.262,16,0.25,4,49.2,30,0.518,12.3,10,45,0.511,23,1.0,3,"November 18, 2017",39.1,9,8.9,4,104.2,67.6,23,0.462,53,0.434,23,0.415,22,0.682,15,1,200,88.9,29.6,8,22,64,,2.8,2,0.358,19,0.158,3,50.8,31,0.504,22.3,18,34,0.588,20,0.75,3,"Mohegan Sun Arena, Uncasville, Connecticut",BOSTON-COLLEGE,Boston College,72.4,Away,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-19-17-northwestern,48.3,14,13.6,3,72.1,82.4,28,0.708,48,0.604,29,0.438,21,0.81,17,0,200,125.0,31.6,6,24,85,,16.2,11,0.396,19,0.526,10,64.2,34,0.733,20.8,15,29,0.655,19,1.0,4,"November 19, 2017",50.0,6,0.0,0,125.0,68.4,13,0.333,45,0.267,12,0.6,27,0.704,19,2,200,72.1,17.6,6,18,49,20,7.4,5,0.511,23,0.261,6,35.8,19,0.424,23.0,17,22,0.273,6,0.6,3,"Mohegan Sun Arena, Uncasville, Connecticut",NORTHWESTERN,Northwestern,67.9,Away,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-22-18-texas-tech,33.3,7,5.4,2,105.3,76.9,20,0.435,54,0.389,21,0.222,12,0.75,9,3,200,74.7,24.1,7,26,56,,5.3,4,0.37,20,0.25,5,49.1,27,0.469,26.2,21,34,0.471,16,0.5,3,"November 22, 2017",63.0,17,8.8,3,74.7,75.9,22,0.535,57,0.474,27,0.456,26,0.692,18,0,200,105.3,23.1,6,11,79,,16.0,12,0.351,20,0.35,7,50.9,28,0.57,16.0,13,37,0.541,20,1.0,5,"United Supermarkets Arena, Lubbock, Texas",WOFFORD,Wofford,75.0,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-25-15-texas-tech,47.8,11,4.1,2,128.8,46.9,15,0.438,64,0.359,23,0.297,19,0.684,13,5,200,86.3,22.2,8,19,69,,6.3,5,0.641,41,0.244,10,33.8,23,0.472,18.1,16,23,0.565,13,0.286,2,"November 25, 2017",79.5,31,21.7,5,86.3,77.8,28,0.581,74,0.527,39,0.284,21,0.81,17,0,200,128.8,53.1,17,14,103,,12.5,10,0.338,25,0.32,8,66.2,45,0.613,11.7,11,49,0.633,31,1.0,6,"United Supermarkets Arena, Lubbock, Texas",SAVANNAH-STATE,Savannah State,79.5,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-11-30-18-texas-tech,60.0,18,8.9,4,108.2,64.3,18,0.602,59,0.508,30,0.441,26,0.692,18,1,200,121.9,36.4,12,18,89,,9.6,7,0.339,20,0.55,11,49.2,30,0.624,15.6,13,39,0.487,19,0.857,6,"November 30, 2017",50.0,15,10.3,4,121.9,63.6,21,0.524,63,0.476,30,0.254,16,0.813,13,1,200,108.2,35.7,10,22,79,22,8.2,6,0.286,18,0.333,6,50.8,31,0.559,16.7,14,45,0.533,24,0.857,6,"Madison Square Garden (IV), New York, New York",TEXAS-TECH,Texas Tech,73.5,Away,SETON-HALL,Seton Hall,Texas Tech,big-12
2017-12-05-20-texas-tech,52.0,13,4.3,2,98.8,75.0,27,0.525,59,0.424,25,0.288,17,0.824,14,1,225,91.6,13.8,4,27,76,22,9.6,8,0.508,30,0.4,12,47.7,31,0.567,23.1,20,29,0.448,13,0.889,8,"December 5, 2017",30.8,8,17.2,5,91.6,86.2,25,0.452,62,0.419,26,0.613,38,0.684,26,1,225,98.8,25.0,9,14,82,,12.0,10,0.258,16,0.25,4,52.3,34,0.512,13.2,12,46,0.478,22,0.875,7,"United Supermarkets Arena, Lubbock, Texas",NEVADA,Nevada,73.8,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-12-13-21-texas-tech,64.3,9,4.3,2,117.1,48.5,16,0.359,46,0.304,14,0.609,28,0.714,20,8,200,75.7,14.3,4,22,53,,10.0,7,0.348,16,0.313,5,32.8,20,0.447,20.5,15,30,0.3,9,0.111,1,"December 13, 2017",56.3,18,13.3,4,75.7,85.7,24,0.565,62,0.516,32,0.339,21,0.571,12,1,200,117.1,51.5,17,20,82,24,10.0,7,0.258,16,0.375,6,67.2,41,0.57,16.4,14,46,0.565,26,0.889,8,"United Supermarkets Arena, Lubbock, Texas",KENNESAW-STATE,Kennesaw State,69.6,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2017-12-16-20-texas-tech,58.8,10,6.4,3,102.8,69.7,23,0.5,44,0.386,17,0.341,15,0.6,9,8,200,74.6,25.9,7,20,53,,7.0,5,0.568,25,0.4,10,50.0,30,0.518,33.1,25,19,0.368,7,0.273,3,"December 16, 2017",74.2,23,36.8,7,74.6,74.1,20,0.524,63,0.492,31,0.333,21,0.333,7,1,200,102.8,30.3,10,20,73,24,21.1,15,0.254,16,0.25,4,50.0,30,0.5,11.1,9,47,0.574,27,0.9,9,"United Supermarkets Arena, Lubbock, Texas",RICE,Rice,70.6,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
