,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-20-texas,28.6,6,2.4,1,138.2,58.7,27,0.429,56,0.375,21,0.268,15,0.733,11,1,200,77.6,15.6,5,24,59,,2.6,2,0.286,16,0.375,6,41.0,32,0.467,22.3,18,40,0.375,15,0.0,0,"November 10, 2017",62.2,23,20.0,8,77.6,84.4,27,0.56,75,0.493,37,0.44,33,0.636,21,0,200,138.2,41.3,19,19,105,,14.5,11,0.44,33,0.303,10,59.0,46,0.579,5.3,5,42,0.643,27,1.0,1,"Frank Erwin Center, Austin, Texas",NORTHWESTERN-STATE,Northwestern State,76.4,Home,TEXAS,Texas,Texas,big-12
2017-11-14-20-texas,57.9,11,5.4,2,106.8,75.8,25,0.383,60,0.317,19,0.283,17,0.824,14,1,200,82.2,20.0,8,21,60,,2.7,2,0.483,29,0.276,8,45.2,33,0.441,17.2,14,31,0.355,11,0.5,1,"November 14, 2017",24.1,7,16.1,5,82.2,80.0,32,0.533,61,0.475,29,0.344,21,0.619,13,0,200,106.8,24.2,8,19,78,,9.6,7,0.393,24,0.292,7,54.8,40,0.549,11.4,9,37,0.595,22,1.0,2,"Frank Erwin Center, Austin, Texas",NEW-HAMPSHIRE,New Hampshire,73.0,Home,TEXAS,Texas,Texas,big-12
2017-11-18-17-texas,17.6,3,0.0,0,102.6,77.4,24,0.31,58,0.293,17,0.448,26,0.808,21,2,200,73.1,25.0,9,27,57,,5.1,4,0.397,23,0.087,2,49.3,33,0.405,18.7,16,35,0.429,15,0.5,2,"November 18, 2017",20.7,6,22.9,8,73.1,75.0,27,0.535,57,0.509,29,0.579,33,0.576,19,0,200,102.6,22.6,7,21,80,,6.4,5,0.281,16,0.188,3,50.7,34,0.55,14.4,12,41,0.634,26,1.0,3,"Frank Erwin Center, Austin, Texas",LIPSCOMB,Lipscomb,77.5,Home,TEXAS,Texas,Texas,big-12
2017-11-23-19-texas,36.8,7,5.9,2,95.3,66.7,20,0.379,58,0.328,19,0.086,5,0.8,4,2,200,75.0,18.2,6,13,48,,10.9,7,0.379,22,0.273,6,41.3,26,0.398,15.4,11,36,0.361,13,0.6,3,"November 23, 2017",63.6,14,16.7,6,75.0,81.8,27,0.464,55,0.4,22,0.218,12,0.833,10,0,200,95.3,33.3,10,12,61,,9.4,6,0.382,21,0.333,7,58.7,37,0.502,15.4,11,34,0.441,15,1.0,4,"Memorial Coliseum, Portland, Oregon",BUTLER,Butler,63.5,Home,TEXAS,Texas,Texas,big-12
2017-11-24-17-texas,70.0,21,6.4,3,95.1,76.2,32,0.47,67,0.448,30,0.537,36,0.611,22,0,225,103.7,37.8,14,20,85,1,9.8,8,0.269,18,0.167,3,58.2,46,0.505,13.6,13,49,0.551,27,1.0,7,"November 24, 2017",46.7,14,6.1,3,103.7,62.2,23,0.457,70,0.429,30,0.3,21,0.667,14,1,225,95.1,23.8,10,26,78,,4.9,4,0.329,23,0.174,4,41.8,33,0.488,11.2,10,47,0.553,26,0.8,4,"Moda Center, Portland, Oregon",TEXAS,Texas,72.5,Away,DUKE,Duke,Texas,big-12
2017-11-26-13-gonzaga,50.0,13,20.0,6,92.7,79.3,23,0.448,67,0.388,26,0.224,15,0.733,11,2,225,86.6,31.7,13,19,71,,12.2,10,0.328,22,0.364,8,51.4,36,0.479,21.4,20,45,0.4,18,0.667,4,"November 26, 2017",65.4,17,4.4,2,86.6,68.3,28,0.553,57,0.456,26,0.368,21,0.619,13,1,225,92.7,20.7,6,15,76,17,11.0,9,0.474,27,0.407,11,48.6,34,0.567,24.9,22,30,0.5,15,0.833,5,"Moda Center, Portland, Oregon",TEXAS,Texas,72.9,Home,GONZAGA,Gonzaga,Texas,big-12
2017-11-29-20-texas,42.9,9,0.0,0,124.2,54.5,18,0.471,52,0.404,21,0.288,15,0.6,9,8,200,87.9,30.0,9,20,58,,4.5,3,0.327,17,0.412,7,42.9,27,0.49,21.4,16,35,0.4,14,0.111,1,"November 29, 2017",32.4,11,20.0,7,87.9,70.0,21,0.61,59,0.576,34,0.39,23,0.435,10,2,200,124.2,45.5,15,16,82,,10.6,7,0.322,19,0.211,4,57.1,36,0.586,13.7,11,40,0.75,30,0.714,5,"Frank Erwin Center, Austin, Texas",FLORIDA-AM,Florida A&M,66.0,Home,TEXAS,Texas,Texas,big-12
2017-12-05-19-virginia-commonwealth,53.8,14,17.1,6,101.5,63.6,21,0.578,51,0.51,26,0.431,22,0.545,12,2,200,107.6,28.1,9,16,71,,7.6,5,0.314,16,0.438,7,46.2,30,0.578,15.3,11,35,0.543,19,0.75,6,"December 5, 2017",54.2,13,0.0,0,107.6,71.9,23,0.458,60,0.4,24,0.3,18,0.667,12,4,200,101.5,36.4,12,21,67,,6.1,4,0.417,25,0.28,7,53.8,35,0.489,13.9,11,35,0.486,17,0.556,5,"Stuart Siegel Center, Richmond, Virginia",VIRGINIA-COMMONWEALTH,VCU,65.5,Away,TEXAS,Texas,Texas,big-12
2017-12-12-21-texas,40.9,9,9.4,3,82.5,87.9,29,0.455,55,0.4,22,0.218,12,0.75,9,3,200,93.7,28.1,9,17,59,,4.8,3,0.345,19,0.316,6,58.5,38,0.486,14.2,10,36,0.444,16,0.75,9,"December 12, 2017",31.6,6,11.1,4,93.7,71.9,23,0.413,52,0.365,19,0.288,15,0.6,9,3,200,82.5,12.1,4,17,52,,7.9,5,0.385,20,0.25,5,41.5,27,0.44,14.6,10,32,0.438,14,0.667,6,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,63.4,Away,MICHIGAN,Michigan,Texas,big-12
2017-12-16-14-texas,28.6,6,8.6,3,94.9,86.2,25,0.387,62,0.339,21,0.29,18,0.667,12,4,200,75.9,15.0,6,28,60,,8.9,7,0.403,25,0.24,6,44.9,31,0.425,17.7,15,37,0.405,15,0.636,7,"December 16, 2017",58.3,14,18.9,7,75.9,85.0,34,0.551,49,0.49,24,0.694,34,0.618,21,3,200,94.9,13.8,4,17,75,,5.1,4,0.286,14,0.429,6,55.1,38,0.576,21.0,17,35,0.514,18,0.7,7,"Frank Erwin Center, Austin, Texas",LOUISIANA-TECH,Louisiana Tech,78.9,Home,TEXAS,Texas,Texas,big-12
