,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-21-brigham-young,45.8,11,0.0,0,135.8,61.5,16,0.422,64,0.375,24,0.156,10,0.7,7,1,200,91.0,20.0,7,19,61,,4.5,3,0.266,17,0.353,6,37.7,23,0.444,8.1,6,47,0.383,18,0.0,0,"November 11, 2017",60.6,20,23.4,11,91.0,80.0,28,0.696,56,0.589,33,0.393,22,0.591,13,0,200,135.8,38.5,10,16,91,,4.5,3,0.464,26,0.462,12,62.3,38,0.685,12.1,9,30,0.7,21,1.0,1,"Marriott Center, Provo, Utah",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,66.6,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-11-15-19-princeton,35.3,6,14.7,5,84.8,68.8,22,0.513,39,0.436,17,0.692,27,0.926,25,0,200,98.5,5.3,1,19,65,,12.1,8,0.41,16,0.375,6,45.1,23,0.627,22.8,15,23,0.478,11,1.0,2,"November 15, 2017",55.0,11,4.3,1,98.5,94.7,18,0.443,53,0.377,20,0.226,12,0.75,9,2,200,84.8,31.3,10,18,56,,10.6,7,0.358,19,0.368,7,54.9,28,0.477,23.6,18,34,0.382,13,0.0,0,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,66.3,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-11-18-21-brigham-young,51.5,17,12.9,4,101.4,69.7,23,0.639,61,0.541,33,0.246,15,0.733,11,0,200,120.3,16.7,4,18,89,,12.2,9,0.328,20,0.6,12,47.4,27,0.653,12.9,10,41,0.512,21,1.0,2,"November 18, 2017",64.0,16,12.2,5,120.3,83.3,20,0.483,58,0.431,25,0.379,22,0.864,19,1,200,101.4,30.3,10,14,75,,8.1,6,0.466,27,0.222,6,52.6,30,0.548,18.1,15,31,0.613,19,0.667,2,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,73.8,Away,TEXAS-ARLINGTON,Texas-Arlington,Brigham Young,wcc
2017-11-21-21-brigham-young,43.3,13,11.4,5,117.3,79.3,23,0.53,66,0.455,30,0.379,25,0.72,18,3,200,108.6,24.3,9,26,88,,8.6,7,0.455,30,0.333,10,48.5,32,0.565,12.5,11,36,0.556,20,0.25,1,"November 21, 2017",46.7,14,8.3,3,108.6,75.7,28,0.598,56,0.536,30,0.661,37,0.757,28,1,200,117.3,20.7,6,19,95,,4.9,4,0.214,12,0.583,7,51.5,34,0.646,16.2,14,44,0.523,23,0.75,3,"Marriott Center, Provo, Utah",NIAGARA,Niagara,80.7,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-11-24-14-alabama,68.2,15,7.1,3,106.0,71.4,20,0.407,59,0.373,22,0.356,21,0.524,11,2,200,88.1,30.3,10,21,59,,4.5,3,0.288,17,0.235,4,49.2,30,0.428,13.9,11,42,0.429,18,0.6,3,"November 24, 2017",44.4,12,14.3,6,88.1,69.7,23,0.536,55,0.491,27,0.291,16,0.75,12,0,200,106.0,28.6,8,19,71,25,9.0,6,0.236,13,0.385,5,50.8,31,0.567,12.7,9,42,0.524,22,1.0,5,"Steinberg Wellness Center, Brooklyn, New York",BRIGHAM-YOUNG,BYU,66.8,Home,ALABAMA,Alabama,Brigham Young,wcc
2017-11-25-14-massachusetts,70.8,17,15.8,6,91.7,84.6,22,0.394,66,0.364,24,0.303,20,0.8,16,2,200,94.4,35.1,13,19,68,,13.9,10,0.273,18,0.222,4,55.6,35,0.45,11.8,10,48,0.417,20,0.667,4,"November 25, 2017",65.2,15,16.7,8,94.4,64.9,24,0.49,52,0.442,23,0.385,20,0.75,15,3,200,91.7,15.4,4,18,66,,5.6,4,0.269,14,0.357,5,44.4,28,0.537,18.7,14,38,0.474,18,0.5,3,"Barclays Center, Brooklyn, New York",MASSACHUSETTS,UMass,72.0,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-11-29-21-utah-valley,83.3,25,15.8,6,84.1,80.0,24,0.643,56,0.536,30,0.286,16,0.813,13,2,200,123.2,34.6,9,22,85,,11.6,8,0.464,26,0.462,12,58.9,33,0.668,19.2,15,30,0.6,18,0.714,5,"November 29, 2017",30.0,6,6.7,2,123.2,65.4,17,0.446,46,0.435,20,0.587,27,0.63,17,3,200,84.1,20.0,6,13,58,,10.1,7,0.174,8,0.125,1,41.1,23,0.493,21.7,16,38,0.5,19,0.571,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,69.2,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-12-02-21-utah-state,47.8,11,13.3,4,90.4,76.9,30,0.49,52,0.442,23,0.538,28,0.857,24,2,200,102.7,13.8,4,22,75,,5.5,4,0.346,18,0.278,5,50.0,34,0.574,16.8,13,34,0.529,18,0.75,6,"December 2, 2017",41.7,10,5.9,2,102.7,86.2,25,0.509,55,0.436,24,0.418,23,0.435,10,5,200,90.4,23.1,9,27,66,,8.2,6,0.455,25,0.32,8,50.0,34,0.501,18.7,15,30,0.533,16,0.444,4,"Dee Glen Smith Spectrum, Logan, Utah",UTAH-STATE,Utah State,73.1,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-12-06-21-brigham-young,51.9,14,2.9,1,111.1,85.2,23,0.5,61,0.443,27,0.148,9,0.778,7,5,200,94.4,18.2,6,17,68,,5.6,4,0.393,24,0.292,7,48.3,29,0.521,16.7,13,37,0.541,20,0.444,4,"December 6, 2017",71.0,22,5.4,2,94.4,81.8,27,0.595,58,0.534,31,0.293,17,0.647,11,2,200,111.1,14.8,4,13,80,,9.7,7,0.414,24,0.292,7,51.7,31,0.605,12.1,9,34,0.706,24,0.778,7,"Marriott Center, Provo, Utah",ILLINOIS-STATE,Illinois State,71.7,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
2017-12-09-22-weber-state,52.0,13,6.7,2,100.0,85.2,23,0.638,47,0.532,25,0.426,20,0.7,14,2,200,108.8,8.3,2,11,74,,10.3,7,0.404,19,0.526,10,49.0,25,0.655,20.1,14,28,0.536,15,0.8,8,"December 9, 2017",50.0,13,3.6,1,108.8,91.7,22,0.537,54,0.481,26,0.222,12,0.833,10,5,200,100.0,14.8,4,17,68,,13.2,9,0.444,24,0.25,6,51.0,26,0.57,16.8,12,30,0.667,20,0.444,4,"Vivint Smart Home Arena, Salt Lake City, Utah",WEBER-STATE,Weber State,68.1,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc
