,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-23-ucla,60.0,12,12.5,5,94.0,69.7,23,0.379,58,0.345,20,0.345,20,0.8,16,1,200,89.6,35.5,11,20,60,,10.4,7,0.31,18,0.222,4,53.1,34,0.444,11.9,9,40,0.4,16,0.0,0,"November 10, 2017",50.0,11,15.0,6,89.6,64.5,20,0.454,54,0.407,22,0.389,21,0.667,14,0,200,94.0,30.3,10,17,63,21,9.0,6,0.259,14,0.357,5,46.9,30,0.492,18.1,14,40,0.425,17,1.0,1,"Mercedes-Benz Arena, Shanghai",GEORGIA-TECH,Georgia Tech,66.7,Home,UCLA,UCLA,UCLA,pac-12
2017-11-15-23-ucla,55.3,21,3.4,2,112.8,65.2,30,0.595,79,0.481,38,0.165,13,0.538,7,2,225,107.4,21.4,9,25,101,,8.5,8,0.443,35,0.514,18,44.3,39,0.593,17.5,18,44,0.455,20,0.333,1,"November 15, 2017",50.0,19,11.4,5,107.4,78.6,33,0.544,79,0.481,38,0.405,32,0.625,20,0,225,112.8,34.8,16,14,106,23,12.8,12,0.253,20,0.5,10,55.7,49,0.563,14.7,16,59,0.475,28,1.0,2,"Pauley Pavilion, Los Angeles, California",CENTRAL-ARKANSAS,Central Arkansas,83.7,Home,UCLA,UCLA,UCLA,pac-12
2017-11-17-21-ucla,39.3,11,5.0,2,129.7,50.0,18,0.451,71,0.394,28,0.085,6,0.667,4,4,200,91.9,23.1,9,19,68,,9.5,7,0.268,19,0.421,8,36.0,27,0.46,12.0,10,52,0.385,20,0.0,0,"November 17, 2017",54.1,20,15.4,8,91.9,76.9,30,0.627,67,0.552,37,0.358,24,0.5,12,0,200,129.7,50.0,18,15,96,23,8.1,6,0.403,27,0.37,10,64.0,48,0.612,13.4,12,40,0.675,27,1.0,3,"Pauley Pavilion, Los Angeles, California",SOUTH-CAROLINA-STATE,South Carolina State,73.6,Home,UCLA,UCLA,UCLA,pac-12
2017-11-20-19-creighton,56.7,17,13.2,5,117.6,82.9,29,0.485,68,0.441,30,0.456,31,0.742,23,1,200,104.7,12.2,5,24,89,24,7.1,6,0.338,23,0.261,6,44.7,34,0.538,7.9,7,45,0.533,24,0.75,3,"November 20, 2017",42.4,14,2.2,1,104.7,87.8,36,0.575,67,0.493,33,0.522,35,0.657,23,0,200,117.6,17.1,6,21,100,,3.5,3,0.433,29,0.379,11,55.3,42,0.598,8.8,8,38,0.579,22,1.0,4,"Sprint Center, Kansas City, Missouri",UCLA,UCLA,85.2,Home,CREIGHTON,Creighton,UCLA,pac-12
2017-11-21-19-ucla,36.0,9,3.0,1,102.9,79.2,19,0.529,52,0.481,25,0.423,22,0.682,15,3,200,100.0,16.7,4,18,70,,10.0,7,0.423,22,0.227,5,47.9,23,0.56,16.3,12,30,0.667,20,0.4,2,"November 21, 2017",48.1,13,6.7,2,100.0,83.3,20,0.63,50,0.54,27,0.26,13,0.692,9,1,200,102.9,20.8,5,21,72,24,10.0,7,0.34,17,0.529,9,52.1,25,0.641,25.4,19,33,0.545,18,0.8,4,"Sprint Center, Kansas City, Missouri",WISCONSIN,Wisconsin,70.3,Home,UCLA,UCLA,UCLA,pac-12
2017-11-26-18-ucla,63.6,14,8.3,4,113.0,68.4,26,0.422,64,0.344,22,0.219,14,0.643,9,5,200,81.8,22.7,10,27,63,,5.2,4,0.375,24,0.417,10,43.9,36,0.446,17.6,15,40,0.3,12,0.375,3,"November 26, 2017",42.9,12,12.5,5,81.8,77.3,34,0.469,65,0.431,28,0.615,40,0.65,26,1,200,113.0,31.6,12,13,87,24,11.7,9,0.262,17,0.294,5,56.1,46,0.518,7.8,7,48,0.479,23,0.833,5,"Pauley Pavilion, Los Angeles, California",CALIFORNIA-IRVINE,UC-Irvine,77.3,Home,UCLA,UCLA,UCLA,pac-12
2017-11-29-22-ucla,55.0,11,0.0,0,101.4,66.7,22,0.373,67,0.299,20,0.299,20,0.8,16,4,200,89.2,29.5,13,25,66,,8.1,6,0.493,33,0.303,10,45.5,35,0.431,11.7,10,34,0.294,10,0.5,4,"November 29, 2017",55.6,15,11.8,4,89.2,70.5,31,0.475,59,0.458,27,0.475,28,0.679,19,1,200,101.4,33.3,11,19,75,,6.8,5,0.288,17,0.118,2,54.5,42,0.519,16.4,14,42,0.595,25,0.857,6,"Pauley Pavilion, Los Angeles, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,74.4,Home,UCLA,UCLA,UCLA,pac-12
2017-12-03-21-ucla,35.7,10,2.1,1,134.2,62.9,22,0.5,65,0.431,28,0.215,14,0.571,8,4,200,92.4,13.5,5,20,73,,2.5,2,0.415,27,0.333,9,37.5,27,0.509,14.4,12,38,0.5,19,0.5,4,"December 3, 2017",52.6,20,10.5,4,92.4,86.5,32,0.604,72,0.528,38,0.333,24,0.792,19,1,200,134.2,37.1,13,14,106,,8.9,7,0.347,25,0.44,11,62.5,45,0.635,8.8,8,47,0.574,27,0.875,7,"Pauley Pavilion, Los Angeles, California",DETROIT-MERCY,Detroit,78.5,Home,UCLA,UCLA,UCLA,pac-12
2017-12-09-12-michigan,52.0,13,8.6,3,97.5,86.5,32,0.474,57,0.439,25,0.368,21,0.714,15,2,225,86.3,24.1,7,19,69,,2.5,2,0.316,18,0.222,4,59.1,39,0.515,23.2,20,39,0.538,21,0.778,7,"December 9, 2017",50.0,15,0.0,0,86.3,75.9,22,0.547,64,0.469,30,0.344,22,0.364,8,3,225,97.5,13.5,5,18,78,,15.0,12,0.453,29,0.345,10,40.9,27,0.524,13.0,11,35,0.571,20,0.727,8,"Crisler Arena, Ann Arbor, Michigan",UCLA,UCLA,71.3,Home,MICHIGAN,Michigan,UCLA,pac-12
2017-12-16-15-ucla,63.0,17,18.5,5,91.3,73.5,25,0.534,58,0.466,27,0.397,23,0.652,15,2,200,111.6,28.1,9,16,77,25,17.4,12,0.293,17,0.471,8,51.5,34,0.559,10.5,8,41,0.463,19,0.818,9,"December 16, 2017",47.8,11,9.8,4,111.6,71.9,23,0.509,56,0.411,23,0.161,9,0.667,6,3,200,91.3,26.5,9,21,63,,2.9,2,0.518,29,0.379,11,48.5,32,0.523,23.1,18,27,0.444,12,0.7,7,"Pauley Pavilion, Los Angeles, California",UCLA,UCLA,68.6,Away,CINCINNATI,Cincinnati,UCLA,pac-12
