,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-kentucky,52.2,12,15.7,8,100.0,57.1,20,0.455,56,0.411,23,0.321,18,0.667,12,1,200,86.3,35.5,11,20,63,,11.0,8,0.321,18,0.278,5,47.0,31,0.488,21.0,17,38,0.474,18,0.0,0,"November 10, 2017",65.4,17,21.1,8,86.3,64.5,20,0.432,66,0.394,26,0.348,23,0.696,16,0,200,100.0,42.9,15,18,73,5,15.1,11,0.227,15,0.333,5,53.0,35,0.474,14.6,13,51,0.412,21,1.0,1,"Rupp Arena, Lexington, Kentucky",UTAH-VALLEY,Utah Valley,72.7,Home,KENTUCKY,Kentucky,Utah Valley,wac
2017-11-11-19-duke,52.0,13,0.0,0,123.8,61.8,21,0.418,67,0.373,25,0.239,16,0.813,13,2,200,86.3,30.8,12,15,69,,6.3,5,0.373,25,0.24,6,45.2,33,0.462,20.4,19,42,0.452,19,0.0,0,"November 11, 2017",66.7,26,16.7,7,86.3,69.2,27,0.603,73,0.534,39,0.233,17,0.647,11,0,200,123.8,38.2,13,16,99,1,17.5,14,0.315,23,0.435,10,54.8,40,0.611,12.0,11,50,0.58,29,1.0,2,"Cameron Indoor Stadium, Durham, North Carolina",UTAH-VALLEY,Utah Valley,80.3,Home,DUKE,Duke,Utah Valley,wac
2017-11-14-21-idaho-state,32.4,11,2.4,1,97.3,88.5,23,0.577,65,0.523,34,0.185,12,0.75,9,2,200,115.1,32.1,9,14,84,,8.2,6,0.262,17,0.412,7,59.3,32,0.594,14.6,12,48,0.563,27,0.333,1,"November 14, 2017",25.0,7,6.3,3,115.1,67.9,19,0.534,58,0.483,28,0.224,13,0.692,9,2,200,97.3,11.5,3,13,71,,13.7,10,0.276,16,0.375,6,40.7,22,0.553,14.7,11,42,0.524,22,0.0,0,"Holt Arena, Pocatello, Idaho",IDAHO-STATE,Idaho State,72.9,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-11-18-17-utah-valley,57.7,15,2.7,1,115.9,63.0,17,0.527,55,0.473,26,0.291,16,0.813,13,1,200,102.9,24.1,7,20,71,,10.1,7,0.273,15,0.4,6,42.9,24,0.567,17.3,13,40,0.5,20,0.667,2,"November 18, 2017",64.3,18,5.0,2,102.9,75.9,22,0.579,57,0.491,28,0.281,16,0.875,14,2,200,115.9,37.0,10,18,80,,4.3,3,0.351,20,0.5,10,57.1,32,0.619,17.9,14,37,0.486,18,0.5,2,"UCCU Center, Orem, Utah",CALIFORNIA-DAVIS,UC-Davis,68.6,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-11-20-20-utah-valley,52.6,10,2.5,1,138.6,50.0,14,0.338,65,0.292,19,0.138,9,0.889,8,0,200,74.3,22.2,10,17,52,,8.6,6,0.415,27,0.222,6,32.9,24,0.375,12.7,10,38,0.342,13,0.0,0,"November 20, 2017",60.5,23,5.3,2,74.3,77.8,35,0.675,63,0.603,38,0.27,17,0.706,12,2,200,138.6,50.0,14,13,97,,5.7,4,0.365,23,0.391,9,67.1,49,0.682,15.6,13,40,0.725,29,0.6,3,"UCCU Center, Orem, Utah","Eastern Oregon
			","Eastern Oregon
			",69.7,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-11-25-15-north-dakota,33.3,10,14.5,8,86.2,72.5,37,0.516,64,0.469,30,0.375,24,0.708,17,2,225,95.4,25.0,9,17,83,,5.7,5,0.281,18,0.333,6,52.9,46,0.55,19.4,18,46,0.522,24,0.667,4,"November 25, 2017",30.0,9,0.0,0,95.4,75.0,27,0.379,87,0.345,30,0.161,14,0.643,9,3,225,86.2,27.5,14,21,75,,14.9,13,0.368,32,0.188,6,47.1,41,0.4,9.7,10,55,0.436,24,0.5,3,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",NORTH-DAKOTA,North Dakota,77.4,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-11-29-21-utah-valley,83.3,25,15.8,6,84.1,80.0,24,0.643,56,0.536,30,0.286,16,0.813,13,2,200,123.2,34.6,9,22,85,,11.6,8,0.464,26,0.462,12,58.9,33,0.668,19.2,15,30,0.6,18,0.714,5,"November 29, 2017",30.0,6,6.7,2,123.2,65.4,17,0.446,46,0.435,20,0.587,27,0.63,17,3,200,84.1,20.0,6,13,58,,10.1,7,0.174,8,0.125,1,41.1,23,0.493,21.7,16,38,0.5,19,0.571,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,69.2,Away,BRIGHAM-YOUNG,BYU,Utah Valley,wac
2017-12-02-21-utah-valley,65.5,19,3.0,1,111.4,50.0,18,0.471,70,0.414,29,0.3,21,0.667,14,4,200,101.3,20.0,9,28,80,,8.9,7,0.343,24,0.333,8,33.3,27,0.5,11.2,10,46,0.457,21,0.556,5,"December 2, 2017",63.0,17,15.2,7,101.3,80.0,36,0.508,61,0.443,27,0.541,33,0.788,26,3,200,111.4,50.0,18,24,88,,6.3,5,0.459,28,0.286,8,66.7,54,0.574,19.2,18,33,0.576,19,0.625,5,"UCCU Center, Orem, Utah",TEXAS-SAN-ANTONIO,UTSA,78.8,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-12-06-21-utah-valley,73.9,17,15.7,8,125.8,72.4,21,0.434,61,0.377,23,0.131,8,0.375,3,4,200,84.8,15.4,6,12,56,,4.5,3,0.377,23,0.304,7,39.7,27,0.432,9.8,7,38,0.421,16,0.5,4,"December 6, 2017",65.7,23,26.3,10,84.8,84.6,33,0.611,63,0.556,35,0.159,10,0.6,6,3,200,125.8,27.6,8,10,83,,6.1,4,0.19,12,0.583,7,60.3,41,0.613,9.4,7,51,0.549,28,0.667,6,"UCCU Center, Orem, Utah",WEBER-STATE,Weber State,66.3,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2017-12-09-21-cal-state-fullerton,46.7,14,5.3,2,119.7,75.0,24,0.639,54,0.556,30,0.444,24,0.583,14,4,200,109.2,25.0,7,25,83,,7.9,6,0.426,23,0.391,9,51.7,31,0.635,20.8,17,31,0.677,21,0.6,6,"December 9, 2017",51.6,16,0.0,0,109.2,75.0,21,0.632,57,0.544,31,0.526,30,0.633,19,3,200,119.7,25.0,8,21,91,,13.2,10,0.333,19,0.526,10,48.3,29,0.639,15.6,13,38,0.553,21,0.667,6,"Titan Gym, Fullerton, California",UTAH-VALLEY,Utah Valley,75.8,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Utah Valley,wac
2017-12-14-21-utah-valley,75.0,12,0.0,0,134.2,48.5,16,0.306,62,0.258,16,0.129,8,0.75,6,0,200,55.7,6.5,3,14,44,,8.9,7,0.435,27,0.222,6,24.1,19,0.334,19.6,16,35,0.286,10,0.0,0,"December 14, 2017",79.5,35,22.9,8,55.7,93.5,43,0.636,77,0.571,44,0.143,11,0.727,8,4,200,134.2,51.5,17,10,106,,10.1,8,0.416,32,0.313,10,75.9,60,0.645,13.7,13,45,0.756,34,0.636,7,"UCCU Center, Orem, Utah","Bethesda University (CA)
			","Bethesda University (CA)
			",78.5,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
