,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-21-vanderbilt,50.0,11,3.0,1,109.0,54.5,18,0.435,54,0.407,22,0.222,12,0.583,7,1,200,80.6,25.0,7,20,54,,7.5,5,0.241,13,0.231,3,41.0,25,0.452,20.2,15,41,0.463,19,0.0,0,"November 10, 2017",65.4,17,14.6,6,80.6,75.0,21,0.526,58,0.448,26,0.328,19,0.632,12,0,200,109.0,45.5,15,16,73,,11.9,8,0.431,25,0.36,9,59.0,36,0.545,17.4,14,33,0.515,17,1.0,1,"Memorial Gymnasium, Nashville, Tennessee",AUSTIN-PEAY,Austin Peay,66.9,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2017-11-13-19-belmont,29.4,5,7.4,2,98.6,85.3,29,0.396,48,0.354,17,0.646,31,0.71,22,1,200,85.7,21.9,7,26,60,,4.3,3,0.479,23,0.174,4,54.5,36,0.478,18.5,14,25,0.52,13,0.5,1,"November 13, 2017",36.4,8,4.0,1,85.7,78.1,25,0.463,54,0.407,22,0.481,26,0.731,19,1,200,98.6,14.7,5,27,69,,5.7,4,0.5,27,0.222,6,45.5,30,0.52,12.1,9,27,0.593,16,0.5,1,"Curb Event Center, Nashville, Tennessee",VANDERBILT,Vanderbilt,70.0,Home,BELMONT,Belmont,Vanderbilt,sec
2017-11-17-20-vanderbilt,44.4,12,5.9,2,105.3,81.5,22,0.492,64,0.422,27,0.234,15,0.867,13,2,200,101.3,29.4,10,18,76,,10.7,8,0.313,20,0.45,9,52.5,32,0.534,15.6,13,44,0.409,18,0.333,1,"November 17, 2017",60.0,15,11.4,5,101.3,70.6,24,0.538,53,0.472,25,0.547,29,0.759,22,1,200,105.3,18.5,5,15,79,,6.7,5,0.358,19,0.368,7,47.5,29,0.592,17.6,14,34,0.529,18,0.667,2,"Memorial Gymnasium, Nashville, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,75.0,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2017-11-19-20-vanderbilt,24.2,8,11.8,4,117.1,75.0,21,0.582,67,0.493,33,0.239,16,0.938,15,0,225,122.4,15.2,5,26,93,10,3.9,3,0.388,26,0.462,12,42.6,26,0.623,7.5,6,41,0.512,21,1.0,3,"November 19, 2017",48.3,14,0.0,0,122.4,84.8,28,0.605,57,0.509,29,0.491,28,0.714,20,2,225,117.1,25.0,7,21,89,,5.3,4,0.404,23,0.478,11,57.4,35,0.633,16.8,14,34,0.529,18,0.5,2,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,68.0,Away,SOUTHERN-CALIFORNIA,USC,Vanderbilt,sec
2017-11-23-16-vanderbilt,77.8,21,23.5,8,66.7,79.4,27,0.533,60,0.45,27,0.1,6,0.667,4,0,200,107.9,15.2,5,17,68,,4.8,3,0.35,21,0.476,10,47.8,32,0.541,10.1,7,39,0.436,17,1.0,5,"November 23, 2017",58.3,7,5.1,2,107.9,84.8,28,0.269,52,0.231,12,0.365,19,0.737,14,3,200,66.7,20.6,7,13,42,,6.3,4,0.346,18,0.222,4,52.2,35,0.344,11.7,8,34,0.235,8,0.4,2,"Barclays Center, Brooklyn, New York",VANDERBILT,Vanderbilt,63.4,Away,VIRGINIA,Virginia,Vanderbilt,sec
2017-11-24-21-seton-hall,36.8,7,5.0,2,102.9,80.0,28,0.384,56,0.339,19,0.321,18,0.889,16,4,200,84.3,26.5,9,24,59,,2.9,2,0.429,24,0.208,5,53.6,37,0.457,18.0,14,32,0.438,14,0.333,2,"November 24, 2017",37.0,10,15.6,5,84.3,73.5,25,0.5,58,0.466,27,0.414,24,0.583,14,1,200,102.9,20.0,7,16,72,20,5.7,4,0.31,18,0.222,4,46.4,32,0.519,10.4,8,40,0.575,23,0.833,5,"Barclays Center, Brooklyn, New York",VANDERBILT,Vanderbilt,70.0,Home,SETON-HALL,Seton Hall,Vanderbilt,sec
2017-11-28-20-vanderbilt,41.7,10,4.0,1,115.6,70.6,24,0.451,61,0.393,24,0.18,11,0.636,7,3,200,96.9,28.6,10,25,62,,1.6,1,0.311,19,0.368,7,49.3,34,0.468,12.0,9,42,0.405,17,0.5,3,"November 28, 2017",45.5,10,7.1,3,96.9,71.4,25,0.49,52,0.423,22,0.596,31,0.742,23,4,200,115.6,29.4,10,16,74,,9.4,6,0.519,27,0.259,7,50.7,35,0.555,9.6,7,25,0.6,15,0.429,3,"Memorial Gymnasium, Nashville, Tennessee",RADFORD,Radford,64.5,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2017-12-03-14-vanderbilt,41.4,12,12.0,3,121.5,48.3,14,0.62,50,0.58,29,0.48,24,0.917,22,1,200,129.2,15.8,3,24,84,,9.2,6,0.24,12,0.333,4,35.4,17,0.684,10.4,7,38,0.658,25,0.875,7,"December 3, 2017",52.2,12,13.2,5,129.2,84.2,16,0.56,50,0.46,23,0.66,33,0.697,23,5,200,121.5,51.7,15,25,79,,6.2,4,0.5,25,0.4,10,64.6,31,0.601,17.8,14,25,0.52,13,0.375,3,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,65.0,Away,KANSAS-STATE,Kansas State,Vanderbilt,sec
2017-12-06-20-vanderbilt,54.2,13,3.7,1,106.8,68.6,24,0.455,56,0.429,24,0.411,23,0.652,15,1,200,111.9,35.3,12,18,66,,5.1,3,0.25,14,0.214,3,52.2,36,0.493,7.0,5,42,0.5,21,0.857,6,"December 6, 2017",55.0,11,11.9,5,111.9,64.7,22,0.444,54,0.37,20,0.352,19,0.789,15,6,200,106.8,31.4,11,19,63,,5.1,3,0.5,27,0.296,8,47.8,33,0.5,10.1,7,27,0.444,12,0.333,3,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,59.5,Away,MIDDLE-TENNESSEE,Middle Tennessee,Vanderbilt,sec
2017-12-17-14-arizona-state,43.5,10,5.9,2,100.0,57.6,19,0.368,68,0.338,23,0.279,19,0.737,14,7,200,84.2,26.3,10,22,64,,9.2,7,0.456,31,0.129,4,40.8,29,0.415,12.6,11,37,0.514,19,0.3,3,"December 17, 2017",28.0,7,13.5,5,84.2,73.7,28,0.482,57,0.439,25,0.491,28,0.75,21,0,200,100.0,42.4,14,20,76,5,5.3,4,0.404,23,0.217,5,59.2,42,0.541,19.7,17,34,0.588,20,1.0,10,"Wells Fargo Arena, Tempe, Arizona",VANDERBILT,Vanderbilt,75.7,Home,ARIZONA-STATE,Arizona State,Vanderbilt,sec
2017-12-20-19-vanderbilt,31.3,5,10.7,3,111.0,69.0,20,0.27,61,0.262,16,0.426,26,0.577,15,9,200,65.8,31.1,14,18,48,,8.2,6,0.295,18,0.056,1,45.9,34,0.327,15.2,13,43,0.349,15,0.308,4,"December 20, 2017",76.9,20,18.6,8,65.8,68.9,31,0.552,58,0.448,26,0.397,23,0.739,17,7,200,111.0,31.0,9,23,81,,8.2,6,0.517,30,0.4,12,54.1,40,0.588,17.0,14,28,0.5,14,0.364,4,"Memorial Gymnasium, Nashville, Tennessee",HOUSTON-BAPTIST,Houston Baptist,73.1,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2017-12-22-19-vanderbilt,41.2,7,0.0,0,141.5,70.4,19,0.392,51,0.333,17,0.255,13,0.846,11,9,200,78.5,14.8,4,12,51,,1.5,1,0.373,19,0.316,6,42.6,23,0.446,18.6,13,32,0.344,11,0.308,4,"December 22, 2017",71.9,23,15.6,5,78.5,85.2,23,0.675,60,0.533,32,0.233,14,0.786,11,7,200,141.5,29.6,8,18,92,,18.5,12,0.583,35,0.486,17,57.4,31,0.69,8.3,6,25,0.6,15,0.417,5,"Memorial Gymnasium, Nashville, Tennessee",ALCORN-STATE,Alcorn State,65.4,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2017-12-30-16-florida,53.8,14,8.6,3,119.1,76.7,23,0.516,62,0.419,26,0.226,14,0.714,10,8,200,108.8,22.9,8,24,74,,1.5,1,0.5,31,0.387,12,47.7,31,0.539,11.7,9,31,0.452,14,0.385,5,"December 30, 2017",30.4,7,32.3,10,108.8,77.1,27,0.5,54,0.426,23,0.556,30,0.9,27,4,200,119.1,23.3,7,15,81,,5.9,4,0.352,19,0.421,8,52.3,34,0.593,6.9,5,35,0.429,15,0.692,9,"Stephen C. O'Connell Center, Gainesville, Florida",VANDERBILT,Vanderbilt,68.0,Home,FLORIDA,Florida,Vanderbilt,sec
