,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-15-brown,52.2,12,12.8,6,124.7,52.2,24,0.458,59,0.39,23,0.525,31,0.774,24,0,200,91.8,21.2,7,28,78,,4.7,4,0.407,24,0.333,8,39.2,31,0.529,19.9,18,35,0.429,15,0.0,0,"November 11, 2017",40.6,13,14.3,5,91.8,78.8,26,0.455,78,0.41,32,0.513,40,0.875,35,0,200,124.7,47.8,22,25,106,,9.4,8,0.397,31,0.226,7,60.8,48,0.546,9.5,10,47,0.532,25,1.0,1,"Pizzitola Sports Center, Providence, Rhode Island","Johnson &amp; Wales (RI)
			","Johnson &amp; Wales (RI)
			",84.9,Home,BROWN,Brown,Brown,ivy
2017-11-13-19-quinnipiac,69.2,18,8.6,3,101.4,78.1,25,0.492,61,0.426,26,0.443,27,0.704,19,0,200,111.3,44.1,15,25,79,,7.0,5,0.328,20,0.4,8,60.6,40,0.535,12.1,10,41,0.439,18,1.0,2,"November 13, 2017",61.5,16,17.1,7,111.3,55.9,19,0.546,54,0.481,26,0.5,27,0.481,13,1,200,101.4,21.9,7,20,72,,8.5,6,0.352,19,0.368,7,39.4,26,0.539,16.5,13,35,0.543,19,0.5,1,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,70.8,Away,BROWN,Brown,Brown,ivy
2017-11-19-13-st-francis-ny,37.5,9,2.9,1,102.7,80.0,28,0.529,52,0.462,24,0.423,22,0.864,19,1,200,98.7,7.1,2,14,74,,6.7,5,0.404,21,0.333,7,47.6,30,0.592,18.5,14,31,0.548,17,0.667,2,"November 19, 2017",41.4,12,6.5,2,98.7,92.9,26,0.548,62,0.468,29,0.274,17,0.529,9,2,200,102.7,20.0,7,18,77,,8.0,6,0.435,27,0.37,10,52.4,33,0.549,14.7,12,35,0.543,19,0.333,1,"Pope Physical Education Center, Brooklyn Heights, New York",BROWN,Brown,74.8,Home,ST-FRANCIS-NY,St. Francis (NY),Brown,ivy
2017-11-22-18-stony-brook,45.5,10,16.7,5,105.5,90.0,27,0.392,65,0.338,22,0.292,19,0.684,13,2,200,87.7,30.0,12,20,64,,6.8,5,0.446,29,0.241,7,55.7,39,0.432,14.1,12,36,0.417,15,0.5,2,"November 22, 2017",70.4,19,8.3,3,87.7,70.0,28,0.564,55,0.491,27,0.382,21,0.714,15,4,200,105.5,10.0,3,19,77,,8.2,6,0.455,25,0.32,8,44.3,31,0.593,13.5,10,30,0.633,19,0.2,1,"Island Federal Credit Union, Stony Brook, New York",BROWN,Brown,73.0,Home,STONY-BROOK,Stony Brook,Brown,ivy
2017-11-25-13-brown,37.9,11,13.2,5,105.6,70.4,19,0.508,65,0.446,29,0.431,28,0.714,20,5,200,96.6,22.5,9,32,86,,14.6,13,0.4,26,0.308,8,41.8,28,0.549,19.7,19,39,0.538,21,0.286,2,"November 25, 2017",60.0,18,0.0,0,96.6,77.5,31,0.583,54,0.556,30,0.759,41,0.756,31,2,200,105.6,29.6,8,27,94,,7.9,7,0.296,16,0.188,3,58.2,39,0.64,25.0,24,38,0.711,27,0.6,3,"Pizzitola Sports Center, Providence, Rhode Island",LONG-ISLAND-UNIVERSITY,LIU,88.9,Home,BROWN,Brown,Brown,ivy
2017-11-26-18-bryant,62.5,15,16.2,6,87.0,76.5,26,0.569,51,0.471,24,0.608,31,0.742,23,2,200,105.2,16.7,5,20,81,,9.1,7,0.51,26,0.385,10,48.4,31,0.616,18.8,15,25,0.56,14,0.667,4,"November 26, 2017",60.0,15,8.0,2,105.2,83.3,25,0.467,60,0.417,25,0.283,17,0.647,11,5,200,87.0,23.5,8,26,67,,10.4,8,0.383,23,0.261,6,51.6,33,0.492,21.1,18,37,0.514,19,0.167,1,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,76.9,Away,BROWN,Brown,Brown,ivy
2017-11-28-19-rhode-island,57.9,11,2.1,1,116.2,66.7,16,0.384,56,0.339,19,0.446,25,0.76,19,3,200,83.8,34.3,12,16,62,,6.8,5,0.339,19,0.263,5,47.5,28,0.457,23.0,20,37,0.378,14,0.571,4,"November 28, 2017",44.4,16,21.6,8,83.8,65.7,23,0.669,59,0.61,36,0.237,14,0.5,7,2,200,116.2,33.3,8,23,86,,12.2,9,0.186,11,0.636,7,52.5,31,0.655,18.7,15,48,0.604,29,0.667,4,"Ryan Center, Kingston, Rhode Island",BROWN,Brown,74.3,Home,RHODE-ISLAND,Rhode Island,Brown,ivy
2017-12-02-14-brown,48.0,12,0.0,0,93.9,81.8,27,0.518,55,0.455,25,0.273,15,0.733,11,3,200,103.0,43.3,13,15,68,,6.1,4,0.327,18,0.389,7,63.5,40,0.547,21.6,17,37,0.486,18,0.625,5,"December 2, 2017",65.0,13,8.1,3,103.0,56.7,17,0.454,54,0.37,20,0.278,15,0.867,13,4,200,93.9,18.2,6,15,62,,18.2,12,0.519,28,0.321,9,36.5,23,0.507,14.2,10,26,0.423,11,0.5,4,"Pizzitola Sports Center, Providence, Rhode Island",BROWN,Brown,65.6,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Brown,ivy
2017-12-06-19-providence,41.7,10,8.9,4,89.5,71.7,33,0.451,61,0.393,24,0.344,21,0.81,17,5,225,83.7,17.1,6,23,72,,8.1,7,0.393,24,0.292,7,48.1,39,0.507,23.9,22,37,0.459,17,0.444,4,"December 6, 2017",50.0,13,24.3,9,83.7,82.9,29,0.432,66,0.394,26,0.455,30,0.667,20,2,225,89.5,28.3,13,20,77,,12.8,11,0.318,21,0.238,5,51.9,42,0.48,17.7,17,45,0.467,21,0.778,7,"Dunkin' Donuts Center, Providence, Rhode Island",BROWN,Brown,76.1,Home,PROVIDENCE,Providence,Brown,ivy
2017-12-09-14-brown,53.6,15,5.3,2,123.6,66.7,18,0.534,59,0.475,28,0.322,19,0.632,12,5,200,104.2,26.5,9,22,75,,5.6,4,0.373,22,0.318,7,44.3,27,0.551,15.1,12,37,0.568,21,0.5,5,"December 9, 2017",41.4,12,8.1,3,104.2,73.5,25,0.571,56,0.518,29,0.518,29,0.862,25,5,200,123.6,33.3,9,26,89,,8.3,6,0.321,18,0.333,6,55.7,34,0.638,14.9,12,38,0.605,23,0.5,5,"Pizzitola Sports Center, Providence, Rhode Island",MASSACHUSETTS-LOWELL,UMass-Lowell,71.9,Home,BROWN,Brown,Brown,ivy
2017-12-22-15-brown,20.0,5,10.3,4,121.6,76.5,26,0.509,54,0.463,25,0.333,18,0.778,14,10,200,93.2,10.7,3,17,69,,5.4,4,0.352,19,0.263,5,46.8,29,0.552,19.5,15,35,0.571,20,0.167,2,"December 22, 2017",63.6,21,2.9,1,93.2,89.3,25,0.59,67,0.493,33,0.254,17,0.647,11,5,200,121.6,23.5,8,17,90,,8.1,6,0.418,28,0.464,13,53.2,33,0.599,8.6,7,39,0.513,20,0.545,6,"Pizzitola Sports Center, Providence, Rhode Island",MARIST,Marist,74.3,Home,BROWN,Brown,Brown,ivy
