,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-12-16-washington-state,51.7,15,16.7,5,103.6,71.7,38,0.61,59,0.492,29,0.305,18,0.667,12,2,225,101.2,12.1,4,24,84,,7.2,6,0.542,32,0.438,14,48.8,42,0.622,21.2,18,27,0.556,15,0.0,0,"November 12, 2017",52.0,13,3.7,1,101.2,87.9,29,0.428,76,0.329,25,0.382,29,0.724,21,0,225,103.6,28.3,15,21,86,,7.2,6,0.605,46,0.326,15,51.2,44,0.479,10.1,10,30,0.333,10,1.0,1,"Beasley Coliseum, Pullman, Washington",TEXAS-SOUTHERN,Texas Southern,73.9,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-11-15-21-washington-state,66.7,14,6.3,2,101.4,81.3,26,0.371,70,0.3,21,0.143,10,0.7,7,2,200,79.7,25.5,12,18,59,,8.1,6,0.586,41,0.244,10,48.1,38,0.395,13.9,12,29,0.379,11,0.333,1,"November 15, 2017",61.5,16,3.4,1,79.7,74.5,35,0.561,57,0.456,26,0.298,17,0.647,11,0,200,101.4,18.8,6,15,75,,12.2,9,0.439,25,0.48,12,51.9,41,0.576,18.9,15,32,0.438,14,1.0,2,"Beasley Coliseum, Pullman, Washington",SEATTLE,Seattle,74.4,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-11-18-16-washington-state,44.0,11,7.7,2,115.3,77.8,21,0.475,59,0.424,25,0.169,10,0.6,6,3,200,86.1,24.2,8,14,62,,8.3,6,0.373,22,0.273,6,48.3,29,0.486,21.1,17,37,0.514,19,0.0,0,"November 18, 2017",56.3,18,0.0,0,86.1,75.8,25,0.658,60,0.533,32,0.1,6,0.667,4,0,200,115.3,22.2,6,17,83,,9.7,7,0.567,34,0.441,15,51.7,31,0.66,18.3,14,26,0.654,17,1.0,3,"Beasley Coliseum, Pullman, Washington",IDAHO-STATE,Idaho State,71.8,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-11-23-18-washington-state,61.5,16,12.5,3,102.7,84.8,28,0.47,66,0.394,26,0.227,15,0.6,9,2,200,97.3,13.9,5,13,71,,8.2,6,0.515,34,0.294,10,47.8,33,0.485,8.8,7,32,0.5,16,0.5,2,"November 23, 2017",64.0,16,15.6,5,97.3,86.1,31,0.579,57,0.439,25,0.228,13,0.692,9,0,200,102.7,15.2,5,15,75,,4.1,3,0.579,33,0.485,16,52.2,36,0.594,17.2,13,24,0.375,9,1.0,4,"Titan Gym, Fullerton, California",SAINT-JOSEPHS,St. Joseph's,73.2,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-11-24-13-washington-state,46.7,14,0.0,0,121.7,85.7,18,0.595,58,0.517,30,0.276,16,0.625,10,1,200,114.5,19.4,6,16,79,21,1.4,1,0.276,16,0.563,9,46.2,24,0.602,12.2,9,42,0.5,21,0.833,5,"November 24, 2017",39.4,13,9.5,4,114.5,80.6,25,0.652,56,0.589,33,0.25,14,0.786,11,0,200,121.7,14.3,3,15,84,,5.8,4,0.375,21,0.333,7,53.8,28,0.67,12.6,9,35,0.743,26,1.0,5,"Titan Gym, Fullerton, California",SAINT-MARYS-CA,Saint Mary's,68.6,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-11-26-23-san-diego-state,72.4,21,2.3,1,107.5,61.0,25,0.573,62,0.468,29,0.403,25,0.88,22,0,200,116.3,24.2,8,17,93,,7.5,6,0.452,28,0.464,13,44.6,33,0.629,15.1,13,34,0.471,16,1.0,6,"November 26, 2017",48.5,16,8.8,3,116.3,75.8,25,0.5,74,0.446,33,0.27,20,0.6,12,2,200,107.5,39.0,16,21,86,,8.8,7,0.405,30,0.267,8,55.4,41,0.515,13.6,13,44,0.568,25,0.714,5,"Titan Gym, Fullerton, California",SAN-DIEGO-STATE,San Diego State,79.7,Away,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-12-02-15-washington-state,43.3,13,13.0,3,94.4,82.9,29,0.609,55,0.545,30,0.382,21,0.667,14,2,200,114.1,27.6,8,14,81,,11.3,8,0.309,17,0.412,7,57.8,37,0.623,15.7,12,38,0.605,23,0.714,5,"December 2, 2017",54.2,13,7.9,3,114.1,72.4,21,0.526,57,0.421,24,0.175,10,0.7,7,1,200,94.4,17.1,6,17,67,,8.5,6,0.596,34,0.353,12,42.2,27,0.543,21.7,17,23,0.522,12,0.857,6,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,70.9,Away,CALIFORNIA-DAVIS,UC-Davis,Washington State,pac-12
2017-12-06-22-idaho,44.0,11,8.5,4,119.7,71.9,23,0.467,61,0.41,25,0.23,14,0.5,7,2,200,84.2,11.8,4,19,64,,5.3,4,0.426,26,0.269,7,40.9,27,0.473,15.2,12,35,0.514,18,0.75,6,"December 6, 2017",57.1,20,17.1,6,84.2,88.2,30,0.583,72,0.486,35,0.153,11,0.636,7,2,200,119.7,28.1,9,18,91,,5.3,4,0.347,25,0.56,14,59.1,39,0.589,10.5,9,47,0.447,21,0.75,6,"Cowan Spectrum, Moscow, Idaho",WASHINGTON-STATE,Washington State,76.4,Home,IDAHO,Idaho,Washington State,pac-12
2017-12-09-21-texas-el-paso,68.0,17,0.0,0,116.9,74.2,23,0.554,56,0.446,25,0.179,10,0.7,7,3,200,106.2,27.6,8,17,69,,6.2,4,0.554,31,0.387,12,51.7,31,0.568,16.6,12,25,0.52,13,0.667,6,"December 9, 2017",54.2,13,4.0,1,106.2,72.4,21,0.482,57,0.421,24,0.386,22,0.955,21,6,200,116.9,25.8,8,9,76,,1.5,1,0.491,28,0.25,7,48.3,29,0.563,7.0,5,29,0.586,17,0.333,3,"Don Haskins Center, El Paso, Texas",WASHINGTON-STATE,Washington State,64.6,Home,TEXAS-EL-PASO,UTEP,Washington State,pac-12
2017-12-16-18-washington-state,45.8,11,9.7,3,109.1,80.0,16,0.408,71,0.338,24,0.028,2,0.5,1,7,200,89.4,30.2,13,12,59,,9.1,6,0.437,31,0.323,10,46.0,29,0.41,11.1,9,40,0.35,14,0.222,2,"December 16, 2017",71.4,20,20.0,8,89.4,69.8,30,0.627,51,0.549,28,0.176,9,0.889,8,3,200,109.1,20.0,4,8,72,,9.1,6,0.392,20,0.4,8,54.0,34,0.651,17.9,12,31,0.645,20,0.7,7,"Beasley Coliseum, Pullman, Washington",IUPUI,IUPUI,65.6,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-12-20-23-washington-state,48.0,12,7.1,2,95.6,80.0,28,0.45,60,0.417,25,0.317,19,0.737,14,2,200,100.0,26.5,9,16,68,,7.4,5,0.4,24,0.167,4,53.6,37,0.493,10.5,8,36,0.583,21,0.833,10,"December 20, 2017",41.7,10,2.8,1,100.0,73.5,25,0.476,62,0.387,24,0.145,9,0.667,6,4,200,95.6,20.0,7,19,65,,4.4,3,0.548,34,0.324,11,46.4,32,0.49,12.0,9,28,0.464,13,0.636,7,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,68.2,Away,KANSAS-STATE,Kansas State,Washington State,pac-12
2017-12-22-21-washington-state,22.7,5,8.3,2,107.5,81.3,26,0.357,70,0.314,22,0.243,17,0.471,8,9,200,72.5,26.0,13,23,58,,8.8,7,0.4,28,0.214,6,47.6,39,0.371,16.2,15,42,0.381,16,0.357,5,"December 22, 2017",73.1,19,7.1,3,72.5,74.0,37,0.588,57,0.456,26,0.386,22,0.864,19,4,200,107.5,18.8,6,18,86,,7.5,6,0.579,33,0.455,15,52.4,43,0.638,21.3,18,24,0.458,11,0.667,8,"Beasley Coliseum, Pullman, Washington",BETHUNE-COOKMAN,Bethune-Cookman,79.8,Home,WASHINGTON-STATE,Washington State,Washington State,pac-12
2017-12-29-23-ucla,50.0,14,2.7,1,129.7,67.5,27,0.593,59,0.475,28,0.305,18,0.667,12,5,200,110.8,6.5,2,23,82,,5.4,4,0.593,35,0.4,14,40.8,29,0.607,9.5,7,24,0.583,14,0.615,8,"December 29, 2017",55.2,16,12.5,3,110.8,93.5,29,0.538,65,0.446,29,0.508,33,0.788,26,3,200,129.7,32.5,13,14,96,,2.7,2,0.431,28,0.429,12,59.2,42,0.595,8.1,7,37,0.459,17,0.769,10,"Pauley Pavilion, Los Angeles, California",WASHINGTON-STATE,Washington State,73.6,Home,UCLA,UCLA,Washington State,pac-12
2017-12-31-21-southern-california,60.9,14,4.3,2,117.1,65.5,19,0.509,58,0.397,23,0.31,18,0.667,12,6,200,93.4,19.4,7,17,71,,10.5,8,0.586,34,0.382,13,40.0,26,0.533,19.5,16,24,0.417,10,0.571,8,"December 31, 2017",63.9,23,20.8,5,93.4,80.6,29,0.583,66,0.545,36,0.288,19,0.632,12,5,200,117.1,34.5,10,18,89,,13.2,10,0.303,20,0.25,5,60.0,39,0.593,12.9,11,46,0.674,31,0.667,10,"Galen Center, Los Angeles, California",WASHINGTON-STATE,Washington State,75.8,Home,SOUTHERN-CALIFORNIA,USC,Washington State,pac-12
2018-01-06-16-washington-state,27.6,8,10.0,3,87.8,55.6,20,0.545,55,0.527,29,0.255,14,0.714,10,4,200,94.6,12.0,3,22,70,,13.5,10,0.218,12,0.167,2,37.7,23,0.568,21.8,17,43,0.628,27,0.75,12,"January 6, 2018",47.8,11,7.0,3,94.6,88.0,22,0.465,57,0.404,23,0.298,17,0.706,12,7,200,87.8,44.4,16,17,65,,9.5,7,0.474,27,0.259,7,62.3,38,0.499,26.3,23,30,0.533,16,0.533,8,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,73.9,Away,WASHINGTON,Washington,Washington State,pac-12
2018-01-11-21-washington-state,44.4,12,10.3,3,98.6,54.5,18,0.625,52,0.519,27,0.404,21,0.667,14,8,200,111.3,14.8,4,19,79,,5.6,4,0.481,25,0.44,11,36.7,22,0.637,17.5,13,27,0.593,16,0.529,9,"January 11, 2018",48.0,12,3.7,1,111.3,85.2,23,0.517,58,0.431,25,0.276,16,0.625,10,8,200,98.6,45.5,15,21,70,,2.8,2,0.5,29,0.345,10,63.3,38,0.534,24.4,21,29,0.517,15,0.5,8,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,71.3,Away,STANFORD,Stanford,Washington State,pac-12
