,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-10-19-georgia,41.2,7,5.0,2,105.3,52.5,21,0.318,66,0.258,17,0.303,20,0.6,12,1,200,72.0,23.5,12,26,54,,6.7,5,0.47,31,0.258,8,36.3,33,0.358,15.8,14,35,0.257,9,0.0,0,"November 10, 2017",53.8,14,28.6,10,72.0,76.5,39,0.5,60,0.433,26,0.533,32,0.594,19,0,200,105.3,47.5,19,19,79,,10.7,8,0.333,20,0.4,8,63.7,58,0.525,18.7,17,40,0.45,18,1.0,1,"Stegeman Coliseum, Athens, Georgia",BRYANT,Bryant,75.4,Home,GEORGIA,Georgia,Bryant,northeast
2017-11-14-19-north-carolina-state,74.1,20,3.3,2,114.5,64.1,25,0.596,52,0.519,27,0.288,15,0.667,10,2,200,86.7,13.0,3,22,72,,3.6,3,0.346,18,0.444,8,45.2,28,0.609,30.7,26,34,0.559,19,0.0,0,"November 14, 2017",41.7,15,11.8,4,86.7,87.0,20,0.475,79,0.456,36,0.329,26,0.769,20,0,200,114.5,35.9,14,17,95,,16.9,14,0.228,18,0.167,3,54.8,34,0.52,7.2,7,61,0.541,33,1.0,3,"PNC Arena, Raleigh, North Carolina",BRYANT,Bryant,83.2,Home,NORTH-CAROLINA-STATE,NC State,Bryant,northeast
2017-11-18-16-bryant,50.0,13,8.6,3,100.0,82.4,28,0.622,49,0.531,26,0.51,25,0.72,18,2,200,111.3,29.2,7,26,79,,7.0,5,0.367,18,0.5,9,60.3,35,0.649,21.1,16,31,0.548,17,0.5,2,"November 18, 2017",56.5,13,9.7,3,111.3,70.8,17,0.491,56,0.411,23,0.339,19,0.842,16,3,200,100.0,17.6,6,22,71,,8.5,6,0.375,21,0.429,9,39.7,23,0.546,16.8,13,35,0.4,14,0.0,0,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,71.0,Away,NAVY,Navy,Bryant,northeast
2017-11-21-19-rutgers,42.1,8,4.3,2,116.9,58.8,20,0.367,60,0.317,19,0.2,12,0.833,10,4,200,76.1,28.6,10,17,54,,8.5,6,0.233,14,0.429,6,43.5,30,0.411,18.7,15,46,0.283,13,0.0,0,"November 21, 2017",45.5,15,34.8,16,76.1,71.4,25,0.544,68,0.485,33,0.235,16,0.563,9,0,200,116.9,41.2,14,13,83,,15.5,11,0.324,22,0.364,8,56.5,39,0.549,10.7,9,46,0.543,25,1.0,5,"Louis Brown Athletic Center, New Brunswick, New Jersey",BRYANT,Bryant,70.7,Home,RUTGERS,Rutgers,Bryant,northeast
2017-11-24-15-hartford,40.0,12,13.8,4,94.8,67.6,25,0.542,60,0.5,30,0.333,20,0.65,13,4,200,101.3,17.2,5,15,78,,13.0,10,0.25,15,0.333,5,45.5,30,0.561,15.9,13,45,0.556,25,0.2,1,"November 24, 2017",50.0,14,4.4,2,101.3,82.8,24,0.539,64,0.438,28,0.188,12,0.333,4,3,200,94.8,32.4,12,21,73,,6.5,5,0.547,35,0.371,13,54.5,36,0.524,21.5,19,29,0.517,15,0.5,3,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,77.1,Away,BRYANT,Bryant,Bryant,northeast
2017-11-26-18-bryant,62.5,15,16.2,6,87.0,76.5,26,0.569,51,0.471,24,0.608,31,0.742,23,2,200,105.2,16.7,5,20,81,,9.1,7,0.51,26,0.385,10,48.4,31,0.616,18.8,15,25,0.56,14,0.667,4,"November 26, 2017",60.0,15,8.0,2,105.2,83.3,25,0.467,60,0.417,25,0.283,17,0.647,11,5,200,87.0,23.5,8,26,67,,10.4,8,0.383,23,0.261,6,51.6,33,0.492,21.1,18,37,0.514,19,0.167,1,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,76.9,Away,BROWN,Brown,Bryant,northeast
2017-11-29-20-yale,47.8,11,3.3,1,120.0,71.4,20,0.483,58,0.397,23,0.207,12,0.917,11,6,200,95.7,21.2,7,18,67,,10.0,7,0.448,26,0.385,10,44.3,27,0.526,17.0,13,32,0.406,13,0.143,1,"November 29, 2017",77.4,24,3.1,1,95.7,78.8,26,0.67,56,0.554,31,0.304,17,0.529,9,4,200,120.0,28.6,8,16,84,,8.6,6,0.464,26,0.5,13,55.7,34,0.655,18.1,14,30,0.6,18,0.556,5,"John J. Lee Ampitheater, New Haven, Connecticut",BRYANT,Bryant,69.9,Home,YALE,Yale,Bryant,northeast
2017-12-02-13-new-hampshire,33.3,7,5.3,2,117.2,58.1,18,0.472,54,0.389,21,0.204,11,0.727,8,7,200,92.2,6.1,2,19,59,,6.3,4,0.5,27,0.333,9,31.3,20,0.498,10.6,7,27,0.444,12,0.125,1,"December 2, 2017",46.2,12,7.4,2,92.2,93.9,31,0.508,60,0.433,26,0.267,16,0.875,14,6,200,117.2,41.9,13,16,75,,1.6,1,0.367,22,0.409,9,68.8,44,0.555,11.8,9,38,0.447,17,0.25,2,"Lundholm Gymnasium, Durham, New Hampshire",BRYANT,Bryant,63.9,Home,NEW-HAMPSHIRE,New Hampshire,Bryant,northeast
2017-12-06-19-albany-ny,87.5,21,9.1,4,118.3,60.9,14,0.484,61,0.393,24,0.262,16,0.563,9,8,200,95.8,22.6,7,16,68,,14.1,10,0.426,26,0.423,11,38.9,21,0.496,11.7,9,35,0.371,13,0.111,1,"December 6, 2017",63.6,21,5.7,2,95.8,77.4,24,0.615,61,0.541,33,0.213,13,0.692,9,1,200,118.3,39.1,9,14,84,,2.8,2,0.279,17,0.529,9,61.1,33,0.625,17.3,14,44,0.545,24,0.9,9,"SEFCU Arena, Albany, New York",BRYANT,Bryant,71.4,Home,ALBANY-NY,Albany (NY),Bryant,northeast
2017-12-09-13-memphis,74.1,20,5.6,2,120.0,67.9,19,0.478,68,0.397,27,0.162,11,0.636,7,9,200,96.0,34.4,11,21,72,,10.7,8,0.441,30,0.367,11,50.0,30,0.492,15.1,13,38,0.421,16,0.1,1,"December 9, 2017",76.5,26,21.1,8,96.0,65.6,21,0.686,59,0.576,34,0.288,17,0.529,9,2,200,120.0,32.1,9,15,90,,9.3,7,0.39,23,0.565,13,50.0,30,0.671,19.4,16,36,0.583,21,0.75,6,"FedExForum, Memphis, Tennessee",BRYANT,Bryant,74.7,Home,MEMPHIS,Memphis,Bryant,northeast
