,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2017-11-11-14-western-michigan,61.5,16,4.3,2,135.5,50.0,15,0.524,63,0.413,26,0.095,6,1.0,6,0,200,94.7,23.5,8,20,72,,7.9,6,0.556,35,0.4,14,35.9,23,0.547,21.5,18,28,0.429,12,0.0,0,"November 11, 2017",63.9,23,3.6,1,94.7,76.5,26,0.587,69,0.522,36,0.449,31,0.71,22,0,200,135.5,50.0,15,13,103,,13.2,10,0.333,23,0.391,9,64.1,41,0.615,8.8,8,46,0.587,27,1.0,1,"University Arena, Kalamazoo, Michigan","Siena Heights
			","Siena Heights
			",76.3,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-11-13-20-south-carolina,57.1,12,17.6,6,106.8,71.0,22,0.405,58,0.362,21,0.431,25,0.52,13,1,200,82.2,17.9,7,24,60,,13.7,10,0.362,21,0.238,5,41.4,29,0.429,11.5,9,37,0.432,16,0.5,1,"November 13, 2017",46.2,12,8.1,3,82.2,82.1,32,0.535,57,0.456,26,0.474,27,0.63,17,0,200,106.8,29.0,9,18,78,,5.5,4,0.404,23,0.391,9,58.6,41,0.559,15.9,13,34,0.5,17,1.0,2,"The Colonial Life Arena, Columbia, South Carolina",WESTERN-MICHIGAN,Western Michigan,72.9,Home,SOUTH-CAROLINA,South Carolina,Western Michigan,mac
2017-11-16-20-western-michigan,55.6,15,8.3,4,93.7,65.1,28,0.528,54,0.5,27,0.574,31,0.774,24,1,200,102.5,21.7,5,17,81,,7.6,6,0.333,18,0.167,3,50.0,33,0.589,17.1,14,36,0.667,24,0.667,2,"November 16, 2017",55.2,16,11.1,4,102.5,78.3,18,0.443,79,0.367,29,0.127,10,0.4,4,2,200,93.7,34.9,15,23,74,,12.7,10,0.392,31,0.387,12,50.0,33,0.442,12.6,12,48,0.354,17,0.333,1,"The HTC Center, Conway, South Carolina",WESTERN-MICHIGAN,Western Michigan,79.2,Away,TULSA,Tulsa,Western Michigan,mac
2017-11-17-17-western-michigan,33.3,7,5.0,2,114.7,79.4,27,0.446,56,0.375,21,0.5,28,0.607,17,2,200,89.3,26.5,9,26,67,,4.0,3,0.464,26,0.308,8,52.9,36,0.483,19.0,16,30,0.433,13,0.5,2,"November 17, 2017",32.1,9,16.7,5,89.3,73.5,25,0.534,59,0.475,28,0.508,30,0.767,23,2,200,114.7,20.6,7,24,86,,9.3,7,0.322,19,0.368,7,47.1,32,0.587,8.8,7,40,0.525,21,0.5,2,"The HTC Center, Conway, South Carolina",APPALACHIAN-STATE,Appalachian State,74.8,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-11-19-14-western-michigan,50.0,13,13.0,3,90.4,80.8,21,0.526,57,0.456,26,0.526,30,0.633,19,1,200,108.2,27.6,8,19,79,,11.0,8,0.421,24,0.333,8,52.7,29,0.554,14.6,12,33,0.545,18,0.8,4,"November 19, 2017",42.9,9,3.0,1,108.2,72.4,21,0.568,44,0.477,21,0.477,21,0.762,16,3,200,90.4,19.2,5,24,66,,12.3,9,0.477,21,0.381,8,47.3,26,0.611,29.2,22,23,0.565,13,0.4,2,"The HTC Center, Conway, South Carolina",WESTERN-MICHIGAN,Western Michigan,73.1,Away,SOUTH-CAROLINA,South Carolina,Western Michigan,mac
2017-11-25-14-western-michigan,42.9,9,4.3,2,122.2,63.0,17,0.375,64,0.328,21,0.25,16,0.688,11,0,200,81.9,24.4,10,13,59,,4.2,3,0.422,27,0.222,6,39.7,27,0.412,13.4,11,37,0.405,15,0.0,0,"November 25, 2017",40.0,14,18.9,7,81.9,75.6,31,0.578,64,0.547,35,0.25,16,0.875,14,3,200,122.2,37.0,10,14,88,,6.9,5,0.266,17,0.235,4,60.3,41,0.615,12.3,10,47,0.66,31,0.5,3,"University Arena, Kalamazoo, Michigan","Northwood (MI)
			","Northwood (MI)
			",72.1,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-11-28-20-saint-louis,69.6,16,5.7,2,77.3,78.8,26,0.491,55,0.418,23,0.218,12,0.917,11,3,200,98.5,35.7,10,19,65,,12.1,8,0.382,21,0.381,8,59.0,36,0.535,21.0,16,34,0.441,15,0.571,4,"November 28, 2017",55.6,10,11.8,4,98.5,64.3,18,0.39,50,0.36,18,0.4,20,0.6,12,3,200,77.3,21.2,7,14,51,,9.1,6,0.3,15,0.2,3,41.0,25,0.429,18.1,13,35,0.429,15,0.5,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,66.1,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-12-02-14-western-michigan,63.0,17,6.5,3,104.3,77.1,27,0.576,59,0.458,27,0.203,12,0.833,10,3,200,111.4,30.0,9,15,78,,8.6,6,0.407,24,0.583,14,55.4,36,0.603,17.9,14,35,0.371,13,0.625,5,"December 2, 2017",37.9,11,11.4,4,111.4,70.0,21,0.516,62,0.468,29,0.194,12,0.75,9,4,200,104.3,22.9,8,14,73,,14.3,10,0.258,16,0.375,6,44.6,29,0.539,12.9,10,46,0.5,23,0.5,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,69.7,Away,OAKLAND,Oakland,Western Michigan,mac
2017-12-06-19-western-michigan,56.0,14,4.0,1,98.7,69.0,20,0.475,61,0.41,25,0.23,14,0.643,9,6,200,84.8,17.1,6,27,67,,15.2,12,0.443,27,0.296,8,40.6,26,0.495,22.1,19,34,0.5,17,0.25,2,"December 6, 2017",70.0,14,11.8,4,84.8,82.9,29,0.554,46,0.435,20,0.804,37,0.73,27,4,200,98.7,31.0,9,19,78,,7.6,6,0.457,21,0.524,11,59.4,38,0.613,26.1,22,25,0.36,9,0.556,5,"University Arena, Kalamazoo, Michigan",CLEVELAND-STATE,Cleveland State,78.6,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-12-09-14-detroit-mercy,63.3,19,14.3,4,100.0,70.6,24,0.538,66,0.455,30,0.364,24,0.667,16,4,200,110.1,24.2,8,19,87,,5.1,4,0.5,33,0.333,11,47.8,32,0.562,10.5,9,33,0.576,19,0.6,6,"December 9, 2017",30.8,8,3.0,1,110.1,75.8,25,0.492,63,0.413,26,0.317,20,0.85,17,6,200,100.0,29.4,10,20,79,,5.1,4,0.556,35,0.286,10,52.2,35,0.545,20.0,18,28,0.571,16,0.4,4,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,79.5,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-12-18-19-western-michigan,67.9,19,9.1,3,82.5,69.8,30,0.652,56,0.5,28,0.214,12,0.75,9,3,200,130.2,50.0,14,15,82,,6.3,4,0.536,30,0.567,17,62.0,44,0.665,19.7,15,26,0.423,11,0.727,8,"December 18, 2017",33.3,7,7.7,2,130.2,50.0,14,0.393,61,0.344,21,0.148,9,0.444,4,5,200,82.5,30.2,13,14,52,,7.9,5,0.459,28,0.214,6,38.0,27,0.398,14.5,11,33,0.455,15,0.545,6,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,63.0,Away,IDAHO,Idaho,Western Michigan,mac
2017-12-22-20-milwaukee,52.0,13,25.0,6,105.0,82.1,23,0.558,52,0.481,25,0.173,9,0.889,8,5,200,110.0,20.0,5,9,66,,10.0,6,0.308,16,0.5,8,52.8,28,0.586,12.5,8,36,0.472,17,0.583,7,"December 22, 2017",54.2,13,8.3,3,110.0,80.0,20,0.575,53,0.453,24,0.094,5,0.4,2,6,200,105.0,17.9,5,15,63,,6.7,4,0.547,29,0.448,13,47.2,25,0.569,15.3,10,24,0.458,11,0.538,7,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,59.8,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2017-12-30-16-western-michigan,33.3,8,2.9,1,124.3,64.3,27,0.475,59,0.407,24,0.339,20,0.75,15,15,200,95.9,10.3,4,20,71,,4.1,3,0.39,23,0.348,8,38.3,31,0.518,11.7,9,36,0.444,16,0.118,2,"December 30, 2017",60.0,18,0.0,0,95.9,89.7,35,0.561,66,0.455,30,0.439,29,0.621,18,5,200,124.3,35.7,15,21,92,,8.1,6,0.485,32,0.438,14,61.7,50,0.577,10.3,9,34,0.471,16,0.615,8,"University Arena, Kalamazoo, Michigan",CHICAGO-STATE,Chicago State,73.6,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2018-01-02-19-western-michigan,55.6,15,5.4,2,126.1,59.3,16,0.516,61,0.443,27,0.246,15,0.8,12,6,200,108.7,24.2,8,23,75,,7.2,5,0.443,27,0.333,9,40.0,24,0.55,14.0,11,34,0.529,18,0.538,7,"January 2, 2018",51.6,16,2.9,1,108.7,75.8,25,0.634,56,0.554,31,0.411,23,0.696,16,5,200,126.1,40.7,11,16,87,,2.9,2,0.339,19,0.474,9,60.0,36,0.65,13.1,10,37,0.595,22,0.643,9,"University Arena, Kalamazoo, Michigan",AKRON,Akron,68.5,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2018-01-06-15-miami-oh,45.8,11,6.5,2,93.9,73.5,25,0.426,61,0.393,24,0.361,22,0.682,15,5,200,101.5,32.4,12,15,67,,9.1,6,0.279,17,0.235,4,52.1,37,0.469,6.6,5,44,0.455,20,0.667,10,"January 6, 2018",56.5,13,11.4,5,101.5,67.6,25,0.466,58,0.397,23,0.207,12,0.667,8,7,200,93.9,26.5,9,18,62,,4.5,3,0.466,27,0.296,8,47.9,34,0.487,17.0,13,31,0.484,15,0.533,8,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),66.1,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2018-01-09-19-toledo,26.1,6,8.3,2,120.0,73.9,17,0.357,70,0.329,23,0.171,12,0.917,11,6,200,87.1,33.3,15,20,61,,11.4,8,0.229,16,0.25,4,47.1,32,0.403,11.7,10,54,0.352,19,0.625,10,"January 9, 2018",63.0,17,9.3,5,87.1,66.7,30,0.713,47,0.574,27,0.489,23,0.739,17,6,200,120.0,26.1,6,18,84,,4.3,3,0.489,23,0.565,13,52.9,36,0.725,24.0,18,24,0.583,14,0.625,10,"John F. Savage Hall, Toledo, Ohio",WESTERN-MICHIGAN,Western Michigan,70.3,Home,TOLEDO,Toledo,Western Michigan,mac
2018-01-13-16-western-michigan,50.0,11,0.0,0,107.4,70.3,26,0.491,53,0.415,22,0.189,10,0.6,6,6,199,85.3,19.4,6,20,58,,4.4,3,0.528,28,0.286,8,47.1,32,0.502,20.7,15,25,0.56,14,0.647,11,"January 13, 2018",52.2,12,0.0,0,85.3,80.6,25,0.458,60,0.383,23,0.433,26,0.692,18,6,199,107.4,29.7,11,14,73,,8.8,6,0.3,18,0.5,9,52.9,36,0.504,10.1,8,42,0.333,14,0.647,11,"University Arena, Kalamazoo, Michigan",BALL-STATE,Ball State,68.4,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2018-01-16-19-kent-state,30.8,8,7.1,3,102.8,67.7,21,0.491,56,0.464,26,0.429,24,0.667,16,7,200,100.0,26.7,8,12,71,,9.9,7,0.304,17,0.176,3,47.5,29,0.527,13.1,10,39,0.59,23,0.611,11,"January 16, 2018",55.6,15,2.6,1,100.0,73.3,22,0.515,65,0.415,27,0.108,7,0.857,6,9,200,102.8,32.3,10,15,73,,7.0,5,0.354,23,0.565,13,52.5,32,0.534,17.1,14,42,0.333,14,0.5,9,"Memorial Athletic & Convocation Center, Kent, Ohio",WESTERN-MICHIGAN,Western Michigan,70.9,Home,KENT-STATE,Kent State,Western Michigan,mac
2018-01-19-19-western-michigan,58.1,18,13.2,5,91.4,86.8,33,0.545,66,0.47,31,0.258,17,0.706,12,5,200,103.7,18.2,6,22,84,,6.2,5,0.394,26,0.385,10,54.9,39,0.567,17.0,15,40,0.525,21,0.737,14,"January 19, 2018",45.8,11,5.0,2,103.7,81.8,27,0.458,60,0.4,24,0.45,27,0.704,19,8,200,91.4,13.2,5,17,74,,3.7,3,0.367,22,0.318,7,45.1,32,0.508,13.3,11,38,0.447,17,0.579,11,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,81.0,Away,BUFFALO,Buffalo,Western Michigan,mac
2018-01-23-19-western-michigan,50.0,12,13.0,6,112.5,72.5,29,0.587,52,0.462,24,0.615,32,0.75,24,6,200,118.1,16.7,5,25,85,,2.8,2,0.538,28,0.464,13,48.6,34,0.632,12.0,9,24,0.458,11,0.7,14,"January 23, 2018",29.2,7,16.7,4,118.1,83.3,25,0.422,64,0.375,24,0.531,34,0.794,27,9,200,112.5,27.5,11,21,81,,5.6,4,0.281,18,0.333,6,51.4,36,0.505,4.8,4,46,0.391,18,0.55,11,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,72.2,Away,TOLEDO,Toledo,Western Michigan,mac
